"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"
"Digital Project Manager"	"£37k - £45k per annum"	"London"	"Permanent"	"Digital Project Manager"	"London - £37k - £45k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"My client is a successful digital agency that is based in Central London.They are looking to appoint a Digital Project Manager on a permanent basis.You will be managing some of the key accounts that are owned by my client. They are looking for a hand ons individual that is agency-experienced with exceptional project management skills.As the Project Manager you will be involved in managing a range of projects, including both new builds and maintenance.You may even have the opportunity to work on other client projects too.My client believes in exceptional delivery and you will need to have a good understanding of all things digital. You should also be comfortable working in a faced paced environment and working with different levels of stakeholders thorughout the business.You will be responsible for:Scoping, planning and specification of key projectsClient contact on projects during the production life cycleResponsible for 'driving' the client for their deliverables. This includes risks and issues management and knowing when to escalateResponsible for the profitability of these projectsResponsible for managing the quality and delivery of third party servicesEnsure the utmost quality in creative working with Client ServiceWork closely with the Client Services team throughout the project to manage client expectationsExperience and SkillsYou'll be an experienced and confident client-facing PM with a minimum of 3 years of agency experienceYou will be able to demonstrate a fundamental grasp of the principles of project management ideally you will have training in AgileExperience of delivering projects with budgets in excess of £75,000Confident in reporting effectively on project performance to internal teams and client stakeholdersProven experience in managing projects profitably within complex stakeholder environmentsExcellent and efficient communication skills both written and verbalExperience across web builds and E-commerce projectsExperience in requirements gathering and functional specificationExperience with Project Management tools (eg JIRA, Asana, MS Project (or similar)Bright, ambitious, entrepreneurial, likeable, fun and ready for a challengeExperience in managing pitch teams would be a bonusWe are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age."	"London, UK"	"IT"	NA	"ASAP["	"£37k - £45k per annum"	"onezeero"	"Daniyal Bashir "	"JS-50197561"	"05/12/2018 14:31:24"	"http://www.jobserve.com/GloBR"	NA
"Digital Project Manager"	"£250-£300 Per Day"	"London Arena"	"Contract"	"Digital Project Manager"	"London Arena - £250-£300 Per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"DIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START My client a marketing agency based in London are currently looking for a Digital Project Manager to start immediately for a 3 month contract based in London.You must have experience in the following:- Managing small to mid sized website projects- Producing other creative content such as video, illustration and copy- Understating of AGILE PM methodologies- Understanding platforms such as (Jira)Your day to day duties will include:- Working on end to end projects - Working with the client- Managing all projects (small to mid)- Creating time lines.Please do get in touch if this sounds like the role for youDIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START"	"London Arena, UK"	"IT"	NA	"ASAP"	"£250-£300 Per Day"	"Opus Recruitment Solutions Ltd"	"Alex White "	"JSDIGITAL PM"	"03/12/2018 14:34:07"	"http://www.jobserve.com/GlQAw"	"3-6 months"
"Agile Digital Project Manager"	"£500 - £600 per Day"	"Newcastle upon Tyne"	"Contract"	"Agile Digital Project Manager"	"Newcastle upon Tyne - £500 - £600 per Day"	"Contract"	"Posted: Friday, 30 November 2018"	""	"Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day Are you an agile advocate with a focus on delivering large digital transformation projects?You will have experience of complex integration and delivery of digital projects in an Agile environment within a digital and marketing team, with experience dealing with stakeholders at a traditionally waterfall company! This establishment is going through a significant digital change programme, and you will head up a project around marketing automation, Web CMS, Management information system and other Saas outbound marketing and content systems.There are some specific business needs that need to be delivered by March 2019 which include having a clear direction and architecture in place to deliver, along with a POC.You need to be able to speak at an exec level and have delivered complex Agile Digital projects.There is flexibility to work from home 1-2 days per week, if you are living outside of Newcastle and staying over during the week.Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day"	"Newcastle upon Tyne, UK"	"IT"	NA	"ASAP"	"£500 - £600 per Day"	"The Talent Locker"	"Mark Burgess "	"JS-16532"	"30/11/2018 09:23:10"	"http://www.jobserve.com/GkpLA"	"6 months +"
"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Up to £50k per annum"	"Fareham"	"Permanent"	"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Fareham - Up to £50k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Initially a maternity cover role for 9-12 months, possibly longer but with further opportunities likely beyond that.E-commerce Project Manager to work for growing IT Solutions Provider on one of their flagship client sites to oversee delivery of enhancements, features and upgrades across their eCommerce platform covering Europe, the Middle East and Africa (EMEA). Supported on site by other colleagues to ensure the highest standard of service to the client.SummaryWorking in a fast paced delivery motivated multi-project environment, the role will be responsible for the project coordination and delivery of projects to the E-commerce and digital platform across the EMEA region. Working with Global, Regional, Affiliate business and technical teams to ensure projects are successfully launched on time and meet business objectives.ResponsibilitiesManage and coordinate stakeholders, development and QA teams to deliver new features and enhancements to eCommerce sitesStatus reporting on a weekly, Monthly and Quarterly basis of all active projectsDeliver to existing project delivery processes and standardsWork with stakeholders and subject matter experts to produce project briefs, prioritized requirements and estimates to kick off projectsTrack risks & opportunities and provide both an effective point of escalation, and onward escalationPerform hands-on project management. Leading projects from ideation, to scoping, to planning and executionBuild and maintain detailed project schedulesManage and triage bugs during the QA phaseProduce and maintain project RAID logsTrack and report on resourcing and budget spendCoordinate regularly with Global, Operations, Brand and Deployment Teams - to ensure EMEA team coordination with Global dependency deliverables.Help communicate the pipeline and ensure project schedule changes are managed through change management process to all stakeholders and teams Team ManagementDirect and Matrix management of a project team of developers, testers and business stakeholders based on and off shoreManage and provide reporting on time spent across project and production tasksEnsure holiday bookings within the team are aligned with project plans. Work with line managers to ensure appropriate planning and visibilityDelegate effectively to manage workload and prioritizationRun regular project meetings. Ensure clear best practise in all meetings, with stated objectives, agendas. Ensure minutes are always taken listing key decisions made. Ensure room bookings are made/conference details are arrangedUnderstand key issues and perspectives to deliver viable options when challenged by barriersUnderstand business objectives and priorities to correctly deploy resourcesSkillsA strong background in web and eCommerce project delivery is a mustAbility to coordinate project delivery, understand and manage resource plans & budgetsExperience of risk analysis/mitigation strategiesExperience working with distributed teams across multiple countriesOutstanding communication skills and client facing professional attitudeStrong interpersonal skills and people skills, both inside and outside of their company'Can do' attitude to any situation with the ability to adapt and still maintain control and high level of client service skillsAttention to detail and ability to think laterally under pressureFirm but fair approach to difficult situationsControlled and methodical working practicesAbility to summarise and present complex technical information to business stakeholdersExcellent time management and prioritization skills to manage high volume workloadNatural innovator bringing fresh ideas, insights and creativity to improve as well as driveAdvantageous but not essentialPrevious roles in an IT/E-com Consultancy or Software Engineering capacityCapable proficiency using JIRAPortfolio, Project or Program Accreditation (eg MSP, PMP, MOP, AGILE etc.)Prince 2 qualification an advantageExperience in Agile and Kanban software project management methodsGrounding and/or genuine interest in digital/online and E-commerce"	"Fareham, UK"	"IT"	NA	NA	"Up to £50k per annum"	"aap3"	"Emma Bartle "	"JS-BBBH6582"	"03/12/2018 11:05:26"	"http://www.jobserve.com/GlNl3"	NA
"E-Commerce/Digital Project Manager - Fareham - £300/day"	"Up to £300 per Day"	"Fareham"	"Contract"	"E-Commerce/Digital Project Manager - Fareham - £300/day"	"Fareham - Up to £300 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"E-commerce Project Manager to work for growing IT Solutions Provider on one of their flagship client sites to oversee delivery of enhancements, features and upgrades across their eCommerce platform covering Europe, the Middle East and Africa (EMEA). Supported on site by other colleagues to ensure the highest standard of service to the client.SummaryWorking in a fast paced delivery motivated multi-project environment, the role will be responsible for the project coordination and delivery of projects to the E-commerce and digital platform across the EMEA region. Working with Global, Regional, Affiliate business and technical teams to ensure projects are successfully launched on time and meet business objectives.ResponsibilitiesManage and coordinate stakeholders, development and QA teams to deliver new features and enhancements to eCommerce sitesStatus reporting on a weekly, Monthly and Quarterly basis of all active projectsDeliver to existing project delivery processes and standardsWork with stakeholders and subject matter experts to produce project briefs, prioritized requirements and estimates to kick off projectsTrack risks & opportunities and provide both an effective point of escalation, and onward escalationPerform hands-on project management. Leading projects from ideation, to scoping, to planning and executionBuild and maintain detailed project schedulesManage and triage bugs during the QA phaseProduce and maintain project RAID logsTrack and report on resourcing and budget spendCoordinate regularly with Global, Operations, Brand and Deployment Teams - to ensure EMEA team coordination with Global dependency deliverables.Help communicate the pipeline and ensure project schedule changes are managed through change management process to all stakeholders and teams Team ManagementDirect and Matrix management of a project team of developers, testers and business stakeholders based on and off shoreManage and provide reporting on time spent across project and production tasksEnsure holiday bookings within the team are aligned with project plans. Work with line managers to ensure appropriate planning and visibilityDelegate effectively to manage workload and prioritizationRun regular project meetings. Ensure clear best practise in all meetings, with stated objectives, agendas. Ensure minutes are always taken listing key decisions made. Ensure room bookings are made/conference details are arrangedUnderstand key issues and perspectives to deliver viable options when challenged by barriersUnderstand business objectives and priorities to correctly deploy resourcesSkillsA strong background in web and eCommerce project delivery is a mustAbility to coordinate project delivery, understand and manage resource plans & budgetsExperience of risk analysis/mitigation strategiesExperience working with distributed teams across multiple countriesOutstanding communication skills and client facing professional attitudeStrong interpersonal skills and people skills, both inside and outside of their company'Can do' attitude to any situation with the ability to adapt and still maintain control and high level of client service skillsAttention to detail and ability to think laterally under pressureFirm but fair approach to difficult situationsControlled and methodical working practicesAbility to summarise and present complex technical information to business stakeholdersExcellent time management and prioritization skills to manage high volume workloadNatural innovator bringing fresh ideas, insights and creativity to improve as well as driveAdvantageous but not essentialPrevious roles in an IT/E-com Consultancy or Software Engineering capacityCapable proficiency using JIRAPortfolio, Project or Program Accreditation (eg MSP, PMP, MOP, AGILE etc.)Prince 2 qualification an advantageExperience in Agile and Kanban software project management methodsGrounding and/or genuine interest in digital/online and E-commerceAAP3 is acting as an Employment Business in relation to this vacancy."	"Fareham, UK"	"IT"	NA	"ASAP"	"Up to £300 per Day"	"aap3"	"Emma Bartle "	"JS-BBBH6582"	"06/12/2018 11:10:13"	"http://www.jobserve.com/GlxEM"	"6 months +"
"Project Manager - Digital"	"55k"	"Edinburgh, Scotland"	"Permanent"	"Project Manager - Digital"	"Edinburgh, Scotland - 55k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager Permanent Salary up to 55,000 Edinburgh We need a Digital Project Manager to join this exciting technical client based in Edinburgh. This company has scaled up massively over the last few years and are continuing to bring on exciting projects within the business. This role will be Monday to Friday and there is free offsite parking. This will be a 1 stage interview process after submission of application, so turnaround will be quick. The key duties of the Digital Project Manager will be: Lead a team of a small team of developers, designers and data scientists Being the voice of software within the company, representing the interests of your team Set standards for software development and delivery using Agile Work closely with Business Project Managers to translate high level business and customer goals into detailed work plans Ensure that these plans are delivered, making changes as necessary Support product development and bid management Help define project scope requirements, produce project plans and manage resources Understand the impact of risks and issues on a project and report on and manage them Essential skills necessary: Proven track record in the delivery of software projects to external customers A detailed understanding of Agile project management methodologies Strong communication and problem solving skills Experience of managing a team and working with external customers and stakeholders is also beneficial for this role. So, if you are an experienced Digital Project Manager who wants to work on exciting projects in nice surroundings, then get in touch with Simon Allen to discuss.  (see below) "	"Edinburgh, Scotland, UK"	"IT"	NA	NA	"55k"	"Be-IT Resourcing"	"Simon Allen "	"JS"	"06/12/2018 12:10:50"	"http://www.jobserve.com/GlxRx"	NA
"Project Manager"	""	"Bristol"	"Permanent"	"Project Manager"	"Bristol"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"(Tank Recruitment - Digital Project Manager - IT Project Manager - IS Project manager - Software development Project manager - Saas Project Manager)IT Project managerOn Behalf of our client a well-established company not only in Bristol but throughout the UK and EU we are resourcing for an experienced IT/Digital Project Manager.You will be experienced (certified preferred) in Prince2, PMP, AMP or similar and have a good working Knowledge of Agile and Scrum methodologies (certified preferred)The RoleYou will be at the forefront of the clients B2B and B2C business delivering complex digital projects. Using Agile, Prince2 and similar methodologies to fit the project at hand, flexibility is a must while delivering projects on time, on budget to the highest quality.Projects can be web based; Mobile tech, as well as SAAS based projects, so a good mixture of experience will be beneficial. Working with world renown clients you will be the face of the company on these projects, professionalism is a must have as well as attention to detail.Skills Required.Proven experience using a range of project management methodologiesyou'll know how to capture and understand a client's requirements and translate them into workable, exciting solutions.Demonstrable experience of managing a range of mid to large-scale projects and sizeable budgetsAbility to proactively manage dependencies, overcome obstacles and get the best value against constraintsGood level of technical knowledge - you'll have a broad awareness of a range of tools, standards, and platforms, you'll have solid estimating skills, you'll know a good few acronyms, and you'll have a good sense of what's possible (and what's not).Enthusiasm for project management and continuous improvement - you're someone who takes pride in achieving the best possible quality, productivity and efficiency for clients and your team.Discipline, determination and focus. You'll be confident to manage your own and your team's time effectively even when there are lots of competing demands.To be considered for this role please apply with your full CV and project list, I look forward to speaking with you."	"Bristol, UK"	"IT"	NA	"ASAP"	NA	"Tank Recruitment Limited"	"Mathew Bennett "	"JS-DIGITALPM"	"06/12/2018 16:52:36"	"http://www.jobserve.com/GlyXg"	NA
"Project Manager"	""	"Cardiff"	"Permanent"	"Project Manager"	"Cardiff"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Tank Recruitment - Digital Project Manager - IT Project Manager - IS Project manager - Software development Project manager - Saas Project ManagerIT Project managerOn Behalf of our client a well-established company not only in Bristol but throughout the UK and EU we are resourcing for an experienced IT/Digital Project Manager.You will be experienced (certified preferred) in Prince2, PMP, AMP or similar and have a good working Knowledge of Agile and Scrum methodologies (certified preferred).The RoleYou will be at the forefront of the clients B2B and B2C business delivering complex digital projects. Using Agile, Prince2 and similar methodologies to fit the project at hand, flexibility is a must while delivering projects on time, on budget to the highest quality.Projects can be web based; Mobile tech, as well as SAAS based projects, so a good mixture of experience will be beneficial. Working with world renown clients you will be the face of the company on these projects, professionalism is a must have as well as attention to detail.Skills Required:Proven experience using a range of project management methodologiesyou'll know how to capture and understand a client's requirements and translate them into workable, exciting solutions.Demonstrable experience of managing a range of mid to large-scale projects and sizeable budgetsAbility to proactively manage dependencies, overcome obstacles and get the best value against constraintsGood level of technical knowledge - you'll have a broad awareness of a range of tools, standards, and platforms, you'll have solid estimating skills, you'll know a good few acronyms, and you'll have a good sense of what's possible (and what's not).Enthusiasm for project management and continuous improvement - you're someone who takes pride in achieving the best possible quality, productivity and efficiency for clients and your team.Discipline, determination and focus. You'll be confident to manage your own and your team's time effectively even when there are lots of competing demands.To be considered for this role please apply with your full CV and project list, I look forward to speaking with you."	"Cardiff, UK"	"IT"	NA	"ASAP"	NA	"Tank Recruitment Limited"	"Mathew Bennett "	"JS-DIGITALPM"	"06/12/2018 16:55:55"	"http://www.jobserve.com/GlyY4"	NA
"Senior Digital Delivery Manager"	"£550 Per Day"	"London, Manchester"	"Contract"	"Senior Digital Delivery Manager"	"London, Manchester - £550 Per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"*For IR35 purposes, this role it out of scope*  London, Newcastle upon Tyne, Leeds, Manchester  Role Description A Senior Digital Project Manager ensures that the expected outcomes of a digital project are met within cost and time constraints. They are typically accountable for high risk, complex digital projects and may be handling more than one project at a time. They use their extensive understanding of the digital activities needed to help dynamically organise internal digital teams and digital suppliers to optimise their chances of success. Critically they are accountable for setting a good, sustainable pace for team members and suppliers. They apply good project management practice for planning, tracking progress, managing risks and issues, financial management, scope control, resource management, stakeholder management and governance. They are accountable for efficient integration with other delivery teams and departmental governance. They are experts in resolving conflict and in ensuring good collaboration. General Responsibilities  Lead and work with their team to ensure they have the right working environment and the tools needed to deliver value based on what users need  Engaging collaboratively with product owners, stakeholders and business analysts to set priorities for teams and communicate what is achievable for projects and programmes  Encourage a culture of innovation focused on adding value  Effectively manage team dynamics when working across Departmental and other boundaries  Work with product owners and other stakeholders to define the road map for products and services and work with teams to translate that into an achievable backlog  Lead the collaborative, dynamic planning process, helping teams to prioritise work that needs to be done against the capacity and capability of the project or programme  Monitor team, project and programme progress frequently and comprehensively to optimise and adjust plans reporting regularly to senior stakeholders  Keep track of and communicate the team progress against prioritised backlogs and making necessary adjustments to plans  Ensuring sponsors and genuine stakeholders are on-board throughout and that non-genuine or minor stakeholders don't impede momentum  Engage with the sponsor to monitor and feed into the business case from initiation and as it changes throughout the project life cycle drawing on expertise from suppliers, users, subject matter experts and external consultants  Track spending and forecast regularly to remain within budget tolerances demonstrating continually improving forecast and spend accuracy.  Effectively lead suppliers to get optimum value from their engagement  Lead successful delivery outcomes across all stages of the development life cycle projects and programmes, making sure that products at all stages are fully tested, perform at scale and are fit for purpose.  Actively participate in the community, learning, sharing and re-applying skills and knowledge and bringing in good practice Essential Skills  Have the ability to motivate peers to deliver at pace and set a positive team environment. Be able to manage difficult relationships and help teams overcome conflicts  Have experience of leading the delivery of digital services from inception through to go live. Also experience of in-production enhancement of services.  Be adept at spotting project risks and blockers to work and remove or action them. Be a creative and effective planner - both internal and external to team - optimising speed to market, value and quality. Be able to solve or escalate issues quickly and effectively, identifying themes and help the team learn from experience  Have experience in understanding and managing budgets and preparing bids for funding/business case approval. Experience of working within a public sector or large organisation  Can demonstrate experience of procurement, commercial and supplier management in a public sector or large organisation. Demonstrates ability to adjust quickly to changing priorities and conditions and to cope effectively with complexity and change. Desirable Have experience of working with security related stakeholders and expert teams to enable secure service provision. Accreditation & Qualifications SFIA 6  IT management Level 6  Business risk management Level 5  Portfolio management Level 5  Programme management Level 6  Project management Level 6  Systems development management Level 5  Resourcing Level 5 *For IR35 purposes, this role it out of scope*  If you match these requirements, please apply in the normal way. Elevate will send you an email, please open, click and action that email and your application will be visible to the hiring organisation directly."	"London, Manchester, UK"	"IT"	NA	"ASAP"	"£550 Per Day"	"Elevate Direct"	"Elevate Direct"	"JS-GC-DWP4565-041218"	"04/12/2018 14:51:36"	"http://www.jobserve.com/Glbkw"	"6 months"
"Project Manager - E-Commerce"	"Up to £450 per day"	"West End"	"Contract"	"Project Manager - E-Commerce"	"West End - Up to £450 per day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"We're looking for a world-class Project Manager with e-Commerce experience to work on a global e-Commerce transformation for a luxury fashion/beauty retailer based in Central London. The role will involve extensive new features and developments to the company's website(s). The ideal candidate will have experience in fashion or luxury retail as a Digital Project Manager, specifically working on e-Commerce projects.The successful candidate will have relevant experience, along with outstanding communication & stakeholder management skills and an enthusiastic & ambitious attitude. We are looking for someone who will go above and beyond at every opportunity.If working with a world-renowned luxury retail organisation isn't enough, this role will carry a high level of influence and decision-making power, a 12-month contract (likely to be extended) and up to £450 per day remuneration.Apply below with an up to date CV with experience relevant to this role and we will be in touch to provide more information."	"West End, UK"	"Retail"	NA	"ASAP"	"Up to £450 per day"	"La Fosse Associates Limited"	"Joseph Brown "	"JS-36340"	"06/12/2018 18:13:35"	"http://www.jobserve.com/GlzB9"	"12 months"
"Digital Project Manager"	"50k Annual 00 GBP"	"Brighton, Sussex"	"Unspecified"	"Digital Project Manager"	"Brighton, Sussex - 50k Annual 00 GBP"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"Digital Project ManagerRole OverviewProject Manager with experience of managing web/eCommerce projects is required by a leading eCommerce platform based in Brighton. Candidates can expect a salary of up to £50,000 The Project Manager will be responsible for delivering a wide range of digital projects which will include the development of Content Management Systems (CMS), website redevelopment, mobile development and digital marketing projects. ClientCV Screen is working with a leading eCommerce platform based in Brighton Skills RequiredThe Project Manager will have the following experience:- Proven Project Management experience, ideally managing digital/eCommerce projects.- Experience of managing large scale web implementations Who would the role suit?The role would suit a Project Manager who has a passion for everything Digital/Web based. Location: Brighton Salary/Benefitsto £50,000 + Excellent career prospectsTo Apply:Please email your CV through to Jason Price in strict confidence. CV Screen Ltd acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the Privacy Policy which can be found on the CV Screen website.  "	"Brighton, Sussex, UK"	"Media"	NA	NA	"50k Annual 00 GBP"	"CV Screen"	"CV Screen"	"JS3561_36545999/598329518"	"06/12/2018 07:06:02"	"http://www.jobserve.com/GlvIk"	NA
"Digital Project Manager"	"GBP"	"Weybridge, Surrey"	"Unspecified"	"Digital Project Manager"	"Weybridge, Surrey - GBP"	"Unspecified"	"Posted: Wednesday, 5 December 2018"	""	"BENEFITS This is a contract position lasting until December 2019, with an excellent package. 25 days holiday per annumFlexible RewardsFree onsite parkingShuttle Bus to and from Weybridge train station Subsidised restaurantSUMMARY Our award winning client are seeking a Digital Project Manager on a one year contract basis. The role requires a well-rounded technical knowledge of E-commerce processes and systems to effectively drive implementation of technical projects that deliver commercial objectives. The role will be responsible for translating marketing ideas into technical solutions across multiple projects including responsibility for scoping, stakeholder alignment to execution and quality assurance.  During 2019 there will be a variety of projects which will include working closely with the digital marketing team and global IT, scoping project requirements, mapping systems, creating and managing project schedules alongside global IT, tracking the progress of projects with the internal teams and end to end testing and reporting on project results. JOB DESCRIPTION Implement Global redesign project which will also include front and Back End split and transition from Magento 1 to 2. You will be responsible in ensuring successful implementation into the UK market working closely with global IT team and local agency.Manage implementation of PIM (Product Information Management) tool for managing products in Back End of Magento. Ensure fit for purpose and submit changes for improvement. Once implemented support day to day queries from stock management and warehousing teams who will be using the tool. Ensure agency loads new products in a timely manner, and together complete end to end testing from order to dispatch.Work with developers and 3rd party agencies to scope, plan and implement new functionality on the site and oversee the delivery of all large site updates to developers in a clear and concise manor.Monitor and drive the progress of tasks assigned to the development team (global IT/Local Agency), front and Back End using enterprise driven in house change management processes including securityDigital budget split between global and UK, majority of budgets included at global level, but any large UK driven projects will require budget assessment and phasing into the overall digital marketing budget and will involve close liaison with the digital marketing manager who will raise all PO's and goods receipting accordingly.SKILLS AND KNOWLEDGE REQUIRED Educated to Degree level or equivalentMinimum 3 years' experience in digital project manager role. Wide technical understanding across E-commerce systems including Magento. A high level of commercial awareness and effectiveness translating marketing ideas into technical solutions and can quickly grasp and translate what is do-able, what is not. Demonstrable experience in end to end testing and quality assurance.Ability to translate commercial/marketing ideas into technical solutions essentialCapable of working collaboratively across teams with high attention to detail is vitalAble to communicate effectively in English at all levels.Strong knowledge of Word, Excel and PowerPoint required.Planning & Organising, Analytical mind-set, People Management, Excellent verbal and writing skills a natural communicator, Project Management, Decision Making, Analysis & Problem Solving, Risk Management, Time Management, Relationship Building."	"Weybridge, Surrey, UK"	"Retail"	NA	NA	"GBP"	"Clockwork Recruitment Ltd"	"Clockwork Recruitment Ltd"	"JS3561_36725809/596908474"	"05/12/2018 12:46:31"	"http://www.jobserve.com/GlnBd"	NA
"Senior Digital Project Manager/Delivery Manager"	"£40K-£50K"	"Bristol"	"Permanent"	"Senior Digital Project Manager/Delivery Manager"	"Bristol - £40K-£50K"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"We are looking for a talented Senior Digital Project Manager/Senior Delivery Manager to join a fantastic digital marketing and tech agency in Bristol. You'll get to work on some very cutting edge tech projects for two huge clients - one is a charity and the other is a well known consumer brand. If you are an experienced Senior Digital Project Manager, Project Director, Delivery Manager or have a similar job title, then please get in touch! The experience we need.- A proven track record as a Senior Digital Project Manager, successfully delivering complex, technical solution-based projects involving web developers, UX and testers.- Some experience managing more creative, content-focussed projects would be handy too but isn't essential.- You don't need to have worked in an agile environment before, but an interest/experience in this will help. The ideal candidate will have worked with both Agile and Waterfall. - Digital agency, or consultancy experience is highly desirable. - It goes without saying that you'll need have a proven track record as a project manager, delivering digital/tech projects, on time, to budget and quality.The role. The Senior Digital Project Manager/Delivery Manager will report into a Delivery Lead who is essentially an Agile coach/scrum master. The teams adopts an agile approach, but it is flexible depending on the scale and nature of projects. They still use waterfall at times too. You'll manage some ground breaking web and mobile tech projects for a well-known global brand as well as a really nice charity client. And there's lots of scope to work with other clients as well. It'll be fast-paced, hugely varied, and as tech changes in line with their clients' needs, you'll be sure to stay at the forefront of digital and tech. The company.This agency is dedicated to growing its client's brands and being impeccable problem solvers, able to find a solution to any digital marketing or technical problem. The agency is firmly established within its industry and due to their dedication to development, they stay at the very top of their game. They are known as being a fantastic place to work, filled with passionate people who love what they do, whilst also being a great bunch of people. What you'll get in return.- A highly competitive salary in the region of £40K-£50K. - Additional training budget- Contributory pension scheme - Health care benefits- Childcare Vouchers- Cycle to Work Scheme- Employee Assistance Scheme, training and career milestone- Plus, excellent staff relaxation area, free fruit and drinks at work How to apply.If this sounds of interest, then please click the apply button right away!"	"Bristol, UK"	"Media"	NA	NA	"£40K-£50K"	"Henry Nicholas Associates"	"Henry Nicholas Associates"	"JS3561_36568415/574801617"	"03/12/2018 11:03:29"	"http://www.jobserve.com/GlNkH"	NA
"Freelance Senior Digital Project Manager/Delivery Manager"	"275.00 - 325.00 Annual GBP"	"City, Bristol"	"Unspecified"	"Freelance Senior Digital Project Manager/Delivery Manager"	"City, Bristol - 275.00 - 325.00 Annual GBP"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"One of our best Digital agency clients is on the hunt for a freelance Senior Digital Project Manager/Senior Delivery Manager working from their Bristol office. You'll get to work on some very cutting edge tech projects for two huge clients - one is a charity and the other is a well known consumer brand. They're looking for an immediate start (but there might be a little bit of flexibility on this) and the contract will run as long as it takes to hire a permanent candidate (likely to be a minimum of 2 months, but probably more considering notice periods and time to hire). If you are an experienced freelance Senior Digital Project Manager, experienced Midweight Project Manager, Project Director, Delivery Manager or have a similar job title, then please get in touch! The experience we need.- A proven track record as a Digital Project Manager or delivery manager, successfully delivering complex, technical solution-based projects involving web developers, UX and testers.- Some experience managing more creative, content-focussed projects would be handy too but isn't essential.- You don't need to have worked in an agile environment before, but an interest/experience in this will help. The ideal candidate will have worked with both Agile and Waterfall. - Digital agency, or consultancy experience is highly desirable. - It goes without saying that you'll need have a proven track record as a project manager, delivering digital/tech projects, on time, to budget and quality.The role. The Senior Digital Project Manager/Delivery Manager will report into a Delivery Lead who is essentially an Agile coach/scrum master. The team adopts an agile approach, but it is flexible depending on the scale and nature of projects. They still use waterfall at times too. You'll manage some ground breaking web and mobile tech projects for a well-known global brand as well as a really nice charity client. It'll be fast-paced, hugely varied, and as tech changes in line with their clients' needs, you'll be sure to stay at the forefront of digital and tech. What you'll get in return.- A day rate in the region of region of £300/day. - A nice rolling contract that could last quite a while- Great office environment, flexible working options and a great team around you How to apply.If this sounds of interest, then please click the apply button right away!For more info on this or similar roles please give Sam Kacher a call. "	"City, Bristol, UK"	"Media"	NA	NA	"275.00 - 325.00 Annual GBP"	"Henry Nicholas Associates"	"Henry Nicholas Associates"	"JS3561_36631489/578730235"	"06/12/2018 07:05:42"	"http://www.jobserve.com/GlvIR"	NA
