"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"
"Actuarial Analyst - Life"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Life"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client is seeking a part-qualified actuary with life office experience and excellent communication and interpersonal skills to join their team in a client-facing role. Longevity experience would be useful but not essential. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82732/602260080"	"11/12/2018 11:10:56"	"http://www.jobserve.com/GmtfW"	NA	NA
"Actuarial Analyst - Reserving."	""	"London"	"Permanent"	"Actuarial Analyst - Reserving."	"London"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"A Lloyd's Syndicate are looking for an Actuarial Analyst to join their Reserving team and report directly into the Head of Reserving. This role is extremely front facing and you will be involved in the full reserving process. You will need to have experience of using Excel or ResQ and have completed at least yours CT exams. "	"London, UK"	"Finance"	NA	NA	NA	"IPS Group"	"IPS Group"	"JS7286_85357/600714785"	"11/12/2018 11:10:37"	"http://www.jobserve.com/GmtfE"	NA	NA
"Actuarial Apprentice Level 4 - Graduate"	"20250.00 Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Apprentice Level 4 - Graduate"	"Norwich, Norfolk - 20250.00 Annual GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Aviva Level 4 Actuarial Technician Apprentice Scheme - Norwich.  Are you a strategic thinker that loves to solve problems?  Do you have a passion for maths?  Do you want to work for the UK's largest insurer, who will support you to gain further qualifications?  If so, why not follow in the footsteps of..... click apply for full job details "	"Norwich, Norfolk, UK"	"Finance"	NA	NA	"20250.00 Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-74269/592931178"	"07/12/2018 15:58:14"	"http://www.jobserve.com/Gl6Qx"	"Graduate"	NA
"Actuarial Analyst - Mixed"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Mixed"	"London - GBP"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"An exciting opportunity has arisen to join the actuarial team of a successful and ambitious Lloyd's managing agency.  Working in a mixed role of pricing, capital modelling and risk management duties; you will take on a high level of responsibility from day one which makes this a rare opportunity. Your work will span all areas of capital modelling duties such as model development, parameterisation and validation. In additon, you will assist with tasks such as developing the risk framework, the ORSA and pricing speciality lines business.  The successful applicant will ideally have general insurance experience and want to move into a mixed role in a forward looking organisation. There is an excellent support network, a close-knit actuarial team offering unrivalled exposure and a strong compensation package.  "	"London, UK"	"Other"	NA	NA	"GBP"	"Arthur Financial"	"Arthur Financial"	"JS7286_86482/604259694"	"13/12/2018 07:11:20"	"http://www.jobserve.com/GnHss"	NA	NA
"Actuarial Reserving Excellence"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Excellence"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A fantastic opportunity if you are a part-qualified or qualified actuary and have a good understanding of the Lloyd's market. Reserving knowledge is a must, and any experience of leading and managing projects will be a definite advantage. This role offers an excellent long term growth path, including scope for managing others, and working across international boundaries. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85171/598778421"	"07/12/2018 15:28:51"	"http://www.jobserve.com/Gl6MQ"	NA	NA
"Actuary Apprentice Manager"	"GBP"	"Abingdon, Oxfordshire"	"Permanent"	"Actuary Apprentice Manager"	"Abingdon, Oxfordshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"You will provide coaching and support to our Level 7 actuary apprentices and liaise with their employer to ensure they complete the requirements of their apprenticeship on time. You will conduct regular progress reviews with the apprentices, assess their work-based evidence and assist the Director of Actuarial Apprenticeships in the running of the actuarial apprenticeships programmes, including monitoring and reporting within BPP. Initially, you will help design and implement the apprentice support programme. A good awareness and understanding of the work of an actuarial student is required. You will be at least an Associate member of the IFoA. We will consider both Full time and part time applicants. Closing date: 21 Dec. "	"Abingdon, Oxfordshire, UK"	"Finance"	NA	NA	"GBP"	"BPP Actuarial Education"	"BPP Actuarial Education"	"JS7286_85068/598778837"	"07/12/2018 15:20:44"	"http://www.jobserve.com/Gl6Jo"	NA	NA
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects. Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials. You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management.  Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements. In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86394/602153601"	"11/12/2018 11:11:11"	"http://www.jobserve.com/Gmtfk"	NA	NA
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects.Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials.You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management. Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements.In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4406/593978591"	"11/12/2018 11:09:25"	"http://www.jobserve.com/GmteB"	NA	NA
"Actuarial Specialist - Life"	"GBP"	"London"	"Permanent"	"Actuarial Specialist - Life"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Major insurer has an exciting opportunity for a part-qualified or qualified life actuary to join its group function where you will support financial reporting of Solvency II whilst leading on the consolidation and reporting of the annual Group Standard Formula exercise, including comparison to Internal Model equivalents. In this key role, you will manage the delivery of timely and accurate financial results across an agreed range of financial metrics (eg Coverage Ratios, Operational Surplus Generation, Net Surplus generation, New Business Strain). You will also provide analysis and comparisons of Group forecast to actual Solvency II position at each quarter end for senior management. In addition, you will support the consolidation of, and the reporting of, risk capital results including elements relating to calculation, analysis, validation and documentation.  With a detailed understanding of SII principles, the successful candidate will also possess knowledge of IFRS reporting alongside a detailed understanding of financial and insurance risk management, including a practical knowledge of the drivers of risk capital. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85203/599836942"	"08/12/2018 09:14:08"	"http://www.jobserve.com/GmDeR"	NA	NA
"Actuarial Reporting Analyst - Life"	"GBP"	"London"	"Permanent"	"Actuarial Reporting Analyst - Life"	"London - GBP"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Our client, a leading reinsurer, has an exciting opportunity for a part-qualified life actuary to test developments to actuarial models whilst participating in the annual Business planning exercise and providing support for the ORSA. A good working familiarity with actuarial modelling software will be essential (preferably MoSes) whilst a good understanding of various statutory and regulatory reporting bases, eg Solvency II and UK IFRS, would be desirable. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85391/600714794"	"10/12/2018 13:06:27"	"http://www.jobserve.com/Gmhky"	NA	NA
"Actuary - Life - IFRS 17"	"GBP"	"London"	"Permanent"	"Actuary - Life - IFRS 17"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	" A flourishing Life Insurer is looking for a nearly/newly qualified Actuary to join its fast-growing Reporting function with main focus on IFRS. - You would be responsible of IFRS & SII reporting and analysis as well as managing key stakeholders; - You would have the chance to develop your people management skills through leading a team of bright student actuaries; - You will have a lot of interaction with different teams such as Investment, Pricing, Group; - You will report into a well-known Actuarial Manager with strong expertize in the Life field. You will be a nearly or newly qualified Actuary with Life background, solid communication skills and ideally annuities knowledge. Dynamic Actuaries coming from Pensions are also welcome to apply. This is a great chance to join a UK Life leader, gain exposure across one of the most desired areas in the current market (IFRS 17) and also develop your people management skills. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82703/598778557"	"07/12/2018 16:01:19"	"http://www.jobserve.com/Gl6TY"	NA	NA
"Actuarial Reporting Manager - Life"	"GBP"	"South East"	"Permanent"	"Actuarial Reporting Manager - Life"	"South East - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client has a fantastic opportunity for a qualified life actuary to develop and manage SII, USGAAP and UKGAAP reporting processes to provide accurate Balance Sheet and P&L results for internal and external reporting purposes.  With previous experience in life insurance valuation reporting or Solvency II, the successful candidate will possess the ability to keep abreast of SII advances, having a strong base of financial economic knowledge and statistical skills. Knowledge of using and coding in MoSes alongside knowledge of databases, particularly SQL, would be an advantage.  "	"South East, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85277/598778817"	"07/12/2018 13:32:29"	"http://www.jobserve.com/Gl5hP"	NA	NA
"Actuarial and Data Analyst"	"GBP"	"London"	"Permanent"	"Actuarial and Data Analyst"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"A Multi-National Insurer are looking for an Actuarial Analyst to work within their Reserving team and also assist with Data Analysis. They ideally looking for a part qualified Actuary who has had experience of Commercial Lines Reserving, but then you will need to have had exposure of using programming languages such as VBA or SQL.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_85358/600714788"	"11/12/2018 11:09:51"	"http://www.jobserve.com/GmteW"	NA	NA
"Actuarial Reporting Analyst - Life Reinsurance"	""	"United Kingdom"	"Permanent"	"Actuarial Reporting Analyst - Life Reinsurance"	"United Kingdom"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to the delivery of Solvency II results to meet quarterly and annual deadlines whilst assisting with the consolidation of SII results, review of balance sheet and other reporting items, ensuring suitable control and review. With good knowledge of MS Office and Life Insurance Products, the successful candidate will be a creative and analytical thinker. Contact us now for more information regarding this exciting career-development opportunity."	"United Kingdom"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85036/598778574"	"07/12/2018 13:14:35"	"http://www.jobserve.com/Gl5Z2"	NA	NA
"Actuarial Pricing Analyst - Motor Lines"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst - Motor Lines"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Major insurer has a fantastic role for a part-qualified actuary to join its Motor Insurance sector where you will review, develop and recommend new and enhanced management information and pricing concepts. In this key role, you will regularly monitor and analyse the performance of accounts, as required, at the macro, rating factor, agent and product levels in order to identify opportunities to optimise profitable growth through necessary pricing changes. You will also monitor and analyse the pricing of competitors in order to identify and recommend changes to optimise the firm's competitive position. In addition, you will work closely with underwriters, recommending enhanced or alterations to product covers. With strong communication and interpersonal skills, the sccessful candidate will be an expert user of SAS or equivalent database package(s) (R/SQL/Python).  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85054/602841770"	"11/12/2018 11:11:48"	"http://www.jobserve.com/GmtgC"	NA	NA
"Actuarial Analyst | South West England"	""	"South West"	"Permanent"	"Actuarial Analyst | South West England"	"South West"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"South West, part-qualified vacancy. A leading mutual insurer are seeking to appoint an actuarial student to their growing actuarial team.As a mutual, this work environment encourages innovative solutions to their member's needs, as such they are looking for an ambitious student actuary ready for a new challenge.The Role This role sits within the Finance and Risk team, reporting directly into the Chief Risk Officer. The successful applicant will support the implementation of risk management and has direct exposure to the pricing and analysis team.The scope of this role is broad and will interact with many areas of the business eg underwriting, marketing and the Board.Requirements3-5 year's experience within an actuarial role ideallyProgress being made with actuarial examsA forward thinker, and happy to work independentlyCash-flow modelling software experience eg Prophet, Mo.NETPricing experience would be useful, but not a requirement"	"South West, UK"	"Finance"	NA	NA	NA	"Oliver James Associates"	"Oliver James Associates"	"JS7286_85344/599836789"	"08/12/2018 07:05:38"	"http://www.jobserve.com/GmCPY"	NA	NA
"Actuarial Analyst Opportunities - South West"	"GBP"	"South West"	"Permanent"	"Actuarial Analyst Opportunities - South West"	"South West - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Leading professional services firms has a number of exciting opportunities for part-qualified actuaries to join their multi-client Actuarial Services teams across the South West where you will support many aspects of life actuarial work. In this client-facing role, you will develop relationships with clients and internal stakeholders from an early stage, identifying opportunities to improve and build on the delivery of actuarial solutions. The successful candidates will have experience of co-ordinating project deliverables or managing a small team, alongside good working knowledge of actuarial issues and techniques. Experience of actuarial modelling tools (eg Prophet, Moses) including model development/coding experience also essential. "	"South West, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85315/599836787"	"08/12/2018 09:08:40"	"http://www.jobserve.com/GmDcj"	NA	NA
"Actuarial Life in the South West"	"GBP"	"South West, United Kingdom"	"Permanent"	"Actuarial Life in the South West"	"South West, United Kingdom - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client is looking to hire an ambitious actuarial candidate to join their growing team and well-respected business, in a highly commercial role with a product and propositions focus.The team offers wide-ranging roles with genuine breadth and excellent prospects, requiring an analytical mind and strong communication skills.You will have a solid academic record, and will be making progress through the actuarial exams, or have qualified as an actuary."	"South West, United Kingdom"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5283/593978908"	"11/12/2018 13:15:31"	"http://www.jobserve.com/GmuhL"	NA	NA
"Non-life Actuary"	"GBP"	"Midlands"	"Permanent"	"Non-life Actuary"	"Midlands - GBP"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Our client, a leading specialist insurer, is seeking a qualified GI actuary to support the delivery of the statutory actuarial function requirements covering the Opinion on Underwriting and Reinsurance.In this key role, you will assist with the coordination of the calculation of Technical Provisions whilst supporting the implementation of the Risk Management Framework.You will also manage and deliver independent validation of the Internal Model, providing assurance that Solvency II model requirements are met.In addition, you will manage and deliver a range of second line reviews as requested by the Chief Risk Officer and Risk Commitees which may cover any aspect of pricing, capital, and reserving, or other risks across the wider business.The successful candidate will possess demonstrable stakeholder management skills alongside strong knowledge of actuarial and statistical pricing, capital and reserving techniques.An excellent opportunity to develop your career within a market-leader."	"Midlands, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4265/593978583"	"13/12/2018 09:17:28"	"http://www.jobserve.com/GnIOu"	NA	NA
"Non-life Actuary"	"GBP"	"Midlands"	"Permanent"	"Non-life Actuary"	"Midlands - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Our client, a leading specialist insurer, is seeking a qualified GI actuary to support the delivery of the statutory actuarial function requirements covering the Opinion on Underwriting and Reinsurance. In this key role, you will assist with the coordination of the calculation of Technical Provisions whilst supporting the implementation of the Risk Management Framework. You will also manage and deliver independent validation of the Internal Model, providing assurance that Solvency II model requirements are met. In addition, you will manage and deliver a range of second line reviews as requested by the Chief Risk Officer and Risk Commitees which may cover any aspect of pricing, capital, and reserving, or other risks across the wider business. The successful candidate will possess demonstrable stakeholder management skills alongside strong knowledge of actuarial and statistical pricing, capital and reserving techniques. An excellent opportunity to develop your career within a market-leader. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Paul Cook, Associate Director M:  E:  "	"Midlands, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82674/602260037"	"12/12/2018 11:38:47"	"http://www.jobserve.com/Gm6Ck"	NA	NA
"Reserving Actuary - London - per day"	"500.00 - 1k Annual 00 GBP"	"London"	"Unspecified"	"Reserving Actuary - London - per day"	"London - 500.00 - 1k Annual 00 GBP"	"Unspecified"	"Posted: Tuesday, 11 December 2018"	""	"Reserving Actuary London £500 - £1000 per dayCompany client is currently looking for contractors at varying levels, from several years of experience up to FIA qualified, highly experienced reserving actuaries.Day rates on offer will range from £500 to £1000 per day depending on seniority and level of experience.The durations of contracts range between 3-6 months (initially)The start dates will be ASAP, but some can accommodate a January 2019 start.Could this be of interest to you?If you are a seasoned contractor or a permanent member of staff considering contracting, please don't hesitate to get in touch for a confidential conversation.Keywords: Reserving, ResQ, Insurance, stakeholder, actuary, actuarial, General, Capital, model, process, "	"London, UK"	"Construction"	NA	NA	"500.00 - 1k Annual 00 GBP"	"bct resourcing"	"bct resourcing"	"JS3561_36642373/580805251"	"11/12/2018 07:06:00"	"http://www.jobserve.com/Gmr2G"	NA	NA
"Reserving Actuary - Lloyd's Syndicate"	"75k"	"London"	"Permanent"	"Reserving Actuary - Lloyd's Syndicate"	"London - 75k"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Reserving Actuary - Lloyd's Syndicate Up to £75,000 + Bonus + Benefits A top-tier Lloyd's Syndicate is looking to hire a nearly/newly qualified Actuary to focus on reserving, business planning an SII Technical Provisions. You will report directly into the Group Head of Reserving and mentor Junior Analysts. Previous reserving experience is essential to the role although this does not need to be London Market. Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	"75k"	"Eames Consulting"	"Eames Consulting"	"JS7286_85338/599836754"	"08/12/2018 09:19:37"	"http://www.jobserve.com/GmDe8"	NA	NA
"Graduate Actuarial Analyst"	"£30,000 -£36,000 "	"London"	"Permanent"	"Graduate Actuarial Analyst"	"London - £30,000 -£36,000 "	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Graduate Actuarial AnalystLocation: London Sector: General Insurance Reporting to: Head of Analytics Contract Type: Permanent Hours: Full Time Salary: £30,000 -£36,000 P/A  Further InformationOur Client, a Broker in the London Market, is searching for an ambitious and very bright individual, who has a strong desire to begin an actuarial career in general insurance, to join their Group actuarial team. - Being a Group role, involvement in areas of the business: insurance, reinsurance and catastrophe modelling - Interrogate data to inform conclusions and develop bespoke visualisations - Conduct research, analyse client/market data to develop actuarial models Support risk pricing and stochastic financial modelling in order to analyse and recommend insurance solutions for clients - Support clients and brokers in order to identify and quantify catastrophe risks - Help develop models where no reliable risk quantification tools exist eg non-modelled catastrophe perils - Report results and findings in a timely and accurate manner using a clear communication style Support RFPs, producing materials for prospective clients - Use best practice techniques to ensure consistent capability within EdKey Skills & Experience: - Have obtained a top degree in a numerate subject (ie Mathematics, Physics, Engineering, Economics etc.) - Minimum AAB at A-level including Mathematics - Strong GCSEs - Strong desire to work in General Insurance - Good technical understanding  - Actuarial Internships highly desirableAlso Offers: - Study package is 40 days leave, cover for exams, tutorials and materials. "	"London, UK"	"Finance"	NA	NA	"£30,000 -£36,000 "	"HFG"	"HFG"	"JS7286_85154/599836945"	"08/12/2018 09:08:45"	"http://www.jobserve.com/GmDcn"	"Graduate"	NA
"Reserving Actuary"	""	"London"	"Permanent"	"Reserving Actuary"	"London"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"A growing Lloyd's syndicate is currently seeking a qualified actuary to undertake a mixed role, covering reserving, SII technical provisions and capital modelling. Specifically the role will be responsible for undertaking quarterly reserving, calculating solvency II technical provisions, and contributing to the capital model parameterisation process. Candidates will be fully (or nearly) qualified and have strong London market reserving experience. Ideally they are keen to meet with candidates from a consultancy background, however all London market experience will be considered. To discuss the opportunity please submit your CV"	"London, UK"	"Finance"	NA	NA	NA	"Eames Consulting"	"Eames Consulting"	"JS7286_82595/602260088"	"12/12/2018 11:39:06"	"http://www.jobserve.com/Gm6C3"	NA	NA
"IFRS17 Actuary"	""	"London"	"Permanent"	"IFRS17 Actuary"	"London"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Fairbank Partners are working with an international insurer in their search for an IFRS17 Actuary to join their London office, working on the global implementation of IFRS17. The role sits in a small actuarial team, working alongside very highly regarded senior actuaries. The Opportunity: Assist with the development of the calculation engine - designing and testing the model Offer insight and training to the wider global business on IFRS17 and its impact Develop a deep technical skill-set and understanding of a prominent issue in the insurance market Key Requirements: Nearly/newly qualified GI Actuary (or with significant GI experience) Understanding of accounting principles Excellent IT skills (SQL ideal) Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Finance"	NA	NA	NA	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82611/598778710"	"12/12/2018 11:38:54"	"http://www.jobserve.com/Gm6Cs"	NA	NA
"Executive Actuarial Advisor - Non-life"	"GBP"	"London"	"Permanent"	"Executive Actuarial Advisor - Non-life"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Star Actuarial is currently working with a leading consultancy in the search for a qualified non-life actuary to lead client engagement teams, working as part of a multi-disciplinary team. Providing a high quality advisory service to clients, you will build and maintain strong relationships with both new and existing clients. You will also win new business through marketing and sales activities whilst contributing to high quality thought leadership. In addition, you will contribute to the development of new products and services and share knowledge and experience, thus contributing to the development of the team. With strong technical and communication skills, the successful candidate will have a well-honed, client-facing outlook. Strong project and people management skills also essential, as is knowledge of UK reporting methodologies (eg UK GAAP, IFRS, PRA Returns) alongside advanced Excel skills. An excellent opportunity to develop your career within a market-leader.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86398/601386987"	"11/12/2018 11:13:35"	"http://www.jobserve.com/GmtiE"	NA	NA
"Pricing Actuary"	"GBP"	"London"	"Permanent"	"Pricing Actuary"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A leading Lloyd's syndicate is looking for nearly or qualified Senior Pricing Actuary to join their Technical Pricing Function.Responsibilities of the role include developing rating models, pricing individual accounts and monitoring performance of the portfolios. You will be also developing and delivering leading outperforming risk selection and pricing capabilities, driving achievement of top and bottom line financial targets. As a Senior Actuary, you will be responsible for helping coach more junior members of staff.Candidates must be experience in an Insurance actuarial role, with proven excellent performance in actuarial exams, mathematics or a related discipline. Candidates should be experienced in risk models such as GLM, and have data manipulation skills using SQL/R/WPS/SAS.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85192/598778673"	"07/12/2018 16:01:10"	"http://www.jobserve.com/Gl6TR"	NA	NA
"Reserving Actuary"	""	"North"	"Permanent"	"Reserving Actuary"	"North"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Goodman Masson are working with a Personal Lines Insurer who are looking for a qualified Reserving Actuary to lead their Reserving team across home & motor.You will be responsible for a team of Analysts, running the end to end quarterly reserving process. Day to day your role will involve...Development of the reserving processRegulatory ReportingCommunicating work and results to senior stakeholdersInteracting with external stakeholders such as the PRA"	"North, UK"	"Finance"	NA	NA	NA	"Goodman Masson"	"Goodman Masson"	"JS7286_86402/602153603"	"12/12/2018 11:38:04"	"http://www.jobserve.com/Gm6B0"	NA	NA
"Non-life Actuarial Leader"	"GBP"	"London"	"Permanent"	"Non-life Actuarial Leader"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Are you a qualified non-life actuary with strong experience in reserving and other actuarial functions? Do you have a passion for actuarial transformation? Would you relish the opportunity to take up a leadership role within a major global consultancy? Then look no further. This is a fantastic opportunity to play a leading role in helping clients adapt their finance and actuarial functions to new technologies, new regulations and cost pressures.  You will lead actuarial elements of the largest clients' finance and actuarial transformation programmes, including implementation of IFRS 17, and develop new propositions to take to clients. The successful candidate will possess significant experience of leading change in finance or actuarial functions, alongside strong and effective stakeholder management experience. An excellent role that offers the opportunity to apply your skills in projects reaching beyond traditional actuarial boundaries within a market-leader. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85252/602260050"	"11/12/2018 11:04:25"	"http://www.jobserve.com/Gmtbc"	NA	NA
"Pricing Actuary"	"GBP"	"London"	"Permanent"	"Pricing Actuary"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"A fantastic opportunity has arisen at a global reinsurer for a nearly qualified - up to 3/4 years post qualified actuary to join the Pricing Team. This role will involve a whole range of activities (this is not a BAU role!) My client is an innovator around the world in developing reinsurance products and services that help insurance and financial organisations protect and grow their business. Right to work in the UK required. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Orange Malone"	"Orange Malone"	"JS7286_85290/598778738"	"12/12/2018 11:38:14"	"http://www.jobserve.com/Gm6CB"	NA	NA
"Deputy Actuary"	"GBP"	"London"	"Permanent"	"Deputy Actuary"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Boutique Insurer with a unique business is looking for a strong candidate to work closely with their Chief Actuary. Mainly focused on pricing and working with their new tyche model this will suit someone who likes to roll up their sleeves and dive into the data. The Chief Actuary is looking for someone who can help enhance and develop the models, VBA is essential and knowledge of Tyche and R would be beneficial but not essential. "	"London, UK"	"Finance"	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_82773/598778958"	"07/12/2018 15:29:20"	"http://www.jobserve.com/Gl6Mf"	NA	NA
"Senior Actuarial Consultants/Managers - Life"	"GBP"	"Bristol"	"Permanent"	"Senior Actuarial Consultants/Managers - Life"	"Bristol - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is representing a number of exciting opportunities for part-qualified and qualified life actuaries to create innovative commercial insights for clients and contribute to thought leadership. With strong problem solving and communication skills, the successful candidates will also possess project management experience.  "	"Bristol, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82864/598778441"	"07/12/2018 15:28:50"	"http://www.jobserve.com/Gl6MO"	NA	NA
"Pricing Actuary - Life"	"GBP"	"London"	"Permanent"	"Pricing Actuary - Life"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client is seeking a qualified life actuary with project management experience to propose appropriate pricing assumptions and oversee the production of reinsurance premium rates.Managing the process of compiling a tender response for specific quotes, you will ensure that risks taken by our client are fully understood, appropriately priced and carefully documented.You will also respond to ad-hoc client pricing queries and formulate reinsurance solutions tailored to their specific needs.In addition, you will take ownership of allocated projects, including testing new pricing assumptions, adding new features to pricing models and analysing claims experience.The successful candidate will possess strong IT skills with a good understanding of MS Excel & Access and experience of at least one actuarial modelling package.The ability to write and maintain code in VBA or similar language would be an advantage.A fantastic opportunity to develop your career within a leading-edge firm."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4900/593978672"	"11/12/2018 11:09:47"	"http://www.jobserve.com/GmteS"	NA	NA
