"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"duration"
"Digital Project Manager"	"£350.00 - £400.00 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £350.00 - £400.00 per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"Contract - Digital Project Manager - Immediate Start - London - Contract Our client is looking for a Digital Project Manager with a well-rounded technical knowledge of E-commerce processes and systems to effectively drive implementation of technical projects that deliver commercial objectives. You will be managing multiple development projects from scoping, stakeholder alignment to execution and QA. Key Skills:Ability to translate commercial/marketing ideas into technical solutionsMagento experience/knowledge essentialExperience working with Amazon E-commerceDemonstrable experience in Agile Testing end to end and Quality assurancePlease forward a copy of your uodated CV to (see below) Contract - Digital Project Manager - Immediate Start - London - Contract This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT"	"10/12/2018"	"£350.00 - £400.00 per Day"	"Salt"	"Kiran Jabbal "	"JS-JO-1812-143180"	"04/12/2018 14:54:20"	"http://www.jobserve.com/Glblb"	NA	"6 months"
"Senior Digital Project Manager - Media/Broadcasting"	"£45k - £65k per annum + Benefits + Bonus"	"London"	"Permanent"	"Senior Digital Project Manager - Media/Broadcasting"	"London - £45k - £65k per annum + Benefits + Bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager - Media/BroadcastingOne of the UK's biggest, most reputable and most award winning media broadcast companies are looking for a Lead Digital Project Manager to join their Digital division. You'll be working alongside some of the most talented digital minds in the industry across a portfolio of platforms. You'll be an important part of the planning, scoping and management of the project roadmap, and for the coordination of the rest of the team. You'll keep BAU work flowing through the team and keep stakeholders in touch with what's going on. A proactive nature and keen eye for detail is essential.Digital Project Manager - Media/Broadcasting Requirements:Help establish and refine working practices within the team, particularly the agile process and product managementAbility to multi-task and work a combination of BAU and Project driven work across web, social, mobile apps and consumer devicesManage the day to day production requirements of specific projectsManage stakeholder's requirements, keeping them informed throughoutContribute to daily stand-ups together with the other PMs to ensure the team is clear on their tasksBreak projects down into stories that clearly state the story requirements, test cases, size and any further informationContribute to the sprint planning process to accurately size stories, establish team velocityContribute to sprint showcases to inform the wider business of progressLead Digital Project Manager - Media/Broadcasting Requirements:3+ years in Digital Project Management, and a thirst to get your teeth stuck into some high profile digital projects for the businessExperience in leading and coaching other junior Project Manager's would be a plusProven ability to construct web builds and have the ability to drive project deliveryExperience driving teams to meet tight deadlines, maintaining momentum and quality of workExperience and understanding of Agile Project Management Methodologies Ideally will have worked on a VOD project but not essentialExperience within the broadcasting/tv/media industries is a huge plusHave experience working on projects from start to finish This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT, Media"	"ASAP"	"£45k - £65k per annum + Benefits + Bonus"	"Salt"	"Fabio Calvente "	"JS-JO-1811-142616"	"03/12/2018 10:29:53"	"http://www.jobserve.com/GlNHc"	NA	NA
"Digital Project Manager"	"£23k - £31k per annum + great Benefits"	"Tamworth"	"Permanent"	"Digital Project Manager"	"Tamworth - £23k - £31k per annum + great Benefits"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"A growing online education business and membership body is seeking a Digital Project Manager to support the customer service teams and key stakeholders delivering their new technical solutions.You'll play a vital role in the delivery of new technology by creating project documentation to support the delivery of projects aimed at driving customer satisfaction and quality levels from beginning to going live. You will develop your project management skills, delivering digital projects, resolving technical obstacles, including platform integrations and performance enhancements.Role and Responsibilities: * Manage digital and technical projects of various sizes. * Be an advocate for digital, technical/IT systems improvements and undertake digital and IT product testing. * Update internal and external teams on project status and contribute to process improvement. * Run regular meetings with internal stakeholders, suppliers, external technical and engineering teams, developers, designers and UX specialists, explaining requirements and answering questions, identifying errors, diagnosing issues, capturing requirements, identifying solutions and tracking freelance spend. * Working with cross-functional teams and managing relationships with third-party contractors and suppliers to implement features, drive improvements and develop technical strategies * Manage supplier and service provider contracts, adherence to SLA's and KPI'sTo be suitable for this role you must have/be:* Previous experience of delivering digital projects. * Confident to deliver project management processes and manage teams of developers, testers, UX, content and creative. * Familiarity with UI/UX principles and experience of working with CRM, CMS, digital learning platforms, digital web technology, mobile apps, progressive Web Apps (PWA) and Microsoft Dynamics desirable. * Experience of conducting product testing, creating test scripts, functional specifications and evaluating and suggesting improvements and enhancements. * Able to use MS Office, Google Apps, experience of E-commerce, online marketing and analytics. * Assertive and confident communicator (verbal and written), including presenting and influencing to senior management level and external stakeholders. * Customer and quality focussed, enjoys building strong relationships and interacts well with multiple stakeholders and audiences at all levels. * An understanding of agile methodologies (desirable). * Previous experience of running CRM queries, reports and dashboards would be advantageous. * Able to produce documents to a high standard with meticulous attention to detail. * Able to work autonomously, prioritise own workload and help others to prioritise theirs. * Super organised, a problem solver with a passion to track details. * Degree (or equivalent) in computer science or related technical/technology-related experience is desirable. * Hold a full UK/EU Drivers Licence. If you feel you would be a strong candidate for this role please send a copy of your CV with ASH17313WC in the subject line of the email.The Ashdown Group Ltd acts as an employment agency in respect of permanent vacancies and as an employment business in respect of temporary vacancies."	"Tamworth, UK"	"IT"	NA	"£23k - £31k per annum + great Benefits"	"Ashdown Group"	"Will Cusack "	"JS-ASH17313WC1"	"29/11/2018 17:17:26"	"http://www.jobserve.com/Gkjzv"	NA	NA
"Digital Project Manager"	"£37k - £45k per annum"	"London"	"Permanent"	"Digital Project Manager"	"London - £37k - £45k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"My client is a successful digital agency that is based in Central London.They are looking to appoint a Digital Project Manager on a permanent basis.You will be managing some of the key accounts that are owned by my client. They are looking for a hand ons individual that is agency-experienced with exceptional project management skills.As the Project Manager you will be involved in managing a range of projects, including both new builds and maintenance.You may even have the opportunity to work on other client projects too.My client believes in exceptional delivery and you will need to have a good understanding of all things digital. You should also be comfortable working in a faced paced environment and working with different levels of stakeholders thorughout the business.You will be responsible for:Scoping, planning and specification of key projectsClient contact on projects during the production life cycleResponsible for 'driving' the client for their deliverables. This includes risks and issues management and knowing when to escalateResponsible for the profitability of these projectsResponsible for managing the quality and delivery of third party servicesEnsure the utmost quality in creative working with Client ServiceWork closely with the Client Services team throughout the project to manage client expectationsExperience and SkillsYou'll be an experienced and confident client-facing PM with a minimum of 3 years of agency experienceYou will be able to demonstrate a fundamental grasp of the principles of project management ideally you will have training in AgileExperience of delivering projects with budgets in excess of £75,000Confident in reporting effectively on project performance to internal teams and client stakeholdersProven experience in managing projects profitably within complex stakeholder environmentsExcellent and efficient communication skills both written and verbalExperience across web builds and E-commerce projectsExperience in requirements gathering and functional specificationExperience with Project Management tools (eg JIRA, Asana, MS Project (or similar)Bright, ambitious, entrepreneurial, likeable, fun and ready for a challengeExperience in managing pitch teams would be a bonusWe are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age."	"London, UK"	"IT"	"ASAP["	"£37k - £45k per annum"	"onezeero"	"Daniyal Bashir "	"JS-50197561"	"05/12/2018 14:31:24"	"http://www.jobserve.com/GloBR"	NA	NA
"Digital Project Manager"	"£250-£300 Per Day"	"London Arena"	"Contract"	"Digital Project Manager"	"London Arena - £250-£300 Per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"DIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START My client a marketing agency based in London are currently looking for a Digital Project Manager to start immediately for a 3 month contract based in London.You must have experience in the following:- Managing small to mid sized website projects- Producing other creative content such as video, illustration and copy- Understating of AGILE PM methodologies- Understanding platforms such as (Jira)Your day to day duties will include:- Working on end to end projects - Working with the client- Managing all projects (small to mid)- Creating time lines.Please do get in touch if this sounds like the role for youDIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START"	"London Arena, UK"	"IT"	"ASAP"	"£250-£300 Per Day"	"Opus Recruitment Solutions Ltd"	"Alex White "	"JSDIGITAL PM"	"03/12/2018 14:34:07"	"http://www.jobserve.com/GlQAw"	NA	"3-6 months"
"Agile Digital Project Manager"	"£500 - £600 per Day"	"Newcastle upon Tyne"	"Contract"	"Agile Digital Project Manager"	"Newcastle upon Tyne - £500 - £600 per Day"	"Contract"	"Posted: Friday, 30 November 2018"	""	"Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day Are you an agile advocate with a focus on delivering large digital transformation projects?You will have experience of complex integration and delivery of digital projects in an Agile environment within a digital and marketing team, with experience dealing with stakeholders at a traditionally waterfall company! This establishment is going through a significant digital change programme, and you will head up a project around marketing automation, Web CMS, Management information system and other Saas outbound marketing and content systems.There are some specific business needs that need to be delivered by March 2019 which include having a clear direction and architecture in place to deliver, along with a POC.You need to be able to speak at an exec level and have delivered complex Agile Digital projects.There is flexibility to work from home 1-2 days per week, if you are living outside of Newcastle and staying over during the week.Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day"	"Newcastle upon Tyne, UK"	"IT"	"ASAP"	"£500 - £600 per Day"	"The Talent Locker"	"Mark Burgess "	"JS-16532"	"30/11/2018 09:23:10"	"http://www.jobserve.com/GkpLA"	NA	"6 months +"
"Digital Project Manager"	"£500.00 - £550.00 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £500.00 - £550.00 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Contract - London - Delivery ManagerProvide direction and leadership to cross-disciplined teams to deliver exceptional products and services for Discovery's usersWork with the discipline leads to set the vision and respective smart goals for the projects-defining how success will be measuredPartner closely with the Discovery business units and operational teams to create unified plans that drive impact on key metrics, inspire teams, rally support and deliver against the project's objectives and timelinesContinual collaboration with stakeholders (both internal and external) to identify, manage and resolve any dependencies, risks and issues throughout the life cycle of the projectContract - London - Delivery ManagerThis job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT"	"10/12/2018"	"£500.00 - £550.00 per Day"	"Salt"	"Kiran Jabbal "	"JS-JO-1811-143025"	"29/11/2018 17:37:24"	"http://www.jobserve.com/Gkj9j"	NA	"6 months"
"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Up to £50k per annum"	"Fareham"	"Permanent"	"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Fareham - Up to £50k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Initially a maternity cover role for 9-12 months, possibly longer but with further opportunities likely beyond that.E-commerce Project Manager to work for growing IT Solutions Provider on one of their flagship client sites to oversee delivery of enhancements, features and upgrades across their eCommerce platform covering Europe, the Middle East and Africa (EMEA). Supported on site by other colleagues to ensure the highest standard of service to the client.SummaryWorking in a fast paced delivery motivated multi-project environment, the role will be responsible for the project coordination and delivery of projects to the E-commerce and digital platform across the EMEA region. Working with Global, Regional, Affiliate business and technical teams to ensure projects are successfully launched on time and meet business objectives.ResponsibilitiesManage and coordinate stakeholders, development and QA teams to deliver new features and enhancements to eCommerce sitesStatus reporting on a weekly, Monthly and Quarterly basis of all active projectsDeliver to existing project delivery processes and standardsWork with stakeholders and subject matter experts to produce project briefs, prioritized requirements and estimates to kick off projectsTrack risks & opportunities and provide both an effective point of escalation, and onward escalationPerform hands-on project management. Leading projects from ideation, to scoping, to planning and executionBuild and maintain detailed project schedulesManage and triage bugs during the QA phaseProduce and maintain project RAID logsTrack and report on resourcing and budget spendCoordinate regularly with Global, Operations, Brand and Deployment Teams - to ensure EMEA team coordination with Global dependency deliverables.Help communicate the pipeline and ensure project schedule changes are managed through change management process to all stakeholders and teams Team ManagementDirect and Matrix management of a project team of developers, testers and business stakeholders based on and off shoreManage and provide reporting on time spent across project and production tasksEnsure holiday bookings within the team are aligned with project plans. Work with line managers to ensure appropriate planning and visibilityDelegate effectively to manage workload and prioritizationRun regular project meetings. Ensure clear best practise in all meetings, with stated objectives, agendas. Ensure minutes are always taken listing key decisions made. Ensure room bookings are made/conference details are arrangedUnderstand key issues and perspectives to deliver viable options when challenged by barriersUnderstand business objectives and priorities to correctly deploy resourcesSkillsA strong background in web and eCommerce project delivery is a mustAbility to coordinate project delivery, understand and manage resource plans & budgetsExperience of risk analysis/mitigation strategiesExperience working with distributed teams across multiple countriesOutstanding communication skills and client facing professional attitudeStrong interpersonal skills and people skills, both inside and outside of their company'Can do' attitude to any situation with the ability to adapt and still maintain control and high level of client service skillsAttention to detail and ability to think laterally under pressureFirm but fair approach to difficult situationsControlled and methodical working practicesAbility to summarise and present complex technical information to business stakeholdersExcellent time management and prioritization skills to manage high volume workloadNatural innovator bringing fresh ideas, insights and creativity to improve as well as driveAdvantageous but not essentialPrevious roles in an IT/E-com Consultancy or Software Engineering capacityCapable proficiency using JIRAPortfolio, Project or Program Accreditation (eg MSP, PMP, MOP, AGILE etc.)Prince 2 qualification an advantageExperience in Agile and Kanban software project management methodsGrounding and/or genuine interest in digital/online and E-commerce"	"Fareham, UK"	"IT"	NA	"Up to £50k per annum"	"aap3"	"Emma Bartle "	"JS-BBBH6582"	"03/12/2018 11:05:26"	"http://www.jobserve.com/GlNl3"	NA	NA
"Senior Digital Project Manager"	""	"Northamptonshire"	"Permanent"	"Senior Digital Project Manager"	"Northamptonshire"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"About - Barclaycard Payments ServicesThe primary function for the Barclaycard Payments Services is to support the Global Payments Acceptance business and in doing so running payment transactions for 30% of the UK high street, adding business value by leveraging technology solutions and payments domain/industry knowledge. The tower also operates across Barclaycard and the wider bank providing payment solutions where the other business units are acting as a merchant or in the operation of authorisations and settlement routingOverall purpose of roleThe purpose of this role is to own the end-to-end delivery of the Merchant Services Digital Portfolio with a strategic investment of between £1m-15m SI for Barclaycard Change Management customers The Role holder may have direct reports on the project, between 5-8, and will be responsible for the following activities;Coach and mentor Project Managers on the skills and capabilities required by high performing change professionals and if appropriate deal with performance that is not meeting the required standardConduct performance reviews and oversee career management for the Project ManagersManage and provide objective feedback on change professionals during each project 'assignment'Actively participate in the Business Change Practice with regard to line management and knowledge sharingOrganisational Development (5%)Provide input into the ongoing development of the Change Management Change Management Toolkit and Project Management ToolkitPersonal & Professional Development (5%Use the Project Management Development Centre to accelerate and maintain skills level, in particular the development of professional change skill setsBecome an SME in the Change Management Change Management Toolkit and Project Management Toolkit and ensure they are utilised in the planning and delivery of change projectsRisk and Control Objective [This section is mandatory for all role profiles and must not be deleted] Personal attributes essential to performing role including competencies, expertise, knowledge, and experience. Note: experience requirements must not be in the form of years (minimum or otherwise).Essential Skills/Basic QualificationsKnowledge: mandatory (minimum) requirement:An expert understanding of Agile/Scrum frameworks, processes, practices and how to apply themAn understanding of technology, particularly related to responsive and mobile web developmentsAn understanding of toolsets for Agile/Scrum developments (eg JIRA, SLACK, CA's Agile Central) additional (optional or ideal) request:Some understanding of UX/UI Design and Rapid Prototyping, including Toolsets and FrameworksSome understanding of Data and Databases, with some understanding of Hosting/InfrastructureAn appreciation of approaches and workings of integrations, such as in APIs and Micro-ServicesUnderstanding or experience of Testing, in particular, with modern iterative development testsExperiences:Leading cross-functional teams who have designed, developed and delivered digital software productsExperience of managing direction and prioritisation of Product Owners and Stakeholders' expectationsExperience of working with Technical Architects, Database Designers, and Infrastructure/Hosting SMEsDesirable skills/Preferred Qualifications:Qualifications in Digital, Computing or Technology related subjects (eg BSc. in Computer Science)Experience or qualification in Agile Methodology would be preferableIndustry experience in Financial Services and ideally Banking (Business/Corporate preferred to Retail)Industry experience in developing solutions or digital services for Small Medium Enterprise BusinessesIndustry experience in Website Optimisation or Search Engine Advertising/Marketing for SME Business "	"Northamptonshire, UK"	"IT"	"ASAP"	NA	"Resource Solutions - Barclays"	"Barclays"	"JS-90212148"	"29/11/2018 10:02:05"	"http://www.jobserve.com/Gkgh9"	NA	NA
"Senior Digital Delivery Manager"	"£550 Per Day"	"London, Manchester"	"Contract"	"Senior Digital Delivery Manager"	"London, Manchester - £550 Per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"*For IR35 purposes, this role it out of scope*  London, Newcastle upon Tyne, Leeds, Manchester  Role Description A Senior Digital Project Manager ensures that the expected outcomes of a digital project are met within cost and time constraints. They are typically accountable for high risk, complex digital projects and may be handling more than one project at a time. They use their extensive understanding of the digital activities needed to help dynamically organise internal digital teams and digital suppliers to optimise their chances of success. Critically they are accountable for setting a good, sustainable pace for team members and suppliers. They apply good project management practice for planning, tracking progress, managing risks and issues, financial management, scope control, resource management, stakeholder management and governance. They are accountable for efficient integration with other delivery teams and departmental governance. They are experts in resolving conflict and in ensuring good collaboration. General Responsibilities  Lead and work with their team to ensure they have the right working environment and the tools needed to deliver value based on what users need  Engaging collaboratively with product owners, stakeholders and business analysts to set priorities for teams and communicate what is achievable for projects and programmes  Encourage a culture of innovation focused on adding value  Effectively manage team dynamics when working across Departmental and other boundaries  Work with product owners and other stakeholders to define the road map for products and services and work with teams to translate that into an achievable backlog  Lead the collaborative, dynamic planning process, helping teams to prioritise work that needs to be done against the capacity and capability of the project or programme  Monitor team, project and programme progress frequently and comprehensively to optimise and adjust plans reporting regularly to senior stakeholders  Keep track of and communicate the team progress against prioritised backlogs and making necessary adjustments to plans  Ensuring sponsors and genuine stakeholders are on-board throughout and that non-genuine or minor stakeholders don't impede momentum  Engage with the sponsor to monitor and feed into the business case from initiation and as it changes throughout the project life cycle drawing on expertise from suppliers, users, subject matter experts and external consultants  Track spending and forecast regularly to remain within budget tolerances demonstrating continually improving forecast and spend accuracy.  Effectively lead suppliers to get optimum value from their engagement  Lead successful delivery outcomes across all stages of the development life cycle projects and programmes, making sure that products at all stages are fully tested, perform at scale and are fit for purpose.  Actively participate in the community, learning, sharing and re-applying skills and knowledge and bringing in good practice Essential Skills  Have the ability to motivate peers to deliver at pace and set a positive team environment. Be able to manage difficult relationships and help teams overcome conflicts  Have experience of leading the delivery of digital services from inception through to go live. Also experience of in-production enhancement of services.  Be adept at spotting project risks and blockers to work and remove or action them. Be a creative and effective planner - both internal and external to team - optimising speed to market, value and quality. Be able to solve or escalate issues quickly and effectively, identifying themes and help the team learn from experience  Have experience in understanding and managing budgets and preparing bids for funding/business case approval. Experience of working within a public sector or large organisation  Can demonstrate experience of procurement, commercial and supplier management in a public sector or large organisation. Demonstrates ability to adjust quickly to changing priorities and conditions and to cope effectively with complexity and change. Desirable Have experience of working with security related stakeholders and expert teams to enable secure service provision. Accreditation & Qualifications SFIA 6  IT management Level 6  Business risk management Level 5  Portfolio management Level 5  Programme management Level 6  Project management Level 6  Systems development management Level 5  Resourcing Level 5 *For IR35 purposes, this role it out of scope*  If you match these requirements, please apply in the normal way. Elevate will send you an email, please open, click and action that email and your application will be visible to the hiring organisation directly."	"London, Manchester, UK"	"IT"	"ASAP"	"£550 Per Day"	"Elevate Direct"	"Elevate Direct"	"JS-GC-DWP4565-041218"	"04/12/2018 14:51:36"	"http://www.jobserve.com/Glbkw"	NA	"6 months"
"Digital Project Manager - Global Charity!"	"£38,000 - £42,000 + Excellent benefits"	"London"	"Permanent"	"Digital Project Manager - Global Charity!"	"London - £38,000 - £42,000 + Excellent benefits"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Job Description Digital Project Manager - Global Charity!An exciting opportunity has arisen for a Digital Project Manager with experience delivering multi-channel Digital Projects to join this award winning global charity based near Battersea, London. You will take the lead on Digital project delivery within a hugely worthwhile and collaborative environment. The Digital Project Manager will lead on a website redesign as well as the delivery of multiple global initiatives! The charity are looking for you to help grow the function with you as the lead!Skills required for the Digital Project Manager:Multi - project delivery experienceGood knowledge of Agile methodologyExperience working with stakeholders and 3rd partiesPrevious work in charity sector is ideal (not necessary)Digital Project Manager - Global Charity!Location: Battersea, LondonSalary: £38,000 - £42,000 + Excellent benefits Apply now for immediately consideration regarding this excellent opportunity! Understanding Recruitment is acting as an employment agency for this vacancy. "	"London, UK"	"Community"	NA	"£38,000 - £42,000 + Excellent benefits"	"Understanding Recruitment"	"Understanding Recruitment"	"JS9D9F2902/588872205"	"29/11/2018 13:39:23"	"http://www.jobserve.com/Gki8y"	NA	NA
"Digital Project Manager"	"40k "	"Chester, Cheshire"	"Permanent"	"Digital Project Manager"	"Chester, Cheshire - 40k "	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"This role is based in Liverpool but easily commutable from Chester!   Calling all Digital Project Managers! Join a highly successful agency in Liverpool as their new Digital Project Manager and work with multi-million pound clients, whilst enjoying regular nights out, flexi-time, key training to develop further in your role and much more!  With over two decades experience within the digital industry, our client is certainly a force to be reckoned with. As an agency, they pride themselves on delivering high-quality, innovative digital solutions to some of the biggest brands in the world, therefore, it will come as no surprise that they have won multiple prestigious awards over the years. Due to an increase in new business, the company is now looking to hire a hard-working Digital Project Manager to join the very sociable team! The Digital Project Manager will be responsible for managing a strong client portfolio of high profile clients. They will also manage the digital production workload, taking care of briefs and allocating workload to the digital studio, therefore, the successful candidate will demonstrate an ambitious attitude as well as an understanding of Magento. The Main Responsibilities of the Digital Project Manager:  Manage workflow and digital campaign production on allocated accounts to meet quality, financial and delivery requirementsDeal with client requests providing exceptional customer service, quickly, quality and responsesTake digital production briefs and raise any missing detail with the client in order to fully satisfy company briefAllocate Digital Studio workload reviewing and maintaining a weekly workflow scheduleEnsure quality control is applied at all stages of the process with both internal teams and with external suppliersThe Key Skills and Attributes Required:  Experience within a similar roleMagento experience is vital for the roleEnthusiastic, energetic and keen to succeedSolution finder and problem solverHighly organised and calm under pressureConfident and clear communicator and able to deal with clients of all levelsPositive and resilient in a high workload, high energy environmentIf this sounds like you then do not hesitate and apply today! "	"Chester, Cheshire, UK"	"Media"	NA	"40k "	"The Candidate Ltd"	"The Candidate Ltd"	"JS3561_36646480/581812784"	"29/11/2018 13:02:48"	"http://www.jobserve.com/Gkiyn"	NA	NA
"Digital Project Manager"	"GBP"	"Weybridge, Surrey"	"Unspecified"	"Digital Project Manager"	"Weybridge, Surrey - GBP"	"Unspecified"	"Posted: Wednesday, 5 December 2018"	""	"BENEFITS This is a contract position lasting until December 2019, with an excellent package. 25 days holiday per annumFlexible RewardsFree onsite parkingShuttle Bus to and from Weybridge train station Subsidised restaurantSUMMARY Our award winning client are seeking a Digital Project Manager on a one year contract basis. The role requires a well-rounded technical knowledge of E-commerce processes and systems to effectively drive implementation of technical projects that deliver commercial objectives. The role will be responsible for translating marketing ideas into technical solutions across multiple projects including responsibility for scoping, stakeholder alignment to execution and quality assurance.  During 2019 there will be a variety of projects which will include working closely with the digital marketing team and global IT, scoping project requirements, mapping systems, creating and managing project schedules alongside global IT, tracking the progress of projects with the internal teams and end to end testing and reporting on project results. JOB DESCRIPTION Implement Global redesign project which will also include front and Back End split and transition from Magento 1 to 2. You will be responsible in ensuring successful implementation into the UK market working closely with global IT team and local agency.Manage implementation of PIM (Product Information Management) tool for managing products in Back End of Magento. Ensure fit for purpose and submit changes for improvement. Once implemented support day to day queries from stock management and warehousing teams who will be using the tool. Ensure agency loads new products in a timely manner, and together complete end to end testing from order to dispatch.Work with developers and 3rd party agencies to scope, plan and implement new functionality on the site and oversee the delivery of all large site updates to developers in a clear and concise manor.Monitor and drive the progress of tasks assigned to the development team (global IT/Local Agency), front and Back End using enterprise driven in house change management processes including securityDigital budget split between global and UK, majority of budgets included at global level, but any large UK driven projects will require budget assessment and phasing into the overall digital marketing budget and will involve close liaison with the digital marketing manager who will raise all PO's and goods receipting accordingly.SKILLS AND KNOWLEDGE REQUIRED Educated to Degree level or equivalentMinimum 3 years' experience in digital project manager role. Wide technical understanding across E-commerce systems including Magento. A high level of commercial awareness and effectiveness translating marketing ideas into technical solutions and can quickly grasp and translate what is do-able, what is not. Demonstrable experience in end to end testing and quality assurance.Ability to translate commercial/marketing ideas into technical solutions essentialCapable of working collaboratively across teams with high attention to detail is vitalAble to communicate effectively in English at all levels.Strong knowledge of Word, Excel and PowerPoint required.Planning & Organising, Analytical mind-set, People Management, Excellent verbal and writing skills a natural communicator, Project Management, Decision Making, Analysis & Problem Solving, Risk Management, Time Management, Relationship Building."	"Weybridge, Surrey, UK"	"Retail"	NA	"GBP"	"Clockwork Recruitment Ltd"	"Clockwork Recruitment Ltd"	"JS3561_36725809/596908474"	"05/12/2018 12:46:31"	"http://www.jobserve.com/GlnBd"	NA	NA
"Senior Digital Project Manager/Delivery Manager"	"£40K-£50K"	"Bristol"	"Permanent"	"Senior Digital Project Manager/Delivery Manager"	"Bristol - £40K-£50K"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"We are looking for a talented Senior Digital Project Manager/Senior Delivery Manager to join a fantastic digital marketing and tech agency in Bristol. You'll get to work on some very cutting edge tech projects for two huge clients - one is a charity and the other is a well known consumer brand. If you are an experienced Senior Digital Project Manager, Project Director, Delivery Manager or have a similar job title, then please get in touch! The experience we need.- A proven track record as a Senior Digital Project Manager, successfully delivering complex, technical solution-based projects involving web developers, UX and testers.- Some experience managing more creative, content-focussed projects would be handy too but isn't essential.- You don't need to have worked in an agile environment before, but an interest/experience in this will help. The ideal candidate will have worked with both Agile and Waterfall. - Digital agency, or consultancy experience is highly desirable. - It goes without saying that you'll need have a proven track record as a project manager, delivering digital/tech projects, on time, to budget and quality.The role. The Senior Digital Project Manager/Delivery Manager will report into a Delivery Lead who is essentially an Agile coach/scrum master. The teams adopts an agile approach, but it is flexible depending on the scale and nature of projects. They still use waterfall at times too. You'll manage some ground breaking web and mobile tech projects for a well-known global brand as well as a really nice charity client. And there's lots of scope to work with other clients as well. It'll be fast-paced, hugely varied, and as tech changes in line with their clients' needs, you'll be sure to stay at the forefront of digital and tech. The company.This agency is dedicated to growing its client's brands and being impeccable problem solvers, able to find a solution to any digital marketing or technical problem. The agency is firmly established within its industry and due to their dedication to development, they stay at the very top of their game. They are known as being a fantastic place to work, filled with passionate people who love what they do, whilst also being a great bunch of people. What you'll get in return.- A highly competitive salary in the region of £40K-£50K. - Additional training budget- Contributory pension scheme - Health care benefits- Childcare Vouchers- Cycle to Work Scheme- Employee Assistance Scheme, training and career milestone- Plus, excellent staff relaxation area, free fruit and drinks at work How to apply.If this sounds of interest, then please click the apply button right away!"	"Bristol, UK"	"Media"	NA	"£40K-£50K"	"Henry Nicholas Associates"	"Henry Nicholas Associates"	"JS3561_36568415/574801617"	"03/12/2018 11:03:29"	"http://www.jobserve.com/GlNkH"	NA	NA
