"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"	"category"
"Data Scientist - Market Research and Big Data - 12 month Contract - London"	"£500- £600 per Day"	"London"	"Contract"	"Data Scientist - Market Research and Big Data - 12 month Contract - London"	"London - £500- £600 per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	" Senior Data Scientist - Market Research and Big Data - 12 month Contract - London  Our global client based in Central London are looking to extend their Global Data Science Team by building a new team in their London HQ in Canary Wharf. This new team will sit within the Technology & Data business unit, who are responsible for the entire life cycle of the data-driven products and the division Global Data Science is an essential part of it. Our Client develops its offerings with an agile mindset, which requires you to actively contribute to all phases of the solution development. It will be your responsibility to translate the product vision into data/analytic/algorithmic requirements, to conduct PoCs and to build prototypes, and at a later stage to work on high-performance implementations. The Role: Design and develop analytical approaches based on product concepts, going all the way from feasibility checks to proof-of-concepts to prototypes to implementation in end-to-end solutions Closely collaborate with machine learning engineers/software engineers on creating data-driven end-to-end solutions for marketers Actively share Data Science knowledge within the team and be a true TEAM PLAYER. Essential Skills: Expert knowledge of Python programming, including pySpark Strong statistical modelling skills/knowledge on predictive analytics would be a plus Expert knowledge of optimization and/or machine learning algorithms and/or deep learning algorithms Solid skills with regard to working in Big Data environments (eg, Cloudera Hadoop, Hortonworks Data Platform, AWS EMR, Map/Reduce, Hive) Desirable Skills: Advanced knowledge of the constantly evolving Data Science ecosystem and its frameworks (eg, Hadoop, Spark MLlib, H2O, Tensorflow, Torch, Theano) Basic skills with regard to performance optimisation and scalability (eg, parallelization, code optimization, containerization, function as a service) Experience in working with relational and non-relational databases, including SQL Required Qualifications: Master degree that reflects strong modelling, statistics and IT skills, PhD welcome but not required 2+ years of professional experience in quantitative data analysis/data science or related areas To apply please click the Apply button and follow the instructions. For a further discussion, please contact James Money. 83zero Consulting Limited is a boutique consultancy specialising in Data Science | Change | Agile Transition within the UK. We provide high quality interim and permanent senior IT professionals."	"London, UK"	"IT"	"ASAP"	"£500- £600 per Day"	"83Zero Ltd"	"James Money "	"JSJM - DATA SCIENTIST"	"03/12/2018 08:46:47"	"http://www.jobserve.com/Ghmqx"	NA	"12 months"	NA
"Data Scientist"	""	"City of London"	"Contract"	"Data Scientist"	"City of London"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"Senior Data ScientistFantastic opportunity to join our Banking client in Central London, on an initial 12 month contract!Our client requires a Data Scientist to join them in January 2019 and to be able to hit the ground running.The manager heads up Client Analytics for technology and is looking for someone who can help shape the technology and help grow the capability in the analytics space.More information regarding this role/project will be explained in detail at interview stage.The skills required for this role:Machine Learning/AI expertiseIdeally, Capital Markets experience- this isn't essentialPython, R, Tensor Flow, Spark, Anaconda, Jupyter skills will likely feature on the CVThe successful candidate will be joining an Investment Bank and therefore Investment/Banking experience is essential.Please forward your CV if you have the required skills and experience.We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age"	"City of London, UK"	"IT"	"January 2019"	NA	"Lorien"	"Rosalyn Raeburn "	"JS-50196637"	"04/12/2018 18:07:06"	"http://www.jobserve.com/GlcZa"	NA	"12 months"	NA
"data scientist"	""	"Birmingham"	"Contract"	"data scientist"	"Birmingham"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Contract Data Scientist is required for a greenfield start up to define and develop their data mining solution.Client DetailsThe client is a bespoke software house in central Birmingham who are seeking to create simple solution to every day problems.DescriptionThe role is to identify the key points of data the client has, identify clusters and define a process for future data analysis. This will mean the full life cycle of this project from inception to delivery and the identification of a solution for the client.ProfileThe successful candidate must have an excellent background in data science and the ability to create a solution to a bespoke problem. This is a stand alone contract hence the need to be able to self manage and identify key tasks for yourself.Job OfferThe company are offering someone total ownership of this project in addition to the opportunity to define the solution itself. This will be a total greenfield solution that you will have ownership for and will act as a benchmark on your CV of what you can personally deliver.The role is initially a 6 month contract with a likely extension."	"Birmingham, UK"	"IT"	NA	NA	"Michael Page Technology"	"Dave Collingwood "	"JS-13957614/001"	"06/12/2018 15:59:28"	"http://www.jobserve.com/Glx17"	NA	"26 weeks"	NA
"Data Scientist"	"£40k - £55k per annum"	"Gloucestershire"	"Permanent"	"Data Scientist"	"Gloucestershire - £40k - £55k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Role: Data ScientistLocation: GloucestershireDuration: PermanentSalary/Rate: Excellent SalaryStart Date: ASAPClearance: SC or Willing to UndergoData Scientist - Permanent - Gloucestershire - Excellent Salary - SC or Willing to Undergo The candidate will work within the company's rapidly-growing analytics development team to apply expertise in processes and technology to a wide variety of platform data. The role entails deriving meaningful insights from data and interprets and communicates findings and recommendations. The individual selected will develop data analytics, machine learning and artificial intelligence based capabilities and apply these to a wide variety of system and platform data to enable high level decision-making across different application domains. Data flows may be from a wide variety of sources, such as radio frequency data from systems of interest and social media data analysis. Skills/Experience:At least a bachelor's degree in a numerical, science or similar subjectEffective collaboration with other data scientists, engineers, software teams, management, other stakeholders and customersAbility to perform exploratory analysis, use machine learning to build models, generate visualizations and create & present reportsExperience of designing efficient algorithms for data analysis, data mining, text mining, data manipulation and statistical analysisApply knowledge of tools for software development and engineering research to create models of relevancyKnowledge of related technical domains including systems coding, programming languages, deep mathematical calculation and emerging analytics and big-data technologiesDesired skills, qualifications and experience [JP]One or more of the following skills is desirable:Develop information tools, algorithms, dashboards, and queries to monitor and improve business performanceExperience with statistics (descriptive and inferential)Experience with data manipulation, fusion and visualisation tools and techniquesExperienced in data structures and hierarchiesStrong analytical skills and understanding of system databases, data elements and application software solutions to optimise data gathering and analysisExperience in web application developmentFamiliarity with Hadoop/MapReduce, Pig, Hive, and SparkFamiliarity with Cloud TechnologiesExperience with complex computer networksWeb application development and database modellingRECOMMEND A FRIEND: If you have professional friends/colleagues who would be interested in one of our roles and our excellent levels of service too, we'd like to recognise your recommendations with a 'thank you' of our own. For every colleague you refer who then starts a role through Datasource either Contract or Permanent, we will send you £300!You will be required to hold a minimum of SC or Willing to Undergo. If you do not hold an active SC or Willing to Undergo please familiarise yourself with the vetting process before applying.(c) Copyright Datasource Computer Employment Limited 2018."	"Gloucestershire, UK"	"IT"	"ASAP"	"£40k - £55k per annum"	"Datasource Computer Employment"	"Edward Dixon "	"JS-J7074"	"07/12/2018 15:51:50"	"http://www.jobserve.com/Gl6PO"	"About Datasource Computer EmploymentDV & SC Security Cleared IT & Engineering specialists supplying HMG, Defence & MoD customers along with IT Consultancies, Banks, Automotive, Aerospace & Naval Engineering companies throughout the UK."	NA	NA
"Lead Data Scientist - Senior Data Engineer"	"£550 - £600 per Day"	"London"	"Contract"	"Lead Data Scientist - Senior Data Engineer"	"London - £550 - £600 per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"Data ScientistLondon based£600 a day for an initial 6 monthsKey Skills: Data Expert, Data Science, Data Mining (classical regression, logistic regression, CHAID, CART, neural nets, association rules, sequence analysis, cluster analysis, and text mining), Big Data, Consultancy, SQL, Rational Database, Hadoop, Hive, Advanced Analytics.We are working with a Gambling Client who are resourcing for a number of experienced Data consultants with a passion for Data Science and everything Big Data.Your role will be to help the client design a data engine to be built using Machine learning technology (Likely TensorFlow) and algorithyms you will architect/design and build an ML bot for 10 plus significant use cases for this company. In addition you will develop enterprise analytic solutions which are focused on specific industry solutions and continue to explore emerging technologies to evaluate new analytic possibilities.Your responsibilities will include the following:Defining the technical requirements of analytic solutions.Defining the data requirements of analytic solutionsConduct sophisticated data mining analyses and build data mining models, as required, as part of the initial solution development.Translating data mining results into clear business focused deliverables for decision makers.Technical consulting on Data MiningProduce internally published material such as knowledge briefs, service delivery kit components and modules, etc.This role will suit someone who considers themselves an expert in all things Data and has the desire to be at the forefront of new technology and new innovation in Data Analytics.In Return the client will pay you a starting day rate of £600 for 6 months. This role is being handled by Mark Chappell CertRP AIRP."	"London, UK"	"IT"	NA	"£550 - £600 per Day"	"Careerwise"	"Mark Chappell "	"JS-0000004241"	"04/12/2018 11:20:38"	"http://www.jobserve.com/GlZdu"	NA	NA	NA
"Lead Data Scientist - Senior Data Engineer"	"£550 - £600 per Day"	"London"	"Contract"	"Lead Data Scientist - Senior Data Engineer"	"London - £550 - £600 per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Data ScientistLondon based Up to £70k + benefitsKey Skills: Data Expert, Data Science, Data Mining (classical regression, logistic regression, CHAID, CART, neural nets, association rules, sequence analysis, cluster analysis, and text mining), Big Data, Consultancy, SQL, Rational Database, Hadoop, Hive, Advanced Analytics.We are working with a Gambling Client who are resourcing for a number of experienced Data consultants with a passion for Data Science and everything Big Data.Your role will be to help the client design a data engine to be built using Machine learning technology and algorithyms you will architect/design and build an ML bot for 10 plus significant use cases for this company. In addition you will develop enterprise analytic solutions which are focused on specific industry solutions and continue to explore emerging technologies to evaluate new analytic possibilities.Your responsibilities will include the following:Defining the technical requirements of analytic solutions.Defining the data requirements of analytic solutionsConduct sophisticated data mining analyses and build data mining models, as required, as part of the initial solution development.Translating data mining results into clear business focused deliverables for decision makers.Technical consulting on Data MiningProduce internally published material such as knowledge briefs, service delivery kit components and modules, etc.This role will suit someone who considers themselves an expert in all things Data and has the desire to be at the forefront of new technology and new innovation in Data Analytics.In Return the client will pay you a starting day rate of £600 for 6 months. This role is being handled by Mark Chappell CertRP AIRP"	"London, UK"	"IT"	"ASAP"	"£550 - £600 per Day"	"Careerwise"	"Mark Chappell "	"JS-0000004241"	"03/12/2018 21:59:24"	"http://www.jobserve.com/GlTtE"	NA	NA	NA
"Data Scientist"	"£40k - £70k per annum + excellent"	"London"	"Permanent"	"Data Scientist"	"London - £40k - £70k per annum + excellent"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Python, Machine learning, Big Data- Data Scientist - Central London Are you experienced within Data Science? Do you have experience of Machine Learning and designing and writing statistical models and algorithms? Are you always looking to improve your knowledge and skills within Data tools and techniques? This is an exceptional opportunity for YOU!We are looking for an outstanding Data Scientist for company that provides Advanced Transaction Monitoring and Client Screening technology. Their mission is to help customers automate the transaction and customer screening and monitoring processes by providing and end-to-end platform to detect compliance and money laundering risk.We are looking for someone who will work with a data science team and clients to develop cutting edge machine learning models (both unsupervised and supervised models)Essential skills required: Python experience requiredAbility to write prototypes in python (eg Django and prototyping frameworks)Data manipulation, and transformation (eg pandas, py Spark. Etc.)Develop machine learning algorithms (supervised and unsupervised) to score data to identify patternsBig data experience (eg Spark/elastic search)NLP experience Scala experience would be desirableAbility to produce prototypes aimed at proving/disproving business hypothesesAbility to present findings back to client/senior audienceIf you don't have all the skills listed above but have at least 3-4 then please still get in touch as the key point for the client is that they are looking for motivated, enthusiastic individuals who aren't afraid of learning new things. This is an exceptional opportunity to join a great company, offering the chance to work on a high level programme of work - as well as a competitive salary.To apply please send your CV for immediate consideration."	"London, UK"	"IT"	"ASAP"	"£40k - £70k per annum + excellent"	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Karolina Pominkiewicz "	"JS-24784/001"	"07/12/2018 11:59:21"	"http://www.jobserve.com/Gl4xu"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	NA	NA
"Data Scientist"	"£45k - £65k per annum + benefiits"	"Guildford, Surrey"	"Permanent"	"Data Scientist"	"Guildford, Surrey - £45k - £65k per annum + benefiits"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Our client are seeking a Data Scientist to join the team based in Guildford, Surrey. Due to the successful growth and investment in the business the company is looking to expand its Data Science team.The successful Data Scientist is likely to have relevant experience and/or qualifications in data, software or mathematical modelling in either a research, academic or commercial environment. You are likely to have a relevant academic degree Statistics, Maths, Economics, Data Science or equivalent and have experience in the following areas;Key Experience5+ years in a data analytics/data science roleStatistical and analysis software - SAS, R, Python, Matlab or similarData analysis/manipulation and presentationMachine Learning and/or other data science related methodsKeywords: Data Scientist, Data Analysis, Analytics, Python, R, Matlab, SAS, Stata, Data Visualisation, Data presentation, Algorithms, Machine Learning, AI, Guildford, Surrey"	"Guildford, Surrey, UK"	"IT"	NA	"£45k - £65k per annum + benefiits"	"Spectrum IT Recruitment (South) Ltd"	"Jack Hewitt-Coleman "	"JS-JHC-DS"	"05/12/2018 16:24:08"	"http://www.jobserve.com/Glo96"	NA	NA	NA
"Data Scientist"	"£55k - £65k per annum + Benefits"	"London"	"Permanent"	"Data Scientist"	"London - £55k - £65k per annum + Benefits"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"An opportunity has arisen for a talented Data Scientist to work for an Insurance specialist based in London. This is a permanent position. The role: My client is looking for a data scientist to work on innovative analytics across the business, using data mining and machine learning techniques. You will enjoy working with rich data sets, cutting-edge technology, advanced machine learning techniques, see your models used in real business applications and help shape new projects in an innovative company. Requirements: Highly analytical Ability to multi-task and prioritise activitiesThe ability to communicate the results of analyses in a clear and effective mannerPassionate about data science, machine learning and big dataPossesses both creative abilities and business knowledgeResults driven and self-motivatedSolid programming experience in either Python or R Must be innovativeGood understanding of Machine Learning/AI models If you would like to find out more information, please reach out directly to (see below) McGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"London, UK"	"Finance"	"ASAP"	"£55k - £65k per annum + Benefits"	"McGregor Boyall"	"Daniel Dowling "	"JS-342332234"	"07/12/2018 15:25:08"	"http://www.jobserve.com/Gl6Kl"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA	NA
"Data Scientist"	"Negotiable"	"West London"	"Contract"	"Data Scientist"	"West London - Negotiable"	"Contract"	"Posted: Wednesday, 5 December 2018"	""	"My client is a large Broadcast Media company, looking for an experienced Data Scientist to join a team working on technology projects around advertising.The role will be focused around machine learning research and application to optimisation of advertising delivery. Your responsibility will be to explore the power of advanced machine learning technology to enhance the delivery of advertising.Key Duties:Conduct research in machine learning theory and its application to optimising the delivery of advertising campaigns.Use machine learning and large-scale data mining techniques to discover and identify hidden patterns in various types of data.Build and implement machine learning models and prototype solutions for proof-of-concept.Design experiments and A/B testing.Work closely with other data scientists and software engineers to translate prototypes into high quality production solutions.Take an active role in defining user experience and assisting business stakeholders to work out feasible solutions.Write technical reports about your research, your findings and their values to millions of users. Essential Experience/Skills:Strong academic research background with MSc or PhD degree in computer science or related subjects.Strong working knowledge of machine learning models, optimisation, data mining techniques and inference algorithms such as decision trees, association rules, clustering, classification, regression, topic models, stochastic sampling, collaborative filtering.Demonstrated ability of applying machine learning models to real-world applications and services.Demonstrated ability of mapping business needs to solid machine learning and analytical solutions and engineering systems.Hand-on experience with machine learning modelling in distributed computing environments.Ability to build model and prototype software using any modern programme language, predominantly Python and Java.Ability to work as part of a team delivering top class results.Creative, innovative thinkers with outstanding problem-solving skills.Outstanding verbal and written communication skills.Non Essential/Desirable Experience:PhD degree in machine learning, image processing, computer vision, natural language processing or related subjects.Strong academic publication record is a plus.Experiences with research and development of advanced advertising and campaign optimisation.Experiences with building neural networks, deep learning or reinforcement learning in real-world applications.Experiences with machine learning modelling using Spark, TensorFlow or any distributed computing language.Candidates must be available to start from Jan 2019. Telephone interview followed by a face-to-face interview."	"West London, UK"	"IT"	"Jan 2019"	"Negotiable"	"Vine Resources"	"Nick Fraser "	"JS-BBBH8275"	"05/12/2018 14:05:34"	"http://www.jobserve.com/Glnyw"	NA	"6 months"	NA
"Data Scientist - Customer Facing"	"£60k - 110k per year"	"London"	"Permanent"	"Data Scientist - Customer Facing"	"London - £60k - 110k per year"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"One of the most exciting specialist data science consultancies with offices across the globe are looking for a Data Scientist to join their team in London. The role will be a customer facing role but with a large technical aspect, therefore they will be looking for a data scientist from a strong technical background with exceptional communication skills. There will be an element of travel that comes with this role.The company is scaling up substantially and are extremely ambitious so now is a great time to get involved as they transition from start-up to globalleader.Essential skills:MSc or PhD in Computer Science, Machine Learning or similar quantitative field (a PhD is highly beneficial)A minimum of 2+ years experience in a commercial data scientist positionExceptional communication skillsWorking knowledge of Python or R (knowledge of both is preferred)Experience with a variety of machine learning techniquesStrong knowledge of predictive analyticsExperience working in a customer facing data scientist position is highly beneficial but not essential for this position.Unfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £110,000 per annum Dependent on experience and they are looking to get the successful candidate started ASAP with interviews starting immediately. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke for further details."	"London, UK"	"IT"	NA	"£60k - 110k per year"	"X4 Group"	"Luke Tomaszko "	"JSCFDS"	"07/12/2018 16:33:35"	"http://www.jobserve.com/Gl6o3"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	"permanent"	"Executive"
"Data Scientist - Consumer Insights"	""	"London"	"Permanent"	"Data Scientist - Consumer Insights"	"London"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Why is our Insights team the next step for you?Worldpay are undergoing an exciting period of change, and you'll be joining a dynamic and innovative team who commercialise Worldpay UK's data and develop new consumer insights propositions for our business customers . You'll be working directly under our Head of Insight Services, so we'll want you to really take ownership of new models for customer analyses and ways of productising our data.Your input into this team could help improve the consumer experience for millions of high street shoppers across the UK!How will you add value on a day-to-day basis?As the sole Data Scientist in the team, you'll take the lead on developing and testing data-driven products to take to market that help Worldpay's customers understand their consumers better and make smarter, data-driven decisions.You'll work with large volumes of payments data to develop industry leading models that harness statistical and machine learning techniques and explore targeted opportunities to enrich these capabilities with data from third parties.As the owner of these models, you'll ensure that they are production ready and liaise with stakeholders within the business to ensure they deliver for customers and achieve Worldpay's commercial goals.What will make you the ideal candidate?You'll have an analytical and statistical background, with strong technical skills in SQL, R and Python. You will have a degree in a numerate subject and a minimum of 2 years of customer facing and commercial experience working with different Datamodelling techniques eg cluster analysis, decision trees, regression and propensity modelling.Possessing a passion for data, you will love turning large, transactional datasets into meaningful commercial insights and will be adept at interpreting inter-related trends, patterns and data-points to solve pressing business challenges.By adopting a consultative approach, you'll thrive in a fast-paced, agile environment where you are expected to deliver actionable recommendations to commercial stakeholders and explain complex technical concepts in a way that is easy to understand.How is Worldpay changing the world?Worldpay has merged with Vantiv Inc. to create a global leader in payments. The new Worldpay has the scale, reach and resources to take our success story to another level. This move allows us to expand further into high growth markets, deliver innovation at scale and above all, brings together exceptional talent and a shared passion that will help propel us forward to the next chapter of our collective story.Our technology enables billions of payments to be made each year whether online or in person. Working with customers large and small we help them to take payments quickly, safely and reliably, allowing them to grow their businesses and making your life more convenient in the process. "	"London, UK"	"IT"	NA	NA	"Worldpay"	"Worldpay"	"JS3583_A0K5800000TFHXUEA3/587223485"	"05/12/2018 18:19:50"	"http://www.jobserve.com/GjjT2"	NA	NA	NA
"Data Scientist"	"£30k - 50k per year"	"Newcastle upon Tyne, Tyne and Wear, England"	"Permanent"	"Data Scientist"	"Newcastle upon Tyne, Tyne and Wear, England - £30k - 50k per year"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"A Machine Learning Engineer is required to join an exciting growing company based in the North East on a permanent basis. Salary: £30,000-50,000 d.o.eThey are looking for someone with a passion for Machine Learning and who wants to broaden their knowledge and delve into Deep Learning too. You must be able to resolve the challenges faced by the company. You will be part of a tight-knit R&D team that work collaberatively to overcome these problems. Experience in MATLAB and Python would be beneficial. Key requirements include:Machine LearningNeural NetworksSQLStatistical/Mathematical backgroundGeneral Responsibilities:Constantly improving the company's pateneted algorithms.Making recommendations and consulting with stake holders on how to resolve problems.Identify any potential risks and decide best options for controlThis is a brand-new requirement and my client are looking to fill the position as soon as possible. They are looking to line up interviews next week so if this role is of interest, please send your CV to (see below), or call Adam for more information.Data Science/Machine Learning Scientist/Python/Big Data/Matlab/Python/R/Algorithms/Statistical/Mathematical/Neural Networks/Data Analytics/Data Scientist/SQL/PostgreSQL/Computer Vision"	"Newcastle upon Tyne, Tyne and Wear, England, UK"	"IT"	NA	"£30k - 50k per year"	"X4 Group"	"Adam De Smit "	"JSDATS53295NCL"	"05/12/2018 18:59:01"	"http://www.jobserve.com/GlqYy"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA	NA
"Senior Data Scientist - Python/R/SQL/NLP"	"£70k - £90k per annum + Excellent Benefits/Bonus Potential"	"London"	"Permanent"	"Senior Data Scientist - Python/R/SQL/NLP"	"London - £70k - £90k per annum + Excellent Benefits/Bonus Potential"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Senior Data Scientist - Python/R/SQL/NLPOne of the world's most prestigious hedge funds are building a new, greenfield Data Science team with a focus on NLP, AI and predictive analytics.They're investing heavily in data science and machine learning - this team are working as a start-up and have a huge amount of freedom and flexibility.You'll have true autonomy, working across all areas of the business and help to refine risk forecasts, leverage huge amounts of data for analysis and lead the development of innovative NLP and Machine Learning solutions - this is an exceptional challenge!As a senior data scientist, you'll have end to end ownership of projects - you'll have a great deal of buy-in with senior stakeholders and the chance to make a real impact.Requirements:Strong experience building end to end data science and analytical solutionsExcellent educational background in a quantitative subjectExperience of NLP and text mining would be idealGood experience with Python and/or RAny experience working in the financial services would be ideal but not essentialThis is the perfect chance for a strong data scientist to join a leading trading company and take change of all their analytics. They offer an excellent benefits package and modern working environment in the City of London."	"London, UK"	"IT, Finance"	"ASAP"	"£70k - £90k per annum + Excellent Benefits/Bonus Potential"	"Oliver Bernard"	"Alex Carey "	"JS-AC053"	"03/12/2018 15:42:24"	"http://www.jobserve.com/GlQsh"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	NA	NA
"Finance Data Scientist"	"Negotiable"	"London"	"Permanent"	"Finance Data Scientist"	"London - Negotiable"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Finance Data Scientist Senior Consultant - Manager As a Data Scientist within the Digital Finance Enablement team, you will be at the forefront of innovative cloud enabled analytics solutions in response to the most significant challenges faced by the Finance functions of our strategic global clients.  Responsibilities will include: Identify opportunities, design and assess Finance analytics solutions, for example using machine learning to support cost categorisation, or predictive modelling and forecasting supported by Big Data and Elastic Compute Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations Develop comprehensive understanding of Finance data structures and metrics Define schemas to store the data in Cloud data warehouses for analytics, including Big Query and Redshift Interact cross-functionally with a wide variety of people and teams Make business recommendations (eg cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information Ability to effectively prioritise, estimate, plan and delegate workload to meet deadlines Being a strong team player Strong verbal, written and presentation skills Location: London with occasional domestic and international travel Suggested work pattern: Permanent full-time Your professional experience Minimum qualifications: Degree in a quantitative discipline (eg, statistics, operations research, bioinformatics, economics, computational biology, computer science, mathematics, physics, electrical engineering, industrial engineering) +2 years of relevant work experience in data analysis or related field. (eg, as a statistician/data scientist/computational biologist/bioinformatician) Experience with statistical software (eg, R, Julia, MATLAB, pandas) and database languages (eg, SQL) Preferred qualifications: +3 years of relevant work experience (eg, as a statistician/computational biologist/bioinformatician/data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.  Recognised Professional Accounting qualification and/or experience working within a Finance function and Finance data role Applied experience with machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Demonstrated effective written and verbal communication skills. Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques. Experience in consulting or professional services "	"London, UK"	"IT, Finance, Consulting"	"ASAP"	"Negotiable"	"Next Ventures Ltd"	"Michael Kwakye "	"JS"	"07/12/2018 07:06:59"	"http://www.jobserve.com/Gjik1"	NA	NA	NA
"LEAD DATA SCIENTIST"	"Up to £60k per annum"	"Middlesbrough"	"Permanent"	"LEAD DATA SCIENTIST"	"Middlesbrough - Up to £60k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Lead Data ScientistStockton on TeesCirca £60,000We are working with an innovative, technically progressive company who are looking for a Lead Data Scientist. You will still be hands on, handling large complex datasets and transforming these into pragmatic & actionable insights. A key part of this role will be developing highly complex statistical algorithms and researching large scale data sets using a range of Machine Learning techniques.To be considered or this role, you must be able to show the following;Statistical modelling & large scale data analysis skillsExperience using data science toolkits(Python, Hadoop, MatLab etc)SQL, MySQL & NoSQLProven ability to lead and develop a team. If you are interested in this great opportunity then please email "	"Middlesbrough, UK"	"IT"	NA	"Up to £60k per annum"	"Reed Technology"	"Rob Mccusker "	"JS-78413"	"07/12/2018 17:14:49"	"http://www.jobserve.com/Gl6uX"	NA	NA	NA
