"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"category"
"Actuarial Life Advisor"	"GBP"	"Edinburgh"	"Permanent"	"Actuarial Life Advisor"	"Edinburgh - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is seeking a part-qualified life actuary to assist in the delivery of a wide range of client engagements, providing technical input to a number of projects.With strong Excel and VBA skills, the successful candidate will possess a detailed knowledge of UK reporting methodologies, eg UK GAAP, IFRS, FSA Returns.You will also have knowledge of Economic Capital and experience of modelling capital projects, alongside knowledge of Market Consistent Embedded Value techniques.Modelling skills (eg Prophet, MoSes, VBA) are essential.An excellent opportunity to develop your career in a client-facing role within a genuine market-leader."	"Edinburgh, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR3877/593978571"	"03/12/2018 18:14:37"	"http://www.jobserve.com/GlSmO"	NA	NA
"Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"I'm recruiting 2 Actuarial Analysts to support the ERM team of a Lloyd's Syndicate within the London Market. The primary focus of the role is to support the Enterprise Risk Management team in the operation, development and maintenance of the internal model, including statutory and regulatory requirements. This includes running, parameterising and reporting of the internal model. To assist in embedding the internal model within the business and ensure that the processes and procedures around the model are compliant with the tests and standards of Solvency II, PRA and Lloyd's.  In addition, the role includes providing technical support to the broader objectives of the Actuarial and Risk Functions in areas such as reporting, risk, reserving and pricing. If you have 1-4 years experience with Regulatory Reporting, Compliance, Model Development and Data Manipulation, please apply within. "	"London, UK"	"Finance"	NA	"GBP"	"Fenchurch Associates"	"Fenchurch Associates"	"JS7286_83935/592938922"	"01/12/2018 14:16:13"	"http://www.jobserve.com/Gk4kJ"	NA	NA
"Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"London based insurers are seeking an Actuarial Analyst to join their actuarial function.  Responsibilities include to work closely with the relevant underwriting teams and support other group functions in respect of the provision of actuarial pricing and business planning activities, reserving, insurance risk and other actuarial related activity as required. In addition you will focus on integration of rating models, support, understanding and full engagement assisting with the development of models across different products whilst supporting/advising the wider team. The ideal candidate will have excellent academics with a 1st Class degree or 2:1 and good overall educational passes at GCSE and A-Level (or equivalent). Beneficial to have good IT skills, in particular an advanced level of MS Excel and VBA. If you are interested in this role please apply below or contact me for more information.  "	"London, UK"	"Other"	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85187/594974289"	"03/12/2018 15:12:34"	"http://www.jobserve.com/GlQXi"	NA	NA
"Actuarial Non-life Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Actuarial Non-life Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Seeking a part-qualified GI actuary to join a leading firm where you will play a key role in supporting the design, establishment and embedding of a strong capital management and reporting framework.With strong verbal communication and interpersonal skills, the successful candidate will great problem-solving skills with a creative mind and desire to drive change and innovate.Generous actuarial study package on offer.Contact us now for more information regarding this exciting career-development opportunity."	"United Kingdom"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5018/593978707"	"03/12/2018 14:14:50"	"http://www.jobserve.com/GlPxU"	NA	NA
"Actuarial Non-life Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Analyst"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Seeking a part-qualified GI actuary to join a leading firm where you will play a key role in supporting the design, establishment and embedding of a strong capital management and reporting framework. With strong verbal communication and interpersonal skills, the successful candidate will great problem-solving skills with a creative mind and desire to drive change and innovate. Generous actuarial study package on offer."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82733/592938852"	"02/12/2018 15:11:29"	"http://www.jobserve.com/GlFLg"	NA	NA
"Actuarial Analyst"	"GBP"	"Sussex"	"Permanent"	"Actuarial Analyst"	"Sussex - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A highly successful Sussex based insurer is currently looking to add an Actuarial Analyst to their team. This position will be very diverse - focusing on pricing, reserving and capital modelling and would be an excellent opportunity for the successful candidate to develop their career and build a well-rounded base of experience.The ideal candidate will have some prior GI experience in one of the three disciplines and a strong academic background, being educated to at least degree level. A competitive salary is on offer for this position and can be discussed upon application.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"Sussex, UK"	"Finance"	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82643/592939068"	"01/12/2018 14:32:51"	"http://www.jobserve.com/Gk5BX"	NA	NA
"Actuarial Analyst - Life"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Analyst - Life"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to actuarial and risk work, contributing to delivery of experience analyses, IFRS reporting, local statutory reporting, economic capital calculations, pricing, model governance and project work. You will also continually reassess the operational risks associated with the role and inherent in the business, taking account of changing economic or market conditions, legal and regulatory requirements, operating procedures and practices, management restructurings, and the impact of new technology. Ability to speak French or Spanish would be an advantage, as would knowledge of Excel, VBA, SAS and/or Prophet. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Sarah O'Brien Senior Consultant M: (0) E:  "	"Edinburgh, Scotland, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82667/592938745"	"03/12/2018 17:55:17"	"http://www.jobserve.com/GlSbt"	NA	NA
"Actuarial Graduate"	"26k Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Graduate"	"Norwich, Norfolk - 26k Annual GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Are you a strategic thinker that loves to tackle problems? Do you have a passion for maths? Do you want to work for the UK largest insurer, who will support you to gain further qualifications? If so, why not follow in the footsteps of our previous Actuarial Graduate Scheme Trainees and your hard work could see..... click apply for full job details "	"Norwich, Norfolk, UK"	"Other"	NA	"26k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-73689/592931014"	"03/12/2018 17:21:08"	"http://www.jobserve.com/GlSBW"	NA	"Graduate"
"Actuarial Analyst - Change"	"GBP"	"Bristol"	"Permanent"	"Actuarial Analyst - Change"	"Bristol - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Based in Bristol, this Actuarial Change Analyst role is aimed at student actuaries who are progressing well in their exams with 1 - 3 years experience working in a Life Insurance business. The main duties of the role include: Working across a portfolio of products in Protection, Annuities and InvestmentsBeing integral in running reports, checking for sensible outcomes and employing changes necessary to improve resultsLiaising across the actuarial team to identify areas of improvement in the reporting processHelping the business through ongoing change This role offers great opportunities, not only by being sat at the heart of a global Life Insurer but also through progression. You will have a strong team of mentors to support you and help realise your potential. You will also be in the rotation programme allowing you to move internally across the wider actuarial team. In order to be considered, you will have sound understanding of Life Insurance products and regulation as well as being a strong communicator."	"Bristol, UK"	"Finance"	NA	"GBP"	"Goodman Masson"	"Goodman Masson"	"JS7286_82263/592938949"	"01/12/2018 14:26:48"	"http://www.jobserve.com/Gk418"	NA	NA
"Actuarial Pricing Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A reputable insurer is looking for an actuarial pricing analyst to join their pricing division.Responsibilities of the role include developing rating models, pricing individual accounts and monitoring performance of the portfolios.The role will require good interpersonal skills due to the need to regularly converse with senior underwriters and business unit leaders.Candidates are preferred to have at least 2 years' experience in a General Insurance actuarial role, to be a student member of the Casualty Actuarial Society or an equivalent body, with proven excellent performance in actuarial exams, mathematics or a related discipline. Pricing experience is preferred but not essential.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82604/592939001"	"01/12/2018 14:32:24"	"http://www.jobserve.com/Gk5Ak"	NA	NA
"Actuarial Manager - Consultancy"	"GBP"	"London"	"Permanent"	"Actuarial Manager - Consultancy"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A renowned consultancy firm are seeking an Actuarial Manager to join and lead their actuarial function. The role will have coverage over reserving, capital modelling and Solvency II.Responsibilities within this role include the reporting and delivery of projects, taking ownership of at least one major work-stream. The role will require the candidate to have great interpersonal skills, and effect communication and coaching skills, presenting to senor clients and mentoring junior staff.The ideal candidate will be newly qualified, with a degree-level qualification, having experience within reserving in the GI industry. Solvency II experience is preferred.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82469/592938790"	"01/12/2018 14:17:31"	"http://www.jobserve.com/Gk4m3"	NA	NA
"Actuarial Analyst - Reserving."	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Reserving."	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A Lloyd's Syndicate are looking for an Actuarial Analyst to join their Reserving team and report directly into the Head of Reserving. This role is extremely front facing and you will be involved in the full reserving process. You will need to have experience of using Excel or ResQ and have completed at least yours CT exams. "	"London, UK"	"Finance"	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_82357/592939011"	"01/12/2018 14:17:18"	"http://www.jobserve.com/Gk4mc"	NA	NA
"Actuarial Assistant Manager"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Assistant Manager"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Major insurance group is seeking a part-qualified or qualified actuary to perform calculations for policies and check calculations and build models in Excel or Access. In this excellent career-development opportunity, you will determine approaches to non-standard cases, write calculations specifications, test IT models and handle queries relating to the use of the models. You'll have advanced Microsoft Excel skills with the ability to manage and prioritise work commitments, good interpersonal and people management skills alongside excellent communication skills. Pensions and life assurance product knowledge preferred but not essential.  "	"Edinburgh, Scotland, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82307/592938892"	"01/12/2018 14:10:31"	"http://www.jobserve.com/Gk4Zp"	NA	NA
"Actuary Apprentice Manager"	"GBP"	"Abingdon, Oxfordshire"	"Permanent"	"Actuary Apprentice Manager"	"Abingdon, Oxfordshire - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"You will provide coaching and support to our Level 7 actuary apprentices and liaise with their employer to ensure they complete the requirements of their apprenticeship on time. You will conduct regular progress reviews with the apprentices, assess their work-based evidence and assist the Director of Actuarial Apprenticeships in the running of the actuarial apprenticeships programmes, including monitoring and reporting within BPP. Initially, you will help design and implement the apprentice support programme. A good awareness and understanding of the work of an actuarial student is required. You will be at least an Associate member of the IFoA. We will consider both Full time and part time applicants. Closing date: 21 Dec. "	"Abingdon, Oxfordshire, UK"	"Finance"	NA	"GBP"	"BPP Actuarial Education"	"BPP Actuarial Education"	"JS7286_85068/592939096"	"01/12/2018 14:13:54"	"http://www.jobserve.com/Gk4gD"	NA	NA
"Actuarial Specialist - Life"	"GBP"	"London"	"Permanent"	"Actuarial Specialist - Life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer has an exciting opportunity for a part-qualified or qualified life actuary to join its group function where you will support financial reporting of Solvency II whilst leading on the consolidation and reporting of the annual Group Standard Formula exercise, including comparison to Internal Model equivalents. In this key role, you will manage the delivery of timely and accurate financial results across an agreed range of financial metrics (eg Coverage Ratios, Operational Surplus Generation, Net Surplus generation, New Business Strain). You will also provide analysis and comparisons of Group forecast to actual Solvency II position at each quarter end for senior management. In addition, you will support the consolidation of, and the reporting of, risk capital results including elements relating to calculation, analysis, validation and documentation.  With a detailed understanding of SII principles, the successful candidate will also possess knowledge of IFRS reporting alongside a detailed understanding of financial and insurance risk management, including a practical knowledge of the drivers of risk capital. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Jo Frankham, Associate Director M: (0) E:  "	"London, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85203/594974285"	"03/12/2018 15:19:08"	"http://www.jobserve.com/GlQb8"	NA	NA
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects.Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials.You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management. Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements.In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns.Contact us now for more information on this excellent career-development opportunity within a market-leader."	"London, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4406/593978591"	"03/12/2018 15:12:04"	"http://www.jobserve.com/GlQXM"	NA	NA
"Actuarial Analyst/Data Management"	"GBP"	"London"	"Permanent"	"Actuarial Analyst/Data Management"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Unique opportunity for an actuarial student or data analyst/programmer to join a reinsurance business. Working alongside the head of Actuarial you will have an aptitude for programming and coding in VBA/SQL and ideally experience of handling large data sets. Solid experience of data management and analysis and building models and experience of Tyche would be a bonus. An understanding of the drivers within Natural Catastrophe models would be advantageous. Strong communication skills are also essential as you will be liaising with members directly.  "	"London, UK"	"Finance"	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_82698/592938734"	"01/12/2018 14:32:27"	"http://www.jobserve.com/Gk5Aq"	NA	NA
"Actuarial Analyst - City"	"GBP"	"City of London"	"Permanent"	"Actuarial Analyst - City"	"City of London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"My client, a financial services company based in the City, are seeking to appoint an actuarial analyst/senior actuarial analyst to their expanding team.This is a fantastic opportunity to work across a wide variety of areas including reporting, pricing, risk and systems. Ideal candidates will have experience with prophet including implementing model improvements and Solvency II reporting."	"City of London, UK"	"Finance"	NA	"GBP"	"Oliver James Associates"	"Oliver James Associates"	"JS7286_82402/592938941"	"01/12/2018 14:32:18"	"http://www.jobserve.com/Gk5Aa"	NA	NA
"Actuarial Analyst - Commercial Lines"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Commercial Lines"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Market-leading insurer is seeking a part-qualified GI actuary with reserving experience to be responsible for providing technical support (reserving, capital modelling and performance monitoring) in respect of insurance risk for its commercial non-motor business. With excellent communication skills, the successful candidate will possess strong IT skills, preferably including experience of VBA and ResQ or similar. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82873/592938380"	"02/12/2018 07:16:11"	"http://www.jobserve.com/GlCfE"	NA	NA
"Actuarial Pricing Analyst - Non-life"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst - Non-life"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Market-leading specialty insurance group seeks a part-qualified GI actuary with personal lines pricing experience to set and monitor rates for Pet Insurance and other lines of business, taking responsibility for the maintenance and development of the Pet risk and lifetime value models. An independent thinker and good communicator, the successful candidate will possess a good working knowledge of Microsoft Access, Excel and VBA, alongside Emblem. Experience using SQL, R/Python or similar (alongside ResQ) would be beneficial. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82630/592938937"	"02/12/2018 15:11:50"	"http://www.jobserve.com/GlFLq"	NA	NA
"Actuarial Reserving Specialist - Non-life"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Specialist - Non-life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Are you a part-qualified or qualified actuary with detailed GI experience (eg reserving, regulatory reporting, Solvency II)? Do you relish the opportunity to develop your career within a global insurer? Then look no further. This is a fantastic career development role offering you the opportunity to work closely with the UK Reserving teams - Personal, Municipal, Commercial and Legacy - to understand and report their results, identify trends and bring insights to the senior colleagues within the wider business. You'll also liaise with other areas of the business, including Finance, Underwriting, Pricing and Capital, to develop a broad understanding of the business and promote process changes that will result in real difference. Excellent team-working, communication and interpersonal skills are essential. Contact us now for more information regarding this exciting position within a market-leading firm. Adam Goodwin, Associate Director M: (0) L: uk.linkedin.com/in/adamgoodwin E:  "	"London, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85211/594974255"	"03/12/2018 14:09:39"	"http://www.jobserve.com/GlPth"	NA	NA
"Actuarial Reserving Manager"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Manager"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Key Responsibilities:  Annual delivery of reserving results Building and maintaining strong relationships with key stakeholders Communication of results, key issues, sensitivities and uncertainties Delivery of post reserving processes feeding into HY and YE results Reserving & UW variability parameterisation in conjunction with capital team Analysing and communicating trends Delivery of regular actual vs expected analysis Ad hoc deep dive analysis on key portfolios of interest Manage a team of 2 to 3 analysts A close collaboration with the reserving manager for the insurance activity of the company Qualifications/Experience: Ideally Qualified Actuary Experience of managing a cross border team Strong technical background in reserving and reinsurance Strong knowledge of accounting, including Belgian GAAP, and tax law Strong planning and time management of both own and direct team's work "	"London, UK"	"Finance"	NA	"GBP"	"Emerald Group"	"Emerald Group"	"JS7286_85136/592938820"	"01/12/2018 14:14:21"	"http://www.jobserve.com/Gk4g7"	NA	NA
"Actuarial Reserving Support - Non-life"	"GBP"	"Midlands"	"Permanent"	"Actuarial Reserving Support - Non-life"	"Midlands - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Our client, a leading general insurer, hs an exciting opportunityy for a part-qualified actuary with GI reserving experience for both personal and commercial lines of business to provide support through quarterly reserving analyses and ad hoc investigations. Providing technical insight into the impact of internal and external changes on actuarial claims development patterns, you will lead the design, build and checking of processes to enrich the claims data used in the GI reserving process. You will also recommend and apply improvements to current practices based on an understanding of market best practice. In addition, you will support the GI Reserving Actuary with influencing internal stakeholders and delivering new strategies for reserving. Strong analytical skills are a must, including the ability to solve complex reserving problems using analytical and statistical methods. Knowledge of the latest industry developments in GI Reserving techniques and the claims environment also essential. "	"Midlands, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82578/592938774"	"01/12/2018 14:29:36"	"http://www.jobserve.com/Gk46a"	NA	NA
"Actuarial Analyst - Bulk Annuity Insurer"	"GBP"	"Hove, Sussex"	"Permanent"	"Actuarial Analyst - Bulk Annuity Insurer"	"Hove, Sussex - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"FRG are searching for a part qualified actuary to join a leading Life Insurer. The ideal candidate will be making good progress in their actuarial exams, have previous experience working with Excel, With-Profits and some knowledge of Life products. They will also accept applications from excellent Pensions candidates. Desirable skills: VBA, SAS, Prophet and modelling. They are also open to looking at applicants who have stopped taking the IFoA exams but are qualified by experience. Salary, bonus and benefits are very appealing and study support is offered. If you would like to find out more information, please apply now. "	"Hove, Sussex, UK"	"Finance"	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82822/592939111"	"01/12/2018 14:16:37"	"http://www.jobserve.com/Gk4k5"	NA	NA
"Actuarial Reporting Analyst - Life Reinsurance"	"GBP"	"United Kingdom"	"Permanent"	"Actuarial Reporting Analyst - Life Reinsurance"	"United Kingdom - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to the delivery of Solvency II results to meet quarterly and annual deadlines whilst assisting with the consolidation of SII results, review of balance sheet and other reporting items, ensuring suitable control and review. With good knowledge of MS Office and Life Insurance Products, the successful candidate will be a creative and analytical thinker.  "	"United Kingdom"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85036/592938979"	"02/12/2018 07:16:17"	"http://www.jobserve.com/GlCfN"	NA	NA
"Actuarial and Data Analyst"	"GBP"	"London"	"Permanent"	"Actuarial and Data Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A Multi-National Insurer are looking for an Actuarial Analyst to work within their Reserving team and also assist with Data Analysis. They ideally looking for a part qualified Actuary who has had experience of Commercial Lines Reserving, but then you will need to have had exposure of using programming languages such as VBA or SQL. If this role is of interest then please apply now."	"London, UK"	"Finance"	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_82359/592939039"	"01/12/2018 14:16:22"	"http://www.jobserve.com/Gk4kZ"	NA	NA
"Actuarial Analyst - Mixed Role"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Mixed Role"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading Lloyd's insurer requires junior analyst to join their actuarial team in an exciting and varied role.  The position will report directly in to a senior actuary and involve elements of actuarial pricing and business planning as well as reserving and insurance risk.You will be working closely with underwriters and gaining exposure to the wider insurance business. You will need to have excellent communication skills, an ambitious nature and a consistently impressive academic record including a top class degree in a numerate subject. You will be making good progress with the actuarial exams and have experience within general insurance.  "	"London, UK"	"Other"	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_85198/594974242"	"03/12/2018 14:12:08"	"http://www.jobserve.com/GlPvU"	NA	NA
"Actuarial Assistant - Financial Reporting (Life)"	"GBP"	"London"	"Permanent"	"Actuarial Assistant - Financial Reporting (Life)"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"If you are a part-qualified life actuary with a passion for financial reporting and seeking to develop their career within a leading global reinsurer, then this is the perfect role for you offering excellent career-development prospects. We are very happy to perform bespoke research on your behalf. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83912/592939060"	"01/12/2018 14:27:18"	"http://www.jobserve.com/Gk424"	NA	NA
"Retrocession Actuarial Pricing Analyst"	"£45,000 - £50,000 GBP"	"London"	"Permanent"	"Retrocession Actuarial Pricing Analyst"	"London - £45,000 - £50,000 GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Retrocession Actuarial Pricing Analyst Location: City of London Sector: General Insurance Reporting to: Specialty Pricing Actuary Contract Type: Permanent Hours: Full Time Salary: £45,000 - £50,000 basic P/A  Further Information Our Client, a leading multinational Broker, is searching for a bright, personable and self-assured actuarial analyst to join their Retrocession pricing team. The structure of the team: 15-20 brokers with an Embedded actuarial function.Lead Retro Pricing ActuarySenior Retro Pricing ActuaryThis role (Retro Pricing Analyst)Benefits of working in Retro: - Being reinsurance of reinsurers, you would work and be exposed to hundreds of clients around the globe: All multinational reinsurers, Lloyd's syndicates and London Market reinsurers. - Retro covers every line of business therefore offers exposure all around the business. - Value add factor: In Retro, unlike other areas, the Brokers wont do/change/approve anything so wont go to market without actuarial input due to it all being account of catastrophe risk - your input makes a clear-cut difference to the business of the team. - Specialty lines reinsurance, particularly Retro, at a Global broker is an excellent stamp to have on your CV and enables unmatched career progression. Key Responsibilities: - Reinsurance pricing and analysis, through data collection and analysis, model build and testing, report writing, documentation and delivery. - Presenting analysis and reinsurance advice to clients. - Working collaboratively in a team environment with colleagues and client stakeholders. - Communicating in a collaborative and client focused manner.Key Traits of candidates: - This is a client-facing role so the successful candidate will be confident, act with integrity and self-assurance. - Speak with conviction to clients and brokers.Skills & Experience: - 2-3 years Actuarial experience (GI pricing preferred but not essential if strong communicator) - 2:1 or above in a numerate subject - Strong A-level results - Knowledge of Excel & VBA - Knowledge of Catastrophe Modelling a plus but not essential - Excellent communication/interpersonal skillsAlso Offers: - Study package is 40 days leave, cover for exams, tutorials and material - must meet requirements of scheme though which is passing so many each year, etc. - Above market bonuses. "	"London, UK"	"Finance"	NA	"£45,000 - £50,000 GBP"	"HFG"	"HFG"	"JS7286_82328/592938942"	"01/12/2018 14:30:05"	"http://www.jobserve.com/Gk47E"	NA	NA
"Reserving Actuary - London Market"	"Up to £80,000 GBP"	"London"	"Permanent"	"Reserving Actuary - London Market"	"London - Up to £80,000 GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Reserving Actuary - Lloyd's SyndicateUp to £80,000 + Bonus + BenefitsA top-tier Lloyd's Syndicate is looking to hire a Qualified Actuary to focus on reserving, business planning an SII Technical Provisions. You will report directly into the Group Head of Reserving and manage a small team.Previous reserving experience is essential to the role although this does not need to be London Market. Ideally you'll be qualified however candidates with relevant experience are also encouraged to apply.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	"Up to £80,000 GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82775/592938721"	"01/12/2018 14:33:05"	"http://www.jobserve.com/Gk5Br"	NA	NA
"Actuarial Analyst - DB Pension to Insurance"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - DB Pension to Insurance"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"I am conducting a search for an Actuarial Analyst for a leading UK Life Insurance firm in Central London. This role sits within the Retirement part of the business, this area is growing exponentially and it is their main profit centre. The successful candidate will be a dynamic and analytical part qualified actuary with a relevant experience in DB Pension who would like to step into the flourishing London Insurance market. You will ideally have passed your CT exams and have 1 - 2 years experience in pension consultancy. You will be a strong communicator with good relationship building skills as you will deal with different teams across the business. You will support the Business Support Team, covering complex issues as calculating collateral amounts and implementing trivial communications. The role is project based and there is a lot of variety and it's the perfect springboard for a driven individual with ambitious goals. This is an exceptional career move that would offer a competitive package with an annual bonus and study support."	"London, UK"	"Finance"	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_85013/592938835"	"01/12/2018 14:32:02"	"http://www.jobserve.com/Gk5AD"	NA	NA
"Actuarial Life in the South West"	"GBP"	"United Kingdom"	"Permanent"	"Actuarial Life in the South West"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is looking to hire an ambitious actuarial candidate to join their growing team and well-respected business, in a highly commercial role with a product and propositions focus.The team offers wide-ranging roles with genuine breadth and excellent prospects, requiring an analytical mind and strong communication skills.You will have a solid academic record, and will be making progress through the actuarial exams, or have qualified as an actuary.Contact us now for more on this exciting long-term career opportunity, which offers exposure to senior stakeholders at all levels."	"United Kingdom"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5283/593978908"	"03/12/2018 17:20:16"	"http://www.jobserve.com/GlSAg"	NA	NA
