"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"category"
"Data Scientist"	"£40k - £70k per annum + excellent"	"London"	"Permanent"	"Data Scientist"	"London - £40k - £70k per annum + excellent"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Python, Machine learning, Big Data- Data Scientist - Central London Are you experienced within Data Science? Do you have experience of Machine Learning and designing and writing statistical models and algorithms? Are you always looking to improve your knowledge and skills within Data tools and techniques? This is an exceptional opportunity for YOU!We are looking for an outstanding Data Scientist for company that provides Advanced Transaction Monitoring and Client Screening technology. Their mission is to help customers automate the transaction and customer screening and monitoring processes by providing and end-to-end platform to detect compliance and money laundering risk.We are looking for someone who will work with a data science team and clients to develop cutting edge machine learning models (both unsupervised and supervised models)Essential skills required: Python experience requiredAbility to write prototypes in python (eg Django and prototyping frameworks)Data manipulation, and transformation (eg pandas, py Spark. Etc.)Develop machine learning algorithms (supervised and unsupervised) to score data to identify patternsBig data experience (eg Spark/elastic search)NLP experience Scala experience would be desirableAbility to produce prototypes aimed at proving/disproving business hypothesesAbility to present findings back to client/senior audienceIf you don't have all the skills listed above but have at least 3-4 then please still get in touch as the key point for the client is that they are looking for motivated, enthusiastic individuals who aren't afraid of learning new things. This is an exceptional opportunity to join a great company, offering the chance to work on a high level programme of work - as well as a competitive salary.To apply please send your CV for immediate consideration."	"London, UK"	"IT"	NA	"£40k - £70k per annum + excellent"	"Mortimer Spinks a trading division of Harvey Nash Plc"	"Karolina Pominkiewicz "	"JS-24784/001"	"07/12/2018 11:59:21"	"http://www.jobserve.com/Gl4xu"	"About Mortimer Spinks a trading division of Harvey Nash Plcwww.mortimerspinks.comWe're Mortimer Spinks, and we're one of the UK's leading innovator in technology recruitment. We work with the most innovative companies in the world. The majority of our customers are defined as entrepreneurial technology organisations, where technology is core to the growth of their business.Technology experts. Delivered by the experts.You can find us in London, Birmingham and Manchester.Our consultants are true experts in what they do. Which means when it comes to technology, we can give you advice on just about anything (go on - try us)."	"ASAP"	NA
"Data Scientist - Sanctions"	"£500-£550 Per Day"	"London"	"Contract"	"Data Scientist - Sanctions"	"London - £500-£550 Per Day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Data Analytics Pilot on Financial Crime Data Scientist (Sanctions) Role: Data Scientist Contract Length: Expected 12-24 Months (initially 3 months) Location: London Day Rate: £500-£550 Security Clearance: Standard security clearance process (typically 2-3 days) You can be taking part in Phase 1 of an exciting pilot project relating to financial crime, for a renowned regulatory body based out of London. You'll be a team player, working with other data scientists, as well as SMEs in financial crime and with some third-party data vendors, in order to create a customization tool to generate data, which you'll use to test sanction screening tools. You'll be working onsite with your team, with occasional visits to third-party collaborators when required. Your Skills and Experience: Data Science, Statistics and record matching skills such as: Experience with compliance databases such as BVD, Worldcheck and LegalKey etc. You'll have experience with PEPs, sanctions and negative media screening. You'll also have experience in data matching entity resolution, fuzzy matching, duplicate detection etc. Cloud computing experience Bonus Points for: A solid understanding of UK and European money laundering regulations, initiatives and directives You'll have exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. You should also have experience of collaborating with 3rd party vendors. So to find out more about this amazing opportunity, either click apply, or contact Chris Bailey today!"	"London, UK"	"IT"	"3 months"	"£500-£550 Per Day"	"Advento Staffing Ltd"	"Chris Bailey "	"JS1670"	"11/12/2018 10:14:17"	"http://www.jobserve.com/GmtL0"	NA	"No Later than 7th February 2019"	"Public Sector"
"Data Scientist - Transactions"	"£500-£550/day"	"London"	"Contract"	"Data Scientist - Transactions"	"London - £500-£550/day"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Data Analytics Pilot on Financial Crime Data Scientist (Transactions) Role: Data Scientist Contract Length: Expected 12-24 Months (initially 3 months) Location: London Day Rate: £500-£550 Security Clearance: Standard security clearance process (typically 2-3 days) You can be taking part in Phase 1 of an exciting pilot project relating to financial crime, for a renowned regulatory body based out of London. You'll be a team player, working with other data scientists, as well as SMEs in financial crime and with some third-party data vendors, in order to support the POC build of a customizable transactions data simulator, initially for creating a specific type of transaction such as payment data between retail banks. You'll be working onsite with your team, with occasional visits to third-party collaborators when required. Your Skills and Experience: Data Science and Big Data engineering skills: Python/R Agent based models Unsupervised learning models Experience with cloud computing Bonus Points for: AWS Cloud experience Experience with agent-based modelling software such as Netlogo, Mesa etc. Parallel computing Object-orientated programming You'll have had exposure to operational risk assessments as well as the identification of setting of risk indicators. You will have a strong commercial awareness of financial drivers and risk activities within banking. You should have an understanding of payment activities in banking, particularly those relating to AML and compliance. You'll have experience with transaction monitoring systems such as Actimize, Mantas and Fortent etc. You'll also have had exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. So to find out more about this amazing opportunity, either click apply, or contact Chris Bailey today!"	"London, UK"	"IT"	"3 months"	"£500-£550/day"	"Advento Staffing Ltd"	"Chris Bailey "	"JS1668"	"11/12/2018 10:13:04"	"http://www.jobserve.com/GmtKV"	NA	"No Later than 7th February 2019"	"Public Sector"
"Data Scientist"	"£55k - £65k per annum + Benefits"	"London"	"Permanent"	"Data Scientist"	"London - £55k - £65k per annum + Benefits"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"An opportunity has arisen for a talented Data Scientist to work for an Insurance specialist based in London. This is a permanent position. The role: My client is looking for a data scientist to work on innovative analytics across the business, using data mining and machine learning techniques. You will enjoy working with rich data sets, cutting-edge technology, advanced machine learning techniques, see your models used in real business applications and help shape new projects in an innovative company. Requirements: Highly analytical Ability to multi-task and prioritise activitiesThe ability to communicate the results of analyses in a clear and effective mannerPassionate about data science, machine learning and big dataPossesses both creative abilities and business knowledgeResults driven and self-motivatedSolid programming experience in either Python or R Must be innovativeGood understanding of Machine Learning/AI models If you would like to find out more information, please reach out directly (see below) McGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"London, UK"	"IT"	NA	"£55k - £65k per annum + Benefits"	"McGregor Boyall"	"Daniel Dowling "	"JS-342332234"	"07/12/2018 15:25:08"	"http://www.jobserve.com/Gl6Kl"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	"ASAP"	NA
"Data Scientist (Python) - London - 3-24 months - £575 per day"	"Up to £575 per Day"	"City of London"	"Contract"	"Data Scientist (Python) - London - 3-24 months - £575 per day"	"City of London - Up to £575 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"A government organisation based in London, E20 is looking for a Data Scientist to be part of a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. The successful candidate will support Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction (eg payment data between retail banks). Duties will include create taxononmy & database of data (internal and external) to identify firm risk and customisation tool to generate data as well as testing sanction screening tools.This will be a contract role for initially 3 months with option to extend up to 24 months, is paying up to £575 per day and will require candidates to start no later than Thursday 7th February, however looking for applications to be processed immediately - deadline for applications: Monday 24th December.In order to be suitable for this role you must proven experience in a Data Scientist/Data Analyst role as well as the following essential criteria:*Willing to undertake SC clearance*Data Science and big data engineering skills*Python/R*Agent based models*Supervised learning models*Unsupervised learning models*Experience with cloud computingAny experience of the following will be considered highly beneficial, but are not essential:*Experience with AWS cloud*Experience with agent based modelling software (eg Netlogo, Mesa, etc.)*Parallel computing*Object-orientated programming*Exposure to operational risk assessments and the identification of setting of risk indicators.*Strong commercial awareness of financial drivers and risk activities within banking.*Understanding of payment activities in banking, particularly relating to AML and compliance.*Experience with transaction monitoring systems such as Actimize, Mantas, Fortent etc.*Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements.If you would like to apply for this Data Scientist role please ensure that you include all relevant skills and experience to stand the best chance of securing an interview. Please send a WORD CV indicating reference number ASHD8522JH in the subject line of your email.The Ashdown Group Ltd acts as an employment agency in respect of permanent vacancies and as an employment business in respect of temporary vacancies."	"City of London, UK"	"IT"	"3-24 months"	"Up to £575 per Day"	"Ashdown Group"	"Jon Heard "	"JS-ASHD8522JH"	"12/12/2018 12:15:31"	"http://www.jobserve.com/Gm6Kz"	NA	"07/02/2019"	NA
"Data Scientist/Analyst ( statistics ) - London - 3-24 months"	"Up to £575 per Day"	"City of London"	"Contract"	"Data Scientist/Analyst ( statistics ) - London - 3-24 months"	"City of London - Up to £575 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"A government organisation based in London, E20 is looking for a Data Scientist/Analyst to be part of a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. The successful candidate will support the Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction, create taxononmy & database of data (internal and external) to identify firm risk and customisation tool to generate data as well as testing sanction screening toolsThis will be a contract role for initially 3 months with option to extend up to 24 months, is paying up to £575 per day and will require candidates to start no later than Thursday 7th February, however looking for applications to be processed immediately - deadline for applications: Monday 24th December.In order to be suitable for this role you must proven experience in a Data Scientist/Analyst role as well as the following essential criteria:*Willing to undertake SC clearance*Data analysis/data science, statistics and record matching skills*Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc.*Experience with PEPs, sanctions and negative media screening.*Data matching: entity resolution, fuzzy matching, duplicate detection, etc.*Cloud computingAny experience of the following will be considered highly beneficial, but are not essential:*Solid understanding of UK and European money laundering regulations, initiatives and directives*Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements.*Experience collaborating with 3rd party vendorsIf you would like to apply for this Data Analyst role please ensure that you include all relevant skills and experience to stand the best chance of securing an interview. Please send a WORD CV indicating reference number ASHD8536JH in the subject line of your email.The Ashdown Group Ltd acts as an employment agency in respect of permanent vacancies and as an employment business in respect of temporary vacancies."	"City of London, UK"	"IT"	"3-24 months"	"Up to £575 per Day"	"Ashdown Group"	"Jon Heard "	"JS-ASHD8536JH"	"12/12/2018 13:33:18"	"http://www.jobserve.com/Gm6wS"	NA	"07/02/2019"	NA
"Data Scientist - Customer Facing"	"£60k - 110k per year"	"London"	"Permanent"	"Data Scientist - Customer Facing"	"London - £60k - 110k per year"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"One of the most exciting specialist data science consultancies with offices across the globe are looking for a Data Scientist to join their team in London. The role will be a customer facing role but with a large technical aspect, therefore they will be looking for a data scientist from a strong technical background with exceptional communication skills. There will be an element of travel that comes with this role.The company is scaling up substantially and are extremely ambitious so now is a great time to get involved as they transition from start-up to globalleader.Essential skills:MSc or PhD in Computer Science, Machine Learning or similar quantitative field (a PhD is highly beneficial)A minimum of 2+ years experience in a commercial data scientist positionExceptional communication skillsWorking knowledge of Python or R (knowledge of both is preferred)Experience with a variety of machine learning techniquesStrong knowledge of predictive analyticsExperience working in a customer facing data scientist position is highly beneficial but not essential for this position.Unfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £110,000 per annum Dependent on experience and they are looking to get the successful candidate started ASAP with interviews starting immediately. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke for further details."	"London, UK"	"IT"	"permanent"	"£60k - 110k per year"	"X4 Group"	"Luke Tomaszko "	"JSCFDS"	"07/12/2018 16:33:35"	"http://www.jobserve.com/Gl6o3"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA	"Executive"
"Data Scientist - AdTech - London"	"£50k - £75k per annum"	"London"	"Permanent"	"Data Scientist - AdTech - London"	"London - £50k - £75k per annum"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Twenty are currently working with a fast-growing and data-driven Ad-Tech company that is looking for a Data Scientist to join their product strategy team.You will be working alongside the client's software development team, which specialises in digital asset management systems used to support it's clients throughout the Marketing and Advertising industry. Within this role, you will be expected to use your knowledge of AI and machine learning to research, analyse, prototype and build models and business cases for new data-focused product features that will prove complementary to existing products.Key Role ResponsibilitiesResearch AI and Machine learning technologies and apply solutions to the clients applicationsPrototype new AI, Machine Learning models and anomaly detection systemsBuild and validate business cases for AI and machine learning solutionsWork with Product Development team to test and deploy prototypesData Mining using state-of-the-art methods, extending the client's data with third party sources while ensuring the integrity of said dataRequired CompetenciesBSc in Mathematics, Physics, Computer Science or a similar discipline, or proven experience in similar roleExperience with programming within data science tool-kits such as R Python, Java and/or MatlabProficiency querying with programs such as SQLGood statistical understanding of machine learning techniques and algorithmsGreat communication skillsPlease get in touch if you believe you would be a great fit for the role!"	"London, UK"	"IT"	NA	"£50k - £75k per annum"	"Twenty Recruitment Group"	"James Robson "	"JS-BBBH20308"	"13/12/2018 11:10:26"	"http://www.jobserve.com/GnJDE"	NA	"ASAP"	NA
"Data Scientist"	"£350/Day"	"London, E20 1JN"	"Contract"	"Data Scientist"	"London, E20 1JN - £350/Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	" The FCA is running a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime.  This role is for a Data Scientist to create a customisable tool to generate data with which to test sanctions screening tools.  Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing Nice-to-have skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London, E20 1JN, UK"	"IT"	"12-24 months (initially 3 months)"	"£350/Day"	"Mars Spiders"	"Vladislav Kutas"	"JSFCA-DATA SCIENTIST (SANCTIONS)"	"12/12/2018 19:57:10"	"http://www.jobserve.com/GnCsT"	NA	"7 February 2019"	"Public Sector"
"Data scientist"	"350£/Day"	"Endeavour Square, London"	"Contract"	"Data scientist"	"Endeavour Square, London - 350£/Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	" The FCA is running a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. This role is for a Data Scientist to support Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction (eg payment data between retail banks).  Essential skills and experience Our expectation is that the transaction monitoring workstream will require Data Science and big data engineering skills: Python/R Agent based models Supervised learning models Unsupervised learning models Experience with cloud computing Nice-to-have skills and experience Our expectation is that the transaction monitoring workstream will require Data Science and big data engineering skills Experience with AWS cloud Experience with agent based modelling software (eg Netlogo, Mesa, etc.) Parallel computing Object-orientated programming Exposure to operational risk assessments and the identification of setting of risk indicators. Strong commercial awareness of financial drivers and risk activities within banking. Understanding of payment activities in banking, particularly relating to AML and compliance. Experience with transaction monitoring systems such as Actimize, Mantas, Fortent etc. Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. "	"Endeavour Square, London, UK"	"IT"	"12-24 months (initially 3 months)"	"350£/Day"	"Mars Spiders"	"Vladislav Kutas"	"JS - FCA - DATA SCIENTIST (TRANSACTIONS)"	"12/12/2018 20:05:22"	"http://www.jobserve.com/GnCyR"	NA	"7 February 2019"	NA
"Data Scientist"	"£475 - £555 per Day"	"London"	"Contract"	"Data Scientist"	"London - £475 - £555 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About The Data Science CompanyThe organisation is an established digital marketing agency who operate deep within the social, mobile, retail, brand development and creative space. They are now on a journey to build out their Data Science team with this new Data Scientist not only adding commercial value to this market leader, but also helping steer their business consulting offering. They are conveniently located in the heart of London and well placed for an all zone travel commute, offering a collaborative working atmosphere in spacious open plan designed offices, which will make you feel truly part of this multinational. This company is a pioneer within their field and is invested in the importance of their Data Science and the benefit it will bring to their business model. Reporting to the Head of Data, the successful Data Scientist will combine creativity with the power of disruptive technology to give this client's customer base a competitive advantage. About The Data Scientist RoleWith a passion to solve Real Time business problems, as a client facing Data Scientist you will not only have the passion and desire to listen to their customers analytical issues, but will also possess the skills and innovative knowhow to solve them. Strong communication skills are therefore a must for this Data Scientist as you will be presenting your findings to customer owners, stakeholders and business leaders. The strength to educate with passion and energy is also a must as you will be ultimately representing my client in your role as their Data Scientist.At the heart of this Data Science role will be the need for you to dig deep into your previous software engineering background, building the models that will create the answers that the customer at this point just doesn't have. About The Successful Data ScientistThe ideal candidate should have:MSc or Bachelor in a computing field4+ years of professional hands-on experience with handling large sets of data - structured and unstructured.Developed new data platforms and maintain existing softwareDesigned data ETL architectures, databases and data lakesBuilt systems for ingesting data through web-based APIs and web scrapingExcellent Python, SQL and Bash knowledgeExperience with PostgreSQLExperience with designing data lakes within AWS S3 and have general experience with AWS cloud services.Experience with the following technologies: Docker Containers and Compose, Nginx, Redis, RabbitMQIdeally worked with online APIs of social channels such as Facebook, Instagram, Twitter and LinkedIn.Worked with Atlassian Jira and ConfluenceExperience with Javascript and Async/Await design patternsKnowledge around big data processing technologies such as: Apache Kafka, Spark, Hadoop and HiveExperience with Kubernetes and GCP for container deployment and scalingMachine learning experience with SKLearn and TensorFlowAdditional Competencies of the Data Scientist:Be familiar with Microservices based software architecture design patterns.Be comfortable with extracting data through web scraping by using libraries such as BS4 and SeleniumBe comfortable with the following data science stack: Pandas, Numpy, Scipy, Jupyter NotebooksBe comfortable with the following web development stack: Flask, SQLAlchemy, Celery, Requests, Psycopg2, Boto3Be familiar with scheduling tools such as Airflow or LuigiKnowledge of NLP and experience with Spacy, Gensim and NLTKFor more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT"	"6 months"	"£475 - £555 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1206"	"10/12/2018 11:03:52"	"http://www.jobserve.com/GmhTn"	NA	"ASAP"	NA
"Data Scientist - Transactions"	"DOE"	"London with travel"	"Contract"	"Data Scientist - Transactions"	"London with travel - DOE"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About us M4, a Solutions Delivery Practice, is a forward thinking and fast-growing SME with an established UK client base. For our next project, we require the services of an experienced and Data Scientist with experience within UK public sector organisations. About you You will be ready to quickly get to work engaging with the wider Infrastructure Product Group team, (DevOps Lead, DevOps engineers, team manager, and SecOps engineers) to support and maintain an AWS cloud estate and enforce best practice security principles to manage risk.  You will specialise in automating security controls in an enterprise environment. Responsibilities Platform improvement and optimisation Incident management On-call duties  Essential skills and experience 3+ years RedHat Enterprise Linux experience, or RHCE certified RHEL7 2+ years' experience with SELinux 3+ years enterprise securing AWS for large enterprises, or AWS Certified Security 3+ years Chef/Ansible/Puppet Scripting experience, or software development background in Ruby/Python 3+ years as a security analyst managing security incidents in cloud estates 2+ years as a security architect design and implementing security solutions Experience using monitoring tools (Splunk, DataDog, Qualys) Experience in security hardening IaaS and PaaS Proven experience of implementing cloud security best practices Experience using dev tools (Git, Jenkins, Nexus) Experience in architecting an immutable CI/CD pipeline with audit trails ITIL Foundation certified "	"London with travel, UK"	"IT"	"3 months with possibility of extension"	"DOE"	"M4 Managed Services International Ltd"	"Careers Team"	"JSDST1218"	"10/12/2018 17:29:39"	"http://www.jobserve.com/Gmkvw"	NA	"2 months"	"Public Sector"
"Data Scientist - Sanctions"	"Negotiable"	"London with travel"	"Contract"	"Data Scientist - Sanctions"	"London with travel - Negotiable"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About us M4, a Solutions Delivery Practice, is a forward thinking and fast-growing SME with an established UK client base. For our next project, we require the services of an experienced and Data Scientist with experience within UK public sector organisations. About you You will be an analytically minded individual, with experience of compliance databases (BVD, Wordcheck, LegalKey etc.). You will be a team-player, with experience collaborating between company and third-party suppliers. You will be a strong communicator, who is able to share knowledge and experience with other team members. Responsibilities You will create a customisable tool to generate data with which to test sanctions screening tools Working with FCA Data Scientists, with SMEs in financial crime as well as third party data vendors/collaborators Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing "	"London with travel, UK"	"IT"	"3 months with option to extend"	"Negotiable"	"M4 Managed Services International Ltd"	"Careers Team"	"JSDSS1218"	"10/12/2018 17:45:42"	"http://www.jobserve.com/Gmk19"	NA	"2 months"	"Public Sector"
"Data Scientist"	"£Competitive"	"London (Central)"	"Contract"	"Data Scientist"	"London (Central) - £Competitive"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Summary of the work  Phase 1 = 3 pilot projects relating to financial crime: Support Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction. Create taxononmy & database of data (internal and external) to identify firm risk. Customisation tool to generate data, testing sanction screening tools. Latest start date  Thursday 7 February 2019 Expected contract length  12-24 months (initially 3 months) Location  London Who the specialist will work with  Working with the customer's Data Scientists, with SMEs in financial crime and with some third party data vendors/collaborators What the specialist will work on  The customer is running a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. This role is for a Data Scientist to create a customisable tool to generate data with which to test sanctions screening tools Address where the work will take place  London, E20 Working arrangements  Team will be expected to work on-site using IT with occasional visits to third party collaborators where required. Work day is 7 hours (excluding 1 hour lunch break) no weekend work is required. The customer does not pay expenses unless in exceptional circumstances and only in so far as it aligns with the customers employee expenses policy. Security clearance  Standard customer security clearance process (typically 2-3 days) Additional terms and conditions The customer are currently seeking resource for Phase 1 which is expected to last 3 months. The expectation is that Phase 1 resources will be available for Phase 2 and any further phases as approved by the customer. Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills:Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing Nice-to-have skills and experience  Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London (Central), UK"	"IT"	"3 months +"	"£Competitive"	"Lucid Support Services Ltd"	"Resource Team "	"JS10138"	"10/12/2018 17:52:54"	"http://www.jobserve.com/Gmk3i"	NA	"Immediately"	NA
"Data Scientist - Consumer Insights"	""	"London"	"Permanent"	"Data Scientist - Consumer Insights"	"London"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Why is our Insights team the next step for you?Worldpay are undergoing an exciting period of change, and you'll be joining a dynamic and innovative team who commercialise Worldpay UK's data and develop new consumer insights propositions for our business customers . You'll be working directly under our Head of Insight Services, so we'll want you to really take ownership of new models for customer analyses and ways of productising our data.Your input into this team could help improve the consumer experience for millions of high street shoppers across the UK!How will you add value on a day-to-day basis?As the sole Data Scientist in the team, you'll take the lead on developing and testing data-driven products to take to market that help Worldpay's customers understand their consumers better and make smarter, data-driven decisions.You'll work with large volumes of payments data to develop industry leading models that harness statistical and machine learning techniques and explore targeted opportunities to enrich these capabilities with data from third parties.As the owner of these models, you'll ensure that they are production ready and liaise with stakeholders within the business to ensure they deliver for customers and achieve Worldpay's commercial goals.What will make you the ideal candidate?You'll have an analytical and statistical background, with strong technical skills in SQL, R and Python. You will have a degree in a numerate subject and a minimum of 2 years of customer facing and commercial experience working with different Datamodelling techniques eg cluster analysis, decision trees, regression and propensity modelling.Possessing a passion for data, you will love turning large, transactional datasets into meaningful commercial insights and will be adept at interpreting inter-related trends, patterns and data-points to solve pressing business challenges.By adopting a consultative approach, you'll thrive in a fast-paced, agile environment where you are expected to deliver actionable recommendations to commercial stakeholders and explain complex technical concepts in a way that is easy to understand.How is Worldpay changing the world?Worldpay has merged with Vantiv Inc. to create a global leader in payments. The new Worldpay has the scale, reach and resources to take our success story to another level. This move allows us to expand further into high growth markets, deliver innovation at scale and above all, brings together exceptional talent and a shared passion that will help propel us forward to the next chapter of our collective story.Our technology enables billions of payments to be made each year whether online or in person. Working with customers large and small we help them to take payments quickly, safely and reliably, allowing them to grow their businesses and making your life more convenient in the process. "	"London, UK"	"IT"	NA	NA	"Worldpay"	"Worldpay"	"JS3583_A0K5800000TFHXUEA3/587223485"	"11/12/2018 18:30:05"	"http://www.jobserve.com/GjjT2"	NA	NA	NA
