"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"category"
"Software Engineer (DevOps)"	"£425 - £475 per Day"	"London"	"Contract"	"Software Engineer (DevOps)"	"London - £425 - £475 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Software Engineer - DevOpsOur client, a market leading financial services organisation require a software engineer (DevOps). You will be part of a team developing and supporting a critical financial application hosted in Amazon Web Services (AWS). This involves working on changes from a number of global business units and ensuring that changes meet the needs of each of them. The team you will be working in are responsible for:Bringing together and driving solutions for Finance Systems and Data Warehousing across the UK Businesses.Driving platform stability, integrity and security for our customers through robust operational discipline.Ensuring that platform change and engagement is simple, fast and cost effective by building world class engineering capability, enabling us to Defy Uncertainty for our customers at pace.Ensuring that the platforms remain highly competitive and cost optimised by driving simplification in all aspects, strong partnerships and a culture of innovation and agile working.Duties & ResponsibilitiesResponsible for deploying, automating, maintaining, troubleshooting and improving the systems that keep the Back End infrastructure running smoothly.ensuring the security, performance, monitoring and design integrity of data and the underlying infrastructure;Building close working relationships with Business customers as well as internal and external service providers to ensure continuity of Business and application serviceContributing to the shaping of technical standards and guidelines whilst ensuring a consistent Cloud DevOps approach is applied across the Actuarial Modelling Platform.Providing input to inform the shaping of new projects and initiatives, assessing the impact of initiatives or projects on systems/applications.Key Skills & Experience experience of working in a DevOps teamCloud (ideally AWS) operational experienceSignificant experience of to Powershell and Windows ScriptingSignificant experience of pipeline tools including Packer, GIT/Stash, Puppet and Terraform.Experience with Jenkins and/or automated build systems/processes.Exposure to Cloud computing, particularly AWS."	"London, UK"	"IT"	"6 months"	"£425 - £475 per Day"	"Sanderson Recruitment Plc"	"Charlie Allen"	"JS-N1Q894BG"	"28/11/2018 10:26:26"	"http://www.jobserve.com/GkWs1"	"ASAP"	NA
"Business Systems Analyst - Insurance, Reinsurance, MI"	"£70k - £75k per annum + Bonus + Benefits"	"London"	"Permanent"	"Business Systems Analyst - Insurance, Reinsurance, MI"	"London - £70k - £75k per annum + Bonus + Benefits"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Business Systems Analyst - Insurance, Reinsurance, MI, Insurance Applications & ACORDPermanentLondon£70,000 - £75,000 + Bonus + Benefits.This is a great opportunity to join a collaborative department within the reinsurance space. The team uses cutting edge technology and has a great work ethic.Working as a member of the European Technology Services team, provide application support and maintenance for my client's European reinsurance business applications and services. This includes assisting with the development, implementation and support of new applications and enhancements.Main Responsibilities:Plan, coordinate and manage the implementation of new and existing reinsurance applications namely Galaxy and IRIS applications respectively. This includes defining, setting up, configuring, performing systems testing, assisting user testing and training for any such application.Analyse and translate my client's business requirements into highly specified systems requirements.Ensure that all application change requests are processed according to Technology Services' Change Request procedures and compliant with any Group requirements.Support and maintain my clients electronic messaging systems used for its London market bureau processing functions and play a key role in the development and implementation of its new ACORD messaging solutions. A good understanding and knowledge of ACORD messaging is preferable, but we will consider candidates without Acord for this position.Develop and maintain data-sets used for MI and User reporting including exporting/importing data from/to other applications and Data Warehouses.Ensure Information Management budgets are adhered to and deadlines are met using good project management skills. Communicate project status in a timely and efficient manner to the business, including project sponsors and owners.Provide application user support and training.Work Duties:To develop, maintain and provide primary support for Galaxy and IRIS applications relating primarily to its reinsurance business. Provide additional support, as necessary, to insurance applications.Assist in the ongoing migration of IRIS environments to the new Galaxy system. Assist in the development and support of the new Global reinsurance application, Galaxy.Provide technical support to reinsurance and if necessary, its insurance applications.Plan, perform (including testing) and project manage upgrades to the above applications, as required.Specify, write (where appropriate), verify and test programs, scripts or other programmable modules based on user requirements or business rules. This includes the production of data-sets used for MI and User reporting requirements, eg using SQL, Power BI or other reporting tool.Liaise with external software service providers regarding the implementation of new application systems, reporting of software faults and monitoring their progress to satisfactory resolution.Evaluate current application functionality and reporting systems and determine what changes are required to meet new user requirements.Ensure that all work follows appropriate standards and conforms to all regulatory compliance procedures set down by my client.Liaise and work closely with Technology Services staff of all levels throughout my client's offices, primarily being London, New Jersey and Dublin.Experience Required:A minimum of 5 years' experience working as a business analyst in the re/insurance industry combined with a solid understanding of underwriting, claims, accounting and actuarial functions.Experience of one or more re/insurance applications (such as IRIS, Genius, Xuber, SICS, AdvantageGo, Sequel or an in-house equivalent).Electronic messaging ie ACORD standards and solutions experience, and knowledge would be nice to have.A good understanding and knowledge of Microsoft Power BI or similar business analytics software/services.Excellent communication skills - ability to comfortably communicate with both technical and non-technical people at all levels.Relevant degree in Computer Science or equivalent.Business Systems Analyst - Insurance, Reinsurance, MI, Insurance Applications & ACORDPermanentLondon£70,000 - £75,000 + Bonus + Benefits.This is a great opportunity to join a collaborative department within the reinsurance space. The team uses cutting edge technology and has a great work ethic."	"London, UK"	"IT, Finance"	NA	"£70k - £75k per annum + Bonus + Benefits"	"i3 Resourcing"	"John Melrose "	"JS-JM/EBSA/I3"	"04/12/2018 08:51:13"	"http://www.jobserve.com/GlYMh"	NA	NA
"Proposition Manager - Pensions"	"£53803 - £80704 per annum"	"Wilmslow, Cheshire"	"Permanent"	"Proposition Manager - Pensions"	"Wilmslow, Cheshire - £53803 - £80704 per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Proposition Manager - Pensions Salary: £53,803-80,704Benefits: 28 days Holiday + Bank Holidays, Pension & Annual Bonus The Royal London Legacy Division is responsible for delivering exceptional customer outcomes to approximately 6 million policy holders across 500 products.We are seeking a dynamic and experienced senior manager to join the division to manage the product life cycle within our suite of pension propositions. The key purpose of the role is to ensure that the pension Legacy propositions deliver great customer outcomes and superior value for money.Reporting to the Head of Propositions, the role will also support the executive team in delivering the key objectives of the business. This includes supporting strategic business programmes, identifying opportunities to add value to the Legacy book and shaping and delivering agendas to achieve operational efficiencies.Responsibilities also include: Shaping and delivering against a clear, risk based proposition review plan in line with risk appetite presenting to the Divisional Executive Committee and Group Customer Standards CommitteesOperating within a robust risk, control and governance regime to facilitate the robust oversight of propositions;Ensuring propositions are legal and regulatory compliant in a continually changing environment by operating an effective framework of people, processes and systems in which we can monitor, influence, oversee and deliver all regulatory and legislative changeManaging a large part of the Legacy Division existing range of products (pensions policies circa 2.5m across Royal London, CIS, Royal Liver and PLAL), in line with Royal London's operating model, risk management standards and efficiency targetsOverseeing a full control framework for the product portfolio, ensuring risks are managed/mitigated in line with Group risk appetite and ensuring propositions deliver great customer outcomesProviding oversight of the Pensions portfolio projects to ensure all changes are delivered to time, budget & quality - this will include overseeing outsourcers projectsProvide Pensions product expertise and deep market understanding collaborating with and influencing internal stakeholders including actuarial, customer service, legal, risk and compliance functions within Royal London, as well as external regulators and other stakeholdersDeliver key performance metrics and enhance the value of existing productsResponsible for overseeing the regular review of pensions propositions ensuring all outcomes are in line with customer promises, expectations and terms and conditions and with regulatory requirementsSkills, qualifications and experience: Experience in managing Pensions productsStrong understanding of Pensions regulatory and legislative framework including HMRC, FCA (including COBs), tPR, FRC as well as ABI Codes as appropriateExperience in operating governance and controls in line with risk appetite and regulatory requirementsBusiness process design experience and ability to oversee complex change projectsAbility to increase efficiency and effectiveness of existing processes, setting realistic but stretching targetsNoneRoyal London is an equal opportunities employer. We work hard to attract the best talent for our award-winning team. We believe that embracing difference makes us stronger. Our diverse people bring us different skills - whatever their educational background, disability, gender, age, sexual orientation, race, religion or belief. We will consider flexible working arrangements for all our roles. We also welcome applications from individuals who have taken an extended career break.To apply, please use the 'Apply Online' link below.For any further queries regarding the role, please contact Doug Gear on (see below) "	"Wilmslow, Cheshire, UK"	"Finance"	NA	"£53803 - £80704 per annum"	"Resource Management"	"Resource Management ltd"	"JS-R02968"	"03/12/2018 08:55:59"	"http://www.jobserve.com/GlLlP"	NA	NA
"Actuary - Financial Risk"	"£68,750 - £71,530 per annum"	"Croydon"	"Permanent"	"Actuary - Financial Risk"	"Croydon - £68,750 - £71,530 per annum"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Actuary - Financial Risk £68,750 - £71,530 per annum Croydon Our client is looking for a Qualified Actuary to join their team on a permanent basis. The Actuary will support the provision of actuarial advice to PPF's Board by carrying out a range of actuarial, quantitative finance or modelling processes. Typical responsibilities include calculating results from their actuarial models, drafting appropriate technical responses using suitable methodology to recommend to senior stakeholders and implementing process changes and improvements. You will need to demonstrate a strong numerical and analytical skill set within the insurance or pensions industry, and be used to dealing with risk modelling in Excel. They expect you to be a strong-team player that is able to manage conflicting priorities to tight deadlines. This role gives you the opportunity for you learn to new skills in a fast-paced financial services environment. Sound like you? Apply now. Now is a really exciting time for them. They've got big plans for 2019, and beyond, and they'd love you to join them. Our client is an Equal Opportunities employer and welcomes applications from all sections of the community. No agencies please. "	"Croydon, UK"	"Finance"	NA	"£68,750 - £71,530 per annum"	"Networx"	"claire Smith"	"JSNTXBE369776/592611091"	"01/12/2018 11:07:37"	"http://www.jobserve.com/Gkzw6"	NA	NA
"Actuary - Financial Risk"	"£68,750 - £71,530 per annum GBP"	"Croydon"	"Permanent"	"Actuary - Financial Risk"	"Croydon - £68,750 - £71,530 per annum GBP"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Actuary - Financial Risk £68,750 - £71,530 per annum Croydon Our client is looking for a Qualified Actuary to join their team on a permanent basis. The Actuary will support the provision of actuarial advice to PPF's Board by carrying out a range of actuarial, quantitative finance or modelling processes. Typical responsibilities include calculating results from their actuarial models, drafting appropriate technical responses using suitable methodology to recommend to senior stakeholders and implementing process changes and improvements. You will need to demonstrate a strong numerical and analytical skill set within the insurance or pensions industry, and be used to dealing with risk modelling in Excel. They expect you to be a strong-team player that is able to manage conflicting priorities to tight deadlines. This role gives you the opportunity for you learn to new skills in a fast-paced financial services environment. Sound like you? Apply now. Now is a really exciting time for them. They've got big plans for 2019, and beyond, and they'd love you to join them. Our client is an Equal Opportunities employer and welcomes applications from all sections of the community. No agencies please."	"Croydon, UK"	"Finance"	NA	"£68,750 - £71,530 per annum GBP"	"Networx"	"claire smith"	"JSNTXYB363713/571319047"	"28/11/2018 09:44:00"	"http://www.jobserve.com/GkWP1"	NA	NA
"Actuarial Life Advisor"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Life Advisor"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is seeking a part-qualified life actuary to assist in the delivery of a wide range of client engagements, providing technical input to a number of projects.With strong Excel and VBA skills, the successful candidate will possess a detailed knowledge of UK reporting methodologies, eg UK GAAP, IFRS, FSA Returns.You will also have knowledge of Economic Capital and experience of modelling capital projects, alongside knowledge of Market Consistent Embedded Value techniques.Modelling skills (eg Prophet, MoSes, VBA) are essential.An excellent opportunity to develop your career in a client-facing role within a genuine market-leader."	"Edinburgh, Scotland, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR3877/593978571"	"03/12/2018 18:14:37"	"http://www.jobserve.com/GlSmO"	NA	NA
"Actuarial Non-life Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Actuarial Non-life Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Seeking a part-qualified GI actuary to join a leading firm where you will play a key role in supporting the design, establishment and embedding of a strong capital management and reporting framework.With strong verbal communication and interpersonal skills, the successful candidate will great problem-solving skills with a creative mind and desire to drive change and innovate.Generous actuarial study package on offer."	"United Kingdom"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5018/593978707"	"03/12/2018 14:14:50"	"http://www.jobserve.com/GlPxU"	NA	NA
"Actuarial Graduate"	"26k Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Graduate"	"Norwich, Norfolk - 26k Annual GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Are you a strategic thinker that loves to tackle problems? Do you have a passion for maths? Do you want to work for the UK largest insurer, who will support you to gain further qualifications? If so, why not follow in the footsteps of our previous Actuarial Graduate Scheme Trainees and your hard work could see..... click apply for full job details "	"Norwich, Norfolk, UK"	"Finance"	NA	"26k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-73689/592931014"	"03/12/2018 17:21:08"	"http://www.jobserve.com/GlSBW"	NA	"Graduate"
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects.Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials.You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management. Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements.In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4406/593978591"	"03/12/2018 15:12:04"	"http://www.jobserve.com/GlQXM"	NA	NA
"Actuarial Life in the South West"	"GBP"	"South West, United Kingdom"	"Permanent"	"Actuarial Life in the South West"	"South West, United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is looking to hire an ambitious actuarial candidate to join their growing team and well-respected business, in a highly commercial role with a product and propositions focus.The team offers wide-ranging roles with genuine breadth and excellent prospects, requiring an analytical mind and strong communication skills.You will have a solid academic record, and will be making progress through the actuarial exams, or have qualified as an actuary."	"South West, United Kingdom"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5283/593978908"	"03/12/2018 17:20:16"	"http://www.jobserve.com/GlSAg"	NA	NA
"Pricing Actuary - Life"	"GBP"	"London"	"Permanent"	"Pricing Actuary - Life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is seeking a qualified life actuary with project management experience to propose appropriate pricing assumptions and oversee the production of reinsurance premium rates.Managing the process of compiling a tender response for specific quotes, you will ensure that risks taken by our client are fully understood, appropriately priced and carefully documented.You will also respond to ad-hoc client pricing queries and formulate reinsurance solutions tailored to their specific needs.In addition, you will take ownership of allocated projects, including testing new pricing assumptions, adding new features to pricing models and analysing claims experience.The successful candidate will possess strong IT skills with a good understanding of MS Excel & Access and experience of at least one actuarial modelling package.The ability to write and maintain code in VBA or similar language would be an advantage.A fantastic opportunity to develop your career within a leading-edge firm."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4900/593978672"	"03/12/2018 15:12:25"	"http://www.jobserve.com/GlQXd"	NA	NA
"Capital Actuary - Non-life"	"GBP"	"United Kingdom"	"Permanent"	"Capital Actuary - Non-life"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified or qualified non-life actuary with a good working knowledge of capital modelling concepts to assist with the delivery of regulatory capital requirements at Group and solo entity levels for reporting purposes using standard formula.In this excellent career-development opportunity, you will assist with the production of the risk and capital analysis to help key decisions across the organisation eg business planning, reinsurance strategy and dividends.You will also assist the build and continued improvement of the internal model in readiness for IMAP including deonstrating an understanding of the origins and reasonableness of the data used and parameterisation of the inputs.In addition, you will perform testing on model outputs to ensure appropriateness of model calibration alongside stress and sensitivity testing whilst producing Model documentation.You will be an experienced user of General Insurance capital modelling software (eg Igloo, Remetrica)."	"United Kingdom"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5077/593978728"	"03/12/2018 15:18:12"	"http://www.jobserve.com/GlQbd"	NA	NA
"South Coast Actuarial Life"	"GBP"	"United Kingdom"	"Permanent"	"South Coast Actuarial Life"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Take the next step in your actuarial career and join a nimble and growing business in this role focused on supporting the delivery of key reporting metrics to the business.While being supported with studying for the actuarial qualification, you will also have involvement and input into projects across other areas exciting areas of work.Knowledge and experience of Solvency II and IFRS will be helpful, whilst strong abilities in Excel and Word are a must. Any SQL and coding knowledge would be an advantage."	"United Kingdom"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5107/593978747"	"03/12/2018 15:19:37"	"http://www.jobserve.com/GlQcZ"	NA	NA
"Senior Actuarial Audit Manager - Life"	"£ excellent + bonus + benefits GBP"	"London"	"Permanent"	"Senior Actuarial Audit Manager - Life"	"London - £ excellent + bonus + benefits GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Major insurer has a fantastic opportunity for a qualified life actuary to deploy a cutting-edge, quarterly, risk-based audit plan, ensuring that the plan focuses audit activity on key areas of most significant business risk.  Monitoring and anticipating regulatory and business change, you will assess the potential impact and instigate exceptional audits as required.  You will also support the ongoing development of audit methodology and approach in respect of model error risk. With detailed knowledge of life and pensions insurance products throughout their life cycle, the successful candidate will possess a demonstrable understanding of risk management principles and practices. Strong leadership, interpersonal, communication and negotiation skills also essential. An excellent career opportunity within a market-leader. We are very happy to perform bespoke research on your behalf."	"London, UK"	"Finance"	NA	"£ excellent + bonus + benefits GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS3562_197373/592930859"	"02/12/2018 07:14:06"	"http://www.jobserve.com/GlCct"	NA	NA
"Senior Actuarial Systems Analyst - Model Development"	"GBP"	"London"	"Permanent"	"Senior Actuarial Systems Analyst - Model Development"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Fairbank Partners are assisting a leading UK life insurer with their search for a Senior Actuarial Systems Analyst. The Opportunity: Opportunity to work with a rapidly growing, fast-paced Insurer. Ability to work on model development projects across capital, reporting, modelling, pricing and reinsurance. Excellent opportunity to develop specialist modelling and systems skills. Study support towards actuarial exams given as well as a full mentoring program from an experienced actuary. Ideal candidate: Experience in Excel, VBA and SQL. Experience working with an actuarial system or software (Prophet, MoSes, RAFM) Part qualified actuary Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency.  "	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_83960/594974302"	"03/12/2018 16:40:11"	"http://www.jobserve.com/GlRf9"	NA	NA
"Capital Modelling Actuary - Non-life"	"GBP"	"London"	"Permanent"	"Capital Modelling Actuary - Non-life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Specialist insurer and provider of innovative risk solutions has a fantastic vacancy for a part-qualified or qualified GI actuary with exposure to capital modelling in the London Market to assist the development, delivery and operation of the Capital Model. In this exciting career opportunity, you will assist the embedding of model uses across the business in particular with the risk management framework, business planning and reinsurance purchase.In addition, you will contribute to the quarterly and year-end actuarial reserving reviews as required, whilst producing and assisting in presenting reserving summaries.Excellent interpersonal and written communication skills are essential; technical programming skills (eg Igloo) would be beneficial."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	NA	"JSSTAR5208/593978832"	"03/12/2018 15:09:03"	"http://www.jobserve.com/GlQU1"	NA	NA
"Financial Reporting - Actuarial Assistant Manager"	""	"Bristol"	"Permanent"	"Financial Reporting - Actuarial Assistant Manager"	"Bristol"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"If you are a part-qualified or qualified life actuary with experience of IFRS and SII reporting, then this is an excellent opportunity to join a major insurer, supporting the completion of IFRS and SII reporting on a monthly, quarterly and annual basis. Good interpersonal skills, and the ability to work collaboratively are essential. "	"Bristol, UK"	"Finance"	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82418/592939175"	"03/12/2018 15:18:32"	"http://www.jobserve.com/GlQbo"	NA	NA
"Pricing and Reserving Actuary - Non-life"	"GBP"	"London"	"Permanent"	"Pricing and Reserving Actuary - Non-life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Seeking a qualified actuary with European language skills, experience of a variety of business lines and knowledge of exposure and experience-based pricing methods to take up a pricing and reserving role within a growing team.You will have strategic understanding, along with a a customer focus and will use your communication skills to form strong relationships with both the underwriting teams and clients. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5302/593978928"	"03/12/2018 15:08:16"	"http://www.jobserve.com/GlQUI"	NA	NA
"CONTRACT: R&D Actuary - Life/Pensions"	""	"London"	"Permanent"	"CONTRACT: R&D Actuary - Life/Pensions"	"London"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading reinsurer is seeking a part-qualified or qualified life actuarial contractor to assist in the development of longevity and demographic Terms of Trade through analysis of experience data.In this key role, you will assist in finalising the development and testing of an internal postcode longevity model, customising its use for the pricing of longevity swaps for UK DB pensions schemes.In addition, you will assist in developing a new model for pricing pensions scheme demographic risks.Demonstrable experience of pricing or valuing longevity business within a consultancy, reinsurer or life office environment is essential.Experience of actuarial techniques such as Generalised Linear Models and Survival Models would be desirable."	"London, UK"	"Finance"	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5103/593978744"	"03/12/2018 10:50:54"	"http://www.jobserve.com/GlNan"	NA	NA
"Senior Pricing Manager - Life Reinsurance"	"GBP"	"London"	"Permanent"	"Senior Pricing Manager - Life Reinsurance"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial are currently representing a brand new opportunity for a qualified life actuary with knowledge of the reinsurance market to price new and existing insurance business to push profit and growth whilst minimising risk.In this exciting career-development opportunity, you will ensure the pricing process is efficient and robust by recommending and delivering developments to the process as necessary.You will also develop new distribution and new products by providing pricing expertise and any additional actuarial support as required.In addition, you will build and manage relationships with reinsurers, working across all business areas across the Protection business in order to negotiate and implement reinsurance treaties for new and existing business.A detailed understanding of actuarial techniques for pricing long term insurance products is essential, whilst detailed understanding of the Protection business, including underwriting and claims, would be ideal.Prophet & SAS experience would be beneficial."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5040/593978711"	"03/12/2018 15:15:00"	"http://www.jobserve.com/GlQZI"	NA	NA
"Non-life Leader"	""	"London"	"Permanent"	"Non-life Leader"	"London"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial is currently working with a leading consultancy in the search for a qualified non-life actuary with strong project and people management skills to lead client engagement teams, working as part of a multi-disciplinary team.Providing a high-quality advisory service to clients, you will build and maintain strong relationships with both new and existing clients.In addition, you will contribute to high quality thought leadership whilst contributing to the development of new products and services.With strong technical and communication skills, the successful candidate will have the ability to develop productive relationships that bring in business."	"London, UK"	"Finance"	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4572/593978620"	"03/12/2018 15:10:52"	"http://www.jobserve.com/GlQWS"	NA	NA
"Senior Risk Manager"	"£ excellent GBP"	"London"	"Permanent"	"Senior Risk Manager"	"London - £ excellent GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Star Actuarial is currently working alongside a major international consultancy in the search for a Senior Insurance Risk Manager with a hands-on understanding of how risk is managed within insurance companies to support the delivery of client engagements. The successful candidate will have a detailed understanding of the processes and techniques used in insurance risk management such as risk appetite, risk reporting, risk governance and Stress Testing and Scenario Analysis You will also have demonstrable experience of team management as well as being able to build and maintain strong relationships with both new and existing insurance clients."	"London, UK"	"Finance"	NA	"£ excellent GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS3562_197431/592930822"	"01/12/2018 14:17:15"	"http://www.jobserve.com/Gk4mU"	NA	NA
"Non-life Pricing Contractor"	"GBP"	"London"	"Permanent"	"Non-life Pricing Contractor"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is seeking a qualified non-life actuarial contractor to support the launch of several IFRS17-related projects with respect to pricing platform development and portfolio profitability matrices. We are particularly interesting in qualified candidates with either a property or casualty pricing background and detailed experience of London Market lines.Reinsurance experience would be a distinct advantage."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5204/593978827"	"03/12/2018 18:12:28"	"http://www.jobserve.com/GlSlX"	NA	NA
"Senior GI Pricing Analyst"	""	"Leeds"	"Permanent"	"Senior GI Pricing Analyst"	"Leeds"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified non-life actuary to provide analytical support and insight to inform and influence business decisions and pricing strategy.In this diverse role, you'll be responsible for delivering benefits using a range of analytical techniques such as price optimisation for renewals.You will also deliver innovative projects to improve capability as well as tactical changes to manage business performance for both new business and renewals.Knowledge of SAS, EMBlem and/or optimisation software is an advantage."	"Leeds, UK"	"Finance, Consulting"	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5056/593978719"	"03/12/2018 16:29:34"	"http://www.jobserve.com/GlRW5"	NA	NA
"Life Insurance Consultant"	"GBP"	"London"	"Permanent"	"Life Insurance Consultant"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading consultancy is seeking a qualified life actuary to support a wide range of client projects, including financial reporting, being the main day-to-day point of contact and keeping abreast of changes in UK regulatory framework and potential impact.Acting as a role model within the practice, you will identify and implement improvements to processes and procedures used for recurring client projects.With demonstrable knowledge of Solvency II regulations and reporting alongside project management and organisational skills, the successful candidate will ideally possess with-profits management and product development experience.Experience of risk management, such as ORSAs, stress and scenario testing, would also be an advantage."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5066/593978723"	"03/12/2018 14:19:29"	"http://www.jobserve.com/GlP0k"	NA	NA
"Senior Technical Pricing Analyst - Non-life"	""	"United Kingdom"	"Permanent"	"Senior Technical Pricing Analyst - Non-life"	"United Kingdom"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified GI actuary to undertake analyses and support projects that improve the understanding of claims and fees cost drivers across Lines of Business, thereby informing appropriate changes to quoted prices and account profitability assessments.In this key role, you will contribute to the development of appropriate management information systems for pricing.You will also contribute to the specification, development and testing cycles for deployment of rates whilst considering the impact on customers of pricing actions, acting to avoid any unfair treatment.In addition, you will provide technical underwriting and pricing guidance to assist the business in achieving its plans and in support of operational areas.With a detailed understanding of appropriate statistical techniques for insurance risk analysis and demand pricing, the successful candidate will possess familiarity with personal lines products and financial processes.Experience in the use of statistics tools like R, SAS, Emblem or similar also required. Experience in the use of Python desirable."	"United Kingdom"	"Finance"	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4769/593978651"	"03/12/2018 14:14:14"	"http://www.jobserve.com/GlPwr"	NA	NA
"Head of Reserving"	"GBP"	"London"	"Permanent"	"Head of Reserving"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"This client is searching for a senior Actuary for nine months to cover their Head of Reserving. This candidate should have a strong reserving background and be comfortable defending the reserves to Non Actuaries both internally and externally. Strong communication skills are vital. "	"London, UK"	"Finance"	NA	"GBP"	"HFG"	"HFG"	"JS7286_83965/594974300"	"03/12/2018 16:36:08"	"http://www.jobserve.com/GlRcK"	NA	NA
