"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"	"category"	"company_summary"
"JavaScript Developer"	"£300 - £350 per Day"	"West London"	"Contract"	"JavaScript Developer"	"West London - £300 - £350 per Day"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Front End Developer - Javascript, HTML, CSS, Jess, CypressI am keen to speak with Front End Developers for an initial 6-month contract for a business who is leading the field in AI world for a variety of sectors. They use AI, Data Science and Maths to revolutionise the business they work with.This is a Junior role and only requires 2 years of Front End Development skills. They are migrating from Jess to Cypress. The app will be React powered so knowledge or experience with React is beneficial. If not it will allow you to understand and learn the functionalities within React.Skills:- 2 years Javascript experience- HTML- CSS- React (nice to have)- Knowledge or Jess or Cypress (desirable)This a 6 month initial contract with the view to extend and is based in West London. Are you are available then please get in touch on (see below) Front End Developer - Javascript, HTML, CSS, Jess, CypressE-Synergy Solutions Limited is acting as an Employment Business in relation to this vacancy."	"West London, UK"	"IT"	"ASAP"	"£300 - £350 per Day"	"eSynergy Solutions"	"Thomas Burke "	"JS-JN -082018-14368"	"27/11/2018 15:43:21"	"http://www.jobserve.com/GkQKN"	"6 months"	NA	NA
"Senior Data Engineer - London Based"	"80k - 100k"	"London Based"	"Permanent"	"Senior Data Engineer - London Based"	"London Based - 80k - 100k"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Senior Data Engineer - London Based Salary: 80,000 - 100,000 Immediate start  I am looking for a Senior Data Engineer for a leading Digital Agency in London. This is an opportunity for you to join a truly unique digital consultancy that bring together design, data science, and software engineering professionals to deliver new products across the UK. I am after Senior Data Engineers who have delivered large scale data analytics applications on a Hadoop stack (or equivalent). You'll be helping to build data-centric solutions for a number of clients, applying engineering discipline to ensure high quality. Main responsibilities: This isn't a backroom role, and you can expect to spend time discussing design approaches and requirements with your colleagues and customers in addition to being engaged in development activities. You'll be comfortable picking up new technologies as and when the need arises. Design, development and operation of data pipelines within a multidisciplinary agile team. Analysis of requirements in order to understand the design options. Understand and communicate the pros and cons of different technologies and approaches. Collaborate with architects and operations engineers to propose and deploy cloud or on-premises infrastructure. Technical skills:  Practical knowledge of: Different types of database - relational; document; graph; columnar; key -value. Large scale data processing platforms, typically based on Hadoop/Spark. Business intelligence/analytics products or frameworks. Data visualisation frameworks  Knowledge of data integration technologies. Knowledge of distributed computing and information security Java or Scala development exposure; familiarity with Python is a bonus. Agile principles.  If you are interested in hearing more then please get in touch with Chris Mayers at Evolution Recruitment Solutions.Please note that no terminology in this advert is intended to discriminate on the grounds of age, and we confirm that we will gladly accept applications from persons of any age for this role."	"London Based, UK"	"IT"	NA	"80k - 100k"	"Evolution Recruitment Solutions Ltd"	"Christopher Mayers "	"JS/C2M/685858"	"27/11/2018 12:50:46"	"http://www.jobserve.com/GkPfR"	NA	"Executive"	NA
"Data Scientist - Robotics/Automation/Driving -12 month contract"	"£550 - £600 per day"	"London"	"Contract"	"Data Scientist - Robotics/Automation/Driving -12 month contract"	"London - £550 - £600 per day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Data Scientist - Robotics/AI/Deep Learning/Automation/Autonomous Driving - London - 12 month contract - up to 600p/dMy leading client are working on a cutting edge greenfield autonomous driving project and they are keen to grow the Data science team.This is a great opportunity to be part of a Tech centred environment whilst working on an exciting projects!Experience:Experience with AI/Machine LearningUnderstanding of Robotics/Autonomous Driving/Automation Data optimisationData enthusiastData optimisation modelsknowledge of Big Data technologiesDesirable:*Python*DockerData Scientist - Robotics/AI/Deep Learning/Automation/Autonomous Driving - London - 12 month contract - up to 600p/d"	"London, UK"	"IT"	NA	"£550 - £600 per day"	"Gravitas Recruitment Group Ltd"	"Tim Bunn "	"JS-BBBH54853"	"29/11/2018 17:11:42"	"http://www.jobserve.com/Gkjyj"	"12"	NA	NA
"Data Scientist"	"£70k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £70k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Scientist (Permanent)- Central LondonSalary: £70,000 plus benefits package  My client provides technology for plant and equipment and related services for processing foods and manufacturing advanced materials. They are looking to set up a data Science hub in London. In light of this, they are looking for a data scientist with 2-3 years' experience to grow within the business and develop into a lead management position.  Responsibilities:Support on a variety of image processing project and other data-driven workContribute to the formulation of their growing data scientist hubSupport senior management to advice on data issues company wide Essential skills:At least 2-3 years commercial experience in data science related rolesBackground using image processingStrong python coding skills  Benefits:Become subject matter expert within companyWork on exciting project and interesting commercial datasetsSocial environment- monthly team outingsYearly benefits26 days holidayIf you are passionate about your field and want to work in a progressive, fun and down-to-earth organisation; please apply. "	"London, UK"	"IT"	"ASAP"	"£70k per annum"	"Opus Recruitment Solutions Ltd"	"Andrew Comyn "	"JSJOB AD DATA SCIENTIST BUH...."	"03/12/2018 08:42:07"	"http://www.jobserve.com/GlLWK"	NA	NA	NA
"DevOps Engineer - Python"	""	"Sheffield, South Yorkshire"	"Contract"	"DevOps Engineer - Python"	"Sheffield, South Yorkshire"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Python DevOps Engineer Location: Sheffield Duration: 6 months Job Description: Experience of developing and managing analytics solutions, ideally in Anaconda; Enterprise edition preferred (but not essential). Exposure to managing open source repositories from external sources in a secure and approved way Some knowledge of managing Data Science solutions in a Dev Ops Pipeline, considering deployment; ideally with exposure to tools such as Jenkins and Jira Data science tooling experience, with an understanding of available python libraries and their implementation, preferably with an analytics background or similar. Awareness of cloud technologies in AWS and/or GCP, and their use within data science and machine learning Experience working in relevant environment/s, ie Anaconda, Python 2.7 and Python 3.5, R, Repository management Ideally with Exposure to Docker or other related container technologies Systems Implementation experience preferable, but not essential Suitable candidates should submit their CV in the first instance"	"Sheffield, South Yorkshire, UK"	"IT"	"ASAP"	NA	"Experis IT"	"James Mcgonnell"	"JS-BBBH94204"	"03/12/2018 14:00:58"	"http://www.jobserve.com/GlPnL"	"6 months"	NA	NA
"Data Scientist"	""	"Kingston upon Thames, Surrey"	"Contract"	"Data Scientist"	"Kingston upon Thames, Surrey"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Data Scientist (Azure, Hadoop, Spark, Python) - 6 Month Contract - Kingston upon ThamesMy client, a large consumer goods company are looking for 2 Data Scientists to join them in Kingston upon Thames on an initial 6 month contract basis, offering a competitive daily rate. The role will be working as part of a larger Analytics and Data Science function to better understand the market place and business problems.Role Background:The successful candidate will focus on advanced demand forecasting within the consumer goods space. Building models that enable markets to make better planning decisions.You will also work to understand the business problems and how to deliver relevant insights that lead to actions.Another part of the role will involve gathering data and building machine learning models to solve advanced forecasting problems requiring predictive and/or prescriptive analyticsYou will work with a range of internal and external teams around Data Science and Supply Chain.Required Skills:Candidates should be well versed with Machine learning forecasting techniques as well as statistical modelling.A working knowledge of operational research and supply chain processes would also be of interest.The client has also expressed an interest in seeing candidates with Python coding experience and an understanding of Cloud architecture, in particular MS Azure.Any prior experience of Hadoop and Spark would be beneficial as well as exposure to simulation packages such as Anylogic.Candidates should be comfortable communicating at a range of levels in an Agile environment to deliver complex insights in a precise and actionable manner."	"Kingston upon Thames, Surrey, UK"	"IT"	"ASAP"	NA	"Experis IT"	"James Concar "	"JS-BBBH94088"	"29/11/2018 18:37:23"	"http://www.jobserve.com/GkkFR"	"6 months"	NA	NA
"Java Developer - Benefit Humanity"	"£65k - £75k per annum + Flexi time, Pension, bonus"	"Oxfordshire"	"Permanent"	"Java Developer - Benefit Humanity"	"Oxfordshire - £65k - £75k per annum + Flexi time, Pension, bonus"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Java Developer - Benefit HumanityWe are looking for a Java Developer to join a company creating Software to help scientists in their research to advance medical discoveries. The Java Developer will be working on Data acquisition Software to implement new functionality. Your work as a Java Developer will contribute to the company maintaining its status as one of the UK's leading research institutions. We are looking for a Java Developer with the below capabilities:Strong experience of Agile Java Development. Best Practices such as TDD/BDD.Strong Cloud experience such as AWS. Interest in Machine Learning and NLP.Key Skills: Java 8, Spring, Hibernate, Agile, TDD, Machine Learning, NLP, Data Science.Apply now for immediately consideration regarding this excellent opportunity! Understanding Recruitment is acting as an employment agency for this vacancy.It is a company that looks after its staff with childcare vouchers, flexi-time, financial assistance for relocation, and continuous investment in the Java Developer's training and Development. The company at the moment are recruiting at all levels as they see 2018 as a huge year for their research programmes."	"Oxfordshire, UK"	"IT"	"ASAP"	"£65k - £75k per annum + Flexi time, Pension, bonus"	"Understanding Recruitment"	"Simeon Owen "	"JS-BBBH608"	"02/12/2018 17:00:19"	"http://www.jobserve.com/GlFU4"	NA	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"
"Head of Robotics (C++, Robotic Limbs, Control Systems)"	"£70k - £80k per annum"	"Oxford, Oxfordshire"	"Permanent"	"Head of Robotics (C++, Robotic Limbs, Control Systems)"	"Oxford, Oxfordshire - £70k - £80k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Head of Robotics (C++, Robotic Limbs, Control Systems)We are rapidly expanding Computer Vision and Robotics SME developing technology that is implemented internationally who are looking for a Head of Robotics/Senior Roboticist (C++, Robotic Arms/Limbs) to join our team as we continue to operate as leaders worldwide for Computer Vision and Robotics for a number of difference markets.As our Head of Robotics/Senior Roboticist you will not just be working on a single project, you will be working on applying our Computer Vision and Robotics solutions to a wide array of real-world problems, providing an innovative resolution and increasing the efficiency of world renowned organisations. As our Head of Robotics/Senior Roboticist you will spearhead the production more universal technology capable of providing excellent solutions in an as many environments as possible. As our Head of Robotics/Senior Roboticist you will have the opportunity to construct your own team spanning across Research, SW Engineering, Data Science teams as we continue to progress as one of the UK's leading specialists in Computer Vision and Robotics.As our Head of Robotics/Senior Roboticist, you will be given the freedom to intuitively develop your own solutions, as our Head of Robotics/Senior Roboticist, without command for approval from the entire administration. You will be valued, trusted and given autonomy in our company.As our Head of Robotics/Senior Roboticist we can offer you:An opportunity to apply world-leading research in the field of Computer Vision providing solutions to real-world problems on an international scale.To be part of a fast growing AI company who are based in central Oxford (near the train station).A dynamic environment in which innovation is celebrated by the team of dedicated and passionate individuals that surround you.A chance to be an integral part of the future of Computer Vision.Key Skills: Head of Robotics/Senior Roboticist, Computer Vision, Robotics, Machine Learning, Neural Networks, C++, Python, Machine Perception, Real World Data"	"Oxford, Oxfordshire, UK"	"IT"	NA	"£70k - £80k per annum"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-BBBH5056"	"03/12/2018 05:00:43"	"http://www.jobserve.com/GlHhv"	NA	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"
"C++ Engineer (Linear Algebra, C++, Computer Vision)"	"£50k - £60k per annum + equity"	"Oxford, Oxfordshire"	"Permanent"	"C++ Engineer (Linear Algebra, C++, Computer Vision)"	"Oxford, Oxfordshire - £50k - £60k per annum + equity"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"C++ Engineer (Linear Algebra, C++, Computer Vision)We are an already-profitable UK leading self-driving vehicle SME who are looking for a C++ Engineer/Software Engineer (Linear Algebra, C++, Computer Vision) to help join us as we push forward in implementing the latest research from around the world into our autonomous cars. We have very strong links with leading academic institutionsAs a C++ Engineer/Software Engineer you will be working on bringing not just our vehicles to the UK, though you will be working on several different products which are already live worldwide in different industries (mining, logistics, trains etc). As a C++ Engineer/Software Engineer you will also help us in our aim to have vehicles running at the highest level of autonomy, whilst being as safe and robust as possible. As a C++ Engineer/Software Engineer you will be able to work across our Research teams, SW Engineering teams, Data Science teams as we move forward into becoming the UK's favourite autonomous vehicle provider.As a C++ Engineer/Software Engineer within our company, you won't be bogged down with bureaucracy and red-tape - giving you opportunity as a C++ Engineer/Software Engineer to build and scale systems without a sky-high chain of command for approval. You will be trusted and be given autonomy within our company.As a C++ Engineer/Software Engineer we can offer you:A chance to implement cutting edge research within Computer Vision from leading institutions worldwide.To be part of an already profitable AI company who are changing the future of autonomous vehicles.An environment where you are surrounded with highly dedicated and passionate individuals who have great determination and ambition.A chance to be an important part of the future of self-driving vehicles.Key Skills include: C++ Engineer/Software Engineer, Comp Vision, CVPR, C++ Boost, STL, Real Time systems, Linux, OpenCV, Machine Learning, Python, Neural Networks, Robotics, Real world data, Machine Perception, Autonomous Vehicles, Self-Driving, Cloud Processing."	"Oxford, Oxfordshire, UK"	"IT"	"ASAP"	"£50k - £60k per annum + equity"	"Understanding Recruitment"	"Mat Ferdenzi "	"JS-SM-4011"	"03/12/2018 05:01:00"	"http://www.jobserve.com/GlHiA"	NA	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"
"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"£65k - £80k per annum"	"London"	"Permanent"	"Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London - £65k - £80k per annum"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Delivery Manager, Artificial Intelligence, Big Data, Machine LearningAn innovative Tech company that has a heavy focus on AI are currently hiring for a Delivery Manager to join an established, talented team. They provide a service used by thousands of reputable brands and combine artificial intelligence and machine learning technology to remove the financial and reputational risks that come with planning and creating content around poorly understood target audiences, and to make their marketing decisions more efficient and effective.Whilst they are continuing to build a new product that leverages Big Data and AI tech, they're in need of someone to work closely with their Data Science, Product and Client Services groups to ensure delivery of features that vary from implementing sophisticated Back End algorithms that make use of Big Data and ML to UI features that enhance client experiences.Delivery ManagerArtificial IntelligenceBig DataMachine LearningYou'll motivate, retain and provide direction and guidance for a team of 6 developers (both on and offshore), whilst also running an Agile process (Kanban board, daily stand up, regular retro's etc). Furthermore, as Delivery Manager, you'll lead hiring efforts for further engineers, work with Product Managers to help manage backlogs and also, provide an interface between the team and the rest of the organisation.If you feel you're a good fit and would like to work with some of London's most talented developers, please do get in touch!Delivery Manager, Artificial Intelligence, Big Data, Machine Learning"	"London, UK"	"IT"	NA	"£65k - £80k per annum"	"Oliver Bernard"	"Sina Faramarzi "	"JS-DMAF"	"27/11/2018 15:04:12"	"http://www.jobserve.com/GkPyy"	NA	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."
"Data Scientist - Supply Chain"	"Market Rate"	"London"	"Contract"	"Data Scientist - Supply Chain"	"London - Market Rate"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Data Scientist - Supply ChainIf you are a Data Scientist looking for your next contract opportunity to manipulate multi-source data and build Machine Learning Models within a Microsoft Azure Cloud environment. Click apply or contact Oliver to be considered immediately for this Data Scientist opportunity. My South West London based client is looking for a Data Scientist fluent in operational research within supply chain environments to gather data and build machine learning models to solve advanced forecasting problems to gain a competitive advantage within procurement, manufacturing and distribution. You will code in Python and R to leverage both predicative and prescriptive analytics alongside advanced machine learning forecasting techniques to provide optimal ROI for this market dominant client. A background in statistical modelling, optimisation techniques and simulation packages such as Anylogic will prove extremely beneficial. Essential:* Data Science within Supply Chain environments and applications* Machine Learning Model Building & Forecasting Techniques * Operational research* Statistical Modelling* Python Coding & R* Manipulating multi-source data* Cloud Architecture* Simulation Packages (Anylogic or similar) Apply or contact Oliver to be considered immediately for this Data Scientist opportunity. "	"London, UK"	"IT, Logistics"	"ASAP"	"Market Rate"	"Gibbs Hybrid"	"Oliver Longhurst "	"JS-OLDSCORSC"	"27/11/2018 17:16:52"	"http://www.jobserve.com/GkQ8Z"	"6 months"	NA	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "
"Cloud Security Architect - finance - Cloud Security - CISO, Google Cloud, MS Azure, and AWS"	"£100k - £130k + Bonus and benefits"	"London"	"Permanent"	"Cloud Security Architect - finance - Cloud Security - CISO, Google Cloud, MS Azure, and AWS"	"London - £100k - £130k + Bonus and benefits"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Cloud Security Architect - finance - Cloud Security - CISO, Google Cloud, MS Azure, and AWS Cloud Security Architect is required by a top consultancy firms to join the Financial Services advisory area and act as a client facing Cloud security architect. My clients are looking for someone with a very strong depth of security and cloud knowledge, who is able to educate customers on why public cloud' is safer and more sustainable than any other solutions Responsibilities include Developing and bringing to market analytics propositions and services Analytics strategy, target operational model, analytics capability establishment method definition and execution Development of Cloud and advanced analytics market strategy and propositions Leadership over advanced analytics internal capability development in the areas of data science, cloud analytics, natural language processing, Real Time analytics Technical Skills Any advanced security training provided by the cloud providers - should be seen as the extended arm of the relevant Trust team CISO in a mid-size geographically-spread organisation with some cloud service roll-out experience/cloud transformation experience. Alternatively, member of the Cloud Trust teams of the top cloud providers: Google Cloud, MS Azure, and Amazon Web Services.A university degree, preferably in computer science, engineering, business and information or similar, with a minimum of a 2:1 (or equivalent), and ideally an MBA or MSc Experienced at producing multi-tier, high-availability infrastructure architectures in an Enterprise & Cloud environment Expert knowledge in implementing and operating in cloud platforms (Azure, Google Cloud Platform, AWS, Salesforce) "	"London, UK"	"IT"	"Sept - November 2018"	"£100k - £130k + Bonus and benefits"	"Curtis Reed Associates"	"Sam Turk "	"JS/CLSEC/SAM"	"27/11/2018 09:52:53"	"http://www.jobserve.com/GZQkf"	NA	"Executive"	"About Curtis Reed Associateswww.curtisreed.comCurtis Reed Associates is an IT recruitment organisation, established in 1998, specialising in providing staff across all sectors. Our clients range from international Banks and Consulting firms to Fintechs.Our reputation is built on our deep understanding of our market and attention to detail. Our consultants specialise in their own niche market area and have a deep understanding of their business area and candidates. Part of our success is due to the quality of candidate networks that we have established and the ability to quickly understand our clients’ requirements and deliver candidates that match.Curtis Reed Associates is committed to recruitment best practice and is GDPR compliant."
"Python Developer - Microservices - £100,000 -£150,000 - Financial Services"	"150k"	"London"	"Permanent"	"Python Developer - Microservices - £100,000 -£150,000 - Financial Services"	"London - 150k"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Python Developer - Microservices - £100,000 -£150,000 - Financial Services Python developer with experience building microservices is needed for my financial services client. The role is based in London and is looking to offer between £100,000 and £150,000. The organisation specialises in high frequency low latency trading platforms. They are currently preparing for a large influx of sales which is going in place in early January next year and for this they are putting various automation protocols in place surrounding reporting, alerting, data science and more. As part of this they are looking for a senior python developer who can mentor a couple of junior members of the team and lead the way in building microservices in Python. Essential Skills Strong Python Development experience Experience building microservices within python Previous financial services experience is preferred Any exposure to networking technology is preferred This is an urgent role for our client, and they are looking to set up interviews in the next couple of weeks. If you are a python developer that fits all the above requirements then please apply with your most up to date CV ASAP, and I'll be in touch to provide more information. Kite Human Capital - Hire Better We are unashamedly focused on working with only the best people, who care about customer value and maintain a fantastic working reputation. If you are someone that is committed to working hard to achieve great results, views challenge as an exciting opportunity and wants to work in some of the best possible assignments then please get in touch, we'd love to help you find your next position. We pride ourselves on rock solid integrity and honesty, and place client value at the centre of every decision we make. '2018 - Winner Best Client Service' '2017 - Winner Agency of The Year' '2017 - Winner Banking & Financial Services Agency' '2016 - Winner Banking & Financial Services Agency' Job Type: Permanent Salary: £100,000.00 to £150,000.00/year"	"London, UK"	"IT, Finance, Consulting"	NA	"150k"	"Kite Human Capital Ltd"	"Joanna Gromala"	"JSKHCJOG4550"	"03/12/2018 16:49:49"	"http://www.jobserve.com/GlRoG"	NA	NA	"About Kite Human Capital Ltdwww.kitehumancapital.com/Kite Human Capital provide an award-winning service to the Financial, Real Estate and Fintech industries. We believe that recruitment should deliver only good or great hires, and that our clients deserve to get better return from their investment in people.Through a combination of our philosophy, values, process and people, we consistently go beyond the industry standard to deliver human capital solutions of enduring value. Why else would 98% of our clients plan to use us the next time they hire?"
"Python Developer - Microservices - £100,000 -£150,000"	"100k - 150k"	"London"	"Permanent"	"Python Developer - Microservices - £100,000 -£150,000"	"London - 100k - 150k"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Python Developer - Microservices - £100,000-£150,000 Python developer with experience building microservices is needed for my financial services client. The role is based in London and is looking to offer between £100,000 and £150,000. The organisation specialises in high frequency low latency trading platforms. They are currently preparing for a large influx of sales which is going in place in early January next year and for this they are putting various automation protocols in place surrounding reporting, alerting, data science and more. As part of this they are looking for a senior python developer who can mentor a couple of junior members of the team and lead the way in building microservices in Python. Essential Skills Strong Python Development experience Experience building microservices within python Previous financial services experience is preferred Any exposure to networking technology is preferred This is an urgent role for our client, and they are looking to set up interviews in the next couple of weeks. If you are a python developer that fits all the above requirements then please apply with your most up to date CV ASAP, and I'll be in touch to provide more information. Kite Human Capital - Hire Better We are unashamedly focused on working with only the best people, who care about customer value and maintain a fantastic working reputation. If you are someone that is committed to working hard to achieve great results, views challenge as an exciting opportunity and wants to work in some of the best possible assignments then please get in touch, we'd love to help you find your next position. We pride ourselves on rock solid integrity and honesty, and place client value at the centre of every decision we make. '2018 - Winner Best Client Service' '2017 - Winner Agency of The Year' '2017 - Winner Banking & Financial Services Agency' '2016 - Winner Banking & Financial Services Agency'"	"London, UK"	"IT"	"ASAP"	"100k - 150k"	"Kite Human Capital Ltd"	"Joanna Gromala"	"JSKHCJO4550"	"27/11/2018 07:03:47"	"http://www.jobserve.com/GjA6l"	NA	"Executive"	"About Kite Human Capital Ltdwww.kitehumancapital.com/Kite Human Capital provide an award-winning service to the Financial, Real Estate and Fintech industries. We believe that recruitment should deliver only good or great hires, and that our clients deserve to get better return from their investment in people.Through a combination of our philosophy, values, process and people, we consistently go beyond the industry standard to deliver human capital solutions of enduring value. Why else would 98% of our clients plan to use us the next time they hire?"
"Senior Java Developer - FinTech - Up to £120K - London"	"£120K + bonus + Benefits"	"London"	"Permanent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Head of Business Intelligence"	"£60k - £80k per annum"	"London"	"Permanent"	"Head of Business Intelligence"	"London - £60k - £80k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Business Intelligence (BI)/Data/Snowflake/SQL/Python/Looker/FintechHead of Business IntelligenceSalary £60k-£80k Based in Central London Peer to peer lending company, entering the scale-up phase, looking for a hands-on Head of Business Intelligence (BI) that has had exposure to SQL, Python, Snowflake and Looker to champion data across the company. Amazing opportunity to build out the data science function of the company from scratch as they enter the scale-up phase. Experience building out data architecture in SQLUnderstanding of Python Entusiasm to work with cloud native tools and modern BI tools (snowflake and looker) Massive datasets to work onExperience with data warehouse management Pulling data in on a daily basis: managing risk in a timely, efficitient manner. Debugging code using Python Figuring out various ways to collect data Business Intelligence (BI)/Data/Snowflake/SQL/Python/Looker/Fintech"	"London, UK"	"Finance"	NA	"£60k - £80k per annum"	"Tiro Partners"	"Shannon O Brien"	"JS-BBBH1508"	"03/12/2018 16:10:18"	"http://www.jobserve.com/GlRGT"	NA	NA	NA
"Principle Cloud Architect"	"£95k - £125k per annum"	"London"	"Permanent"	"Principle Cloud Architect"	"London - £95k - £125k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Principal Cloud Architect - Azure Expert Partner - AWS/GCP - £95,000-£125,000 + Benefits - LondonA Principal Cloud Architect is required by a Microsoft Gold Partner reseller and Azure Expert Partner to support pre-sales and solution development, initially focussing on Microsoft with a view to expand to Google Cloud and AWS.You will report directly to the Head of Cloud on international datacentre transformations, cost modelling and cloud readiness within a global community, covering cloud native, data science/analytics, machine learning and IOT based projects.Requirements-Proven experience as Technical Design Authority for cloud migration programmes.-Certified Azure solution architect, DevOps certification desirable.-TOGAF, ITIL aligned.-Successful pre-sales engagement history, ideally in complex public cloud transformation programmes.You will get the chance to design complex cloud transformation programmes for high profile clients across a range of industry sectors.To apply for this position simply follow the link or call Oliver for an exploratory chat on 02039295864.Lawrence Harvey are one of the leading technology recruitment specialists in the UK. As highly competent Consultants we are consistently building on the excellent reputation that we have already established in IT recruitment. We work in partnership with our clients and candidates building a relationship through understanding, so we can ensure we are always delivering to their needs.Principal Cloud Architect - Azure Expert Partner - AWS/GCP - £95,000-£125,000 + Benefits - LondonLawrence Harvey is acting as an employment agency in regards to this position."	"London, UK"	"IT"	NA	"£95k - £125k per annum"	"Lawrence Harvey"	"Oliver Goodenough "	"JS-HQ00085001"	"03/12/2018 17:34:37"	"http://www.jobserve.com/GlSNM"	NA	NA	NA
