"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"
"Technology Strategy Analyst"	"Competitive Salary + 15% Bonus"	"London"	"Permanent"	"Technology Strategy Analyst"	"London - Competitive Salary + 15% Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Technology Strategy AnalystPermanentCentral London (W6)Technology Strategy Analyst - an exciting opportunity where you will be part of delivering the technological solutions my client requires in order to compete and grow as an organisation! This role will suit someone that has gained excellent consultancy skills in a large firm and is looking to bring their experience to industry.As a Technology Strategy Analyst you will join a high performing Technology Strategy team that operates at the heart of the company. This key function provides rigorous, structured, well-articulated analysis to senior stakeholders across the Group.We are looking for a Technology Analyst used to working with Architects and Developers in order to understand current and new technology, then use this insight to provide strategic analysis to be used by the business. You will also need to have an understanding of financial modelling and cash flow. Using your knowledge of tools such as R, Python and Matlab for modelling of large datasets and application of machine learning and neural network techniques, you will provide on-going analysis of the E2E unit cost economics and TCO for Connectivity and B2B platform services and becoming a subject matter expert during the life cycle of a project regarding its underlying unit economics. Support Technology teams in technology specific or T&I wide strategy analysis by providing a techno-economic modelling capability and managing individual business cases as neededYou will also provide capacity models and guidance for new B2B & B2C products & services into Technology & Innovation teams leveraging and analysis and working with E2E architectsSkills & Experience we are looking for:Educated to degree level or equivalent in mathematics, engineering, statistics or economics or able to demonstrate equivalent experience in the industry.Experience of techno-economic/financial modelling and have worked in a highly numerate and analytical environmentExposure and well-rounded experience of working and supporting projects throughout the project life cycle.Strong relationship building skills with the ability to acquire insights/inputs from stakeholders across a diverse range of departmentsAbility to describe and explain complex models, concepts & themes to stakeholders in a simple and engaging mannerAbility to perform complex data analysis with a proven track record in problem-solvingComfortable working across countries and cultures as part of virtual teams, using collaboration tools/digital platforms etc.Advanced Excel and PowerPoint skills critical, you are confident communicating via PowerPoint to senior audiencesA broad understanding of the technologies and platforms (some or all of OTT Video, TV, VoD, Voice, Broadband, WiFi)R, Python, SQL and C+ development experience desirableHigh aptitude for manipulating and processing large datasets using Databases/Code/ETL applications, and has at least experimented with machine learning and neural network platformsExperience of rapidly acquiring detailed knowledge regarding new products and detailed technical architecturesIf you are interested in this exciting new permanent position working for a well-known market leader in central London then please submit your CV on line or email direct to (see below) Project People is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"IT"	NA	NA	NA	"Competitive Salary + 15% Bonus"	"Project People"	"Salome Maybanks "	"JS-SM/P/TSA"	"07/12/2018 17:34:21"	"http://www.jobserve.com/Gl6yN"	"About Project Peoplewww.projectpeople.comProject People provides technical and professional recruitment in over 60 countries. We specialise in telecom, IT, energy and defence, supplying the biggest names in the private and public sectors."
"Data Scientist - World class team in Manchester"	"£30k - £45k per annum + Share Options & Bonus"	"Manchester"	"Permanent"	"Data Scientist - World class team in Manchester"	"Manchester - £30k - £45k per annum + Share Options & Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Data Scientist needed by a genuinely world class team in the heart of Manchester, building a first of its kind AI product. This is a unique opportunity to join a growing organisation who have been one of Manchester's biggest success stories in the last few years. They are constantly striving to improve, hiring some of the best people in the UK across the business, whilst fiercely guarding their culture.You: You will ideally be either a Data Scientist at the moment or someone coming from a highly numerical background doing something an MSc or PhD.The team appreciate that if you can solve complex problems, deal with complex data sets and turn that information into something actionable - you can become a top Data Scientist. From a technical perspective, ideally you will have experience (commercial or academic) of most of the following: * Machine Learning/Data Mining/Natural Language Processing (NLP)/Neural Networks/Deep Learning* Statistical Packages or Languages such as: R, SPSS, SAS, S-Plus, Python, MATLAB and STATA* RDBMS - Open Source, NoSQL and any knowledge of SQL Server* Any understanding or previous knowledge of: Markov Models, Cluster Analysis, Statistics and Reliability Models* Big Data tools such as: Hadoop/Pig/Hive/HBase/Cassandra/Spark/SplunkThe Role:As you will be working for a Data Analytics company, technical & mathematical problems are par for the course. You will be dealing with a mix of clients from global FTSE 100 organisations to local companies so will need to be able to communicate with them at both a technical and non-technical level. One of the reasons they have been so successful is the attention to detail and understanding of their customers exact problem.One of the biggest areas for our client is the desire to continue your professional development, keeping abreast of the ever-changing world of data, attending meet-ups, experimenting with new techniques/technologies and generally immersing yourself in all things data science.If you're on the lookout for a big pay day, or to work in a behemoth organisation where you'll be a small cog in a big wheel, this is definitely not the role for you.However, if you are ambitious and up for a challenge - it could be perfect.The Company:A genuine North West success story, you will be joining an organisation who have really exploded onto the scene in the last couple of years and have helped solidify Manchester as a genuine tech Powerhouse.With a stellar leadership team, who are constantly pushing the boundaries and striving to achieve more, you will be working for an organisation that is trying to be one of the very best on the planet. With the way they are going - this will become a reality!They provide various data analytics solutions to customers across the country, from models for forecasting and sales pipelines, to entire end to end data science solutions - this team can do it all.Having already out-grown two offices, they have moved into a custom fit space in the heart of Manchester, which is easily one of the best spaces in Manchester (if not the whole country). Application & Interview Process:To apply for this role, click on the link below and feel free to get in touch with Liam at Cathcart Associates for a more detailed chat.The interview process for this role is an informal chat with one of the Lead Data Scientists, followed by a more in-depth technical chat with the Director of Data Science and a final cultural chat with the CEO, who is still very much hands on when it comes to building the team."	"Manchester, UK"	"IT"	NA	NA	"ASAP"	"£30k - £45k per annum + Share Options & Bonus"	"Cathcart Associates Limited"	"Liam Wilson "	"JS-VR/20250"	"07/12/2018 16:14:26"	"http://www.jobserve.com/Gl6ZW"	"About Cathcart Associates Limitedwww.cathcartassociates.comCathcart Associates is a market leading, independent IT / Technology consultancy offering permanent and contract services across Scotland and the North of England for all technical disciplines."
"Technology Strategic Associate"	"Negotiable"	"Hammersmith and Fulham"	"Permanent"	"Technology Strategic Associate"	"Hammersmith and Fulham - Negotiable"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Technology Strategy AssociateProject People are currently working with a Global Telecommunications Company that have an exciting opportunity for a Technology Strategy Associate where you will be part of delivering the technological solutions we need to compete and grow as an organisation! This role will suit someone that has gained excellent consultancy skills in a large firm and is looking to bring their experience to industry.This role will offer you significant exposure across the organisation, as you will become part of a virtual team answering some of the most complex technical and economic questions that the company faces, this will give you the opportunity to deliver to senior stakeholders, including the CTO and Country Managing Directors. Here is an insight into some of the responsibilities you will be accountable for:Providing teams within Technology & Innovations group with insight into likely demands placed on platforms and networks to enable platform and technology deployment to be right-sized to accommodate likely demandOn-going analysis of the E2E unit cost economics and TCO for these services and becoming a subject matter expert during the life cycle of a project regarding its underlying unit economics. This will require day to day engagement with Procurement, technical Architecture and Finance stakeholders.Encouraged and supported in your use of tools such as R, Python and Matlab for modelling of large datasets and application of machine learning and neural network techniques.Support Technology teams in technology specific or T&I wide strategy analysis by providing a techno-economic modelling capability and managing individual business cases as neededProvide capacity models and guidance for new B2B & B2C products & services into Technology & Innovation teams leveraging and analysis and working with E2E architectsAre you right for the role?Educated to degree level or equivalent in mathematics, engineering, statistics or economics or able to demonstrate equivalent experience in the industry.Significant experience gained working in a consultancy firm and able to easily adapt.Experience of techno-economic/financial modelling and have worked in a highly numerate and analytical environmentExposure and well-rounded experience of working and supporting projects throughout the project life cycle.Strong relationship building skills with the ability to acquire insights/inputs from stakeholders across a diverse range of departmentsAbility to describe and explain complex models, concepts & themes to stakeholders in a simple and engaging mannerNice to have experience/skills: Experience in a Telecoms or networking environment with a broad overall understanding of the technologies and platforms (some or all of OTT Video, TV, VoD, Voice, Broadband, WiFi)R, Python, SQL and C+ development experience desirableHigh aptitude for manipulating and processing large datasets using Databases/Code/ETL applications, and has at least experimented with machine learning and neural network platformsIf you have the skills required for this position, please APPLY now or get in touch with Christopher Casey at Project People today. Project People is acting as an Employment Agency in relation to this vacancy."	"Hammersmith and Fulham, UK"	"IT"	NA	NA	"ASAP"	"Negotiable"	"Project People"	"Christopher Casey "	"JS-CC - TSA1"	"05/12/2018 09:54:40"	"http://www.jobserve.com/Glljf"	"About Project Peoplewww.projectpeople.comProject People provides technical and professional recruitment in over 60 countries. We specialise in telecom, IT, energy and defence, supplying the biggest names in the private and public sectors."
"Mid-Senior Software Engineer"	"- salary"	"Surrey, GB-ENG"	"Permanent"	"Mid-Senior Software Engineer"	"Surrey, GB-ENG - - salary"	"Permanent"	"Posted: Tuesday, 4 December 2018"	""	"Summary of Role As a Software Engineer, you will work as part of a highly-skilled and close-knit development team following Scrum methodologies to develop market-leading insurance solutions.  This is a varied and challenging opportunity where you will play a key role creating new product features and enhancing existing code, whilst ensuring the product continues to meet high levels of reliability, maintainability, usability and performance. The Role Working with the Product Owner to define, refine and deliver the product backlog, Designing and documenting software solutions meeting functional and non-functional requirements,  Implementing and refactoring product code (C#), following best practices for maintainability, testability and performance, Implementing unit tests, developing test frameworks and associated automated test cases, Reviewing and debugging code to identify defects, performance bottlenecks or technical debt, Working closely with test engineers to guarantee suitable test coverage, identifying and executing manual tests if necessary, Participating in sprint planning meetings, daily stand-ups and sprint retrospectives, striving to continuously improve the team velocity, its processes and engineering practices. The Requirements Proficient in software development using C# .NET, Experience designing and implementing desktop applications, working with GUI standards and frameworks such as WPF or WinForms, Experience with the full software development life cycle in a commercial/production environment: requirements capture and analysis, estimation, detailed software design, implementation, unit and system-level testing, installation and deployment, maintenance, Experience with software engineering best practices: object-oriented design and implementation, design patterns, SOLID principles, Agile and Extreme Programming methodologies, Experience with software development tools: IDE's, version control, test automation, continuous integration, defect and backlog management systems,  Desirable: Appreciation of current and emerging technologies along with their potential benefits and limitations, Visual Studio Team Services and Git, Experience of unit and GUI test automation frameworks such as MS Test and Ranorex, ASP.NET MVC, WCF, JavaScript, Angular JS, Bootstrap, or other web stack and frameworks, SQL Server or other database management systems, Azure and Cloud Technologies, Passion for maths, statistics and complex algorithms. The Company   Willis Towers Watson is a leading global advisory, broking and solutions company that helps clients around the world turn risk into a path for growth. With roots dating to 1828, Willis Towers Watson has 40,000 employees serving more than 140 countries. We design and deliver solutions that manage risk, optimize benefits, cultivate talent, and expand the power of capital to protect and strengthen institutions and individuals. Our unique perspective allows us to see the critical intersections between talent, assets and ideas - the dynamic formula that drives business performance. Together, we unlock potential. Willis Towers Watson is an equal opportunity employer  Willis Towers Watson believes that effectively managing a diverse workforce is vital to our business strategy. We have an obligation to our organization, ourselves and our clients to hire and develop the best people we can find. We will continually review our policies and practices to ensure that all areas of the employment process (including recruiting, hiring, work assignments, compensation, benefits, promotions, transfers, company-sponsored development programs and overall workplace experience) are free from discriminatory practices. We are committed to equal employment opportunities at Willis Towers Watson. Unsolicited Contact: Any unsolicited resumes/candidate profiles submitted through our web site or to personal e-mail accounts of employees of Willis Towers Watson are considered property of Willis Towers Watson and are not subject to payment of agency fees. In order to be an authorized Recruitment Agency/Search Firm for Willis Towers Watson, any such agency must have an existing formal written agreement signed by an authorized Willis Towers Watson recruiter and an active working relationship with the organization. Resumes must be submitted according to our candidate submission process, which includes being actively engaged on the particular search. Likewise, for our authorized Recruitment Agencies/Search Firms, if the candidate submission process is not followed, no agency fees will be paid by Willis Towers Watson. Willis Towers Watson is an equal opportunity employer. "	"Surrey, GB-ENG, UK"	"IT"	NA	NA	NA	"- salary"	"Willis Towers Watson"	"Not Listed"	"JS1800020R"	"04/12/2018 07:03:44"	"http://www.jobserve.com/GkMkg"	NA
"Principal Data Scientist"	"£70k - £75k per annum + excellent package"	"Bristol"	"Permanent"	"Principal Data Scientist"	"Bristol - £70k - £75k per annum + excellent package"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Do you also believe that Data Science is the future of analytics? Do you have a passion for it and the desire to build and entertain teams of professionals in the field? If this resonates with you, you will like the following. One of our client is searching for an ambitious Lead Data Scientist capable of showing a good understanding of machine learning. The team is growing! My client is looking for an individual who will help shape the future of their analytics offerings, alongside statisticians and data specialists. Providing analytics solutions including machine learning, linear programming methods you will be using the best techniques to reach the most efficient optimisation, develop new algorithms or put together predictive analysis schemes. If you enjoy dealing with technical and intellectual challenges across diverse projects, this job is for you!Looking for a principal/lead role, you would be put in a position to mentor and manage small to medium size teams and grow them as you deem necessary. Essential:- Hands-on experience of deploying machine learning with Python or RDesirable:- Ideally worked on a variety of projects and solved a lot of new problems - Degree in applied mathematics, statistics, or a relevant scientific discipline.Having a great progression potential in an established company with excellent benefits (30 days holidays, voluntary flexible benefits...), the opportunity is second to none.If this description resonates with you so far, apply and I will reach out to you right away. "	"Bristol, UK"	"IT"	NA	NA	"ASAP"	"£70k - £75k per annum + excellent package"	"IO Associates"	"Angelo Potenza "	"JS-JO0000012638"	"07/12/2018 09:57:23"	"http://www.jobserve.com/Gl299"	NA
"Principal Data Scientist"	"£70k - £75k per annum + excellent package"	"Bath"	"Permanent"	"Principal Data Scientist"	"Bath - £70k - £75k per annum + excellent package"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Do you also believe that Data Science is the future of analytics? Do you have a passion for it and the desire to build and entertain teams of professionals in the field? If this resonates with you, you will like the following. One of our client is searching for an ambitious Lead Data Scientist capable of showing a good understanding of machine learning. The team is growing! My client is looking for an individual who will help shape the future of their analytics offerings, alongside statisticians and data specialists. Providing analytics solutions including machine learning, linear programming methods you will be using the best techniques to reach the most efficient optimisation, develop new algorithms or put together predictive analysis schemes. If you enjoy dealing with technical and intellectual challenges across diverse projects, this job is for you!Looking for a principal/lead role, you would be put in a position to mentor and manage small to medium size teams and grow them as you deem necessary. Essential:- Hands-on experience of deploying machine learning with Python or RDesirable:- Ideally worked on a variety of projects and solved a lot of new problems - Degree in applied mathematics, statistics, or a relevant scientific discipline.Having a great progression potential in an established company with excellent benefits (30 days holidays, voluntary flexible benefits...), the opportunity is second to none.If this description resonates with you so far, apply and I will reach out to you right away."	"Bath, UK"	"IT"	NA	NA	"ASAP"	"£70k - £75k per annum + excellent package"	"IO Associates"	"Angelo Potenza "	"JS-JO0000012638"	"07/12/2018 09:56:10"	"http://www.jobserve.com/Gl28r"	NA
"ICT Service Desk Engineer"	"21k to 24k"	"Liverpool"	"Permanent"	"ICT Service Desk Engineer"	"Liverpool - 21k to 24k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"telent ICT Service Desk EngineerLocation: Liverpool- Vestry RoadType of Job: PermanentRef No: V7074Fantastic opportunity to join a customer focused ICT Service Desk supporting the Emergency Services Sector. Suitable for those who are experienced service desk engineers or someone looking to break in to that field who has a solid grounding with IT Systems.Role ProfileThe role will involve providing general ICT Service Desk support to PS&D ICT outsource contracts including Mersey fire, East Sussex Fire, ESN and North West Fire control.The role will require a strong grounding in ICT Service support adhering to ITIL. It will include troubleshooting, problem-solving and technical skills based background using various diagnostic tools. In addition, strong inter-personal skills are required to guide customers (both internal and external) through situations (over the phone as well as face-to-face), providing resolution to incidents and ultimately reach customer satisfaction. This may often be under challenging conditions. Communication is a key skill to enable the management of faults through incident, change and problem management.Typical DeliverablesFocused on supporting ICT systems and applications, the key tasks will require the engineer:To be the first point of contact for all ICT related incidents and service requests.To be part of a proactive team of technical service desk engineers delivering high quality, customer focused service.Provide 1st (2nd) line technical support.Responsible for adhering to the ITIL Incident Management Policy including the life cycle management of all incidents.Responsible for adhering to the ITIL Problem Management Policy; raising known problems and errors where required. Analysing incident data to identify trends. Provide work-arounds and permanent fixes using problem mgt techniques. Aim to reduce incidents and time to fix.Configuration Management:- responsible for adhering to the policy and process, ensuring CI's are accurate, linking CI's, status accounting.Responsible for subcontractor performance monitoring.Responsible for communicating planned outagesAnswered Queue management ensuring incident closure with end users.Responsible for monitoring OOH, providing statistics, ensuring OOH have sufficient support information to provide 1st line support functionality.Responsible for data quality held within the Service Management System, Remedy.Responsible for FAQ documentation and end user guides.Work closely with the Customer base to streamline services in line with ITIL.Self-development, attending appropriate health and safety, ITIL, risk assessment training courses and sitting exams where required.ExperienceWindows Server OS 2008 and 2012 supportActive DirectoryMS Office applications including O365Bespoke Application supportKnowledge and understanding of Exchange (2010 & 2013), SharePoint (2007 -2013and Lync productsAnti-Virus softwareExperience within a service level driven environmentQualificationsAppropriate ICT qualifications ( expired qualifications if relevant will be taken into account)Appropriate industry experience to deliver the requirements of the roleITIL foundation or PractionerBehavioural Requirements:Ability to work under pressure and to tight deadlinesClient & Customer ServicsCommunicating with key stakeholdersDeveloping Self & OthersPlanning & OrganisingProblem Solving & Decision MakingClean Driving LicenceUndertake Security Clearance checksExcellent Employee Benefits:telent is committed to ensuring that we offer industry leading career opportunities, salary and benefits packages. Join us and you can expect to receive:33 days holiday, including public holidays, plus the option to buy or sell five days each yearCompany pension schemeA range of family friendly policies including childcare vouchersAn employee-funded car leasing schemeOccupational health supportTelent Rewards SchemeSo why choose telent for your next opportunity?To build, run and maintain a successful network, you need a connected approach - a team you can trust from strategy to support, and everything in between. At telent, this is what we do!As part of our team, you could be working with some of the biggest names in the Traffic, Rail, Public Safety, Defence and Service Provider sectors including London Underground, Network Rail, Transport for London, RNLI, MOD and Virgin Media. You'll help us ensure the most important messages get through - however tough the conditions.Here are just some of the ways we're different: You'll go further with us. We understand the importance of career development and will give you all the support you need to realise your potential. You'll receive formal training, E-learning and mentoring from top professionals. And we offer opportunities to transfer to other sectors - or even different technology areas.You'll make a difference. You could be working outdoors, battling the elements, or in one of our many offices helping us develop the network infrastructures of tomorrow.You'll be treated as an individual. We're not a vast corporation, which means every individual counts. With us, you'll be valued and supported, involved and empowered from day one.You'll be well rewarded. We offer salary progression that reflects market rates and personal performance, a flexible working environment and excellent training.We reserve the right to close this vacancy once we have received sufficient applications.telent is an equal opportunities employer and is committed to diversity and inclusion."	"Liverpool, UK"	"IT, Military"	NA	NA	NA	"21k to 24k"	"TSS Solutions Ltd"	"Lindsey Cardie "	"JS-V7074"	"06/12/2018 09:48:49"	"http://www.jobserve.com/Glwq3"	NA
"Senior Data Scientist"	""	"London"	"Permanent"	"Senior Data Scientist"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"The position of a Senior Data Scientist has just become available within one of the world's largest banking and financial services organisations. This London based role offers the opportunity to become a part of a well-established Data Science team and lead the way using advanced analytical skills.SummaryThe position of a Senior Data Scientist with one of the world's largest banking and financial services firms has just become available. My client is searching for a strong Data Scientist with a true interest in computer sciences and new technology. This London based position offers the opportunity to join a developed Data Science team.Key ResponsibilitiesTo use advanced analytical skills to develop the businesses new financial intelligence platform.To work at the leading edge of analytics.To bring the ability to work with extremely large, complex data sets.To merge these data sets to generate insight from them and to visualise those insights for both technical and non-technical users.To write codes for the application of advanced analytics in the area of financial crime risk and must have the ability to critically interpret and analyse the results produced.To work with key stakeholders in determining analytical requirements.To create and deliver analytical solutions that are fully documented and explained that meet the business aims/requirements.Key RequirementsRelevant degree education - at least BSc or MSc level. Relevant degrees include mathematics, statistics, advanced computing (machine learning, AI), visualisation or data engineering.High quality further education is an advantage, preferably a science background/PhD.Experience in the area of combatting financial crime is desirable.Experience of working within the Hadoop ecosystem.Strong technical skills in analytical languages, such as Python, R, SQL and SAS.Specific knowledge of Spark and/or graph theory is desirable.Strong communication skills.Demonstrate an interest in the financial crime subject area.Apply today! For more information, please get in touch.Email: (see below) "	"London, UK"	"IT"	NA	NA	NA	NA	"Robert Walters"	"Lucy Cova "	"JS-50322193/001"	"06/12/2018 15:11:36"	"http://www.jobserve.com/GlxgI"	NA
"Insight Analyst/Data Analyst/Marketing Analyst"	"£30k - £50k per annum + Excellent Benefits package"	"Warwickshire"	"Permanent"	"Insight Analyst/Data Analyst/Marketing Analyst"	"Warwickshire - £30k - £50k per annum + Excellent Benefits package"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Customer Insight Analyst/Marketing Analyst/Data Analyst required by a world leader in its field. The role sits within our client's Customer Analytics team and services the European business community. Our client is seeking an individual who is a true analytics specialist, which means your analytical mindset will allow you analyse any data set and make sense of it! You will need to demonstrate a solid understanding of current and upcoming best practices in customer analytics and will you will therefore be able to make strategic recommendations to maximize investments in a cost-effective and financially prudent manner.The Analyst will:*Develop a profound understanding of our client's customer base in support of delivering more effective marketing activities *Deliver insight through analysis to drive key business decisions or to address specific business questions *Be involved with customer strategy development in conjunction with other marketing groups to influence customer touch points to realise more successful interactions and improve ROI. *Develop advanced tools for a holistic view of interactions and engagements with customers as well as analysing the key drivers to results. *Develop and manage reporting of KPI's to provide metrics that are to be used to feed back into analysis and tools to influence future strategies Candidate Profile:*Experience in carrying out complex data analysis. *Have a strong analytical mindset and be experienced in tackling data sets and interpreting them in order to generate insight.*Experience in dealing with Marketing, Finance or Sales or similar business cases *Flexible and adaptable with a good general business understanding *Ability to manage internal cross-functional teams to fast-cycle strategic developments *Excellent interpersonal & negotiation skills with the ability to interact effectively throughout various functional groups and hierarchical levels. Demonstrate confidence in presenting analysis results to the business*Strong MS Excel skills (pivot tables).*Working knowledge of SAS and/or statistical modelling would be advantageous as would knowledge of statistics"	"Warwickshire, UK"	"IT"	NA	NA	NA	"£30k - £50k per annum + Excellent Benefits package"	"Sentinel IT LLP"	"Charlotte Gray "	"JS-CG/25667"	"06/12/2018 14:23:07"	"http://www.jobserve.com/GlxdJ"	NA
"Data Visualisation Analyst"	"£40 - £45 per hour"	"Uxbridge"	"Contract"	"Data Visualisation Analyst"	"Uxbridge - £40 - £45 per hour"	"Contract"	"Posted: Monday, 10 December 2018"	""	"A highly reputible FMCG organisation requires a Data Visualisation Analyst & Programmer with proven experience in either Spotfire or Tableau.Responsibilities & requirementsPrimary coding language: Various Affluence/knowledge of this language: 5+ years of experience Analyzes and designs information systems.Designs and writes application programs for the systems. Provides 24-hour daily production support to assigned system(s) to identify production problems and resolve them.Develops new programs to support.Write code in Various technologies.Create or enhance web and non-web based scientific softwareAnalyze requirementsWrite unit and acceptance testsProgram in a team environment or in pairsDesign software with objectsMust have: Strong technical writing skills with the ability to translate business requirements into functional requirementsMust illustrate: The number of Visualizations/Dashboards Candidates have built from the ground up in any platform.Must present: Strong Spotfire Technical Programming Experience - not Spotfire as a USER, hence a Programmer. DVO needs candidates capable of building visualizations in the Spotfire platform.Basic qualifications:BA/BSc or extensive experience in computer science, data science, natural science (eg chemistry), mathematics, statistics, or IT related disciplineProven Data Visualization Platform Experience: Spotfire (highly preferred), Tableau, Cognos, Business Objects or other relevant graphical platformProven Experience in an IT related area and/orProven Pharmaceutical ExperienceProven ability to manage conflicting demands and priorities and to negotiate successfullyProven ability to translate business function needs into documentable, communicable, and programmable requirementsKnowledge of basic computer skills (MS Word, Excel, PowerPoint, Outlook)Excellent written and verbal communication skillsPreferred qualifications: Demonstrated knowledge of and experience in the application of CDISC data and standardsProject management or relevant experienceDemonstrated ability to manage the outsourcing or externalization of Data Visualizations/IT Deliverables in the clinical trials setting (eg, working with CROs, academic institutions)Demonstrated direct interaction with clinical study team members of a consistently successful natureContract to start in January 2019 until December 2019 initially paying up to £45 per hour LTD/Umbrella (based on a 37.5 hour week).Networkers acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers and is part of Gattaca Plc. Gattaca Plc provides support services to Networkers and may assist with processing your application."	"Uxbridge, UK"	"IT"	NA	"11 months"	"07/09/2019"	"£40 - £45 per hour"	"Networkers"	"Kirsty Houghton "	"JS-EMP427456"	"10/12/2018 15:31:42"	"http://www.jobserve.com/GmjHd"	NA
"IT Helpdesk Support (1st/2nd Line)"	"£30k"	"Bicester, Oxford, Oxfordshire"	"Permanent"	"IT Helpdesk Support (1st/2nd Line)"	"Bicester, Oxford, Oxfordshire - £30k"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"IT Support Technician (1st/2nd Line)/IT Helpdesk Analyst  Permanent position paying c£30,000 per year Based in Bicester, Oxfordshire The Opportunity: Operating as a 1st/2nd Line IT Helpdesk Support Technician, you will provide effective IT assistance across all aspects of the business. The position is responsible for supporting and maintaining the Microsoft Server and Desktop operating systems and Microsoft Exchange environments, plus general maintenance of all IT-related hardware/software across the estate. The position provides exposure to a broad range of IT-related projects and activities. Role and Responsibilities: Provide 1st/2nd line helpdesk support to all employees for hardware, software, audio-visual, photocopiers and telephone equipment; desktop, server support and MS Exchange Install and configure software applications; Setting up and configuring new laptops and desktops Diagnosing and resolving 1st line and 2nd line technical issues To set up, maintain and organise repairs for various computing, audio visual and telephone equipment Escalating IT issues to the IT Service Delivery Manager in line with ITIL principles Setting up new users and disabling expired accounts in accordance with HR requirements Incident Management, Change Management, Problem Management, Access Management Assist with the purchase, setting up, maintenance and repair of computers, audio-visual equipment, computer-linked equipment and computer-related equipment Help produce and maintain IT data, statistics, reports, checklists and other documentation as necessary Applications: To learn more about this permanent opportunity working as an IT Support Helpdesk Technician in the Bicester area of Oxfordshire; please call and speak with Edward here at ISR Recruitment in our London offices or please send me a copy of your very latest CV and/or online profile for an immediate call back."	"Bicester, Oxford, Oxfordshire, UK"	"IT"	NA	NA	"ASAP"	"£30k"	"ISR Recruitment Ltd"	"Edward Laing "	"JS-PFLS"	"10/12/2018 18:51:18"	"http://www.jobserve.com/GmliS"	NA
"Data Scientist"	"£ Competitive"	"London (Central)"	"Contract"	"Data Scientist"	"London (Central) - £ Competitive"	"Contract"	"Posted: Monday, 10 December 2018"	""	"Summary of the work  Phase 1 = 3 pilot projects relating to financial crime: Support Pilot/POC build of a customizable transactions data simulator, initially for creating a specific type of transaction. Create taxononmy & database of data (internal and external) to identify firm risk. Customisation tool to generate data, testing sanction screening tools. Latest start date  Thursday 7 February 2019 Expected contract length  12-24 months (initially 3 months) Location  London Who the specialist will work with  Working with the customer's Data Scientists, with SMEs in financial crime and with some third party data vendors/collaborators What the specialist will work on  The customer is running a number of pilots on the use of data science focused on assessing firm effectiveness at detecting financial crime. This role is for a Data Scientist to create a customisable tool to generate data with which to test sanctions screening tools Address where the work will take place  London, E20 Working arrangements  Team will be expected to work on-site using IT with occasional visits to third party collaborators where required. Work day is 7 hours (excluding 1 hour lunch break) no weekend work is required. The customer does not pay expenses unless in exceptional circumstances and only in so far as it aligns with the customers employee expenses policy. Security clearance  Standard customer security clearance process (typically 2-3 days) Additional terms and conditions The customer are currently seeking resource for Phase 1 which is expected to last 3 months. The expectation is that Phase 1 resources will be available for Phase 2 and any further phases as approved by the customer. Essential skills and experience Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Experience with compliance databases such as BVD, Worldcheck, LegalKey, etc. Experience with PEPs, sanctions and negative media screening. Data matching: entity resolution, fuzzy matching, duplicate detection, etc. Cloud computing Nice-to-have skills and experience  Our expectation is that the sanctions monitoring workstream will require data analysis/data science, statistics and record matching skills: Solid understanding of UK and European money laundering regulations, initiatives and directives Exposure to anti financial-crime work within a UK-regulated bank and proven experience of AML/KYC requirements. Experience collaborating with 3rd party vendors "	"London (Central), UK"	"IT"	NA	"3 months +"	"Immediately"	"£ Competitive"	"Lucid Support Services Ltd"	"Resource Team "	"JS10138"	"10/12/2018 17:52:54"	"http://www.jobserve.com/Gmk3i"	NA
