"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"start_date"	"duration"	"company_summary"
"Data Engineer - London - £70,000"	"£60k - 70k per annum"	"London"	"Permanent"	"Data Engineer - London - £70,000"	"London - £60k - 70k per annum"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"My client has just come to me with an exciting new opportunity! This client is looking to devleop a team of Data Engineers to work on a new project. The client is looking for: Python experience Machine Learning experience Natural Language ProcessingData Migration experience The Main Responsibility of this role:  The ideal candidate will require great communication skills, this is needed in order to work closely with DevOps and infrastructure specialists and Data Scientists.  Another responsibility of this role will also include liaising with the Data Science team leader, under the CTO. The client deals with large sets of data which is sourced from matching engines and datasets which are used to understand the matching engine generated data. I would be happy to dicsuss this role further, please do get in touch if you would like to be considered for this role."	"London, UK"	"IT"	"£60k - 70k per annum"	"Opus Recruitment Solutions Ltd"	"Dominic Fox "	"JSDATA ENGINEER - LONDON - £70,000"	"12/12/2018 18:07:30"	"http://www.jobserve.com/GnAup"	NA	"ASAP"	NA	NA
"Front End Developer"	"£30k - £50k per annum + Package"	"Nottingham"	"Permanent"	"Front End Developer"	"Nottingham - £30k - £50k per annum + Package"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Front End Developer Front End Developer required by my globally renowned client in their Nottingham offices. My client is currently in the process of building an industry changing Data Science division, the team of skilled AI, Machine Learning, data analytics consultants will be developing new processes and ways to streamline the clients global operations. As a Front End Developer attached to this group you will be bridging the gap between Data Analytics and users. Delivering outstanding applications in conjunction with the Back End Developers to produce a seamless client experience on computer, mobile and other platforms. You will need; JavaScript VueJSThis is a great time to join this rapidly expanding company and become part of something very special."	"Nottingham, UK"	"IT"	"£30k - £50k per annum + Package"	"Sentinel IT LLP"	"Oliver Matthews "	"JS-OMFED"	"12/12/2018 09:13:08"	"http://www.jobserve.com/Gm4QZ"	NA	NA	NA	NA
"SalesForce Developer"	"£40k - £60k per annum + Benefits"	"Reading, Berkshire"	"Permanent"	"SalesForce Developer"	"Reading, Berkshire - £40k - £60k per annum + Benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"SalesForce DeveloperReading£Competitive (DOE) + Benefits A brand new opportunity for a SalesForce Developer in Reading has arisen.This position will be working for a data driven technology company who delivery award winning solutions to a variety of business. Using a combination of AI and machine learning they are ideally placed to provide digital transformation.The SalesForce Developer role will involve:Building customised solutions for clientsSupporting existing clients and building new featuresStakeholder managementAble to be customer facing and interact with clientsIdeal experience:APEX ExperienceVisualforce and SalesforceSQLEither C# or Node.JSJSONUnit testingExperience with AWS or Azure is beneficial.Please apply for this SalesForce Developer position in Reading with your latest CV."	"Reading, Berkshire, UK"	"IT"	"£40k - £60k per annum + Benefits"	"Southern Lights"	"Toby Greet "	"JS-3333"	"10/12/2018 14:46:42"	"http://www.jobserve.com/GmibS"	NA	NA	NA	NA
"Scala Developer - London - CONTRACT"	"£500 - £600 per Day"	"London"	"Contract"	"Scala Developer - London - CONTRACT"	"London - £500 - £600 per Day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Scala Developer - London - CONTRACTMarket leading travel company looking for an Agile Scala Developer (Akka, Spark, TDD, Scala) to join this team of cross-functional Agile professionals in London. You will design and write high quality, thoroughly tested Scala code working in a Test-Driven Development environment.The successful Scala Engineer (Akka, Spark, TDD, Scala) will have great functional programming experience and must have the ability to work with several other technologies including AWS, Spark, Akka and Play. Must also have good experience working within highly Agile environments hosting with Kubernetes and Helm.  This is a great opportunity for an enthusiastic Scala Engineer (Akka, Spark, TDD, Scala) looking for a company and team where you can work with cutting edge technologies such as Scala, Play and Akka technologies in highly collaborative environments. Key skills:Scala, SparkTDDAgile and XP practices (Scrum, KanBan, Lean, XP, Pair Programming)Experience of cloud technologies (such as AWS)No SQL databases (Cassandra)REST and PlayExperience of Machine LearningBig Data (Kafka)Experience of a range of frameworks (Akka, Mesos)Ability and willingness to adapt and learn new techniquesThe offer:Highly competitive daily rateThe opportunity to work with cutting edge technology in a market-leading organisationVibrant location close to several restaurants, bars and transport linksRegular social eventsIf you are an experienced Agile Scala Developer Akka, Spark, TDD, Scala) looking for your next contract role in London, then please apply to this ad I will be in touch with more details."	"London, UK"	"IT"	"£500 - £600 per Day"	"Oliver Bernard"	"Rory Stahelin "	"JS-SK1212"	"12/12/2018 16:54:38"	"http://www.jobserve.com/Gm9nb"	NA	NA	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."
"Java Developer - Java 8, Spring, AWS - Media"	"£60k - £80k per annum"	"London"	"Permanent"	"Java Developer - Java 8, Spring, AWS - Media"	"London - £60k - £80k per annum"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Java Developer - Java 8, Spring, AWS - MediaJava Cloud Developer (Microservices, AWS, Spring, Java 8) within an Agile/DevOps environment employing strong TDD/BDD and Continuous Deployment practises.The Company:Market leading media company working at the forefront of technology. This innovative company is based in Central London and looking to bring in skilled developers to join the team working with REST APIs.The Role:Experienced Java Developer (Microservices, AWS, Spring, Java 8) to join a skilled, multidisciplinary team. As an enthusiastic and driven engineer, you will need to demonstrate a love of coding and a vast range of knowledge alongside the willingness to research into new technologies.The successful developer (Microservices, AWS, Spring, Java 8) will work within a driven team creating Microservices with a variety of technologies to run on cloud technology alongside Machine Learning techniques.This opportunity will give a talented engineer (Microservices, AWS, Spring, Java 8) the chance to advance his/her career by joining a company committed to promotion from within and internal training/development.Key skills:Java 8Experience of a range of frameworks (Spring Boot, Spring MVC, Hibernate, JSP/F, JEE, Maven/Gradle)Kubernetes/DockerExperience of Cloud Technologies (Azure/AWS/Google Cloud Platform)Agile and XP practices (Scrum, KanBan, Lean, XP, Pair Programming)Leadership qualitiesDevOps culture (CI/CD)SQL and NoSQLExcellent communication skillsThe offer:Highly competitive salaryBonus, pension, childcare vouchersOpportunity to upskill and see real career progressionVibrant location close to several restaurants, bars and transport linksRegular social eventsIf you are an experienced Java Developer (Microservices, AWS, Spring, Java 8) looking for your next high-profile role in London then please apply by submitting your CV and I will be in touch with more details."	"London, UK"	"IT"	"£60k - £80k per annum"	"Oliver Bernard"	"Rory Stahelin "	"JS-JF112"	"11/12/2018 16:10:55"	"http://www.jobserve.com/Gmu7l"	NA	NA	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."
"Data Scientist - Datamodelling/Supply Chain/Cloud"	"Market rates"	"Surrey"	"Contract"	"Data Scientist - Datamodelling/Supply Chain/Cloud"	"Surrey - Market rates"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Data Scientist - Datamodelling/Supply Chain/CloudMy London based client is looking for an accomplished Data Scientist to join their Data Science Centre of Excellence team. You will be responsible for building data science and analytics as a core capability to help the business become data intelligent and drive the business and organization performance. The Data Scientist will deliver advanced products at scale and work closely with the market teams to ensure that decisions are augmented with insight. This is an exciting new role in the Data Science Centre of Excellence team, which is tasked to deliver Intelligent systems at scale. *Powering Business (cross functional) and Customer Development area through data and analytics. Building out the right applications to enable business teams to move faster, with more accuracy*Work with leading geographies to create analytics products that make a significant impact on the business *Drive assisted and predictive decision-making. The future is about assisted decision-making with machines (AI/Cognitive Computing/Machine Learning) unlocking the insights from the vast deluge of consumer, customer & internal data, and presenting this in a way that is simple to understand. *Gather data and build machine learning models to solve advanced forecasting problems requiring predictive and/or prescriptive analytics Essential:*Machine learning forecasting/Statistical modelling *Supply chain Optimisation *Optimisation tools*Manipulating multi-source data *Python/R coding *Cloud architecture (preferably MS Azure) *Simulation packages eg Anylogic *Distributed computing (Hadoop, Spark) Working Knowledge *Project Management/Experience managing projects from start to finish*Prior work experience in a data science role with significant focus on Supply Chain applications *Experience working with software development teams to convert modelling approaches into scalable tools *A Passion for empirical research and for answering hard questions with data *Ability to apply an agile analytic approach that allows for results at varying levels of precision*Ability to communicate complex quantitative insights in a precise, and actionable manner to business leadersClick Apply now/Contact Lianne to be considered for the Data Scientist role "	"Surrey, UK"	"IT"	"Market rates"	"Gibbs Hybrid"	"Lianne Rouissi "	"JS-LRRDS"	"12/12/2018 18:04:52"	"http://www.jobserve.com/GnAsm"	NA	NA	"6 months"	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "
"Mid-Level Java Developer - Java 8, Spring, AWS - Media"	"£60k - £75k per annum"	"London"	"Permanent"	"Mid-Level Java Developer - Java 8, Spring, AWS - Media"	"London - £60k - £75k per annum"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Mid-Level Java Developer - Java 8, Spring, AWS - MediaJava Developer (Microservices, AWS, Spring, Java 8) within an Agile/DevOps environment employing strong TDD/BDD and Continuous Deployment practises.The Company:Market leading media company working at the forefront of technology. This innovative company is based in Central London and looking to bring in skilled developers to join the team working with REST APIs.The Role:Experienced Mid-Level Java Developer (Microservices, AWS, Spring, Java 8) to join a skilled, multidisciplinary team. As an enthusiastic and driven engineer, you will need to demonstrate a love of coding and a vast range of knowledge alongside the willingness to research into new technologies.The successful developer (Microservices, AWS, Spring, Java 8) will work within a driven team creating Microservices with a variety of technologies to run on cloud technology alongside Machine Learning techniques.This opportunity will give a talented engineer (Microservices, AWS, Spring, Java 8) the chance to advance his/her career by joining a company committed to promotion from within and internal training/development.Key skills:Java 8Experience of a range of frameworks (Spring Boot, Spring MVC, Hibernate, JSP/F, JEE, Maven/Gradle)Kubernetes/DockerExperience of Cloud Technologies (Azure/AWS/Google Cloud Platform)Agile and XP practices (Scrum, KanBan, Lean, XP, Pair Programming)Leadership qualitiesDevOps culture (CI/CD)SQL and NoSQLExcellent communication skillsThe offer:Highly competitive salaryBonus, pension, childcare vouchersOpportunity to upskill and see real career progressionVibrant location close to several restaurants, bars and transport linksRegular social eventsIf you are an experienced Mid-Level Java Developer (Microservices, AWS, Spring, Java 8) looking for your next high-profile role in London then please apply by submitting your CV and I will be in touch with more details."	"London, UK"	"IT"	"£60k - £75k per annum"	"Oliver Bernard"	"Rory Stahelin "	"JS-MD1312"	"12/12/2018 16:59:01"	"http://www.jobserve.com/Gm9r6"	NA	NA	NA	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."
"Data Scientist"	"£30k - £44k per annum"	"Brighton, East Sussex"	"Permanent"	"Data Scientist"	"Brighton, East Sussex - £30k - £44k per annum"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Essential experience required:University degree in a STEM subject or equivalent.Experience using Python, Java or MATLABDetailed knowledge of data manipulation tools (SAS/SQL)Experience of visualisation tools such as Power BI Key Responsibilities:Support all area of the Commercial Development and Insight Team.Assist where necessary to enable the senior actuaries to:Analyse internal and external data to provide insight to the team.Use machine learning, data mining and statistical techniques to create new scalable solutions for business problems.Develop ne and existing products by providing data analysis expertise."	"Brighton, East Sussex, UK"	"IT"	"£30k - £44k per annum"	"Harvey Nash IT Recruitment UK"	"Jack Nelson "	"JS-353193/001"	"11/12/2018 16:26:12"	"http://www.jobserve.com/GmvHz"	NA	NA	NA	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."
"Data Scientist - £80,000 - Shoreditch"	"£70k - £80k per annum"	"London"	"Permanent"	"Data Scientist - £80,000 - Shoreditch"	"London - £70k - £80k per annum"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Data Scientist - £80,000 - ShoreditchAre you an experienced data scientist looking to join an innovative, fully finded start-up that are making real changes to a growing industry? Do you want to work with next generation software using leading cutting edge techniques?You will be:Helping them become a data driven organisation! The work will be a mixture of research and data mining through to implementing and continuously improving their algorithms with the Engineering team. You will be able to see real business benefit and growth from each initiative/delivery.You will need:Previous practical experience training machine learning models using a framework such as SciKitLearn, Tensorflow or similarProven delivery and deployment of ML framework and implementation in a production environment, including building pipelinesStrong working experience in Python (SciPy)SQL and not being afraid of analysing real-world messy data.Knowledge of visualisation toolsExperience using a range of Statistical Modelling and/or Machine learning techniques (Regression, Clustering, Decision Trees) and Model Selection (eg Cross validation, AIC)"	"London, UK"	"IT"	"£70k - £80k per annum"	"Harvey Nash IT Recruitment UK"	"Evie Orros "	"JS-349404/001"	"10/12/2018 18:39:42"	"http://www.jobserve.com/GmlNH"	NA	NA	NA	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."
"Senior Quantitative Analyst/Developer"	"£70k - £100k per annum"	"City of London"	"Permanent"	"Senior Quantitative Analyst/Developer"	"City of London - £70k - £100k per annum"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Senior Quantitative Analysst/Developer sought by leading financial trading company based in city of London. Key Responsibilities. Analyse unique proprietary data sets. Create and enhance mathematical models and streaming analytics pipelines.. Tackle problems faced by world's largest asset managers.. Write production codeEssential experience required:. 5+ years relevant experience.. Bachelors' degree or higher in Computer Science, Mathematics or related technical focus.. Strong foundation in a STEM/numeric discipline.. Proficiency in a mainstream programming language, such as Python, C/C++, C#, Java, JavaScript, Haskell or similar.. Significant experience with machine learning libraries/frameworks (TensorFlow preferred) and methods.. Expertise in software development practises. Please apply within for further details or call. Jack Nelson Harvey Nash - Finance and Banking"	"City of London, UK"	"IT"	"£70k - £100k per annum"	"Harvey Nash IT Recruitment UK"	"Jack Nelson "	"JS-351510/001"	"11/12/2018 15:21:09"	"http://www.jobserve.com/GmutL"	"Executive"	NA	NA	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."
"Senior Quantitative Analyst/Developer"	"£90k - £110k per annum"	"City of London"	"Permanent"	"Senior Quantitative Analyst/Developer"	"City of London - £90k - £110k per annum"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Senior Quantitative Analysst/Developer sought by leading financial trading company based in city of London. Key Responsibilities. Analyse unique proprietary data sets. Create and enhance mathematical models and streaming analytics pipelines.. Tackle problems faced by world's largest asset managers.. Write production codeEssential experience required. 5+ years relevant experience.. Bachelors' degree or higher in Computer Science, Mathematics or related technical focus.. Strong foundation in a STEM/numeric discipline.. Proficiency in a mainstream programming language, such as Python, C/C++, C#, Java, JavaScript, Haskell or similar.. Significant experience with machine learning libraries/frameworks (TensorFlow preferred) and methods.. Expertise in software development practises. Please apply within for further details or call. Jack Nelson Harvey Nash - Finance and Banking"	"City of London, UK"	"IT"	"£90k - £110k per annum"	"Harvey Nash IT Recruitment UK"	"Jack Nelson "	"JS-351510/001"	"11/12/2018 10:02:43"	"http://www.jobserve.com/GmtDM"	"Executive"	NA	NA	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."
"Data Scientist - Customer Facing"	"£60k - 110k per year"	"London"	"Permanent"	"Data Scientist - Customer Facing"	"London - £60k - 110k per year"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"One of the most exciting specialist data science consultancies with offices across the globe are looking for a Data Scientist to join their team in London. The role will be a customer facing role but with a large technical aspect, therefore they will be looking for a data scientist from a strong technical background with exceptional communication skills. There will be an element of travel that comes with this role.The company is scaling up substantially and are extremely ambitious so now is a great time to get involved as they transition from start-up to globalleader.Essential skills:MSc or PhD in Computer Science, Machine Learning or similar quantitative field (a PhD is highly beneficial)A minimum of 2+ years experience in a commercial data scientist positionExceptional communication skillsWorking knowledge of Python or R (knowledge of both is preferred)Experience with a variety of machine learning techniquesStrong knowledge of predictive analyticsExperience working in a customer facing data scientist position is highly beneficial but not essential for this position.Unfortunately sponsorship cannot be provided for this position, therefore you must be eligible to work in the UK without sponsorship to be considered. The salary bracket for this role is £60,000 to £110,000 per annum Dependent on experience and they are looking to get the successful candidate started ASAP with interviews starting immediately. If this role seems like it is of interest to you and you fit the requirements for the role please apply today by sending your CV to (see below) or call Luke for further details."	"London, UK"	"IT"	"£60k - 110k per year"	"X4 Group"	"Luke Tomaszko "	"JSCFDS"	"07/12/2018 16:33:35"	"http://www.jobserve.com/Gl6o3"	"Executive"	NA	"permanent"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"
"Principal Data Scientist"	"£Market"	"London"	"Contract"	"Principal Data Scientist"	"London - £Market"	"Contract"	"Posted: Tuesday, 11 December 2018"	""	"Principal Data Scientist Whitehall resources are currently looking for a Principal Data Scientist Key Requirements:- Designs and delivers Data Science insight products, across development phases - Selection of tools and methods for best outcome, including best use of existing tools - Feedback on relative strengths and weakness of overall analysis approach based upon data features and tool method selection - Expert knowledge and experience in mathematical and statistical modelling techniques - Experience and knowledge across machine learning, graph analytics, deep learning, text analytics including NLP and topic modelling- Production of data visualisations that can be consumed by non-technical colleagues - Use of version control, unit testing, construction of test data and other methods to ensure robust quality assurance of outputs Key Skills: - Software engineering and deployment tools eg Docker, Jenkins, Kubernetes etc. - Knowledge of wide variety of standard Open Source tools for a variety of tasks including data storage, analysis, searching etc. including: - Python Scripting (especially in relation to the scikit-learn and pandas libraries), - PostgreSQL language, - Neo4J (especially the Cypher graph query language) - ElasticSearch - Spotfire - Gitlab - Bash Scripting - Scala/Spark and especially streaming architecturesAll of our opportunities require that applicants are eligible to work in the specified country/location, unless otherwise stated in the job description."	"London, UK"	"IT"	"£Market"	"Whitehall Resources Ltd"	"Liliana Ferreira "	"JS-JS/LF/34764"	"11/12/2018 12:34:26"	"http://www.jobserve.com/GmuHM"	NA	NA	NA	"About Whitehall Resources Ltdwww.whitehallresources.co.uk/?utm_source=Referer&utm_medium=Link%20and%20text&utm_term=SAP%20Oracle%20IT%20Recruitment&utm_content=Jobserve%20Directory&utm_campaign=JobserveWhitehall Resources is the leading SAP, Oracle and IT recruitment specialist. We have a strong focus on these verticals and speak with thousands of active and passive candidates per month – we know our markets better than anyone else. We have divisions focussed on each technology and teams within those focussing on the UK, Europe, Middle East and North Africa. In ten years of business, we have grown to over 800 clients, 10,000 placements and have worked with one-third of the FTSE 100. We deliver the best candidates, most suited to any given role – our clients trust us, returning time and time again.Get in touch via our website or give our expert consultants a call to register your CV!"
"IoT/Big Data Project Manager Contracts"	"£500 - 550 per Day"	"London"	"Contract"	"IoT/Big Data Project Manager Contracts"	"London - £500 - 550 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Project Manager ContractsIoT/Big Data/Data AnalyticsMultiple Positions Available£500-550/day plusX4 Technology are currently recruiting for multiple IoT/Big Data Project Manager contract positions for a client in central London. Joining a brand new team in an industrial client with responsibility for curating, designing, developing and commercialising cutting edge digital technologies in the IoT, Big Data, Data Analytics, M2M, Machine Learning etc. space.On a daily basis the successful IoT/Big Data Project Managers will be working with project teams of Product Owner, Data Scientists, Data Engineers and business SMEs in addition to interfacing with a consulting partner to incubate new ideas. To be successful in the role, the IoT/Big Data Project Managers should be able to demonstrate:Background managing digital projects in the IoT, Big Data, Data Analytics, M2M, Machine Learning etc. spaceExperience delivered digital projects into the Industrial Automation, Construction or Automotive sectors would be a plusExcellent agile project management skill set - experience leading scrums, sprints, retrospectives etc. Technically minded with strong ability to synthesise complex sets of dataStrong communication, proven stakeholder management and ability to motivate teamsThe client are looking to arrange first stage face-to-face interviews next week for these exciting IoT/Big Data Project Manager contract roles so please apply online for immediate consideration. "	"London, UK"	"IT, Construction"	"£500 - 550 per Day"	"X4 Group"	"Doug Beck"	"JSDB/PM/IOT/BD"	"07/12/2018 15:24:01"	"http://www.jobserve.com/Gl6Kh"	NA	NA	NA	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"
"Data Scientist - World class team in Manchester"	"£30k - £45k per annum + Share Options & Bonus"	"Manchester"	"Permanent"	"Data Scientist - World class team in Manchester"	"Manchester - £30k - £45k per annum + Share Options & Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Data Scientist needed by a genuinely world class team in the heart of Manchester, building a first of its kind AI product. This is a unique opportunity to join a growing organisation who have been one of Manchester's biggest success stories in the last few years. They are constantly striving to improve, hiring some of the best people in the UK across the business, whilst fiercely guarding their culture.You: You will ideally be either a Data Scientist at the moment or someone coming from a highly numerical background doing something an MSc or PhD.The team appreciate that if you can solve complex problems, deal with complex data sets and turn that information into something actionable - you can become a top Data Scientist. From a technical perspective, ideally you will have experience (commercial or academic) of most of the following: * Machine Learning/Data Mining/Natural Language Processing (NLP)/Neural Networks/Deep Learning* Statistical Packages or Languages such as: R, SPSS, SAS, S-Plus, Python, MATLAB and STATA* RDBMS - Open Source, NoSQL and any knowledge of SQL Server* Any understanding or previous knowledge of: Markov Models, Cluster Analysis, Statistics and Reliability Models* Big Data tools such as: Hadoop/Pig/Hive/HBase/Cassandra/Spark/SplunkThe Role:As you will be working for a Data Analytics company, technical & mathematical problems are par for the course. You will be dealing with a mix of clients from global FTSE 100 organisations to local companies so will need to be able to communicate with them at both a technical and non-technical level. One of the reasons they have been so successful is the attention to detail and understanding of their customers exact problem.One of the biggest areas for our client is the desire to continue your professional development, keeping abreast of the ever-changing world of data, attending meet-ups, experimenting with new techniques/technologies and generally immersing yourself in all things data science.If you're on the lookout for a big pay day, or to work in a behemoth organisation where you'll be a small cog in a big wheel, this is definitely not the role for you.However, if you are ambitious and up for a challenge - it could be perfect.The Company:A genuine North West success story, you will be joining an organisation who have really exploded onto the scene in the last couple of years and have helped solidify Manchester as a genuine tech Powerhouse.With a stellar leadership team, who are constantly pushing the boundaries and striving to achieve more, you will be working for an organisation that is trying to be one of the very best on the planet. With the way they are going - this will become a reality!They provide various data analytics solutions to customers across the country, from models for forecasting and sales pipelines, to entire end to end data science solutions - this team can do it all.Having already out-grown two offices, they have moved into a custom fit space in the heart of Manchester, which is easily one of the best spaces in Manchester (if not the whole country). Application & Interview Process:To apply for this role, click on the link below and feel free to get in touch with Liam at Cathcart Associates for a more detailed chat.The interview process for this role is an informal chat with one of the Lead Data Scientists, followed by a more in-depth technical chat with the Director of Data Science and a final cultural chat with the CEO, who is still very much hands on when it comes to building the team."	"Manchester, UK"	"IT"	"£30k - £45k per annum + Share Options & Bonus"	"Cathcart Associates Limited"	"Liam Wilson "	"JS-VR/20250"	"07/12/2018 16:14:26"	"http://www.jobserve.com/Gl6ZW"	NA	"ASAP"	NA	"About Cathcart Associates Limitedwww.cathcartassociates.comCathcart Associates is a market leading, independent IT / Technology consultancy offering permanent and contract services across Scotland and the North of England for all technical disciplines."
"Fullstack Developer - Angular + Python"	"£45k - £65k"	"Winchester, Hampshire"	"Permanent"	"Fullstack Developer - Angular + Python"	"Winchester, Hampshire - £45k - £65k"	"Permanent"	"Posted: Thursday, 13 December 2018"	""	"Role: Fullstack Developer - Angular + Python Status: Permanent Location: Winchester Salary: £45,000 - £65,000 Overview Are you a full stack developer with Angular and Python experience? We have an opportunity to work with a client of ours on a role where you will be taking their Brand researching tools to the next level. They are looking for experienced developers to assist with leading the team and continuing to develop solutions for Law firms. To be successful * Must have experience with Angular (ideally Angular 2) * Must have experience with Python (any version) * Experience with HTTP protocol * God understanding of HTML/CSS * Experience with MongoDB * 2 - 3 year's software experience Desirable * Knowledge Linux * Knowledge of Machine Learning and image search * AWS/Azure/Other Cloud systems * Experience working with algorithms This is a Full time position offering flexible working hours. The company are at a growth stage and are currently using Angular 2 but plan to upgrade to Angular 3 soon. This is an exciting opportunity as you will be working on challenging projects in a relaxed environment. My client offers an attractive benefit package and would require you to be able to work in the Winchester area. This is a position for experienced developers with experience with both Front End and Back End development."	"Winchester, Hampshire, UK"	"IT"	"£45k - £65k"	"SQCP Ltd"	"Justin Oduro "	"JS/X9/1005"	"13/12/2018 13:27:00"	"http://www.jobserve.com/GkgU1"	NA	"ASAP"	NA	"About SQCP LtdSQ Computer Personnel Ltd is one of the largest privately owned IT Recruitment Consultancies in the UK, supplying both contract and permanent IT & Projects staff. We were established in 1984 and have offices in London and Dubai, catering for a client base spread throughout the UK, Europe and the UAE.Our specialisation is in recruiting the IT & Projects professionals who plan, support, develop, implement and improve the IT systems that businesses rely upon and our client base consists of organisations from a variety of industry sectors including:Financial ServicesEnergy TradingCard PaymentDigital & New MediaRetailE-learning & TrainingSMEs "
