"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"duration"
"Senior Digital Project Manager - Media/Broadcasting"	"£45k - £65k per annum + Benefits + Bonus"	"London"	"Permanent"	"Senior Digital Project Manager - Media/Broadcasting"	"London - £45k - £65k per annum + Benefits + Bonus"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Digital Project Manager - Media/BroadcastingOne of the UK's biggest, most reputable and most award winning media broadcast companies are looking for a Lead Digital Project Manager to join their Digital division. You'll be working alongside some of the most talented digital minds in the industry across a portfolio of platforms. You'll be an important part of the planning, scoping and management of the project roadmap, and for the coordination of the rest of the team. You'll keep BAU work flowing through the team and keep stakeholders in touch with what's going on. A proactive nature and keen eye for detail is essential.Digital Project Manager - Media/Broadcasting Requirements:Help establish and refine working practices within the team, particularly the agile process and product managementAbility to multi-task and work a combination of BAU and Project driven work across web, social, mobile apps and consumer devicesManage the day to day production requirements of specific projectsManage stakeholder's requirements, keeping them informed throughoutContribute to daily stand-ups together with the other PMs to ensure the team is clear on their tasksBreak projects down into stories that clearly state the story requirements, test cases, size and any further informationContribute to the sprint planning process to accurately size stories, establish team velocityContribute to sprint showcases to inform the wider business of progressLead Digital Project Manager - Media/Broadcasting Requirements:3+ years in Digital Project Management, and a thirst to get your teeth stuck into some high profile digital projects for the businessExperience in leading and coaching other junior Project Manager's would be a plusProven ability to construct web builds and have the ability to drive project deliveryExperience driving teams to meet tight deadlines, maintaining momentum and quality of workExperience and understanding of Agile Project Management Methodologies Ideally will have worked on a VOD project but not essentialExperience within the broadcasting/tv/media industries is a huge plusHave experience working on projects from start to finish This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT, Media"	"ASAP"	"£45k - £65k per annum + Benefits + Bonus"	"Salt"	"Fabio Calvente "	"JS-JO-1811-142616"	"03/12/2018 10:29:53"	"http://www.jobserve.com/GlNHc"	NA	NA
"Digital Project Manager"	"£23k - £31k per annum + great Benefits"	"Tamworth"	"Permanent"	"Digital Project Manager"	"Tamworth - £23k - £31k per annum + great Benefits"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"A growing online education business and membership body is seeking a Digital Project Manager to support the customer service teams and key stakeholders delivering their new technical solutions.You'll play a vital role in the delivery of new technology by creating project documentation to support the delivery of projects aimed at driving customer satisfaction and quality levels from beginning to going live. You will develop your project management skills, delivering digital projects, resolving technical obstacles, including platform integrations and performance enhancements.Role and Responsibilities: * Manage digital and technical projects of various sizes. * Be an advocate for digital, technical/IT systems improvements and undertake digital and IT product testing. * Update internal and external teams on project status and contribute to process improvement. * Run regular meetings with internal stakeholders, suppliers, external technical and engineering teams, developers, designers and UX specialists, explaining requirements and answering questions, identifying errors, diagnosing issues, capturing requirements, identifying solutions and tracking freelance spend. * Working with cross-functional teams and managing relationships with third-party contractors and suppliers to implement features, drive improvements and develop technical strategies * Manage supplier and service provider contracts, adherence to SLA's and KPI'sTo be suitable for this role you must have/be:* Previous experience of delivering digital projects. * Confident to deliver project management processes and manage teams of developers, testers, UX, content and creative. * Familiarity with UI/UX principles and experience of working with CRM, CMS, digital learning platforms, digital web technology, mobile apps, progressive Web Apps (PWA) and Microsoft Dynamics desirable. * Experience of conducting product testing, creating test scripts, functional specifications and evaluating and suggesting improvements and enhancements. * Able to use MS Office, Google Apps, experience of E-commerce, online marketing and analytics. * Assertive and confident communicator (verbal and written), including presenting and influencing to senior management level and external stakeholders. * Customer and quality focussed, enjoys building strong relationships and interacts well with multiple stakeholders and audiences at all levels. * An understanding of agile methodologies (desirable). * Previous experience of running CRM queries, reports and dashboards would be advantageous. * Able to produce documents to a high standard with meticulous attention to detail. * Able to work autonomously, prioritise own workload and help others to prioritise theirs. * Super organised, a problem solver with a passion to track details. * Degree (or equivalent) in computer science or related technical/technology-related experience is desirable. * Hold a full UK/EU Drivers Licence. If you feel you would be a strong candidate for this role please send a copy of your CV with ASH17313WC in the subject line of the email.The Ashdown Group Ltd acts as an employment agency in respect of permanent vacancies and as an employment business in respect of temporary vacancies."	"Tamworth, UK"	"IT"	NA	"£23k - £31k per annum + great Benefits"	"Ashdown Group"	"Will Cusack "	"JS-ASH17313WC1"	"29/11/2018 17:17:26"	"http://www.jobserve.com/Gkjzv"	NA	NA
"Digital Project Manager"	"£500 - 550 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £500 - 550 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"A legal body in London is on the lookout for an experienced and hands-on Digital Project Manager to join them on an initial 3 month contract with a day rate offering up to £550. Currently undergoing a digital transformation, they are seeking an Agile/Scrum professional that can lead on a range of complex & large-scaled diverse projects with budgets close to £2m.The organisation is a membership service that offers a support & advisory service to approximately 160,000 professional across the UK and as such, they're looking for a Digital PM that is adept with understanding how to improve & enhance the customers' digital experience by leading on related projects.Key Responsibilities:Lead & manage a team of professionals on diverse digital projects including website improvements that enhance the functionality and experience for usersSetting up Scrum teams & acting as Scrum MasterManage large financial budgets in excess of £2mLiaise & engage with a range of stakeholders, including: project sponsors & 3rd party vendorsProviding guidance and sound advice to stakeholders that sit at all levels within the organisationBe a knowledge pool for all interested partiesDeliver project documentation that is clear, concise and transparentUse Agile/Scrum experience to run sprintsEssential Skills:Demonstrable experience of Matrix managementManagement of financial budgets of up to £2mStrong system integration & interface experience (UX/UI)Stakeholder management - you will need to influence some individualsComplex digital & web focused project deliveryExperience of acting as a Scrum Master for similar size projectsThe client is looking for a passionate, self-starter who is solution-focused and can work on projects that include: Smarter working, enhancing membership experience and transitioning to a new CRM platform."	"London, UK"	"IT"	NA	"£500 - 550 per Day"	"InterQuest Financial Markets"	"Natalie Wattenbach"	"JSCDP"	"28/11/2018 11:03:12"	"http://www.jobserve.com/GkXD7"	NA	NA
"Digital Project Manager"	"£250-£300 Per Day"	"London Arena"	"Contract"	"Digital Project Manager"	"London Arena - £250-£300 Per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"DIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START My client a marketing agency based in London are currently looking for a Digital Project Manager to start immediately for a 3 month contract based in London.You must have experience in the following:- Managing small to mid sized website projects- Producing other creative content such as video, illustration and copy- Understating of AGILE PM methodologies- Understanding platforms such as (Jira)Your day to day duties will include:- Working on end to end projects - Working with the client- Managing all projects (small to mid)- Creating time lines.Please do get in touch if this sounds like the role for youDIGITAL PM|LONDON BASED|250-300 PER DAY|ASAP START"	"London Arena, UK"	"IT"	"ASAP"	"£250-£300 Per Day"	"Opus Recruitment Solutions Ltd"	"Alex White "	"JSDIGITAL PM"	"03/12/2018 14:34:07"	"http://www.jobserve.com/GlQAw"	NA	"3-6 months"
"Agile Digital Project Manager"	"£500 - £600 per Day"	"Newcastle upon Tyne"	"Contract"	"Agile Digital Project Manager"	"Newcastle upon Tyne - £500 - £600 per Day"	"Contract"	"Posted: Friday, 30 November 2018"	""	"Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day Are you an agile advocate with a focus on delivering large digital transformation projects?You will have experience of complex integration and delivery of digital projects in an Agile environment within a digital and marketing team, with experience dealing with stakeholders at a traditionally waterfall company! This establishment is going through a significant digital change programme, and you will head up a project around marketing automation, Web CMS, Management information system and other Saas outbound marketing and content systems.There are some specific business needs that need to be delivered by March 2019 which include having a clear direction and architecture in place to deliver, along with a POC.You need to be able to speak at an exec level and have delivered complex Agile Digital projects.There is flexibility to work from home 1-2 days per week, if you are living outside of Newcastle and staying over during the week.Agile Digital Project Manager, Newcastle, 6 Month initial contract £500-£600 per day"	"Newcastle upon Tyne, UK"	"IT"	"ASAP"	"£500 - £600 per Day"	"The Talent Locker"	"Mark Burgess "	"JS-16532"	"30/11/2018 09:23:10"	"http://www.jobserve.com/GkpLA"	NA	"6 months +"
"Digital Project Manager"	"£500.00 - £550.00 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £500.00 - £550.00 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Contract - London - Delivery ManagerProvide direction and leadership to cross-disciplined teams to deliver exceptional products and services for Discovery's usersWork with the discipline leads to set the vision and respective smart goals for the projects-defining how success will be measuredPartner closely with the Discovery business units and operational teams to create unified plans that drive impact on key metrics, inspire teams, rally support and deliver against the project's objectives and timelinesContinual collaboration with stakeholders (both internal and external) to identify, manage and resolve any dependencies, risks and issues throughout the life cycle of the projectContract - London - Delivery ManagerThis job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT"	"10/12/2018"	"£500.00 - £550.00 per Day"	"Salt"	"Kiran Jabbal "	"JS-JO-1811-143025"	"29/11/2018 17:37:24"	"http://www.jobserve.com/Gkj9j"	NA	"6 months"
"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Up to £50k per annum"	"Fareham"	"Permanent"	"E-Commerce/Digital Project Manager - Fareham - To £50k"	"Fareham - Up to £50k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Initially a maternity cover role for 9-12 months, possibly longer but with further opportunities likely beyond that.E-commerce Project Manager to work for growing IT Solutions Provider on one of their flagship client sites to oversee delivery of enhancements, features and upgrades across their eCommerce platform covering Europe, the Middle East and Africa (EMEA). Supported on site by other colleagues to ensure the highest standard of service to the client.SummaryWorking in a fast paced delivery motivated multi-project environment, the role will be responsible for the project coordination and delivery of projects to the E-commerce and digital platform across the EMEA region. Working with Global, Regional, Affiliate business and technical teams to ensure projects are successfully launched on time and meet business objectives.ResponsibilitiesManage and coordinate stakeholders, development and QA teams to deliver new features and enhancements to eCommerce sitesStatus reporting on a weekly, Monthly and Quarterly basis of all active projectsDeliver to existing project delivery processes and standardsWork with stakeholders and subject matter experts to produce project briefs, prioritized requirements and estimates to kick off projectsTrack risks & opportunities and provide both an effective point of escalation, and onward escalationPerform hands-on project management. Leading projects from ideation, to scoping, to planning and executionBuild and maintain detailed project schedulesManage and triage bugs during the QA phaseProduce and maintain project RAID logsTrack and report on resourcing and budget spendCoordinate regularly with Global, Operations, Brand and Deployment Teams - to ensure EMEA team coordination with Global dependency deliverables.Help communicate the pipeline and ensure project schedule changes are managed through change management process to all stakeholders and teams Team ManagementDirect and Matrix management of a project team of developers, testers and business stakeholders based on and off shoreManage and provide reporting on time spent across project and production tasksEnsure holiday bookings within the team are aligned with project plans. Work with line managers to ensure appropriate planning and visibilityDelegate effectively to manage workload and prioritizationRun regular project meetings. Ensure clear best practise in all meetings, with stated objectives, agendas. Ensure minutes are always taken listing key decisions made. Ensure room bookings are made/conference details are arrangedUnderstand key issues and perspectives to deliver viable options when challenged by barriersUnderstand business objectives and priorities to correctly deploy resourcesSkillsA strong background in web and eCommerce project delivery is a mustAbility to coordinate project delivery, understand and manage resource plans & budgetsExperience of risk analysis/mitigation strategiesExperience working with distributed teams across multiple countriesOutstanding communication skills and client facing professional attitudeStrong interpersonal skills and people skills, both inside and outside of their company'Can do' attitude to any situation with the ability to adapt and still maintain control and high level of client service skillsAttention to detail and ability to think laterally under pressureFirm but fair approach to difficult situationsControlled and methodical working practicesAbility to summarise and present complex technical information to business stakeholdersExcellent time management and prioritization skills to manage high volume workloadNatural innovator bringing fresh ideas, insights and creativity to improve as well as driveAdvantageous but not essentialPrevious roles in an IT/E-com Consultancy or Software Engineering capacityCapable proficiency using JIRAPortfolio, Project or Program Accreditation (eg MSP, PMP, MOP, AGILE etc.)Prince 2 qualification an advantageExperience in Agile and Kanban software project management methodsGrounding and/or genuine interest in digital/online and E-commerce"	"Fareham, UK"	"IT"	NA	"Up to £50k per annum"	"aap3"	"Emma Bartle "	"JS-BBBH6582"	"03/12/2018 11:05:26"	"http://www.jobserve.com/GlNl3"	NA	NA
"Senior Digital Project Manager"	""	"Northamptonshire"	"Permanent"	"Senior Digital Project Manager"	"Northamptonshire"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"About - Barclaycard Payments ServicesThe primary function for the Barclaycard Payments Services is to support the Global Payments Acceptance business and in doing so running payment transactions for 30% of the UK high street, adding business value by leveraging technology solutions and payments domain/industry knowledge. The tower also operates across Barclaycard and the wider bank providing payment solutions where the other business units are acting as a merchant or in the operation of authorisations and settlement routingOverall purpose of roleThe purpose of this role is to own the end-to-end delivery of the Merchant Services Digital Portfolio with a strategic investment of between £1m-15m SI for Barclaycard Change Management customers The Role holder may have direct reports on the project, between 5-8, and will be responsible for the following activities;Coach and mentor Project Managers on the skills and capabilities required by high performing change professionals and if appropriate deal with performance that is not meeting the required standardConduct performance reviews and oversee career management for the Project ManagersManage and provide objective feedback on change professionals during each project 'assignment'Actively participate in the Business Change Practice with regard to line management and knowledge sharingOrganisational Development (5%)Provide input into the ongoing development of the Change Management Change Management Toolkit and Project Management ToolkitPersonal & Professional Development (5%Use the Project Management Development Centre to accelerate and maintain skills level, in particular the development of professional change skill setsBecome an SME in the Change Management Change Management Toolkit and Project Management Toolkit and ensure they are utilised in the planning and delivery of change projectsRisk and Control Objective [This section is mandatory for all role profiles and must not be deleted] Personal attributes essential to performing role including competencies, expertise, knowledge, and experience. Note: experience requirements must not be in the form of years (minimum or otherwise).Essential Skills/Basic QualificationsKnowledge: mandatory (minimum) requirement:An expert understanding of Agile/Scrum frameworks, processes, practices and how to apply themAn understanding of technology, particularly related to responsive and mobile web developmentsAn understanding of toolsets for Agile/Scrum developments (eg JIRA, SLACK, CA's Agile Central) additional (optional or ideal) request:Some understanding of UX/UI Design and Rapid Prototyping, including Toolsets and FrameworksSome understanding of Data and Databases, with some understanding of Hosting/InfrastructureAn appreciation of approaches and workings of integrations, such as in APIs and Micro-ServicesUnderstanding or experience of Testing, in particular, with modern iterative development testsExperiences:Leading cross-functional teams who have designed, developed and delivered digital software productsExperience of managing direction and prioritisation of Product Owners and Stakeholders' expectationsExperience of working with Technical Architects, Database Designers, and Infrastructure/Hosting SMEsDesirable skills/Preferred Qualifications:Qualifications in Digital, Computing or Technology related subjects (eg BSc. in Computer Science)Experience or qualification in Agile Methodology would be preferableIndustry experience in Financial Services and ideally Banking (Business/Corporate preferred to Retail)Industry experience in developing solutions or digital services for Small Medium Enterprise BusinessesIndustry experience in Website Optimisation or Search Engine Advertising/Marketing for SME Business "	"Northamptonshire, UK"	"IT"	"ASAP"	NA	"Resource Solutions - Barclays"	"Barclays"	"JS-90212148"	"29/11/2018 10:02:05"	"http://www.jobserve.com/Gkgh9"	NA	NA
"Project Manager - Digital"	"£350 - £450 per Day + d.o.e"	"Glasgow, Scotland"	"Contract"	"Project Manager - Digital"	"Glasgow, Scotland - £350 - £450 per Day + d.o.e"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Our client, a well-known UK banking organisation, require the services of a Digital Project Manager for an initial 6 month contract based in their Glasgow offices. The position will be responsible for the management of projects within the digital and channels area of the bank - an area focused on using Agile & Lean delivery practices. The successful candidate will deliver significant business and IT initiatives for the organisations key stakeholders through the complete project life cycle using Agile & occasionally, Waterfall delivery methodologies.To be successful in your application, you must be able to demonstrate the following key skills and experience:*Demonstrable IT & Change Project Management experience within the Financial Services Sector (ideally banking) with good project planning, management and analysis skills. (NOT INFRASTRUCTURE).*Experience using Enterprise Project Management (EPM) & JIRA tools.*Experience of Agile project management approaches (ideally you will have both Waterfall & Agile).*Experience of managing projects with business and technology deliverables and multiple 3rd parties.*Experience of using Scrum, Kanban or SAFe*A degree of technical awareness or basic knowledge of application changes/development.3You will have exemplary communication skills, be confident in your approach to stakeholder and 3rd party engagement as well as be comfortable leading a team where necessary. If you feel you have the right skills and experience for this exciting opportunity, APPLY NOW with an up to date CV!"	"Glasgow, Scotland, UK"	"Finance"	"ASAP"	"£350 - £450 per Day + d.o.e"	"Head Resourcing Ltd"	"Sam Fergusson "	"JS-BBBH32100"	"27/11/2018 09:29:09"	"http://www.jobserve.com/GkMmQ"	NA	"6 months"
"Digital PM - Contract (6 Months)"	"450-550 per day Competitive"	"Tyne and Wear Newcastle"	"Contract"	"Digital PM - Contract (6 Months)"	"Tyne and Wear Newcastle - 450-550 per day Competitive"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"The Company:Nigel Wright are delighted to be working with one of the North East's finest education institution. They are looking to engage an experienced Digital Project Manager to run a new Integration project. They are looking to improve their marketing automation capabilities and international digital presence in order to increase the number of international students it recruits onto undergraduate programmes. Role - Digital PMContract - 6 months (high chance of extension)Rate - GBP 450 to GBP 550 per dayWhere - NewcastleInterviews on 30th December &4th/5th December - face to face in NewcastleYour new contract:To address this need, a solution has been scoped which will generate more leads, improve the applicant experience, improve conversion and provide a reporting dashboard. The solution comprises of a number of components, which must be deployed and integrated with the existing architecture and systems.These components include:A marketing automation platform (to be procured)A marketing course information database (to be procured)An identity management solution (to be procured or developed)A management information dashboard (to be developed)Web content management system (pre-existing, to be upgraded)A web server platform (pre-existing, to be upgraded)A student life cycle management platform (pre-existing)Your skills:Implementation of solutions which involve a marketing automation platformApplication of Agile principlesExperience of working within or with the Higher Education sector (or similar).Complex delivery with significant levels of integration and business process changeRelentlessly driving delivery in a federated environment with competing prioritiesManaging project teams comprising of individuals with reporting lines into other parts of the organisation.What next?Interview times have been scheduled for Friday 30th November & 4th/5th December. These are face to face interviews so you must be able to attend on these days in Newcastle. The start date is within 2 weeks. If you feel that you have the right skills then please apply now for an immediate call"	"Tyne and Wear Newcastle, UK"	"IT"	NA	"450-550 per day Competitive"	"Nigel Wright Consultancy Limited"	"Jackie Coppell "	"JS379740"	"27/11/2018 12:40:16"	"http://www.jobserve.com/GkPe6"	"Graduate"	NA
"Digital Project Managers X 2 Global Media Surrey Contract"	"£350 - £425 per Day"	"Guildford, Surrey"	"Contract"	"Digital Project Managers X 2 Global Media Surrey Contract"	"Guildford, Surrey - £350 - £425 per Day"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"Digital Project Managers X 2 - Global Media Company Guildford SURREY Contract - UrgentCornucopia has an exciting opportunity for two Contract Digital Project Managers to work for a Global Media based in Guildford. In addition working on Global E-commerce projects, Digital projects, Agile, Testing, Web/Software Development projects they require the best people to ensure they gain the most value from their technology. The role as a Digital Project Managers is on a contract basis, working within a Global Media Company which will be joining a team with creative and technically Global Team.As a Digital Project Manager you will have the following experience:- - Digital Projects - E-commerce Projects- Business intelligence - Testing- Web and Software development skills- Global ERP systems such as SAP- Agile experience - Excellent communication skills (written & verbally) Please do not hesitate to apply for this new excellent opportunity as Digital Project Manager.This would be a brilliant opportunity for someone that is looking a long term contract. If you would like more information please feel free to contact me. "	"Guildford, Surrey, UK"	"IT"	"ASAP"	"£350 - £425 per Day"	"Cornucopia IT Resourcing Ltd"	"nick fraser "	"JS-VR/05289"	"27/11/2018 13:02:52"	"http://www.jobserve.com/GkPjJ"	NA	"6 months"
"Digital Project Manager"	"50k Annual"	"Brighton, Sussex"	"Permanent"	"Digital Project Manager"	"Brighton, Sussex - 50k Annual"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Digital Project ManagerRole OverviewProject Manager with experience of managing web/eCommerce projects is required by a leading eCommerce platform based in Brighton. Candidates can expect a salary of up to £50,000 The Project Manager will be responsible for delivering a wide range of digital projects which will include the development of Content Management Systems (CMS), website redevelopment, mobile development and digital marketing projects. ClientCV Screen is working with a leading eCommerce platform based in Brighton Skills RequiredThe Project Manager will have the following experience:- Proven Project Management experience, ideally managing digital/eCommerce projects.- Experience of managing large scale web implementations Who would the role suit?The role would suit a Project Manager who has a passion for everything Digital/Web based. Location: Brighton Salary/Benefitsto £50,000 + Excellent career prospects CV Screen Ltd acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers.  "	"Brighton, Sussex, UK"	"Media"	NA	"50k Annual"	"CV Screen"	"CV Screen"	"JS3561_36545999/568235280"	"03/12/2018 11:04:36"	"http://www.jobserve.com/GlNk8"	NA	NA
"Digital Project Manager - Global Charity!"	"£38,000 - £42,000 + Excellent benefits"	"London"	"Permanent"	"Digital Project Manager - Global Charity!"	"London - £38,000 - £42,000 + Excellent benefits"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Job Description Digital Project Manager - Global Charity!An exciting opportunity has arisen for a Digital Project Manager with experience delivering multi-channel Digital Projects to join this award winning global charity based near Battersea, London. You will take the lead on Digital project delivery within a hugely worthwhile and collaborative environment. The Digital Project Manager will lead on a website redesign as well as the delivery of multiple global initiatives! The charity are looking for you to help grow the function with you as the lead!Skills required for the Digital Project Manager:Multi - project delivery experienceGood knowledge of Agile methodologyExperience working with stakeholders and 3rd partiesPrevious work in charity sector is ideal (not necessary)Digital Project Manager - Global Charity!Location: Battersea, LondonSalary: £38,000 - £42,000 + Excellent benefits Apply now for immediately consideration regarding this excellent opportunity! Understanding Recruitment is acting as an employment agency for this vacancy. "	"London, UK"	"Community"	NA	"£38,000 - £42,000 + Excellent benefits"	"Understanding Recruitment"	"Understanding Recruitment"	"JS9D9F2902/588872205"	"29/11/2018 13:39:23"	"http://www.jobserve.com/Gki8y"	NA	NA
"Digital Project Manager"	"40k "	"Chester, Cheshire"	"Permanent"	"Digital Project Manager"	"Chester, Cheshire - 40k "	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"This role is based in Liverpool but easily commutable from Chester!   Calling all Digital Project Managers! Join a highly successful agency in Liverpool as their new Digital Project Manager and work with multi-million pound clients, whilst enjoying regular nights out, flexi-time, key training to develop further in your role and much more!  With over two decades experience within the digital industry, our client is certainly a force to be reckoned with. As an agency, they pride themselves on delivering high-quality, innovative digital solutions to some of the biggest brands in the world, therefore, it will come as no surprise that they have won multiple prestigious awards over the years. Due to an increase in new business, the company is now looking to hire a hard-working Digital Project Manager to join the very sociable team! The Digital Project Manager will be responsible for managing a strong client portfolio of high profile clients. They will also manage the digital production workload, taking care of briefs and allocating workload to the digital studio, therefore, the successful candidate will demonstrate an ambitious attitude as well as an understanding of Magento. The Main Responsibilities of the Digital Project Manager:  Manage workflow and digital campaign production on allocated accounts to meet quality, financial and delivery requirementsDeal with client requests providing exceptional customer service, quickly, quality and responsesTake digital production briefs and raise any missing detail with the client in order to fully satisfy company briefAllocate Digital Studio workload reviewing and maintaining a weekly workflow scheduleEnsure quality control is applied at all stages of the process with both internal teams and with external suppliersThe Key Skills and Attributes Required:  Experience within a similar roleMagento experience is vital for the roleEnthusiastic, energetic and keen to succeedSolution finder and problem solverHighly organised and calm under pressureConfident and clear communicator and able to deal with clients of all levelsPositive and resilient in a high workload, high energy environmentIf this sounds like you then do not hesitate and apply today! "	"Chester, Cheshire, UK"	"Media"	NA	"40k "	"The Candidate Ltd"	"The Candidate Ltd"	"JS3561_36646480/581812784"	"29/11/2018 13:02:48"	"http://www.jobserve.com/Gkiyn"	NA	NA
"Senior Digital Project Manager/Delivery Manager"	"£40K-£50K"	"Bristol"	"Permanent"	"Senior Digital Project Manager/Delivery Manager"	"Bristol - £40K-£50K"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"We are looking for a talented Senior Digital Project Manager/Senior Delivery Manager to join a fantastic digital marketing and tech agency in Bristol. You'll get to work on some very cutting edge tech projects for two huge clients - one is a charity and the other is a well known consumer brand. If you are an experienced Senior Digital Project Manager, Project Director, Delivery Manager or have a similar job title, then please get in touch! The experience we need.- A proven track record as a Senior Digital Project Manager, successfully delivering complex, technical solution-based projects involving web developers, UX and testers.- Some experience managing more creative, content-focussed projects would be handy too but isn't essential.- You don't need to have worked in an agile environment before, but an interest/experience in this will help. The ideal candidate will have worked with both Agile and Waterfall. - Digital agency, or consultancy experience is highly desirable. - It goes without saying that you'll need have a proven track record as a project manager, delivering digital/tech projects, on time, to budget and quality.The role. The Senior Digital Project Manager/Delivery Manager will report into a Delivery Lead who is essentially an Agile coach/scrum master. The teams adopts an agile approach, but it is flexible depending on the scale and nature of projects. They still use waterfall at times too. You'll manage some ground breaking web and mobile tech projects for a well-known global brand as well as a really nice charity client. And there's lots of scope to work with other clients as well. It'll be fast-paced, hugely varied, and as tech changes in line with their clients' needs, you'll be sure to stay at the forefront of digital and tech. The company.This agency is dedicated to growing its client's brands and being impeccable problem solvers, able to find a solution to any digital marketing or technical problem. The agency is firmly established within its industry and due to their dedication to development, they stay at the very top of their game. They are known as being a fantastic place to work, filled with passionate people who love what they do, whilst also being a great bunch of people. What you'll get in return.- A highly competitive salary in the region of £40K-£50K. - Additional training budget- Contributory pension scheme - Health care benefits- Childcare Vouchers- Cycle to Work Scheme- Employee Assistance Scheme, training and career milestone- Plus, excellent staff relaxation area, free fruit and drinks at work How to apply.If this sounds of interest, then please click the apply button right away!"	"Bristol, UK"	"Media"	NA	"£40K-£50K"	"Henry Nicholas Associates"	"Henry Nicholas Associates"	"JS3561_36568415/574801617"	"03/12/2018 11:03:29"	"http://www.jobserve.com/GlNkH"	NA	NA
"Digital Project Director"	"75k Annual "	"City of London"	"Unspecified"	"Digital Project Director"	"City of London - 75k Annual "	"Unspecified"	"Posted: Wednesday, 28 November 2018"	""	"Digital Project DirectorLondonA fantastic agency based in Central London are working with an iconic British Brand, delivering a range of projects within a creative environment.As the agency continues to grow there is a need for a Project Director to join and not only mentor and manage the projects team but also implement process to ensure that the agency can still deliver successfully for its client as it grows.The agency is against overloading their project managers and will look for you to help implement strategy and recruit new PMs to ensure this does not happen.The Digital Project Director will .Lead the project team (3 at the moment) and help them to growWork closely with clients including some onsite work with one of the most innovative brands in the worldImplement process within the projects teamBe given the chance to brainstorm on ideas for new projectsEnsure that projects are resourced appropriatelyThe Digital Project Director will have .5+ Years of Digital Project Management experience within an agency environmentA collaborative approachAt least 2 years' experience working with other PMs in a mentoring or line management capacityClient facing experience preferably with account director responsibilitiesThe ability to keep excellent documentationExposure to process implementationThe ability to deliver a range of digital projects including websites and mobile applicationsA strong interest in technologies and digital as a wholeKeywords: Digital Project Manager, Lead Digital Producer, Project Manager, Senior digital project manager Producer,Senior Project Manager, Delivery Manager, Programme Manager, Programme Director, Project Director, Digital Campaign Manager, Agile, Digital Project Co-ordinator, Scrum Master, Web Project Manager, Web Designer, Web developer, Online Marketing Manager, Senior digital project manager, senior project manager"	"City of London, UK"	"Media"	NA	"75k Annual "	"Xcede Recruitment Solutions"	"Xcede Recruitment Solutions"	"JS3561_36435647/577727408"	"28/11/2018 07:28:06"	"http://www.jobserve.com/GkVld"	NA	NA
