"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Actuarial Analyst"	""	"Sussex"	"Permanent"	"Actuarial Analyst"	"Sussex"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A highly successful Sussex based insurer is currently looking to add an Actuarial Analyst to their team. This position will be very diverse - focusing on pricing, reserving and capital modelling and would be an excellent opportunity for the successful candidate to develop their career and build a well-rounded base of experience.The ideal candidate will have some prior GI experience in one of the three disciplines and a strong academic background, being educated to at least degree level. A competitive salary is on offer for this position and can be discussed upon application.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"Sussex, UK"	"Finance"	NA	NA	NA	"Eames Consulting"	"Eames Consulting"	"JS7286_82643/598778786"	"06/12/2018 11:24:18"	"http://www.jobserve.com/GlxM8"	NA
"Actuarial Analyst - Life"	"GBP"	"Edinburgh, Scotland"	"Permanent"	"Actuarial Analyst - Life"	"Edinburgh, Scotland - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to actuarial and risk work, contributing to delivery of experience analyses, IFRS reporting, local statutory reporting, economic capital calculations, pricing, model governance and project work. You will also continually reassess the operational risks associated with the role and inherent in the business, taking account of changing economic or market conditions, legal and regulatory requirements, operating procedures and practices, management restructurings, and the impact of new technology. Ability to speak French or Spanish would be an advantage, as would knowledge of Excel, VBA, SAS and/or Prophet. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Sarah O'Brien Senior Consultant M: (0) E:  "	"Edinburgh, Scotland, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82667/598778398"	"07/12/2018 15:25:58"	"http://www.jobserve.com/Gl6K1"	NA
"Actuarial Graduate"	"26k Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Graduate"	"Norwich, Norfolk - 26k Annual GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Are you a strategic thinker that loves to tackle problems? Do you have a passion for maths? Do you want to work for the UK largest insurer, who will support you to gain further qualifications? If so, why not follow in the footsteps of our previous Actuarial Graduate Scheme Trainees and your hard work could see..... click apply for full job details "	"Norwich, Norfolk, UK"	"Other"	NA	NA	"26k Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-73689/592931014"	"11/12/2018 13:16:32"	"http://www.jobserve.com/Gmuhg"	"Graduate"
"Actuarial Analyst - Life"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Life"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client is seeking a part-qualified actuary with life office experience and excellent communication and interpersonal skills to join their team in a client-facing role. Longevity experience would be useful but not essential. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82732/602260080"	"11/12/2018 11:10:56"	"http://www.jobserve.com/GmtfW"	NA
"Actuarial Pricing Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A reputable insurer is looking for an actuarial pricing analyst to join their pricing division.Responsibilities of the role include developing rating models, pricing individual accounts and monitoring performance of the portfolios.The role will require good interpersonal skills due to the need to regularly converse with senior underwriters and business unit leaders.Candidates are preferred to have at least 2 years' experience in a General Insurance actuarial role, to be a student member of the Casualty Actuarial Society or an equivalent body, with proven excellent performance in actuarial exams, mathematics or a related discipline. Pricing experience is preferred but not essential.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82604/598778618"	"06/12/2018 11:24:48"	"http://www.jobserve.com/GlxNP"	NA
"Actuarial Analyst - Reserving."	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Reserving."	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"A Lloyd's Syndicate are looking for an Actuarial Analyst to join their Reserving team and report directly into the Head of Reserving. This role is extremely front facing and you will be involved in the full reserving process. You will need to have experience of using Excel or ResQ and have completed at least yours CT exams. If this role is of interest then please contact me on the below details: T:  E:  "	"London, UK"	"Finance"	NA	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_85357/600714785"	"11/12/2018 11:10:37"	"http://www.jobserve.com/GmtfE"	NA
"Actuarial Apprentice Level 4 - Graduate"	"20250.00 Annual GBP"	"Norwich, Norfolk"	"Permanent"	"Actuarial Apprentice Level 4 - Graduate"	"Norwich, Norfolk - 20250.00 Annual GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Aviva Level 4 Actuarial Technician Apprentice Scheme - Norwich.  Are you a strategic thinker that loves to solve problems?  Do you have a passion for maths?  Do you want to work for the UK's largest insurer, who will support you to gain further qualifications?  If so, why not follow in the footsteps of..... click apply for full job details "	"Norwich, Norfolk, UK"	"Finance"	NA	NA	"20250.00 Annual GBP"	"Aviva plc"	"Recruitment Team"	"JSR-74269/592931178"	"07/12/2018 15:58:14"	"http://www.jobserve.com/Gl6Qx"	"Graduate"
"Actuarial Reserving Excellence"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Excellence"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A fantastic opportunity if you are a part-qualified or qualified actuary and have a good understanding of the Lloyd's market. Reserving knowledge is a must, and any experience of leading and managing projects will be a definite advantage. This role offers an excellent long term growth path, including scope for managing others, and working across international boundaries. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85171/598778421"	"07/12/2018 15:28:51"	"http://www.jobserve.com/Gl6MQ"	NA
"Actuary Apprentice Manager"	"GBP"	"Abingdon, Oxfordshire"	"Permanent"	"Actuary Apprentice Manager"	"Abingdon, Oxfordshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"You will provide coaching and support to our Level 7 actuary apprentices and liaise with their employer to ensure they complete the requirements of their apprenticeship on time. You will conduct regular progress reviews with the apprentices, assess their work-based evidence and assist the Director of Actuarial Apprenticeships in the running of the actuarial apprenticeships programmes, including monitoring and reporting within BPP. Initially, you will help design and implement the apprentice support programme. A good awareness and understanding of the work of an actuarial student is required. You will be at least an Associate member of the IFoA. We will consider both Full time and part time applicants. Closing date: 21 Dec. "	"Abingdon, Oxfordshire, UK"	"Finance"	NA	NA	"GBP"	"BPP Actuarial Education"	"BPP Actuarial Education"	"JS7286_85068/598778837"	"07/12/2018 15:20:44"	"http://www.jobserve.com/Gl6Jo"	NA
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects. Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials. You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management.  Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements. In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86394/602153601"	"11/12/2018 11:11:11"	"http://www.jobserve.com/Gmtfk"	NA
"Actuarial Non-life Advisor"	"GBP"	"London"	"Permanent"	"Actuarial Non-life Advisor"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client, a leading global consultancy, is seeking a part-qualified or qualified non-life actuary to assist the client engagement team on a number of core propositions including reserving; capital; and pricing projects.Providing technical input to a number of projects, you will support senior management efforts to cultivate and maintain target client relationships, including assisting with proposals and the development of sales materials.You will also support other aspects of the team's work including sales and marketing, research and development of new services, and knowledge management. Experience in reserving is a key requirement for this role, as well as experience in pricing and capital. You will also possess knowledge of Solvency II pillars, particularly the quantitative requirements.In additoon, you will have Lloyd's market experience alongside experience of economic capital modelling and UK reporting methodologies, eg UK GAAP, IFRS, PRA Returns."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4406/593978591"	"11/12/2018 11:09:25"	"http://www.jobserve.com/GmteB"	NA
"Actuarial Specialist - Life"	"GBP"	"London"	"Permanent"	"Actuarial Specialist - Life"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Major insurer has an exciting opportunity for a part-qualified or qualified life actuary to join its group function where you will support financial reporting of Solvency II whilst leading on the consolidation and reporting of the annual Group Standard Formula exercise, including comparison to Internal Model equivalents. In this key role, you will manage the delivery of timely and accurate financial results across an agreed range of financial metrics (eg Coverage Ratios, Operational Surplus Generation, Net Surplus generation, New Business Strain). You will also provide analysis and comparisons of Group forecast to actual Solvency II position at each quarter end for senior management. In addition, you will support the consolidation of, and the reporting of, risk capital results including elements relating to calculation, analysis, validation and documentation.  With a detailed understanding of SII principles, the successful candidate will also possess knowledge of IFRS reporting alongside a detailed understanding of financial and insurance risk management, including a practical knowledge of the drivers of risk capital. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85203/599836942"	"08/12/2018 09:14:08"	"http://www.jobserve.com/GmDeR"	NA
"Actuarial Analyst/Data Management"	"GBP"	"London"	"Permanent"	"Actuarial Analyst/Data Management"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Unique opportunity for an actuarial student or data analyst/programmer to join a reinsurance business. Working alongside the head of Actuarial you will have an aptitude for programming and coding in VBA/SQL and ideally experience of handling large data sets. Solid experience of data management and analysis and building models and experience of Tyche would be a bonus. An understanding of the drivers within Natural Catastrophe models would be advantageous. Strong communication skills are also essential as you will be liaising with members directly.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_82698/598778395"	"06/12/2018 09:14:49"	"http://www.jobserve.com/Glwc1"	NA
"Actuarial Analyst - Commercial Lines"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Commercial Lines"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Market-leading insurer is seeking a part-qualified GI actuary with reserving experience to be responsible for providing technical support (reserving, capital modelling and performance monitoring) in respect of insurance risk for its commercial non-motor business. With excellent communication skills, the successful candidate will possess strong IT skills, preferably including experience of VBA and ResQ or similar. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82873/598778306"	"06/12/2018 09:16:03"	"http://www.jobserve.com/Glwds"	NA
"Actuarial Pricing Analyst - Non-life"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst - Non-life"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Market-leading specialty insurance group seeks a part-qualified GI actuary with personal lines pricing experience to set and monitor rates for Pet Insurance and other lines of business, taking responsibility for the maintenance and development of the Pet risk and lifetime value models. An independent thinker and good communicator, the successful candidate will possess a good working knowledge of Microsoft Access, Excel and VBA, alongside Emblem. Experience using SQL, R/Python or similar (alongside ResQ) would be beneficial. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82630/598778565"	"06/12/2018 11:25:29"	"http://www.jobserve.com/GlxNf"	NA
"Actuarial Reserving Specialist - Non-life"	""	"London"	"Permanent"	"Actuarial Reserving Specialist - Non-life"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Are you a part-qualified or qualified actuary with detailed GI experience (eg reserving, regulatory reporting, Solvency II)? Do you relish the opportunity to develop your career within a global insurer? Then look no further. This is a fantastic career development role offering you the opportunity to work closely with the UK Reserving teams - Personal, Municipal, Commercial and Legacy - to understand and report their results, identify trends and bring insights to the senior colleagues within the wider business. You'll also liaise with other areas of the business, including Finance, Underwriting, Pricing and Capital, to develop a broad understanding of the business and promote process changes that will result in real difference. Excellent team-working, communication and interpersonal skills are essential. Contact us now for more information regarding this exciting position within a market-leading firm."	"London, UK"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85211/598778370"	"06/12/2018 09:19:50"	"http://www.jobserve.com/Glwg7"	NA
"Actuarial Reporting Analyst - Life"	"GBP"	"London"	"Permanent"	"Actuarial Reporting Analyst - Life"	"London - GBP"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Our client, a leading reinsurer, has an exciting opportunity for a part-qualified life actuary to test developments to actuarial models whilst participating in the annual Business planning exercise and providing support for the ORSA. A good working familiarity with actuarial modelling software will be essential (preferably MoSes) whilst a good understanding of various statutory and regulatory reporting bases, eg Solvency II and UK IFRS, would be desirable. An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85391/600714794"	"10/12/2018 13:06:27"	"http://www.jobserve.com/Gmhky"	NA
"Actuary - Life - IFRS 17"	"GBP"	"London"	"Permanent"	"Actuary - Life - IFRS 17"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	" A flourishing Life Insurer is looking for a nearly/newly qualified Actuary to join its fast-growing Reporting function with main focus on IFRS. - You would be responsible of IFRS & SII reporting and analysis as well as managing key stakeholders; - You would have the chance to develop your people management skills through leading a team of bright student actuaries; - You will have a lot of interaction with different teams such as Investment, Pricing, Group; - You will report into a well-known Actuarial Manager with strong expertize in the Life field. You will be a nearly or newly qualified Actuary with Life background, solid communication skills and ideally annuities knowledge. Dynamic Actuaries coming from Pensions are also welcome to apply. This is a great chance to join a UK Life leader, gain exposure across one of the most desired areas in the current market (IFRS 17) and also develop your people management skills. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82703/598778557"	"07/12/2018 16:01:19"	"http://www.jobserve.com/Gl6TY"	NA
"Actuarial Reporting Manager - Life"	"GBP"	"South East"	"Permanent"	"Actuarial Reporting Manager - Life"	"South East - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client has a fantastic opportunity for a qualified life actuary to develop and manage SII, USGAAP and UKGAAP reporting processes to provide accurate Balance Sheet and P&L results for internal and external reporting purposes.  With previous experience in life insurance valuation reporting or Solvency II, the successful candidate will possess the ability to keep abreast of SII advances, having a strong base of financial economic knowledge and statistical skills. Knowledge of using and coding in MoSes alongside knowledge of databases, particularly SQL, would be an advantage.  "	"South East, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85277/598778817"	"07/12/2018 13:32:29"	"http://www.jobserve.com/Gl5hP"	NA
"Actuarial Reserving Manager"	"GBP"	"London"	"Permanent"	"Actuarial Reserving Manager"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Key Responsibilities:  Annual delivery of reserving results Building and maintaining strong relationships with key stakeholders Communication of results, key issues, sensitivities and uncertainties Delivery of post reserving processes feeding into HY and YE results Reserving & UW variability parameterisation in conjunction with capital team Analysing and communicating trends Delivery of regular actual vs expected analysis Ad hoc deep dive analysis on key portfolios of interest Manage a team of 2 to 3 analysts A close collaboration with the reserving manager for the insurance activity of the company Qualifications/Experience: Ideally Qualified Actuary Experience of managing a cross border team Strong technical background in reserving and reinsurance Strong knowledge of accounting, including Belgian GAAP, and tax law Strong planning and time management of both own and direct team's work "	"London, UK"	"Finance"	NA	NA	"GBP"	"Emerald Group"	"Emerald Group"	"JS7286_85136/598778374"	"06/12/2018 09:19:43"	"http://www.jobserve.com/Glwg3"	NA
"Actuarial Analyst - Pricing - Leading Insurer"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Pricing - Leading Insurer"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"I am searching for an Actuarial student with Life experience to join a leading Life Insurer in their London office. The role sits in Pricing team where you will be required to develop/maintain actuarial models, tools and systems with particular focus on Solvency II capital, profit-test and Prophet models. The ideal candidate will be a part-qualified actuarial student with around 12 - 24 months experience with good exam progression. A competitive salary and other benefits are offered.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82818/598778597"	"06/12/2018 11:24:20"	"http://www.jobserve.com/GlxNA"	NA
"Actuarial Analyst - Bulk Annuity Insurer"	"GBP"	"Hove, Sussex"	"Permanent"	"Actuarial Analyst - Bulk Annuity Insurer"	"Hove, Sussex - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"FRG are searching for a part qualified actuary to join a leading Life Insurer. The ideal candidate will be making good progress in their actuarial exams, have previous experience working with Excel, With-Profits and some knowledge of Life products. They will also accept applications from excellent Pensions candidates. Desirable skills: VBA, SAS, Prophet and modelling. They are also open to looking at applicants who have stopped taking the IFoA exams but are qualified by experience. Salary, bonus and benefits are very appealing and study support is offered. "	"Hove, Sussex, UK"	"Finance"	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_82822/598778866"	"06/12/2018 11:18:20"	"http://www.jobserve.com/GlxJu"	NA
"Actuarial Analyst - Capital Modelling"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Capital Modelling"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Leading insurer has an exciting opportunity for a creative-thinking, part-qualified non-life actuary to support the development and enhancement of the Internal Model, including the design, build, test and documentation. Contributing to the parameterisation and documentation of the Internal Models, you will also support the review and challenge of the business plan alongside the production of risk appetite results. You will also contribute to the continuous monitoring of capital requirements whilst assisting with various ERM projects aimed at further embedding of the Internal Models in the strategic decision-making proces eg providing support to the reinsurance purchasing decisions. Knowledge of stochastic methods in capital modelling environments is required, as is a demonstrable aptitude for capital modelling. Experience of Capital modelling software (or ResQ, and VBA would be an advantage. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82577/598778970"	"06/12/2018 11:14:30"	"http://www.jobserve.com/GlxHI"	NA
"Actuarial Reserving Support - Non-life"	"GBP"	"Midlands"	"Permanent"	"Actuarial Reserving Support - Non-life"	"Midlands - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Our client, a leading general insurer, hs an exciting opportunityy for a part-qualified actuary with GI reserving experience for both personal and commercial lines of business to provide support through quarterly reserving analyses and ad hoc investigations. Providing technical insight into the impact of internal and external changes on actuarial claims development patterns, you will lead the design, build and checking of processes to enrich the claims data used in the GI reserving process. You will also recommend and apply improvements to current practices based on an understanding of market best practice. In addition, you will support the GI Reserving Actuary with influencing internal stakeholders and delivering new strategies for reserving. Strong analytical skills are a must, including the ability to solve complex reserving problems using analytical and statistical methods. Knowledge of the latest industry developments in GI Reserving techniques and the claims environment also essential.  "	"Midlands, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82578/598778405"	"06/12/2018 09:14:35"	"http://www.jobserve.com/Glwco"	NA
"Actuarial and Data Analyst"	"GBP"	"London"	"Permanent"	"Actuarial and Data Analyst"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"A Multi-National Insurer are looking for an Actuarial Analyst to work within their Reserving team and also assist with Data Analysis. They ideally looking for a part qualified Actuary who has had experience of Commercial Lines Reserving, but then you will need to have had exposure of using programming languages such as VBA or SQL.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_85358/600714788"	"11/12/2018 11:09:51"	"http://www.jobserve.com/GmteW"	NA
"Actuarial Reporting Analyst - Life Reinsurance"	""	"United Kingdom"	"Permanent"	"Actuarial Reporting Analyst - Life Reinsurance"	"United Kingdom"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client is seeking a part-qualified life actuary to contribute to the delivery of Solvency II results to meet quarterly and annual deadlines whilst assisting with the consolidation of SII results, review of balance sheet and other reporting items, ensuring suitable control and review. With good knowledge of MS Office and Life Insurance Products, the successful candidate will be a creative and analytical thinker. Contact us now for more information regarding this exciting career-development opportunity."	"United Kingdom"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85036/598778574"	"07/12/2018 13:14:35"	"http://www.jobserve.com/Gl5Z2"	NA
"Actuarial Analyst - Mixed Role"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - Mixed Role"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Leading Lloyd's insurer requires junior analyst to join their actuarial team in an exciting and varied role.  The position will report directly in to a senior actuary and involve elements of actuarial pricing and business planning as well as reserving and insurance risk.You will be working closely with underwriters and gaining exposure to the wider insurance business. You will need to have excellent communication skills, an ambitious nature and a consistently impressive academic record including a top class degree in a numerate subject. You will be making good progress with the actuarial exams and have experience within general insurance.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_85198/598778261"	"06/12/2018 09:16:05"	"http://www.jobserve.com/Glwdt"	NA
"Actuarial Pricing Analyst - Motor Lines"	"GBP"	"London"	"Permanent"	"Actuarial Pricing Analyst - Motor Lines"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Major insurer has a fantastic role for a part-qualified actuary to join its Motor Insurance sector where you will review, develop and recommend new and enhanced management information and pricing concepts. In this key role, you will regularly monitor and analyse the performance of accounts, as required, at the macro, rating factor, agent and product levels in order to identify opportunities to optimise profitable growth through necessary pricing changes. You will also monitor and analyse the pricing of competitors in order to identify and recommend changes to optimise the firm's competitive position. In addition, you will work closely with underwriters, recommending enhanced or alterations to product covers. With strong communication and interpersonal skills, the sccessful candidate will be an expert user of SAS or equivalent database package(s) (R/SQL/Python).  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85054/602841770"	"11/12/2018 11:11:48"	"http://www.jobserve.com/GmtgC"	NA
"Actuarial Analyst | South West England"	""	"South West"	"Permanent"	"Actuarial Analyst | South West England"	"South West"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"South West, part-qualified vacancy. A leading mutual insurer are seeking to appoint an actuarial student to their growing actuarial team.As a mutual, this work environment encourages innovative solutions to their member's needs, as such they are looking for an ambitious student actuary ready for a new challenge.The Role This role sits within the Finance and Risk team, reporting directly into the Chief Risk Officer. The successful applicant will support the implementation of risk management and has direct exposure to the pricing and analysis team.The scope of this role is broad and will interact with many areas of the business eg underwriting, marketing and the Board.Requirements3-5 year's experience within an actuarial role ideallyProgress being made with actuarial examsA forward thinker, and happy to work independentlyCash-flow modelling software experience eg Prophet, Mo.NETPricing experience would be useful, but not a requirement"	"South West, UK"	"Finance"	NA	NA	NA	"Oliver James Associates"	"Oliver James Associates"	"JS7286_85344/599836789"	"08/12/2018 07:05:38"	"http://www.jobserve.com/GmCPY"	NA
"Actuarial Analyst - London Market Pricing, Reserving & Capital"	"GBP"	"City, London"	"Permanent"	"Actuarial Analyst - London Market Pricing, Reserving & Capital"	"City, London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Are you a part qualified Actuary looking to broaden your experience? My client is a leading London market business with an excellent reputation. They are looking for a bright, enthusiastic individual with strong academics, who is making good actuarial exam progress to join their team. The role offers a mix of pricing, capital, reserving and business planning so is an excellent way to develop new skills. Are you a part qualified Actuary looking to broaden your experience? My client is a leading London market business with an excellent reputation. They are looking for a bright, enthusiastic individual with strong academics, who is making good actuarial exam progress to join their team. The role offers a mix of pricing, capital, reserving and business planning so is an excellent way to develop new skills. You will have regular interaction with a range of key stakeholders, including underwriting, claims and finance so strong communication skills are a must. Candidates from various backgrounds (personal lines, consultancy etc.) will be considered and full training will be provided. "	"City, London, UK"	"Finance"	NA	NA	"GBP"	"Oliver James Associates"	"Oliver James Associates"	"JS7286_82662/598778330"	"06/12/2018 09:17:22"	"http://www.jobserve.com/Glweu"	NA
"Actuarial Analyst Opportunities - South West"	"GBP"	"South West"	"Permanent"	"Actuarial Analyst Opportunities - South West"	"South West - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Leading professional services firms has a number of exciting opportunities for part-qualified actuaries to join their multi-client Actuarial Services teams across the South West where you will support many aspects of life actuarial work. In this client-facing role, you will develop relationships with clients and internal stakeholders from an early stage, identifying opportunities to improve and build on the delivery of actuarial solutions. The successful candidates will have experience of co-ordinating project deliverables or managing a small team, alongside good working knowledge of actuarial issues and techniques. Experience of actuarial modelling tools (eg Prophet, Moses) including model development/coding experience also essential. "	"South West, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85315/599836787"	"08/12/2018 09:08:40"	"http://www.jobserve.com/GmDcj"	NA
"Reserving Actuary - London Market"	"Up to £80,000 + Bonus + Benefits"	"London"	"Permanent"	"Reserving Actuary - London Market"	"London - Up to £80,000 + Bonus + Benefits"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Reserving Actuary - Lloyd's SyndicateUp to £80,000 + Bonus + BenefitsA top-tier Lloyd's Syndicate is looking to hire a Qualified Actuary to focus on reserving, business planning an SII Technical Provisions. You will report directly into the Group Head of Reserving and manage a small team.Previous reserving experience is essential to the role although this does not need to be London Market. Ideally you'll be qualified however candidates with relevant experience are also encouraged to apply.To apply please submit your CV to this advertEames Consulting is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"Finance"	NA	NA	"Up to £80,000 + Bonus + Benefits"	"Eames Consulting"	"Eames Consulting"	"JS7286_82775/598778392"	"06/12/2018 09:17:07"	"http://www.jobserve.com/Glwef"	NA
"Actuarial Analyst - DB Pension to Insurance"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - DB Pension to Insurance"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"I am conducting a search for an Actuarial Analyst for a leading UK Life Insurance firm in Central London. This role sits within the Retirement part of the business, this area is growing exponentially and it is their main profit centre. The successful candidate will be a dynamic and analytical part qualified actuary with a relevant experience in DB Pension who would like to step into the flourishing London Insurance market. You will ideally have passed your CT exams and have 1 - 2 years experience in pension consultancy. You will be a strong communicator with good relationship building skills as you will deal with different teams across the business. You will support the Business Support Team, covering complex issues as calculating collateral amounts and implementing trivial communications. The role is project based and there is a lot of variety and it's the perfect springboard for a driven individual with ambitious goals. This is an exceptional career move that would offer a competitive package with an annual bonus and study support. For further details, please apply online now.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_85013/598778430"	"06/12/2018 09:05:01"	"http://www.jobserve.com/GlwXS"	NA
"Actuarial Life in the South West"	"GBP"	"South West, United Kingdom"	"Permanent"	"Actuarial Life in the South West"	"South West, United Kingdom - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Our client is looking to hire an ambitious actuarial candidate to join their growing team and well-respected business, in a highly commercial role with a product and propositions focus.The team offers wide-ranging roles with genuine breadth and excellent prospects, requiring an analytical mind and strong communication skills.You will have a solid academic record, and will be making progress through the actuarial exams, or have qualified as an actuary."	"South West, United Kingdom"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5283/593978908"	"11/12/2018 13:15:31"	"http://www.jobserve.com/GmuhL"	NA
