"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"
"Actuarial Analyst - London Market Pricing, Reserving & Capital"	"GBP"	"City, London"	"Permanent"	"Actuarial Analyst - London Market Pricing, Reserving & Capital"	"City, London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Are you a part qualified Actuary looking to broaden your experience? My client is a leading London market business with an excellent reputation. They are looking for a bright, enthusiastic individual with strong academics, who is making good actuarial exam progress to join their team. The role offers a mix of pricing, capital, reserving and business planning so is an excellent way to develop new skills. Are you a part qualified Actuary looking to broaden your experience? My client is a leading London market business with an excellent reputation. They are looking for a bright, enthusiastic individual with strong academics, who is making good actuarial exam progress to join their team. The role offers a mix of pricing, capital, reserving and business planning so is an excellent way to develop new skills. You will have regular interaction with a range of key stakeholders, including underwriting, claims and finance so strong communication skills are a must. Candidates from various backgrounds (personal lines, consultancy etc.) will be considered and full training will be provided. "	"City, London, UK"	"Finance"	NA	NA	NA	"GBP"	"Oliver James Associates"	"Oliver James Associates"	"JS7286_82662/598778330"	"06/12/2018 09:17:22"	"http://www.jobserve.com/Glweu"
"Actuarial Analyst Opportunities - South West"	"GBP"	"South West"	"Permanent"	"Actuarial Analyst Opportunities - South West"	"South West - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Leading professional services firms has a number of exciting opportunities for part-qualified actuaries to join their multi-client Actuarial Services teams across the South West where you will support many aspects of life actuarial work. In this client-facing role, you will develop relationships with clients and internal stakeholders from an early stage, identifying opportunities to improve and build on the delivery of actuarial solutions. The successful candidates will have experience of co-ordinating project deliverables or managing a small team, alongside good working knowledge of actuarial issues and techniques. Experience of actuarial modelling tools (eg Prophet, Moses) including model development/coding experience also essential. Contact us now for more information regarding these exciting opportunities. Adam Goodwin, Associate Director M: (0) L: uk.linkedin.com/in/adamgoodwin E:  "	"South West, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85315/599836787"	"08/12/2018 09:08:40"	"http://www.jobserve.com/GmDcj"
"Reserving Actuary - London Market"	"Up to £80,000 + Bonus + Benefits"	"London"	"Permanent"	"Reserving Actuary - London Market"	"London - Up to £80,000 + Bonus + Benefits"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Reserving Actuary - Lloyd's SyndicateUp to £80,000 + Bonus + BenefitsA top-tier Lloyd's Syndicate is looking to hire a Qualified Actuary to focus on reserving, business planning an SII Technical Provisions. You will report directly into the Group Head of Reserving and manage a small team.Previous reserving experience is essential to the role although this does not need to be London Market. Ideally you'll be qualified however candidates with relevant experience are also encouraged to apply.To apply please submit your CV to this advertEames Consulting is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"Finance"	NA	NA	NA	"Up to £80,000 + Bonus + Benefits"	"Eames Consulting"	"Eames Consulting"	"JS7286_82775/598778392"	"06/12/2018 09:17:07"	"http://www.jobserve.com/Glwef"
"Actuarial Analyst - DB Pension to Insurance"	"GBP"	"London"	"Permanent"	"Actuarial Analyst - DB Pension to Insurance"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"I am conducting a search for an Actuarial Analyst for a leading UK Life Insurance firm in Central London. This role sits within the Retirement part of the business, this area is growing exponentially and it is their main profit centre. The successful candidate will be a dynamic and analytical part qualified actuary with a relevant experience in DB Pension who would like to step into the flourishing London Insurance market. You will ideally have passed your CT exams and have 1 - 2 years experience in pension consultancy. You will be a strong communicator with good relationship building skills as you will deal with different teams across the business. You will support the Business Support Team, covering complex issues as calculating collateral amounts and implementing trivial communications. The role is project based and there is a lot of variety and it's the perfect springboard for a driven individual with ambitious goals. This is an exceptional career move that would offer a competitive package with an annual bonus and study support. For further details, please apply online now.  "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Financial Resourcing Group"	"Financial Resourcing Group"	"JS7286_85013/598778430"	"06/12/2018 09:05:01"	"http://www.jobserve.com/GlwXS"
"Actuarial Life in the South West"	"GBP"	"South West, United Kingdom"	"Permanent"	"Actuarial Life in the South West"	"South West, United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is looking to hire an ambitious actuarial candidate to join their growing team and well-respected business, in a highly commercial role with a product and propositions focus.The team offers wide-ranging roles with genuine breadth and excellent prospects, requiring an analytical mind and strong communication skills.You will have a solid academic record, and will be making progress through the actuarial exams, or have qualified as an actuary."	"South West, United Kingdom"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5283/593978908"	"03/12/2018 17:20:16"	"http://www.jobserve.com/GlSAg"
"Reserving Actuary - Lloyd's Syndicate"	"GBP"	"London"	"Permanent"	"Reserving Actuary - Lloyd's Syndicate"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Reserving Actuary - Lloyd's Syndicate Up to £75,000 + Bonus + Benefits A top-tier Lloyd's Syndicate is looking to hire a nearly/newly qualified Actuary to focus on reserving, business planning an SII Technical Provisions. You will report directly into the Group Head of Reserving and mentor junior analysts. Previous reserving experience is essential to the role although this does not need to be London Market. To apply please submit your CV to this advert or contact Curtis Browning at Eames Consulting -/ Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85338/599836754"	"08/12/2018 09:19:37"	"http://www.jobserve.com/GmDe8"
"Graduate Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Graduate Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Graduate Actuarial Analyst------------------------- Location: London Sector: General Insurance Reporting to: Head of Analytics Contract Type: Permanent Hours: Full Time Salary: £30,000 -£36,000 P/A  Further Information------------------------- Our Client, a Broker in the London Market, is searching for an ambitious and very bright individual, who has a strong desire to begin an actuarial career in general insurance, to join their Group actuarial team. - Being a Group role, involvement in areas of the business: insurance, reinsurance and catastrophe modelling - Interrogate data to inform conclusions and develop bespoke visualisations - Conduct research, analyse client/market data to develop actuarial models Support risk pricing and stochastic financial modelling in order to analyse and recommend insurance solutions for clients - Support clients and brokers in order to identify and quantify catastrophe risks - Help develop models where no reliable risk quantification tools exist eg non-modelled catastrophe perils - Report results and findings in a timely and accurate manner using a clear communication style Support RFPs, producing materials for prospective clients - Use best practice techniques to ensure consistent capability within EdKey Skills & Experience: - Have obtained a top degree in a numerate subject (ie Mathematics, Physics, Engineering, Economics etc.) - Minimum AAB at A-level including Mathematics - Strong GCSEs - Strong desire to work in General Insurance - Good technical understanding  - Actuarial Internships highly desirableAlso Offers: - Study package is 40 days leave, cover for exams, tutorials and materials. "	"London, UK"	"Other"	"Graduate"	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_85154/599836945"	"08/12/2018 09:08:45"	"http://www.jobserve.com/GmDcn"
"Non-life Actuary"	""	"Midlands"	"Permanent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pricing Actuary"	"GBP"	"London"	"Permanent"	"Pricing Actuary"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A leading Lloyd's syndicate is looking for nearly or qualified Senior Pricing Actuary to join their Technical Pricing Function.Responsibilities of the role include developing rating models, pricing individual accounts and monitoring performance of the portfolios. You will be also developing and delivering leading outperforming risk selection and pricing capabilities, driving achievement of top and bottom line financial targets. As a Senior Actuary, you will be responsible for helping coach more junior members of staff.Candidates must be experience in an Insurance actuarial role, with proven excellent performance in actuarial exams, mathematics or a related discipline. Candidates should be experienced in risk models such as GLM, and have data manipulation skills using SQL/R/WPS/SAS.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85192/598778673"	"07/12/2018 16:01:10"	"http://www.jobserve.com/Gl6TR"
"Deputy Actuary"	"GBP"	"London"	"Permanent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Reinsurance Actuary"	""	"London"	"Permanent"	"Reinsurance Actuary"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A leading life reinsurer is looking to grow their very successful team based in London. As a student actuary or a newly qualified actuary, you will work on reinsurance tenders through analysing terms and handling treaty arrangements. As a key area of growth, you can expect excellent longer-term career prospects with this role and company. Experience with modelling cash flows, a strong overall technical ability and exposure to pricing is ideal. On offer is a generous package with agile working."	"London, UK"	"Finance"	NA	NA	NA	NA	"Goodman Masson"	"Goodman Masson"	"JS7286_82638/598778278"	"06/12/2018 09:04:20"	"http://www.jobserve.com/GlwW1"
"Pricing Actuary"	"90k Annual"	"City, London"	"Unspecified"	"Pricing Actuary"	"City, London - 90k Annual"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"The Client: A major and highly respected international (re)insurance company, who is looking to add a valuable Actuarial member of staff to their to their financial team. The ideal candidate will not only have a large knowledge range but will also be a correct fit for the team. The Opportunity: This incredible recognised and respected firm are looking for someone to develop their career, in performing risk analysis, modelling and pricing. You will be part of a close team and the ability to work with all members of staff is essential. You will establish yourself as a key contact within the company as a reliable member of staff. There is also the opportunity to travel internationally with the company. As a senior Actuary you will assist in the design in both internal and external transactions and be the company lead for discussions with clients. What is needed to be considered? A high-class degree in Actuarial sciences or a maths-based degreeA high level of experience within actuarial rolesPrevious experience in international actuarial roles Ability to model various insurance products and reinsurance structures.Demonstrated knowledge of reinsurance or annuity products"	"City, London, UK"	"Finance"	NA	NA	NA	"90k Annual"	"Heat Recruitment"	"Heat Recruitment"	"JS3561_36769769/598329594"	"06/12/2018 07:05:08"	"http://www.jobserve.com/GlvHr"
"GI Actuarial Analyst"	"GBP"	"England"	"Permanent"	"GI Actuarial Analyst"	"England - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Leading insurer is seeking a part-qualified GI actuary to provide support for the assessment of claims reserves required for the current and prior accident years and to support the estimation and planning for future accident years' loss ratios. Considering claims, pricing, underwriting and market developments across the sector, you will assess how these influence performance and claims development patterns. In addition, you will provide actuarial analysis to support the assessment of the capital requirement in respect of claims risks to support the delivery of the internal capital model. IT skills are essential and experience of using SAS and/or VBA in a data analytics role would be ideal. "	"England, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85058/598778658"	"06/12/2018 11:25:36"	"http://www.jobserve.com/GlxNj"
"Life Actuarial Consultancy"	"GBP"	"London"	"Permanent"	"Life Actuarial Consultancy"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Are you a qualified life actuary with strong project and people management skills? Do you relish the opportunity to lead client engagement teams within an international consultancy? Then this is the role for you. In this key role, you will have the opportunity to support a range of projects, for example, IFRS17 implementation, finance transformation, and much more. A natural leader with prior consulting experience, the ideal person will have a track record of delivery with strong technical and communication skills and the ability to deal effectively with clients and colleagues. An excellent opportunity to develop your career with a market leader. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85059/598778429"	"06/12/2018 09:14:48"	"http://www.jobserve.com/Glwc0"
"Pricing Actuary - Life"	"GBP"	"London"	"Permanent"	"Pricing Actuary - Life"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Our client is seeking a qualified life actuary with project management experience to propose appropriate pricing assumptions and oversee the production of reinsurance premium rates. Managing the process of compiling a tender response for specific quotes, you will ensure that risks taken by our client are fully understood, appropriately priced and carefully documented. You will also respond to ad-hoc client pricing queries and formulate reinsurance solutions tailored to their specific needs. In addition, you will take ownership of allocated projects, including testing new pricing assumptions, adding new features to pricing models and analysing claims experience. The successful candidate will possess strong IT skills with a good understanding of MS Excel & Access and experience of at least one actuarial modelling package. The ability to write and maintain code in VBA or similar language would be an advantage. A fantastic opportunity to develop your career within a leading-edge firm. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Jan Sparks FIA, Partner M: (0) E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85322/599836793"	"08/12/2018 09:08:42"	"http://www.jobserve.com/GmDck"
"Senior Actuarial Consultants/Managers - Life"	"GBP"	"Bristol"	"Permanent"	"Senior Actuarial Consultants/Managers - Life"	"Bristol - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Star Actuarial, together with a leading global consultancy, is representing a number of exciting opportunities for part-qualified and qualified life actuaries to create innovative commercial insights for clients and contribute to thought leadership. With strong problem solving and communication skills, the successful candidates will also possess project management experience. Contact us now for more information on these excellent career-development roles. Louis Manson, Managing Director M : (0) T : (0) E :  Antony Buxton FIA, Managing Director M : (0) T : (0) E :  "	"Bristol, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82864/598778441"	"07/12/2018 15:28:50"	"http://www.jobserve.com/Gl6MO"
"Pricing Actuary - Life"	"GBP"	"London"	"Permanent"	"Pricing Actuary - Life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is seeking a qualified life actuary with project management experience to propose appropriate pricing assumptions and oversee the production of reinsurance premium rates.Managing the process of compiling a tender response for specific quotes, you will ensure that risks taken by our client are fully understood, appropriately priced and carefully documented.You will also respond to ad-hoc client pricing queries and formulate reinsurance solutions tailored to their specific needs.In addition, you will take ownership of allocated projects, including testing new pricing assumptions, adding new features to pricing models and analysing claims experience.The successful candidate will possess strong IT skills with a good understanding of MS Excel & Access and experience of at least one actuarial modelling package.The ability to write and maintain code in VBA or similar language would be an advantage.A fantastic opportunity to develop your career within a leading-edge firm."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4900/593978672"	"03/12/2018 15:12:25"	"http://www.jobserve.com/GlQXd"
"Non-life Actuarial Consultant"	"GBP"	"London"	"Permanent"	"Non-life Actuarial Consultant"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"This is an exciting opportunity for a qualified non-life actuary to join a leading independent consultancy. An excellent team-player with the ability to communicate complex actuarial concepts to experts and non-experts, the successful candidate will also be comfortable working closely with a wide range of internal and external stakeholders. Programming skills in R or Python would be a distinct advantage. Contact us now for more information on this fantastic career opportunity. Satpal Johri | Associate Director M: (0) E:  W:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85210/599836852"	"08/12/2018 09:12:10"	"http://www.jobserve.com/GmDd9"
"Capital Actuary - Non-life"	"GBP"	"United Kingdom"	"Permanent"	"Capital Actuary - Non-life"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified or qualified non-life actuary with a good working knowledge of capital modelling concepts to assist with the delivery of regulatory capital requirements at Group and solo entity levels for reporting purposes using standard formula.In this excellent career-development opportunity, you will assist with the production of the risk and capital analysis to help key decisions across the organisation eg business planning, reinsurance strategy and dividends.You will also assist the build and continued improvement of the internal model in readiness for IMAP including deonstrating an understanding of the origins and reasonableness of the data used and parameterisation of the inputs.In addition, you will perform testing on model outputs to ensure appropriateness of model calibration alongside stress and sensitivity testing whilst producing Model documentation.You will be an experienced user of General Insurance capital modelling software (eg Igloo, Remetrica)."	"United Kingdom"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5077/593978728"	"03/12/2018 15:18:12"	"http://www.jobserve.com/GlQbd"
"Life Actuary - Technical Specialist"	"GBP"	"Scotland"	"Permanent"	"Life Actuary - Technical Specialist"	"Scotland - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Seeking a technically-astute, qualified life actuary to lead regular reviews of material assumptions and methodologies within a leading-edge firm, identifying gaps or constraints, developing solutions and providing expert advice and insights. In this key and highly-visible role, you will provide expert advice on the application of methodology and assumption principles and tools to identify and solve complex problems, delivering accurate and timely recommendations based on complex analysis. With practical experience across a range of Finance specialisms, and deep technical expertise in methodologies & assumptions, the successful candidate will possess experience of disseminating complex quality information to internal and external stakeholders. Detailed knowledge of the latest developments in assumption-setting also essential.  "	"Scotland, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82587/598778466"	"06/12/2018 09:16:21"	"http://www.jobserve.com/Glwd6"
"ERM Actuarial Analyst - Lloyds Syndicate"	"GBP"	"London"	"Permanent"	"ERM Actuarial Analyst - Lloyds Syndicate"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"I'm recruiting 2 Actuarial Analysts to support the ERM team of a Lloyd's Syndicate within the London Market. The primary focus of the role is to support the Enterprise Risk Management team in the operation, development and maintenance of the internal model, including statutory and regulatory requirements. This includes running, parameterising and reporting of the internal model. To assist in embedding the internal model within the business and ensure that the processes and procedures around the model are compliant with the tests and standards of Solvency II, PRA and Lloyd's.  In addition, the role includes providing technical support to the broader objectives of the Actuarial and Risk Functions in areas such as reporting, risk, reserving and pricing. If you have 1-4 years experience with Regulatory Reporting, Compliance, Model Development and Data Manipulation, please apply within. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Fenchurch Associates"	"Fenchurch Associates"	"JS7286_83935/598778534"	"06/12/2018 11:24:00"	"http://www.jobserve.com/GlxMz"
"Mixed Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Mixed Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"We are working with a medium sized, highly regarded Lloyd's Syndicate who are in the process of building out their Actuarial function and require a Actuarial Analyst due to the continued growth of the company. The position will be part of a small but highly analytical team where you will work across multiple divisions including ERM, Reserving and Pricing. This role will give you great exposure to the business as you will be working closely with senior figures and reporting directly into the Head of Capital as well as attending meetings with key external stakeholders such as the PRA and Lloyd's. This is a group level role, so you will work across the UK, US and other global offices. This client has historically looked to promote internally and they are wanting to develop and grow this individual, there could even be the chance to go on secondment to one of their overseas offices. The ideal candidate will have at least one years' worth of Actuarial experience and the client has said that they are open to where this has been. Their preference would be for an individual to come from a General Insurance background, although they would look at candidates who have worked at either a Life or Pensions Consultancy. They are also wanting you to have completed at least half of your CT exams and have strong Excel skills. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"IPS Group"	"IPS Group"	"JS7286_83947/598778383"	"06/12/2018 09:15:37"	"http://www.jobserve.com/Glwda"
"Trainee Actuary"	"GBP"	"London"	"Permanent"	"Trainee Actuary"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"A London market insurance business has an opening for a trainee actuary. To be considered, you must be highly numerate with a 1st or 2.1 in a mathematical related subject from a Russell Group University.  The ideal candidate will have a strong interest in the profession and be committed to studying towards the actuarial qualification. Those candidates with the ability to programme in R and/or VBA will have a clear lead. Any work experience will also be advantageous. To be considered, you must have strong communication and organisational skills. You must be eligible to work in the U.K.  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_82568/598778714"	"07/12/2018 13:31:32"	"http://www.jobserve.com/Gl5gc"
"Non-life Actuarial Pricing Manager"	""	"South East"	"Permanent"	"Non-life Actuarial Pricing Manager"	"South East"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Our client has a unique opportunity for a qualified (or part-qualified) GI actuary with experience of GLM Modelling in Emblem to provide support for risk pricing and price optimisation activities. In this key role, you will prepare accurate and comprehensive quotations, using both GLM and non-GLM techniques, for any new or existing products in line with the strategy and underwriting policies. You will also contribute effectively to the company strategy development on Pet proposition whilst identifying the key risks related to new quotations performed. With data manipulation skills and coding skills (SAS/R/Python), the successful candidate will possess excellent interpersonal and communication skills. An excellent opportunity to move beyond traditonal actuarial boundaries and support wider projects and strategy. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf."	"South East, UK"	"Finance"	NA	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82458/598778478"	"06/12/2018 09:15:34"	"http://www.jobserve.com/GlwdV"
"Qualified Actuary - Reporting"	"GBP"	"London"	"Permanent"	"Qualified Actuary - Reporting"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"If you are a Qualified Actuary looking for a new opportunity where you can grow and develop a team, or perhaps are looking for your first management role, we'd like to hear from you. A new position has risen for a well known global insurance business based in Central London to handle the day to day management of the Life team as well as leading various projects. Your responsibilities will include: Coordinating and delivering monthly, quarterly and annual reports for the UK Life businessPresenting and summarising results to senior stakeholders and managersDelivering training to junior members of the teamLeading on various projects as a result of IFRS17 changesIn order to be considered, you will be a qualified actuary with significant experience in Life Insurance. You will have strong understanding of SII with some exposure to supervising or managing. On offer is a very competitive basic plus strong bonus and benefits. To apply, please send your CV to or you can call for more informaion on .  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Goodman Masson"	"Goodman Masson"	"JS7286_82485/598778626"	"07/12/2018 16:01:15"	"http://www.jobserve.com/Gl6TU"
"Graduate Actuarial Analyst"	"GBP"	"City of London"	"Permanent"	"Graduate Actuarial Analyst"	"City of London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A London Market Insurer is looking for a graduate to join their Actuarial Function, supporting the divisional Actuary as an Actuarial Analyst, working across Pricing, Reserving and Capital.The responsibilities will include developing and analysing the models used by the insurer, creating reports and working alongside the divisional Actuary and the Underwriters in order to efficiently keep models at their optimum.The ideal candidate must be a graduate with 0-12 months experience within the Actuarial Industry, having no more than 3 exceptions from the Actuarial Exams and with proven and consistent excellent examination results.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"City of London, UK"	"Finance"	"Graduate"	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85193/598778372"	"06/12/2018 09:16:16"	"http://www.jobserve.com/Glwd4"
"Pricing Actuary - Commercial Lines"	"GBP"	"London"	"Permanent"	"Pricing Actuary - Commercial Lines"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are working with a large international Commercial insurer who is looking to add a nearly/newly qualified Pricing Actuary to join the central London office. The purpose of the role is to develop pricing methodologies through research and development, and engaging brokers. Key Responsibilities: Development of technical pricing methodologies Performance and Portfolio management Engagement with external brokers to improve rating structures Develop relationships with Underwriters across the European region and finance business partners The ideal candidate will be a nearly qualified Actuary with 3-5 years' experience, preferably in Pricing. Communication skills are essential in this outwards facing role. To discuss this role further, or to discuss your career options, please submit your CV or contact Georgia Bustin at Fairbank Partners on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82521/598778894"	"07/12/2018 15:22:18"	"http://www.jobserve.com/Gl6KS"
"EXCLUSIVE: Senior Actuarial Manager - Life/Non-life"	"GBP"	"United Kingdom"	"Permanent"	"EXCLUSIVE: Senior Actuarial Manager - Life/Non-life"	"United Kingdom - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Star Actuarial has an exclusive mandate with a global consultancy to source a qualified actuary with Solvency II experience to be responsible for delivering insurance consultancy services to a range of clients including life and general (re)insurers. In this exciting opportunity, you will provide input into insurance related projects and processes including development of new services and improvement of existing services. In addition, you will support the development of the actuarial insurance consultancy business including engaging with local industry bodies. With excellent interpersonal and people management skills, the successful candidate will possess experience of coordinating the calculation of Technical Provisions, determining Solvency Capital Requirements, reviewing underwriting policies and reinsurance arrangements and contributing to the effective implementation of risk management systems. Contact us now for more information on this unique opportunity. Sarah O'Brien Senior Consultant M: (0) E:  "	"United Kingdom"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85129/598778929"	"07/12/2018 13:31:48"	"http://www.jobserve.com/Gl5gp"
"Trainee Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Trainee Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"A London market insurance business has an opening for a trainee actuary. To be considered, you must be highly numerate with a 1st or 2.1 in a mathematical related subject from a Russell Group University and a minimum AAB at A-level including Mathematics. The ideal candidate will have a strong interest in the profession and be committed to studying towards the actuarial qualification. Those candidates with the a strong technical ability and experience programming in R and/or VBA will have a clear lead. Any actuarial/insurance work experience will be advantageous. The successful candidate will have strong communication and organisational skills and be ambitious about an actuarial career in general insurance You must be eligible to work in the U.K "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_83888/598778854"	"06/12/2018 11:23:58"	"http://www.jobserve.com/GlxMy"
"Senior Pensions Actuary - Insurance"	"GBP"	"City of London"	"Permanent"	"Senior Pensions Actuary - Insurance"	"City of London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Senior Actuarial Consultant | Pension Insurance | LondonA long-standing client of mine is seeking to expand its senior management team with the appointment of a pensions actuary who will focus on de-risking strategy, implementation and broking advice to both corporate and Trustee clients.In a wide ranging role, projects in which you will be involved will include buy-ins, solvent and PPF buy-outs, longevity swaps and pensions consolidator transactions of all sizes.The Insurance team is expanding and it's a highly exciting time to join the business at a senior level. Further responsibilities will include building relationships with client teams and insurers, reinsurers and consolidators, seeking new de-risking opportunities, managing a team of reports and playing a lead role in business strategy.I'm looking for a qualified actuary with a strong knowledge of the UK pensions landscape, and ideally experience of leading de-risking projects and client relationships at Board level.Are you interested in a non-traditional role and a career step-up with a prestigious firm of talented actuaries? "	"City of London, UK"	"Finance"	NA	NA	NA	"GBP"	"Oliver James Associates"	"Oliver James Associates"	"JS7286_82471/598778629"	"06/12/2018 11:12:24"	"http://www.jobserve.com/GlxF0"
"Corporate Actuarial Assistant"	"GBP"	"City, London"	"Permanent"	"Corporate Actuarial Assistant"	"City, London - GBP"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Job Specification Maintain and develop databases used to manipulate client data for use in Reserving, EV, Experience Analysis and Risk Accumulation control. You will be working closely with the Modelling Actuary. Assist with modelling tasks required by the Corporate Actuarial team. Principal duties and responsibilities Data Maintain existing Access databases and develop new Access databases when required. Assist with the checking of the policy data on a quarterly basis. Run the process to produce the Valuation data files on a quarterly basis. Run the process to produce the data files required for the Risk Accumulation Control on a quarterly basis. "	"City, London, UK"	"Consulting"	NA	NA	NA	"GBP"	"SCOR SE UK Branch"	"SCOR SE UK Branch"	"JS7108_202888925/593109042"	"05/12/2018 15:23:37"	"http://www.jobserve.com/GlogF"
