"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"category"	"start_date"	"duration"
"Digital Project Manager - eCommerce"	"£50k + bonus & benefits"	"Chertsey Surrey"	"Permanent"	"Digital Project Manager - eCommerce"	"Chertsey Surrey - £50k + bonus & benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Digital Project Manager - eCommerce Our client a global leading technology organisation is currently looking for a Digital Project Manager. The Project Manager a key member of the PMO team will work closely with the Online Experience team, E-commerce platform partners, internal support teams and relevant third parties, to deliver projects that are part of the Online Experience strategy. Reporting to the Digital Programme Manager, the Digital Project Manager will work with the Business Analysts and the Support team to deliver key projects prioritised on the roadmap, and will be involved in various different work streams. Essential - Project management experience in an digital or E-commerce environment A high level of Business Intelligence and strong project management skills. Ability to organize project work effectively, reprioritize as new demands/changes arise Exceptionally detail-oriented with strong organisational and communication skills Proven experience across a range of E-commerce technologies and platforms (Hybris experience desirable) - 3rd party integrations Understanding and experience in E-commerce, web technology, and infrastructure Knowledge of corporate global ERP systems (SAP experience desirable) Knowledge of MS Office Tools (Visio, Outlook, Word, PowerPoint, Excel) Experience of software development tools, such as Jira and Confluence "	"Chertsey Surrey, UK"	"IT"	"£50k + bonus & benefits"	"MLR Associates"	"Scott Marcoons "	"JS/ECOMM/002"	"10/12/2018 16:43:51"	"http://www.jobserve.com/GkQzM"	NA	NA	NA	NA
"Digital Project Manager"	"£350.00 - £400.00 per Day"	"London"	"Contract"	"Digital Project Manager"	"London - £350.00 - £400.00 per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"Contract - Digital Project Manager - Immediate Start - London - Contract Our client is looking for a Digital Project Manager with a well-rounded technical knowledge of E-commerce processes and systems to effectively drive implementation of technical projects that deliver commercial objectives. You will be managing multiple development projects from scoping, stakeholder alignment to execution and QA. Key Skills:Ability to translate commercial/marketing ideas into technical solutionsMagento experience/knowledge essentialExperience working with Amazon E-commerceDemonstrable experience in Agile Testing end to end and Quality assurancePlease forward a copy of your uodated CV to (see below) Contract - Digital Project Manager - Immediate Start - London - Contract This job ad was posted by Salt. To find out more about Salt's Privacy Policy and how your application is processed, please visit our website "	"London, UK"	"IT"	"£350.00 - £400.00 per Day"	"Salt"	"Kiran Jabbal "	"JS-JO-1812-143180"	"04/12/2018 14:54:20"	"http://www.jobserve.com/Glblb"	NA	NA	"10/12/2018"	"6 months"
"Digital Project Manager"	"£37k - £45k per annum"	"London"	"Permanent"	"Digital Project Manager"	"London - £37k - £45k per annum"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"My client is a successful digital agency that is based in Central London.They are looking to appoint a Digital Project Manager on a permanent basis.You will be managing some of the key accounts that are owned by my client. They are looking for a hand ons individual that is agency-experienced with exceptional project management skills.As the Project Manager you will be involved in managing a range of projects, including both new builds and maintenance.You may even have the opportunity to work on other client projects too.My client believes in exceptional delivery and you will need to have a good understanding of all things digital. You should also be comfortable working in a faced paced environment and working with different levels of stakeholders thorughout the business.You will be responsible for:Scoping, planning and specification of key projectsClient contact on projects during the production life cycleResponsible for 'driving' the client for their deliverables. This includes risks and issues management and knowing when to escalateResponsible for the profitability of these projectsResponsible for managing the quality and delivery of third party servicesEnsure the utmost quality in creative working with Client ServiceWork closely with the Client Services team throughout the project to manage client expectationsExperience and SkillsYou'll be an experienced and confident client-facing PM with a minimum of 3 years of agency experienceYou will be able to demonstrate a fundamental grasp of the principles of project management ideally you will have training in AgileExperience of delivering projects with budgets in excess of £75,000Confident in reporting effectively on project performance to internal teams and client stakeholdersProven experience in managing projects profitably within complex stakeholder environmentsExcellent and efficient communication skills both written and verbalExperience across web builds and E-commerce projectsExperience in requirements gathering and functional specificationExperience with Project Management tools (eg JIRA, Asana, MS Project (or similar)Bright, ambitious, entrepreneurial, likeable, fun and ready for a challengeExperience in managing pitch teams would be a bonusWe are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation, gender reassignment, marriage and civil partnerships, pregnancy or maternity or age."	"London, UK"	"IT"	"£37k - £45k per annum"	"onezeero"	"Daniyal Bashir "	"JS-50197561"	"05/12/2018 14:31:24"	"http://www.jobserve.com/GloBR"	NA	NA	"ASAP["	NA
"Senior Digital Project manager"	"£50k - 70k per year"	"London"	"Permanent"	"Senior Digital Project manager"	"London - £50k - 70k per year"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"I am currently looking for a Senior Digital Project Manager to join my client's team in London. The client are one of the largest multinational digital agencies working with brands and business which are recognisable worldwide.The Senior Digital Project Manager is being brought into work the full project life cycle on a number of different digital projects. This includes Ecommerce implementation, web builds, software implementation and mobile applications. As mentioned above this is for multinational clients with a worldwide reach, you will be working on Greenfield throughout. It is the nature of the business that you will be working on Projects with a quick turnaround hence the Digital Project Manager will be working on multiple work streams.They are looking for the Digital Project Manager to have to have come from an agency background, ideally working on the above project examples. Also to have solid skills in the fundamentals of Project Management this includes budgeting, planning, developing project statements or work, highlighting risks and issues and raising them to internal and external stakeholders. With this comes key elements of stakeholder management which will be a key part of the chosen candidates skill set, they are looking for someone to be confident with people up to director level.If selected for an interview the candidate will be asked to produce examples of their previous work which includes the Digital Mapping plans, statement of works etc. This may be in a form of a Project that has already gone live, the candidate will need to be prepared to explain how they got to that stage.Key requirements for the Project Manager to have:Working the full project life cycle on digital driven projects, from an agency background. This includes Ecommerce implementation, web builds and mobile applications.Management of key internal and external stakeholders which will include people up to director level and key clients of the agency.Have a strong understanding of the Agile/Scrum method which will include sprint planning.A minimum of 3 years in a digital agency with a minimum of 5 years as a Project Manager.Confident with the fundamentals of Project Management including budgets control, risk management, project timeline and initiation of project to completion.Hands on mentality which will require to handle multiple project work streams at once, and being able to prioritise and to meet business needs.They are looking to pay between £50,000 to £70,000 for the right candidate with the right experience, background and location. With interviews being lined up for ASAP, can be from Thursday this week.If you could be interested then please apply with an up to date CV and give me a call and we can go over the role in more detail."	"London, UK"	"IT"	"£50k - 70k per year"	"X4 Group"	"James Andrews "	"JSJA7890"	"07/12/2018 16:31:54"	"http://www.jobserve.com/Gl6oS"	"About X4 Groupwww.x4technology.co.ukX4 Technology is an industry leading specialist recruitment business for the tech sector. We are part of the X4 Group, one of the fastest growing and most successful recruitment businesses, with over 10 years of experience in successfully placing mid to senior level contract and permanent professionals across the globe.Cyber Security Big Data Machine Learning & Data Science Business IntelligenceDevOps & Infrastructure Embedded Software Engineering Hardware & Electronics Java Development .Net Technologies Senior IT AppointmentsTestingPHP, Opensource & Ruby on RailsFront End TechnologiesSpecialist JavaScriptBusiness Development SEO, PPC & Analytics Marketing Fintech, Banking & Finance"	NA	NA	NA
"E-Commerce/Digital Project Manager - Fareham - £300/day"	"Up to £300 per Day"	"Fareham"	"Contract"	"E-Commerce/Digital Project Manager - Fareham - £300/day"	"Fareham - Up to £300 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"E-commerce Project Manager to work for growing IT Solutions Provider on one of their flagship client sites to oversee delivery of enhancements, features and upgrades across their eCommerce platform covering Europe, the Middle East and Africa (EMEA). Supported on site by other colleagues to ensure the highest standard of service to the client.SummaryWorking in a fast paced delivery motivated multi-project environment, the role will be responsible for the project coordination and delivery of projects to the E-commerce and digital platform across the EMEA region. Working with Global, Regional, Affiliate business and technical teams to ensure projects are successfully launched on time and meet business objectives.ResponsibilitiesManage and coordinate stakeholders, development and QA teams to deliver new features and enhancements to eCommerce sitesStatus reporting on a weekly, Monthly and Quarterly basis of all active projectsDeliver to existing project delivery processes and standardsWork with stakeholders and subject matter experts to produce project briefs, prioritized requirements and estimates to kick off projectsTrack risks & opportunities and provide both an effective point of escalation, and onward escalationPerform hands-on project management. Leading projects from ideation, to scoping, to planning and executionBuild and maintain detailed project schedulesManage and triage bugs during the QA phaseProduce and maintain project RAID logsTrack and report on resourcing and budget spendCoordinate regularly with Global, Operations, Brand and Deployment Teams - to ensure EMEA team coordination with Global dependency deliverables.Help communicate the pipeline and ensure project schedule changes are managed through change management process to all stakeholders and teams Team ManagementDirect and Matrix management of a project team of developers, testers and business stakeholders based on and off shoreManage and provide reporting on time spent across project and production tasksEnsure holiday bookings within the team are aligned with project plans. Work with line managers to ensure appropriate planning and visibilityDelegate effectively to manage workload and prioritizationRun regular project meetings. Ensure clear best practise in all meetings, with stated objectives, agendas. Ensure minutes are always taken listing key decisions made. Ensure room bookings are made/conference details are arrangedUnderstand key issues and perspectives to deliver viable options when challenged by barriersUnderstand business objectives and priorities to correctly deploy resourcesSkillsA strong background in web and eCommerce project delivery is a mustAbility to coordinate project delivery, understand and manage resource plans & budgetsExperience of risk analysis/mitigation strategiesExperience working with distributed teams across multiple countriesOutstanding communication skills and client facing professional attitudeStrong interpersonal skills and people skills, both inside and outside of their company'Can do' attitude to any situation with the ability to adapt and still maintain control and high level of client service skillsAttention to detail and ability to think laterally under pressureFirm but fair approach to difficult situationsControlled and methodical working practicesAbility to summarise and present complex technical information to business stakeholdersExcellent time management and prioritization skills to manage high volume workloadNatural innovator bringing fresh ideas, insights and creativity to improve as well as driveAdvantageous but not essentialPrevious roles in an IT/E-com Consultancy or Software Engineering capacityCapable proficiency using JIRAPortfolio, Project or Program Accreditation (eg MSP, PMP, MOP, AGILE etc.)Prince 2 qualification an advantageExperience in Agile and Kanban software project management methodsGrounding and/or genuine interest in digital/online and E-commerceAAP3 is acting as an Employment Business in relation to this vacancy."	"Fareham, UK"	"IT"	"Up to £300 per Day"	"aap3"	"Emma Bartle "	"JS-BBBH6582"	"06/12/2018 11:10:13"	"http://www.jobserve.com/GlxEM"	NA	NA	"ASAP"	"6 months +"
"Project Manager - Digital"	"£55k - £65k per annum"	"Surrey"	"Permanent"	"Project Manager - Digital"	"Surrey - £55k - £65k per annum"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Digital Project ManagerPerm: £55,000 to £65,000Surrey, Greater LondonProject Manager, Digital, Web, App, User Journey, Customer Journey, UX, UI, Developer, Technical, Hands-on, Financial Services, InvestmentsGlobal Investments Firm is looking for a Digital Project Manager to head up a variety of Digital Projects. You will be required to be hands-on. So, technical knowledge is an essential and a developer background is desired. Working within a global organisation will allow you to work on a range of big projects.£55,000 to £65,000Essential requirements:4 to 5 years Project Management experience.Digital experience is an absolute essential.Technical knowledge or developer background is preferred.Previous experience working within Financial Services on big digital projects.Senior Stakeholder management experience.Great written and verbal communication skills.A strong work ethicIf you meet these requirements, please apply!"	"Surrey, UK"	"IT"	"£55k - £65k per annum"	"Harvey Nash IT Recruitment UK"	"Gerard Aitken "	"JS-353058/001"	"07/12/2018 12:51:00"	"http://www.jobserve.com/Gl5VT"	"About Harvey Nash IT Recruitment UKwww.harveynash.comWelcome to Harvey Nash, a global professional recruitment consultancy and IT outsourcing service provider.We cover roles that include .net, Java, PHP, Perl, Business Analysts, Project Managers, HR, development, infrastructure, risk, support, software engineers, C# and C++ amongst others.We operate from over 40 offices covering the USA, Europe and Asia. Our talented professionals pursue the highest levels of integrity and quality in providing a unique portfolio of services: executive search, interim management, IT and finance recruitment and IT outsourcing."	NA	"ASAP"	NA
"Project Manager - Digital"	"55k"	"Edinburgh, Scotland"	"Permanent"	"Project Manager - Digital"	"Edinburgh, Scotland - 55k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Digital Project Manager Permanent Salary up to 55,000 Edinburgh We need a Digital Project Manager to join this exciting technical client based in Edinburgh. This company has scaled up massively over the last few years and are continuing to bring on exciting projects within the business. This role will be Monday to Friday and there is free offsite parking. This will be a 1 stage interview process after submission of application, so turnaround will be quick. The key duties of the Digital Project Manager will be: Lead a team of a small team of developers, designers and data scientists Being the voice of software within the company, representing the interests of your team Set standards for software development and delivery using Agile Work closely with Business Project Managers to translate high level business and customer goals into detailed work plans Ensure that these plans are delivered, making changes as necessary Support product development and bid management Help define project scope requirements, produce project plans and manage resources Understand the impact of risks and issues on a project and report on and manage them Essential skills necessary: Proven track record in the delivery of software projects to external customers A detailed understanding of Agile project management methodologies Strong communication and problem solving skills Experience of managing a team and working with external customers and stakeholders is also beneficial for this role. So, if you are an experienced Digital Project Manager who wants to work on exciting projects in nice surroundings, then get in touch with Simon Allen to discuss.  (see below) "	"Edinburgh, Scotland, UK"	"IT"	"55k"	"Be-IT Resourcing"	"Simon Allen "	"JS"	"06/12/2018 12:10:50"	"http://www.jobserve.com/GlxRx"	NA	NA	NA	NA
"Project Manager (Contract) - Northampton - 3 month"	"£350 - 400 per Day"	"Northampton, Northamptonshire"	"Contract"	"Project Manager (Contract) - Northampton - 3 month"	"Northampton, Northamptonshire - £350 - 400 per Day"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Digital Project Manager (Contract) - Northampton - 3 month - £350-400Digital Project Manager in Northampton on a 3 month contract for our client who is working on an App/Website refresh project. Commutable from Northamptonshire, Cambridgeshire, Bedfordshire, Oxfordshire and Buckinghamshire.Essential Requirements:3 years' experience as a Digital Project Manager Familiar with App/Website focussed projectsWorked for other local digital agenciesComfortable working in small teamsStrong history of contract extensionsExcellent communication skills If this sounds like an appealing opportunity to you then get in touch with me ASAP. The client is looking to have the successful candidate start before the festive period and act as an interim running into 2019 so please act fast. Please bear in mind that I will only be able to speak to candidates with relevant experience due to the urgency of the situation.If you are interested in this role, please forward your updated CV to Dan Irvine at Opus Recruitment Solutions for consideration or call me on my direct dial."	"Northampton, Northamptonshire, UK"	"IT"	"£350 - 400 per Day"	"Opus Recruitment Solutions Ltd"	"Daniel Irvine "	"JSDPM/NN/07"	"07/12/2018 17:14:06"	"http://www.jobserve.com/Gl6uV"	NA	NA	"2018-12-17"	"3 months"
"Project Manager"	""	"Bristol"	"Permanent"	"Project Manager"	"Bristol"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"(Tank Recruitment - Digital Project Manager - IT Project Manager - IS Project manager - Software development Project manager - Saas Project Manager)IT Project managerOn Behalf of our client a well-established company not only in Bristol but throughout the UK and EU we are resourcing for an experienced IT/Digital Project Manager.You will be experienced (certified preferred) in Prince2, PMP, AMP or similar and have a good working Knowledge of Agile and Scrum methodologies (certified preferred)The RoleYou will be at the forefront of the clients B2B and B2C business delivering complex digital projects. Using Agile, Prince2 and similar methodologies to fit the project at hand, flexibility is a must while delivering projects on time, on budget to the highest quality.Projects can be web based; Mobile tech, as well as SAAS based projects, so a good mixture of experience will be beneficial. Working with world renown clients you will be the face of the company on these projects, professionalism is a must have as well as attention to detail.Skills Required.Proven experience using a range of project management methodologiesyou'll know how to capture and understand a client's requirements and translate them into workable, exciting solutions.Demonstrable experience of managing a range of mid to large-scale projects and sizeable budgetsAbility to proactively manage dependencies, overcome obstacles and get the best value against constraintsGood level of technical knowledge - you'll have a broad awareness of a range of tools, standards, and platforms, you'll have solid estimating skills, you'll know a good few acronyms, and you'll have a good sense of what's possible (and what's not).Enthusiasm for project management and continuous improvement - you're someone who takes pride in achieving the best possible quality, productivity and efficiency for clients and your team.Discipline, determination and focus. You'll be confident to manage your own and your team's time effectively even when there are lots of competing demands.To be considered for this role please apply with your full CV and project list, I look forward to speaking with you."	"Bristol, UK"	"IT"	NA	"Tank Recruitment Limited"	"Mathew Bennett "	"JS-DIGITALPM"	"06/12/2018 16:52:36"	"http://www.jobserve.com/GlyXg"	NA	NA	"ASAP"	NA
"Project Manager"	""	"Cardiff"	"Permanent"	"Project Manager"	"Cardiff"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Tank Recruitment - Digital Project Manager - IT Project Manager - IS Project manager - Software development Project manager - Saas Project ManagerIT Project managerOn Behalf of our client a well-established company not only in Bristol but throughout the UK and EU we are resourcing for an experienced IT/Digital Project Manager.You will be experienced (certified preferred) in Prince2, PMP, AMP or similar and have a good working Knowledge of Agile and Scrum methodologies (certified preferred).The RoleYou will be at the forefront of the clients B2B and B2C business delivering complex digital projects. Using Agile, Prince2 and similar methodologies to fit the project at hand, flexibility is a must while delivering projects on time, on budget to the highest quality.Projects can be web based; Mobile tech, as well as SAAS based projects, so a good mixture of experience will be beneficial. Working with world renown clients you will be the face of the company on these projects, professionalism is a must have as well as attention to detail.Skills Required:Proven experience using a range of project management methodologiesyou'll know how to capture and understand a client's requirements and translate them into workable, exciting solutions.Demonstrable experience of managing a range of mid to large-scale projects and sizeable budgetsAbility to proactively manage dependencies, overcome obstacles and get the best value against constraintsGood level of technical knowledge - you'll have a broad awareness of a range of tools, standards, and platforms, you'll have solid estimating skills, you'll know a good few acronyms, and you'll have a good sense of what's possible (and what's not).Enthusiasm for project management and continuous improvement - you're someone who takes pride in achieving the best possible quality, productivity and efficiency for clients and your team.Discipline, determination and focus. You'll be confident to manage your own and your team's time effectively even when there are lots of competing demands.To be considered for this role please apply with your full CV and project list, I look forward to speaking with you."	"Cardiff, UK"	"IT"	NA	"Tank Recruitment Limited"	"Mathew Bennett "	"JS-DIGITALPM"	"06/12/2018 16:55:55"	"http://www.jobserve.com/GlyY4"	NA	NA	"ASAP"	NA
"Senior Digital Delivery Manager"	"£550 Per Day"	"London, Manchester"	"Contract"	"Senior Digital Delivery Manager"	"London, Manchester - £550 Per Day"	"Contract"	"Posted: Tuesday, 4 December 2018"	""	"*For IR35 purposes, this role it out of scope*  London, Newcastle upon Tyne, Leeds, Manchester  Role Description A Senior Digital Project Manager ensures that the expected outcomes of a digital project are met within cost and time constraints. They are typically accountable for high risk, complex digital projects and may be handling more than one project at a time. They use their extensive understanding of the digital activities needed to help dynamically organise internal digital teams and digital suppliers to optimise their chances of success. Critically they are accountable for setting a good, sustainable pace for team members and suppliers. They apply good project management practice for planning, tracking progress, managing risks and issues, financial management, scope control, resource management, stakeholder management and governance. They are accountable for efficient integration with other delivery teams and departmental governance. They are experts in resolving conflict and in ensuring good collaboration. General Responsibilities  Lead and work with their team to ensure they have the right working environment and the tools needed to deliver value based on what users need  Engaging collaboratively with product owners, stakeholders and business analysts to set priorities for teams and communicate what is achievable for projects and programmes  Encourage a culture of innovation focused on adding value  Effectively manage team dynamics when working across Departmental and other boundaries  Work with product owners and other stakeholders to define the road map for products and services and work with teams to translate that into an achievable backlog  Lead the collaborative, dynamic planning process, helping teams to prioritise work that needs to be done against the capacity and capability of the project or programme  Monitor team, project and programme progress frequently and comprehensively to optimise and adjust plans reporting regularly to senior stakeholders  Keep track of and communicate the team progress against prioritised backlogs and making necessary adjustments to plans  Ensuring sponsors and genuine stakeholders are on-board throughout and that non-genuine or minor stakeholders don't impede momentum  Engage with the sponsor to monitor and feed into the business case from initiation and as it changes throughout the project life cycle drawing on expertise from suppliers, users, subject matter experts and external consultants  Track spending and forecast regularly to remain within budget tolerances demonstrating continually improving forecast and spend accuracy.  Effectively lead suppliers to get optimum value from their engagement  Lead successful delivery outcomes across all stages of the development life cycle projects and programmes, making sure that products at all stages are fully tested, perform at scale and are fit for purpose.  Actively participate in the community, learning, sharing and re-applying skills and knowledge and bringing in good practice Essential Skills  Have the ability to motivate peers to deliver at pace and set a positive team environment. Be able to manage difficult relationships and help teams overcome conflicts  Have experience of leading the delivery of digital services from inception through to go live. Also experience of in-production enhancement of services.  Be adept at spotting project risks and blockers to work and remove or action them. Be a creative and effective planner - both internal and external to team - optimising speed to market, value and quality. Be able to solve or escalate issues quickly and effectively, identifying themes and help the team learn from experience  Have experience in understanding and managing budgets and preparing bids for funding/business case approval. Experience of working within a public sector or large organisation  Can demonstrate experience of procurement, commercial and supplier management in a public sector or large organisation. Demonstrates ability to adjust quickly to changing priorities and conditions and to cope effectively with complexity and change. Desirable Have experience of working with security related stakeholders and expert teams to enable secure service provision. Accreditation & Qualifications SFIA 6  IT management Level 6  Business risk management Level 5  Portfolio management Level 5  Programme management Level 6  Project management Level 6  Systems development management Level 5  Resourcing Level 5 *For IR35 purposes, this role it out of scope*  If you match these requirements, please apply in the normal way. Elevate will send you an email, please open, click and action that email and your application will be visible to the hiring organisation directly."	"London, Manchester, UK"	"IT"	"£550 Per Day"	"Elevate Direct"	"Elevate Direct"	"JS-GC-DWP4565-041218"	"04/12/2018 14:51:36"	"http://www.jobserve.com/Glbkw"	NA	NA	"ASAP"	"6 months"
"Project Manager (Agile application delivery)"	"£65k - 75k per annum, Benefits: Excellent Benefits"	"London"	"Permanent"	"Project Manager (Agile application delivery)"	"London - £65k - 75k per annum, Benefits: Excellent Benefits"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"Project Manager (Agile application delivery) Location: London, central. Salary: Up to £75K Basic + Benefits package. Very flexible office hours. Amazing annual trips. Senior Digital | Web App Project Manager, with Agile experience required. Keywords: Project Manager, Digital Project Manager, Technical Project Manager, Agile Project Manager, Agile, Java, JavaScript, Micro Services, Technical Account Manager, London. Experienced Agile Project Manager required by established, very modern & excellent Digital/Technical agency with numerous projects ready to go.You'll feel comfortable working on fresh, free to set up as you wish with the management team projects, as we've just won 3 of them!We are usually seen as the \"technical experts\" on projects & therefore have a strong reputation within the technical scene in London. We have an excellent presence in the cutting-edge tech' start-up scene, but also partner with clients on larger web application builds too. Typically steering them toward using & experimenting with the latest frameworks, technology & delivery systems. You will want to join a technology driven, passionate team of people, working from the heart of Shoreditch/Old Street who work hard to design, develop & deliver the very best applications using the very latest technology. You'll work from lovely offices with free food, drink, balcony BBQ & several Xbox/PlayStations to choose from. We'd like to see some of the below experience: - Working with & delivering technology/software led projects with Agile practices & principals. Including planning, estimating & reporting. Any experience in Lean & MVP software development would be ace too. - Knowledge of web & mobile technologies. To be clear, we do NOT need a developer, but we do need someone who can talk confidently around modern web & mobile technologies. - Familiarity with SCRUM, Kanban & other similar Agile methodologies with the ability to coach team members, as well as clients in their application & use. - Any Scrum Master experience, past experience, or interest to develop this further would be good, but not required. So, we like to think that we offer a very good place to work & nice people to spend 8 hours a day with.  If you'd like to see what working with us is like, please get in touch to find out more!"	"London, UK"	"IT"	"£65k - 75k per annum, Benefits: Excellent Benefits"	"Verticality Ltd"	"Alex Lover "	"JSAL059755"	"10/12/2018 17:31:06"	"http://www.jobserve.com/GmkxU"	NA	NA	"ASAP"	NA
"Project Manager - E-Commerce"	"Up to £450 per Day"	"West End, London"	"Contract"	"Project Manager - E-Commerce"	"West End, London - Up to £450 per Day"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"We're looking for a world-class Project Manager with E-commerce experience to work on a global E-commerce transformation for a luxury fashion/beauty retailer based in Central London. The role will involve extensive new features and developments to the company's website(s). The ideal candidate will have experience in fashion or luxury retail as a Digital Project Manager, specifically working on E-commerce projects.The successful candidate will have relevant experience, along with outstanding communication & stakeholder management skills and an enthusiastic & ambitious attitude. We are looking for someone who will go above and beyond at every opportunity.If working with a world-renowned luxury retail organisation isn't enough, this role will carry a high level of influence and decision-making power, a 12-month contract (likely to be extended) and up to £450 per day remuneration.Apply below with an up to date CV with experience relevant to this role and we will be in touch to provide more information."	"West End, London, UK"	"Retail"	"Up to £450 per Day"	"La Fosse Associates Limited"	"Joseph Brown "	"JS-36340"	"06/12/2018 18:13:35"	"http://www.jobserve.com/GlzB9"	NA	NA	"ASAP"	"12 months"
"Digital Project Manager"	"50k Annual 00 GBP"	"Brighton, Sussex"	"Unspecified"	"Digital Project Manager"	"Brighton, Sussex - 50k Annual 00 GBP"	"Unspecified"	"Posted: Thursday, 6 December 2018"	""	"Digital Project ManagerRole OverviewProject Manager with experience of managing web/eCommerce projects is required by a leading eCommerce platform based in Brighton. Candidates can expect a salary of up to £50,000 The Project Manager will be responsible for delivering a wide range of digital projects which will include the development of Content Management Systems (CMS), website redevelopment, mobile development and digital marketing projects. ClientCV Screen is working with a leading eCommerce platform based in Brighton Skills RequiredThe Project Manager will have the following experience:- Proven Project Management experience, ideally managing digital/eCommerce projects.- Experience of managing large scale web implementations Who would the role suit?The role would suit a Project Manager who has a passion for everything Digital/Web based. Location: Brighton Salary/Benefitsto £50,000 + Excellent career prospectsTo Apply:Please email your CV through to Jason Price in strict confidence. CV Screen Ltd acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the Privacy Policy which can be found on the CV Screen website.  "	"Brighton, Sussex, UK"	"Media"	"50k Annual 00 GBP"	"CV Screen"	"CV Screen"	"JS3561_36545999/598329518"	"06/12/2018 07:06:02"	"http://www.jobserve.com/GlvIk"	NA	NA	NA	NA
"Digital Project Manager - Global Charity!"	"GBP"	"London"	"Permanent"	"Digital Project Manager - Global Charity!"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Job Description Digital Project Manager - Global Charity!An exciting opportunity has arisen for a Digital Project Manager with experience delivering multi-channel Digital Projects to join this award winning global charity based near Battersea, London. You will take the lead on Digital project delivery within a hugely worthwhile and collaborative environment. The Digital Project Manager will lead on a website redesign as well as the delivery of multiple global initiatives! The charity are looking for you to help grow the function with you as the lead!Skills required for the Digital Project Manager:Multi - project delivery experienceGood knowledge of Agile methodologyExperience working with stakeholders and 3rd partiesPrevious work in charity sector is ideal (not necessary)Digital Project Manager - Global Charity!Location: Battersea, LondonSalary: £38,000 - £42,000 + Excellent benefits Apply now for immediately consideration regarding this excellent opportunity! Understanding Recruitment is acting as an employment agency for this vacancy. "	"London, UK"	"Community"	"GBP"	"Understanding Recruitment"	"Understanding Recruitment"	"JS9D9F2902/588872205"	"07/12/2018 13:12:58"	"http://www.jobserve.com/Gl5ZX"	NA	NA	NA	NA
"Digital Project Manager"	"40k Annual 00 GBP"	"Chester, Cheshire"	"Unspecified"	"Digital Project Manager"	"Chester, Cheshire - 40k Annual 00 GBP"	"Unspecified"	"Posted: Friday, 7 December 2018"	""	"This role is based in Liverpool but easily commutable from Chester!   Calling all Digital Project Managers! Join a highly successful agency in Liverpool as their new Digital Project Manager and work with multi-million pound clients, whilst enjoying regular nights out, flexi-time, key training to develop further in your role and much more!  With over two decades experience within the digital industry, our client is certainly a force to be reckoned with. As an agency, they pride themselves on delivering high-quality, innovative digital solutions to some of the biggest brands in the world, therefore, it will come as no surprise that they have won multiple prestigious awards over the years. Due to an increase in new business, the company is now looking to hire a hard-working Digital Project Manager to join the very sociable team! The Digital Project Manager will be responsible for managing a strong client portfolio of high profile clients. They will also manage the digital production workload, taking care of briefs and allocating workload to the digital studio, therefore, the successful candidate will demonstrate an ambitious attitude as well as an understanding of Magento. The Main Responsibilities of the Digital Project Manager:  Manage workflow and digital campaign production on allocated accounts to meet quality, financial and delivery requirementsDeal with client requests providing exceptional customer service, quickly, quality and responsesTake digital production briefs and raise any missing detail with the client in order to fully satisfy company briefAllocate Digital Studio workload reviewing and maintaining a weekly workflow scheduleEnsure quality control is applied at all stages of the process with both internal teams and with external suppliersThe Key Skills and Attributes Required:  Experience within a similar roleMagento experience is vital for the roleEnthusiastic, energetic and keen to succeedSolution finder and problem solverHighly organised and calm under pressureConfident and clear communicator and able to deal with clients of all levelsPositive and resilient in a high workload, high energy environmentIf this sounds like you then do not hesitate and apply today!   "	"Chester, Cheshire, UK"	"Media"	"40k Annual 00 GBP"	"The Candidate Ltd"	"The Candidate Ltd"	"JS3561_36646480/581812784"	"07/12/2018 07:02:31"	"http://www.jobserve.com/Gl2EP"	NA	NA	NA	NA
