"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"	"company_summary"
"Service Manager -Glasgow - 6 months"	"£200 - £300 per day"	"Glasgow"	"Contract"	"Service Manager -Glasgow - 6 months"	"Glasgow - £200 - £300 per day"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Service Manager -Glasgow - 6 monthsWe have an exciting initial 6-month contract opportunity live in Glasgow for a Service Manager.Our client is committed to maintaining a base of skilled contracting professionals and this role offers an excellent opportunity to gain experience at in a fast-paced, innovative environment.Applicants should note that this role falls in-scope of IR35 legislation.Essential:Previous experience managing, operating, and supporting services in line with ITIL processes - ideally internal notifications servicesExperience managing multi-disciplinary teams and working in a cross-departmental capacity to facilitate adoption of new servicesExperience forging and maintaining relationships with senior staffExperience analysing statistics and data to determine customer service levelsExperience delivering and managing services in a complex, shared service environmentExperience with supplier management and engaging heavily with 3rd partiesParity - Source, Develop, TransformParity Professionals Ltd acts in the capacity of an Employment Business when providing contract work finding services.We welcome applications from all sections of society and applicants will be considered on the basis of their suitability for the positionAt Parity, we are committed to protecting your privacy, we will process and hold your CV and use the information you have provided lawfully and in accordance with our Terms and Conditions and our Privacy Policy."	"Glasgow, UK"	"IT"	"6 months"	"ASAP"	"£200 - £300 per day"	"Parity Professionals"	"Andrew Mackenzie "	"JS-BBBH59654"	"12/12/2018 18:05:18"	"http://www.jobserve.com/GnAtB"	NA	NA
"Java-Developer-Machine-Learning-Automated-Trading"	"£90k - £120k per annum"	"City of London"	"Permanent"	"Java-Developer-Machine-Learning-Automated-Trading"	"City of London - £90k - £120k per annum"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Stack:Java 10, GCP, Microservices, Machine learning, Docker, KubernetesThe company:A small independently traded fund based in the West End. 12 people in total you will work with a dedicated team of data scientists, software engineers and 2 portfolio managers. The company models investor behaviour in listed securities to create predictive trading strategies.The environment/Culture:Small team of incredibly bright people with a range of different disciplines including; finance, computer science, software engineering, statistics, Datamodelling and mathematics. The chance to work with experts in their given field in an environment where knowledge sharing is critical to success.The role:Working within the software engineering function you will help the company deliver the next generation of their platform moving away from traditional software architectures towards microservice development on a cloud-based platform. Current discussions include the consideration of Kubernetes for Orchestration and Docker for containerisation. They are currently moving everything onto GCP to fully leverage the technology available to optimise their machine learning models.The challenges:Further scaling of the central platform to deal with increased demandBuilding continuous delivery pipelines for the areas that don't already have themMoving to a microservice architectureMigration to a cloud platformImproved analytics through better data utilisation using machine learningWhat experience is required?Strong Java development knowledgeExperience of cloud-based systems (GCP ideal, AWS considered)Experience of microservice architectureKnowledge of or interest in machine learningExperience of working on large datasetsFinancial experience is considered beneficial but engineering skills are the 1st consideration.Please email if you'd like to talk through the above in more detail.Questions:What is the salary range?£90 000 - 120 000 uncapped bonusDo they offer remote/flexible working?NoWill you be required to travel?NoWhat is the team structure?Small team 12 in total you would be the 4th software developer"	"City of London, UK"	"IT"	NA	NA	"£90k - £120k per annum"	"Tecknuovo Ltd"	"Calvin Dickinson"	"JS-1816"	"06/12/2018 11:49:13"	"http://www.jobserve.com/GlxQj"	"Executive"	NA
"SQL DBA"	""	"Maidenhead"	"Permanent"	"SQL DBA"	"Maidenhead"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Maersk is going through times of unprecedented change. From the farm to your refrigerator, or the factory to your wardrobe, we are developing solutions that meet customer needs from one end of the supply chain to the other. Digitization and IT are taking center stage in enabling our customers to trade globally. Join us as we re-think what technology can do. We offer Joining Maersk T&L will embark you on a great journey with career development in a global organization. As an SQL DBA, you will gain broad business knowledge of the company's activities globally, as well as understand how the complexity of IT supports the transport and logistics business.You will be exposed to a wide and challenging range of business issues through regular engagement with key stake-holders across all management levels within Maersk. You will work and communicate across geographical and cultural borders that will enable you to build a strong professional network. We believe people thrive when they are in charge of their career paths and professional growth. We will provide you with opportunities to broaden your knowledge and strengthen your technical and professional foundation.By choosing Maersk, you join not only for the role, but for a career. From here your path may take you towards extended responsibilities within Application Development, IT Delivery or IT Leadership.We aim to be a world-class professional IT organization that delivers business value through automation, standardization and innovation. We believe in empowerment where each of us takes ownership and responsibility for developing and implementing new ways of working. Key responsibilities - Understanding, articulating, and operating SQL Database platform management- Ensuring SQL database platforms are running 24/7- Monitoring incoming Database Events, Incident and Request Queues in line with SLAs and acting upon.- Using Database monitoring tools to manage events and incidents and improve monitoring thresholds in line with Database workload- Database and SQL performance tuning recommendations- Actively participate in multiple work-groups at one time, and disseminating information across all levels of the organization- Review and contribute to technical documentation such as user guides, manuals system specifications and knowledge bases- Contribute to continual service improvement by challenging, reviewing, updating and where inexistent creating, processes and procedures in order to drive operational excellence.- Keeping up to date with current trends in IT We are looking for - Experience with Database Administration for MSSQL Server 2008 through 2017; troubleshooting and resolving database problems, Performance Tuning and Optimization, using native monitoring and troubleshooting tools.- Expertise with backups, restores and recovery models. Knowledge and experience in High Availability (HA) and Disaster Recovery (DR) options for MSSQL Server would be desirable. Always-On, FCI and AG Replication. - Experience in implementing operational automation using scripts.- Good understanding of indexes, index management, and statistics. - Experience working with virtualised Windows environment - Knowledge and or experience with management platforms (SCOM/SCCM) will be considered beneficial. - Familiarity of Service Management Tools such as Service Now. - ITIL Foundation advantageous- Experience with ITIL framework, especially Service Operations and Service Transition- Ability to adapt quickly to new technologies and changing business requirements.- Understanding how the database services support business processes.- Ability to quickly troubleshoot problems that may arise.- Ability to partner with Database Managers, Vendors and Build team engineers to identify issues and restore service as quickly as possible.- Excellent analytical and problem-solving skills.- Ability to effectively assess the Impact of an Incident- Strong communication and people skills/personal impact.- Understanding the total cost of Supporting a Service.- Drives the optimisation of services and ensures continuous improvement. https://iu934-ebddab.pages.infusionsoft.net/"	"Maidenhead, UK"	"IT"	NA	NA	NA	"Maersk Line"	"Eva Karadzhova"	"JS"	"12/12/2018 07:02:02"	"http://www.jobserve.com/GdfIu"	NA	"About Maersk Linewww.maersk.com/Maersk is going through times of unprecedented change. From the farm to your refrigerator, or the factory to your wardrobe, we are developing solutions that meet customer needs from one end of the supply chain to the other. Digitization and IT are taking center stage in enabling our customers to trade globally. Join us as we re-think what technology can do."
"Technology Strategy Analyst"	"Competitive Salary + 15% Bonus"	"London"	"Permanent"	"Technology Strategy Analyst"	"London - Competitive Salary + 15% Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Technology Strategy AnalystPermanentCentral London (W6)Technology Strategy Analyst - an exciting opportunity where you will be part of delivering the technological solutions my client requires in order to compete and grow as an organisation! This role will suit someone that has gained excellent consultancy skills in a large firm and is looking to bring their experience to industry.As a Technology Strategy Analyst you will join a high performing Technology Strategy team that operates at the heart of the company. This key function provides rigorous, structured, well-articulated analysis to senior stakeholders across the Group.We are looking for a Technology Analyst used to working with Architects and Developers in order to understand current and new technology, then use this insight to provide strategic analysis to be used by the business. You will also need to have an understanding of financial modelling and cash flow. Using your knowledge of tools such as R, Python and Matlab for modelling of large datasets and application of machine learning and neural network techniques, you will provide on-going analysis of the E2E unit cost economics and TCO for Connectivity and B2B platform services and becoming a subject matter expert during the life cycle of a project regarding its underlying unit economics. Support Technology teams in technology specific or T&I wide strategy analysis by providing a techno-economic modelling capability and managing individual business cases as neededYou will also provide capacity models and guidance for new B2B & B2C products & services into Technology & Innovation teams leveraging and analysis and working with E2E architectsSkills & Experience we are looking for:Educated to degree level or equivalent in mathematics, engineering, statistics or economics or able to demonstrate equivalent experience in the industry.Experience of techno-economic/financial modelling and have worked in a highly numerate and analytical environmentExposure and well-rounded experience of working and supporting projects throughout the project life cycle.Strong relationship building skills with the ability to acquire insights/inputs from stakeholders across a diverse range of departmentsAbility to describe and explain complex models, concepts & themes to stakeholders in a simple and engaging mannerAbility to perform complex data analysis with a proven track record in problem-solvingComfortable working across countries and cultures as part of virtual teams, using collaboration tools/digital platforms etc.Advanced Excel and PowerPoint skills critical, you are confident communicating via PowerPoint to senior audiencesA broad understanding of the technologies and platforms (some or all of OTT Video, TV, VoD, Voice, Broadband, WiFi)R, Python, SQL and C+ development experience desirableHigh aptitude for manipulating and processing large datasets using Databases/Code/ETL applications, and has at least experimented with machine learning and neural network platformsExperience of rapidly acquiring detailed knowledge regarding new products and detailed technical architecturesIf you are interested in this exciting new permanent position working for a well-known market leader in central London then please submit your CV on line or email direct to (see below) Project People is acting as an Employment Agency in relation to this vacancy."	"London, UK"	"IT"	NA	NA	"Competitive Salary + 15% Bonus"	"Project People"	"Salome Maybanks "	"JS-SM/P/TSA"	"07/12/2018 17:34:21"	"http://www.jobserve.com/Gl6yN"	NA	"About Project Peoplewww.projectpeople.comProject People provides technical and professional recruitment in over 60 countries. We specialise in telecom, IT, energy and defence, supplying the biggest names in the private and public sectors."
"Data Scientist - World class team in Manchester"	"£30k - £45k per annum + Share Options & Bonus"	"Manchester"	"Permanent"	"Data Scientist - World class team in Manchester"	"Manchester - £30k - £45k per annum + Share Options & Bonus"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Data Scientist needed by a genuinely world class team in the heart of Manchester, building a first of its kind AI product. This is a unique opportunity to join a growing organisation who have been one of Manchester's biggest success stories in the last few years. They are constantly striving to improve, hiring some of the best people in the UK across the business, whilst fiercely guarding their culture.You: You will ideally be either a Data Scientist at the moment or someone coming from a highly numerical background doing something an MSc or PhD.The team appreciate that if you can solve complex problems, deal with complex data sets and turn that information into something actionable - you can become a top Data Scientist. From a technical perspective, ideally you will have experience (commercial or academic) of most of the following: * Machine Learning/Data Mining/Natural Language Processing (NLP)/Neural Networks/Deep Learning* Statistical Packages or Languages such as: R, SPSS, SAS, S-Plus, Python, MATLAB and STATA* RDBMS - Open Source, NoSQL and any knowledge of SQL Server* Any understanding or previous knowledge of: Markov Models, Cluster Analysis, Statistics and Reliability Models* Big Data tools such as: Hadoop/Pig/Hive/HBase/Cassandra/Spark/SplunkThe Role:As you will be working for a Data Analytics company, technical & mathematical problems are par for the course. You will be dealing with a mix of clients from global FTSE 100 organisations to local companies so will need to be able to communicate with them at both a technical and non-technical level. One of the reasons they have been so successful is the attention to detail and understanding of their customers exact problem.One of the biggest areas for our client is the desire to continue your professional development, keeping abreast of the ever-changing world of data, attending meet-ups, experimenting with new techniques/technologies and generally immersing yourself in all things data science.If you're on the lookout for a big pay day, or to work in a behemoth organisation where you'll be a small cog in a big wheel, this is definitely not the role for you.However, if you are ambitious and up for a challenge - it could be perfect.The Company:A genuine North West success story, you will be joining an organisation who have really exploded onto the scene in the last couple of years and have helped solidify Manchester as a genuine tech Powerhouse.With a stellar leadership team, who are constantly pushing the boundaries and striving to achieve more, you will be working for an organisation that is trying to be one of the very best on the planet. With the way they are going - this will become a reality!They provide various data analytics solutions to customers across the country, from models for forecasting and sales pipelines, to entire end to end data science solutions - this team can do it all.Having already out-grown two offices, they have moved into a custom fit space in the heart of Manchester, which is easily one of the best spaces in Manchester (if not the whole country). Application & Interview Process:To apply for this role, click on the link below and feel free to get in touch with Liam at Cathcart Associates for a more detailed chat.The interview process for this role is an informal chat with one of the Lead Data Scientists, followed by a more in-depth technical chat with the Director of Data Science and a final cultural chat with the CEO, who is still very much hands on when it comes to building the team."	"Manchester, UK"	"IT"	NA	"ASAP"	"£30k - £45k per annum + Share Options & Bonus"	"Cathcart Associates Limited"	"Liam Wilson "	"JS-VR/20250"	"07/12/2018 16:14:26"	"http://www.jobserve.com/Gl6ZW"	NA	"About Cathcart Associates Limitedwww.cathcartassociates.comCathcart Associates is a market leading, independent IT / Technology consultancy offering permanent and contract services across Scotland and the North of England for all technical disciplines."
"Principal Data Scientist"	"£70k - £75k per annum + excellent package"	"Bristol"	"Permanent"	"Principal Data Scientist"	"Bristol - £70k - £75k per annum + excellent package"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Do you also believe that Data Science is the future of analytics? Do you have a passion for it and the desire to build and entertain teams of professionals in the field? If this resonates with you, you will like the following. One of our client is searching for an ambitious Lead Data Scientist capable of showing a good understanding of machine learning. The team is growing! My client is looking for an individual who will help shape the future of their analytics offerings, alongside statisticians and data specialists. Providing analytics solutions including machine learning, linear programming methods you will be using the best techniques to reach the most efficient optimisation, develop new algorithms or put together predictive analysis schemes. If you enjoy dealing with technical and intellectual challenges across diverse projects, this job is for you!Looking for a principal/lead role, you would be put in a position to mentor and manage small to medium size teams and grow them as you deem necessary. Essential:- Hands-on experience of deploying machine learning with Python or RDesirable:- Ideally worked on a variety of projects and solved a lot of new problems - Degree in applied mathematics, statistics, or a relevant scientific discipline.Having a great progression potential in an established company with excellent benefits (30 days holidays, voluntary flexible benefits...), the opportunity is second to none.If this description resonates with you so far, apply and I will reach out to you right away. "	"Bristol, UK"	"IT"	NA	"ASAP"	"£70k - £75k per annum + excellent package"	"IO Associates"	"Angelo Potenza "	"JS-JO0000012638"	"07/12/2018 09:57:23"	"http://www.jobserve.com/Gl299"	NA	NA
"Principal Data Scientist"	"£70k - £75k per annum + excellent package"	"Bath"	"Permanent"	"Principal Data Scientist"	"Bath - £70k - £75k per annum + excellent package"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Do you also believe that Data Science is the future of analytics? Do you have a passion for it and the desire to build and entertain teams of professionals in the field? If this resonates with you, you will like the following. One of our client is searching for an ambitious Lead Data Scientist capable of showing a good understanding of machine learning. The team is growing! My client is looking for an individual who will help shape the future of their analytics offerings, alongside statisticians and data specialists. Providing analytics solutions including machine learning, linear programming methods you will be using the best techniques to reach the most efficient optimisation, develop new algorithms or put together predictive analysis schemes. If you enjoy dealing with technical and intellectual challenges across diverse projects, this job is for you!Looking for a principal/lead role, you would be put in a position to mentor and manage small to medium size teams and grow them as you deem necessary. Essential:- Hands-on experience of deploying machine learning with Python or RDesirable:- Ideally worked on a variety of projects and solved a lot of new problems - Degree in applied mathematics, statistics, or a relevant scientific discipline.Having a great progression potential in an established company with excellent benefits (30 days holidays, voluntary flexible benefits...), the opportunity is second to none.If this description resonates with you so far, apply and I will reach out to you right away."	"Bath, UK"	"IT"	NA	"ASAP"	"£70k - £75k per annum + excellent package"	"IO Associates"	"Angelo Potenza "	"JS-JO0000012638"	"07/12/2018 09:56:10"	"http://www.jobserve.com/Gl28r"	NA	NA
"Senior Java Developer - Finance/Greenfield/Front Office - ca DOE £105K+/£500-750 p/d"	"c. £105K +/£500-£750 p/d DOE"	"London"	"Contract/Permanent"	"Senior Java Developer - Finance/Greenfield/Front Office - ca DOE £105K+/£500-750 p/d"	"London - c. £105K +/£500-£750 p/d DOE"	"Contract/Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Want great work, interesting tech but no politics? Want to work somewhere where productivity trumps presenteeism? You've found the right place. We are Adaptive, where you'll use the latest technology to design, build and operate bespoke, Real Time, front-to-back solutions for tier-one investment banks and commodity trading firms financial clients using the latest technology, in flat teams where innovation and collaboration are the backbones of our success. You'll be contributing to the development of information distribution applications, such as scalable and flexible electronic trading systems, Real Time workflow applications, and E-commerce web-based platforms. Our projects range from POC's that take a few weeks, to multi-year, large-scale E-commerce applications. This particular project is as greenfield as it gets - no Legacy code to tinker with, just pioneering work to do. You will be: Working with a skilled, collaborative and friendly team of Server Side developers, Front End engineers, BAs and PMs. You will work in a test-driven, Agile development fashion. You will remain abreast of the newest developments in technology and quickly adapt to them to achieve better results. Required skills and experience: Extensive Java Server Side software development experience Solid experience in object-oriented programming in Java Passionate about building distributed, scalable, reliable, and low latency web services Deep knowledge of concurrency, resiliency, caching, HTTP and REST Even-tempered and able to remain focused on solving production issues when they arise Experience working in an Agile environment (Scrum, Kanban) BSc/MSc in Computer Science or equivalent is good to have Excellent communication skills Language: English (fluent) Experience working with distributed teams Some of our success stories include: An app store that allows users to browse available apps and install to their desktop without Administrator rights. The system provides an auto-update mechanism and also captures usage statistics Adaptive brought our experience in large scale E-commerce platforms to quickly specify and agree an architecture with the client. The design enabled rapid development in the short term but also granted flexibility and agility in the long term. Please note that the successful candidate will need to have a background check due to the kind of projects we work on. You can find our applicant privacy notice."	"London, UK"	"IT"	"Perm/Rolling Contract"	NA	"c. £105K +/£500-£750 p/d DOE"	"Adaptive Financial Consulting Ltd"	"Marie Downes"	"JSAD498"	"12/12/2018 07:02:10"	"http://www.jobserve.com/GjIxq"	"Executive"	NA
"Service Support Manager"	""	"Bristol"	"Permanent"	"Service Support Manager"	"Bristol"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"The Service Support Manager role provides a critical support function for the Service Delivery team both externally and internally, assisting a number of Service Delivery Managers in providing an excellent Customer experience and consistent focus to provide a consistent support mechanism for all Customer contracts. In some cases, the Service Support Manager may be responsible for operational contract governance of smaller/non-complex accounts and would be required to lead ad hoc or scheduled service reviews. Drives Customer service SLA achievement and Customer satisfaction by maintaining accurate Customer data on action trackers, risk logs, SIP (Service Improvement) trackers, contract trackers and other Customer documents and on a daily basis will coordinate Customer BAU issues. Creates and issues important Customer Governance documents such as Service Review minutes and agendas and produces monthly, quarterly and annual Customer report data and analysis in a timely manner to enable the Service Delivery Manager to present this data to the Customer. Success in this role will be demonstrated through being a positive and pro-active team player in the Service Delivery Team. The role requires great coordination/organisation skills and the ability to interrogate data. Main Duties of Job: Stakeholder Management: Act as the voice of the Customer internally supported by Service Delivery Managers and Heads of Service Delivery Build relationships with both Customer and internal SCC stakeholders Contribute towards and Support Service Delivery Managers in the resolution of account issues and escalations and take ownership of BAU issues. Support the process of ensuring SCC Management are advised of major service issues (to minimise surprise and exposure) through ensuring any such issues are reported through to the appropriate next level of management Build relationships with internal stakeholders Financial, Commercial & Contract Management: Maintain contract/obligation management trackers Ensure that opportunities to extend, negotiate or expand the SCC undertaking and drive incremental revenue (pull through) are reported through to the appropriate next level of management Supports the financial and commercial process through the maintenance of trackers and reporting data that support the execution of those processes Supports the production of financial reporting and updates Service Improvement & Value Creation: Supports the process of generating and distributing Customer satisfaction surveys and the collation of responses Assists in taking action on specific Customer responses Collates and tracks Customer satisfaction measures Performance Management: Ensures Service Delivery ownership and contribution to the escalation management process Ensures consistent process and documentation Manages the internal coordination of service issues Measures and maintains OLA's and SLA's Measuring and reporting of Key Performance Indicators and Critical Success Factors Ensures Service Quality measurements are in place and a service excellence ethos promoted Reporting & Governance: Provide support to the Service Delivery Managers in the preparation of Service Reviews and potentially lead service reviews for small/non-complex accounts Provide reporting to support the Service Improvement Process (SIP - Failure to deliver agreed service) as owned by the appropriate level of Service Delivery Management Creates, update and manages service and trend reporting Updates internal processes for consistency and induction of new staff (ie escalation processes, contact maps) Completes agendas, minutes, actions and associated reporting Ensures agreed performance statistics and reporting are provided to the Service Delivery Manager Distributes Service Review agenda and minutes Collate reports for operational reviews (ie service desk, incident, change, problem, project status) Operational Contract Management: Be conversant with the signed contract and its operational translation Supports and assist in the Major Incident process through the provision of data and analysis to support either resolution or communication Acts as initial escalation point for Customers on BAU issues Maintains risk tracker (overseen by named higher level Service Delivery Manager) Organises Service Review meetings Runs weekly operational reviews (for smaller/non-complex Customers) Maintains Customer handbook (Customer facing document) Reviews RFCs (higher level Service Delivery Manager to sign off) Skills, Knowledge & Experience: Essential: Customer facing experience and Customer service skills. A passion for Customer service. Ability to manage administration and multiple tasks in an accurate and timely manner, often against deadlines Ability to communicate effectively at the appropriate levels, internally and externally with Customers Excellent written and verbal communication skills Attention to detail Good Word, PowerPoint and Excel skills, with a demonstrable ability to build well-presented and logical documents and presentations Ability to translate and communicate business requirements and service requirements/specifications to varying levels of audience Ability to work to deadlines under pressure Desirable: Knowledge of Managed Services methodologies General understanding of the IT industry, infrastructure systems and hosting Experience of working within/aligning to an ITIL environment ITIL Foundation Qualification At SCC, we take the security and privacy of your data very seriously, any data we hold will be in accordance with the new Data protection legislation (GDPR) which comes into effect on 25th May 2018. If you decide to continue with your application it is important that you are aware of our Privacy Policy. Upon submitting your application, you will receive an automated email that will require a response from you in order to allow SCC to process your data In line with the above policy."	"Bristol, UK"	"IT"	NA	NA	NA	"SCC"	"Malcolm Fry "	"JSMF SSMBRI"	"07/12/2018 13:28:05"	"http://www.jobserve.com/GfO7G"	NA	NA
"ICT Service Desk Engineer"	"21k to 24k"	"Liverpool"	"Permanent"	"ICT Service Desk Engineer"	"Liverpool - 21k to 24k"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"telent ICT Service Desk EngineerLocation: Liverpool- Vestry RoadType of Job: PermanentRef No: V7074Fantastic opportunity to join a customer focused ICT Service Desk supporting the Emergency Services Sector. Suitable for those who are experienced service desk engineers or someone looking to break in to that field who has a solid grounding with IT Systems.Role ProfileThe role will involve providing general ICT Service Desk support to PS&D ICT outsource contracts including Mersey fire, East Sussex Fire, ESN and North West Fire control.The role will require a strong grounding in ICT Service support adhering to ITIL. It will include troubleshooting, problem-solving and technical skills based background using various diagnostic tools. In addition, strong inter-personal skills are required to guide customers (both internal and external) through situations (over the phone as well as face-to-face), providing resolution to incidents and ultimately reach customer satisfaction. This may often be under challenging conditions. Communication is a key skill to enable the management of faults through incident, change and problem management.Typical DeliverablesFocused on supporting ICT systems and applications, the key tasks will require the engineer:To be the first point of contact for all ICT related incidents and service requests.To be part of a proactive team of technical service desk engineers delivering high quality, customer focused service.Provide 1st (2nd) line technical support.Responsible for adhering to the ITIL Incident Management Policy including the life cycle management of all incidents.Responsible for adhering to the ITIL Problem Management Policy; raising known problems and errors where required. Analysing incident data to identify trends. Provide work-arounds and permanent fixes using problem mgt techniques. Aim to reduce incidents and time to fix.Configuration Management:- responsible for adhering to the policy and process, ensuring CI's are accurate, linking CI's, status accounting.Responsible for subcontractor performance monitoring.Responsible for communicating planned outagesAnswered Queue management ensuring incident closure with end users.Responsible for monitoring OOH, providing statistics, ensuring OOH have sufficient support information to provide 1st line support functionality.Responsible for data quality held within the Service Management System, Remedy.Responsible for FAQ documentation and end user guides.Work closely with the Customer base to streamline services in line with ITIL.Self-development, attending appropriate health and safety, ITIL, risk assessment training courses and sitting exams where required.ExperienceWindows Server OS 2008 and 2012 supportActive DirectoryMS Office applications including O365Bespoke Application supportKnowledge and understanding of Exchange (2010 & 2013), SharePoint (2007 -2013and Lync productsAnti-Virus softwareExperience within a service level driven environmentQualificationsAppropriate ICT qualifications ( expired qualifications if relevant will be taken into account)Appropriate industry experience to deliver the requirements of the roleITIL foundation or PractionerBehavioural Requirements:Ability to work under pressure and to tight deadlinesClient & Customer ServicsCommunicating with key stakeholdersDeveloping Self & OthersPlanning & OrganisingProblem Solving & Decision MakingClean Driving LicenceUndertake Security Clearance checksExcellent Employee Benefits:telent is committed to ensuring that we offer industry leading career opportunities, salary and benefits packages. Join us and you can expect to receive:33 days holiday, including public holidays, plus the option to buy or sell five days each yearCompany pension schemeA range of family friendly policies including childcare vouchersAn employee-funded car leasing schemeOccupational health supportTelent Rewards SchemeSo why choose telent for your next opportunity?To build, run and maintain a successful network, you need a connected approach - a team you can trust from strategy to support, and everything in between. At telent, this is what we do!As part of our team, you could be working with some of the biggest names in the Traffic, Rail, Public Safety, Defence and Service Provider sectors including London Underground, Network Rail, Transport for London, RNLI, MOD and Virgin Media. You'll help us ensure the most important messages get through - however tough the conditions.Here are just some of the ways we're different: You'll go further with us. We understand the importance of career development and will give you all the support you need to realise your potential. You'll receive formal training, E-learning and mentoring from top professionals. And we offer opportunities to transfer to other sectors - or even different technology areas.You'll make a difference. You could be working outdoors, battling the elements, or in one of our many offices helping us develop the network infrastructures of tomorrow.You'll be treated as an individual. We're not a vast corporation, which means every individual counts. With us, you'll be valued and supported, involved and empowered from day one.You'll be well rewarded. We offer salary progression that reflects market rates and personal performance, a flexible working environment and excellent training.We reserve the right to close this vacancy once we have received sufficient applications.telent is an equal opportunities employer and is committed to diversity and inclusion."	"Liverpool, UK"	"IT, Military"	NA	NA	"21k to 24k"	"TSS Solutions Ltd"	"Lindsey Cardie "	"JS-V7074"	"06/12/2018 09:48:49"	"http://www.jobserve.com/Glwq3"	NA	NA
"Machine Learning Engineer"	"£350 - £400 per Day"	"London"	"Contract"	"Machine Learning Engineer"	"London - £350 - £400 per Day"	"Contract"	"Posted: Monday, 10 December 2018"	""	"About The AI Startup and how you will play your part as their first NLP Engineer This disruptive AI startup has an outstanding opportunity for an accomplished NLP Engineer to join the team as one of the company's first key hires. They have just raised a considerable amount of funding and are now focusing their attention on growth. As a company, their core purpose is to address the laborious bureaucracy associated with international supply trade documentation. They therefore see this NLP Engineer hire as someone who will help create AI-first solutions to automate document inspection through smart documentation analysis and NLP-centric technologies. With my client having recently set up a London base after kickstarting this project in the USA, as their first NLP Engineer you will have a great blank canvas upon which to make an impact.About The NLP Engineer Role:As an NLP Engineer, you will have an exciting opportunity to develop both your technical and client servicing skills in an established tech environment.Key Responsibilities for the NLP Engineer:Designing and developing data engineering pipelines to ingest new data and update existing algorithmsPerforming core NLP tasks, including text mining, classification, information extraction, entity recognition, text processing etc.Bringing NLP systems into production, collaborating with the engineering teamNavigating noisy labels, incomplete data-sets and multiple data formatsAbout The Successful NLP Engineer:If you are currently in a NLP Engineer, Machine Learning Engineer, Data Scientist or Data Engineer role this could be the ideal next step in your career with an exciting, disruptive tech company.Desired Skills and Competencies of the NLP Engineer:PhD/MSc in discipline related to Machine Learning, NLP, Computer Science etc.Ideally commercial experience putting academic theory into practiseStrong technical ability in Python as well as other technologies such as NLTK, Keras, Tensorflow, PyTorch etc.Knowledge of good software engineering practice and principles Expertise in NLP with emphasis on text classification, mining and clusteringBonus points for experience in applying Deep Learning for NLP, NLP on large datasetsAfter completing a contract period of work the successful NLP Engineer could also be offered a permanent position and with it a highly competitive salary depending on experience, along with excellent company benefits and stock options. However this is by no means an essential requirement and experienced contract-only applicants are very much encouraged to apply for the long term contract period, if you don't have a desire to move to a permanent role in the future.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT, Consulting"	"6 months"	"ASAP"	"£350 - £400 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1207"	"10/12/2018 11:16:40"	"http://www.jobserve.com/GmhW9"	NA	NA
