"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"start_date"	"duration"
"Python Fullstack Developer"	"£60k - £80k"	"London"	"Permanent"	"Python Fullstack Developer"	"London - £60k - £80k"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Python Fullstack Developer - using tech to disrupt - London Python Fullstack Developer is required for exciting and innovative artificial intelligence and natural language processing NLP company based in London. You will be working closely with the Front End and solutions engineers, scientists, the ML stack, and the product team to define and build new greenfield projects. The company believes in their mission, and that it can help people/organisations worldwide, so it means the environment there is awesome. The development team uses various different programming languages with a particular focus on Python+Django and ReactJS+Redux. The company is made up of some of the very best software developers and mathematicians. Each brings their unique perspective from their backgrounds in computer science, physics, mathematics and engineering. Specialties: Python+Django and ReactJS+Redux, artificial intelligence (AI), Natural Language Processing (NLP) and machine learning algorithms. Join an exciting company with many opportunities to progress your Python/React fullstack programming career. Send your CV for immediately review and further details."	"London, UK"	"IT"	NA	"£60k - £80k"	"Venture Up Ltd"	"Burim Hykaj"	"JSBH- 01654"	"29/11/2018 07:02:21"	"http://www.jobserve.com/GhGEy"	NA	"ASAP"	NA
"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"£55k - £85k per annum + bonus"	"City of London"	"Permanent"	"Python/Java Machine Learning/AI Developer - Finance - £55k-£85k"	"City of London - £55k - £85k per annum + bonus"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Python/Java Machine Learning/AI Developer - London based Brokerage - up to £85kPython/Java Developer required to work on the next generation of artificial intelligence(AI)/machine learning technology at a leading financial services brokerage in London. The team operate like a fintech within the organisation, focussing on creating cutting edge technical solutions within a collaborative and innovative environment, much of the work is greenfield.As a Python/Java Developer within this team you will also have extensive exposure to; Cloud AWS, JavaScript with react and openfin applications. This is an expanding team with a lot of investment being invested into their development with the AI/machine learning space too. The role will also give a strong Python/Java technologist exposure to the financial services market and provide an understanding of how large transactions are carried out and processed.The successful Python/Java Developer can look to receive between £55,000 and £85,000 base, plus a healthy package and bonus.Requirements:Commercial Python or Java development experienceExperience with Cloud platforms, ideally AWSExperience of working on the full software development life cycleIdeally experience or an interest in AI/Machine LearningFinancial Services experience desirable, but not essentialStrong academic profile (Computer Science preferred)Full job specification can be provided upon applicationMcGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"City of London, UK"	"IT"	NA	"£55k - £85k per annum + bonus"	"McGregor Boyall"	"Luke Nutley "	"JS-LN1423398"	"30/11/2018 16:29:27"	"http://www.jobserve.com/Gkqhb"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA	NA
"Product Delivery Consultant - Finance, Banking, Analyst"	""	"Cambridge"	"Permanent"	"Product Delivery Consultant - Finance, Banking, Analyst"	"Cambridge"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Product Delivery Consultant - Finance, Banking, Analyst, Data, £competitive + benefits, CambridgeDue to rapid growth this high flying software house with a sound grounding in artificial intelligence and machine learning is looking for another talented individual to join their diverse team. The team that they have backing them are true experts in building and growing cutting edge technology companies taking them to new heights.It is certainly an exciting time to be joining them.The skills that we are looking for is someone that has proven experience in writing rules ideally in technology with a finance/banking background that can comprehend complex client requirements, must have solid experience working with complex data and analysing this, up to date in producing documentation that is line with different regulations/audit requirements, the ability to use data manipulation with an understanding of databases such as SQL, directly working on customers requirements and used to presenting to others.Due to the nature of the role it requires someone to be analytically minded.A degree is not required but any supporting qualification would be welcomed especially from financial backgrounds.The Product Delivery Consultant role will give you plenty of different tasks to be getting involved with: acting as the industry expert, working closely with clients to understand their needs so that the correct rules and data are acquired, learning a deeper understanding of the rules, being a consultant of behalf of the company, assisting the internal team and other departments to understand different patterns and coach team members.This is a far cry from your usual opportunity and software house.Vibrant energetic team, excellent location, competitive salary and more perks than you can probably think of.We are excited by this client and we think you will be too.Sound interesting?Please note we are on the client's supplier list for this position.Please be assured that your CV will be treated in the strictest confidence and we would always speak to you before discussing your CV with any potential employer.Modis operating as an Employment Agency. Modis are an equal opportunities employer.Keywords - Analyst, Banking, Finance, Cambridge, SQL, DatabasesModis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Modis International Ltd UK is an Equal Opportunities Employer. By applying for this role your details will be submitted to Modis. Our Candidate Privacy Information Statement explains how we will use your information. "	"Cambridge, UK"	"Finance, Sales and Marketing"	NA	NA	"Modis"	"Mark Chapman "	"JS-1154828"	"03/12/2018 14:48:20"	"http://www.jobserve.com/GlQI7"	NA	NA	NA
"Product Delivery Consultant - Finance, Banking, Analyst"	"Benefits"	"Cambridge"	"Permanent"	"Product Delivery Consultant - Finance, Banking, Analyst"	"Cambridge - Benefits"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Product Delivery Consultant - Finance, Banking, Analyst, Data, £competitive + benefits, CambridgeDue to rapid growth this high flying software house with a sound grounding in artificial intelligence and machine learning is looking for another talented individual to join their diverse team. The team that they have backing them are true experts in building and growing cutting edge technology companies taking them to new heights.It is certainly an exciting time to be joining them.The skills that we are looking for is someone that has proven experience in writing rules ideally in technology with a finance/banking background that can comprehend complex client requirements, must have solid experience working with complex data and analysing this, up to date in producing documentation that is line with different regulations/audit requirements, the ability to use data manipulation with an understanding of databases such as SQL, directly working on customers requirements and used to presenting to others. Due to the nature of the role it requires someone to be analytically mindedA degree is not required but any supporting qualification would be welcomed especially from financial backgrounds.The Product Delivery Consultant role will give you plenty of different tasks to be getting involved with: acting as the industry expert, working closely with clients to understand their needs so that the correct rules and data are acquired, learning a deeper understanding of the rules, being a consultant of behalf of the company, assisting the internal team and other departments to understand different patterns and coach team members.This is a far cry from your usual opportunity and software house.Vibrant energetic team, excellent location, competitive salary and more perks than you can probably think of.We are excited by this client and we think you will be too.Sound interesting?Please note we are on the client's supplier list for this position.Please be assured that your CV will be treated in the strictest confidence and we would always speak to you before discussing your CV with any potential employer.Modis operating as an Employment Agency. Modis are an equal opportunities employerKeywords - Analyst, Banking, Finance, Cambridge, SQL, Databases,Modis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Modis International Ltd UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Modis. Our Candidate Privacy Information Statement explains how we will use your information "	"Cambridge, UK"	"IT"	NA	"Benefits"	"Modis"	"Mark Chapman "	"JS-1154828"	"28/11/2018 11:30:11"	"http://www.jobserve.com/GkXQt"	NA	"ASAP"	NA
"Senior Systems Administrator (move towards DevOps)"	""	"London"	"Permanent"	"Senior Systems Administrator (move towards DevOps)"	"London"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Senior/Lead Systems Administrator - progress into DevOps!  - Opportunity for an experienced SysAdmin looking to get more into DevOps.  - Artificial Intelligence tech house devising cloud solutions that help to prevent crime and save lives! KEY SKILLS/EXPERIENCE NEEDED:  - Demonstrable experience in Systems Administration in a Linux environment.  - Strong networking knowledge.  - Ideally DevOps experience, although the role could suit somebody looking to gain further experience in this.  - A preference and passion for working with cutting edge open source tech!  - Some of the following would also be advantageous: Ansible, Docker, Kubernetes, Python Scripting, AWS, Jenkins... ROLE SUMMARY:  A rapidly growing tech house in the artificial intelligence domain, with an internationally successful product set, is about to launch a new range of products and is therefore seeking a Lead SysAdmin/DevOps Engineer as a result of growth.  You will be working on cloud platforms that support state of the art AI solutions, and contribute towards solving high profile crimes globally, with clients including law enforcement and police departments across various countries.  You will need to be a highly experienced Systems Administrator/Infrastructure Engineer, capable of occupying a lead/senior role and taking full ownership of projects from end to end within a small team. Linux expertise is required, and ideally some DevOps experience or at least a desire to move further in this direction!  In addition, you will need to be well versed in delivering cloud based solutions, and ideally have a passion for working with exciting open source tech! "	"London, UK"	"IT"	NA	NA	"Provide Connected"	"Sam Clayton"	"JS"	"29/11/2018 12:29:39"	"http://www.jobserve.com/GkiaQ"	NA	NA	NA
"Data Scientist - London"	"£60k - £85k"	"London, England"	"Permanent"	"Data Scientist - London"	"London, England - £60k - £85k"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Love to problem solve? Experienced in Machine Learning, Algorithms? Want to be involved in industry disruptive technologies. Be-ITs client is building Artificial Intelligence focussed on optimising large-scale project delivery. They are changing the consulting industry and need passionate and experienced people to join them. Our clients customer-facing teams provide consultancy support to a range of different clients on all aspects of data from Cradle through to grave. They work mainly, but not exclusively, in the Financial Services sector and their clients call on them to deliver the most challenging assignments going. Theyre proud of the outstanding work they deliver to their clients and aim to significantly exceed client expectations on each project they undertake. Data Science is a core part of their customer-facing work, with previous and current Data Science engagements including: Using Data Science to diagnose the reasons for under-performance in a client product portfolio, along with remediation actions required to address this shortfall; Developing novel applications of Data Science to help better understand the clients Customers, Markets, Products and Competitors; Developing Machine Learning algorithms and tools to help improve client data quality and data consistency; Using Machine Learning to improve the delivery of a large portfolio of client projects; Using Data Science to help detect fraud and ensure compliance with Anti Money Laundering obligations; Design, build, delivery and operation of Data Science innovation laboratories, including provision of interim specialist resources to help embed the new labs. For all their roles, it is essential for you to have a minimum of 3 years hands-on experience of undertaking Data Science in a commercial or applied RD environment and that you are comfortable working on client sites as part of an Embedded team. You must also have excellent client-handling skills, be a fluent communicator in written and spoken English and be able to work with a diverse range of client staff from recent graduates through to senior management. Their hands-on Data Scientists are highly skilled at deriving insight from large, complex, data sets using a range of different platforms and technologies. They work in languages such as R and Python and work with both structured and unstructured data sets. Normally, their Data Scientists work as part of a multi-disciplinary, agile, team that also includes Business Analysts, Data Engineers and Data Visualisation SMEs. Their strategic Data Science role holders must also be able to undertake hands-on Data Science investigations but, in addition, must have direct experience of designing, building and/or operating a Data Science service, such as a laboratory or similar team/capability. These roles often involve liaison with very senior client stakeholders and require exceptional strategy and technology foresight skills. You will normally have a minimum of 8-10 years experience in Data Science to be considered, although this is not an essential requirement of the post. It is, however, an essential requirement that you have previously worked on at least one Data Science capability definition/delivery project, as outlined above. Please note also that you must be willing to work up to 4 days per week on one or more of our clients sites as part of this role and we are not able to guarantee from the outset at which client site you will be based. We will, of course, do all we can to locate our staff in their preferred location(s), but you must be prepared to travel to, and work, in UK locations. Essential requirements 3 years hands-on Data Science experience in a commercial environment (for all customer-facing roles) Broad understanding and experience of ML and AI principles (key assumptions and benefits of ML and AI; algorithm types; experiment design; limitations of ML and AI etc) Confident ML software coding skills (preferably in Python, R and SQL) Demonstrable hands-on experience with ML libraries (such as scikitlearn and/or TensorFlow) Strong in statistical data analysis (eg for data visualisation, data insights and feature engineering) Passion for Data Science, actively seeking out opportunities for learning and development. Confident in working autonomously and as part of a multidisciplinary team Fluent communicator in both written and spoken English, with an engaging personality and a professional, yet approachable, style Excellent presentation and report-writing skills Strong client-handling skills, able to deal maturely with client requests and challenges A Masters degree in maths, physics, computer science or other highly numerate discipline from a leading university In-depth experience in one or more of the following areas: Machine Learning/Deep Learning Information retrieval Text mining Neural networks Bayesian models Graph theory Natural language processing (NLP) Recommendation engines If you are interested in finding out more about this position please apply online."	"London, England, UK"	"IT"	NA	"£60k - £85k"	"Be-IT Resourcing"	"Alastair Philp"	"JS"	"28/11/2018 12:33:41"	"http://www.jobserve.com/GkYQv"	NA	NA	NA
"DevOps Engineer (AI, Robotics)"	"£60k - £70k per annum + Shares, Benefits"	"Oxford, Oxfordshire"	"Permanent"	"DevOps Engineer (AI, Robotics)"	"Oxford, Oxfordshire - £60k - £70k per annum + Shares, Benefits"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"DevOps Engineer (AI, Robotics)We are seeking a Systems or DevOps Engineer with experience of complex Linux environments to work for one of the most exciting companies in the UK building artificial intelligence and autonomous vehicle technologies!As the DevOps Engineer you will have the opportunity to work with a team building next generation autonomous vehicle technologies using AI and Computer Vision to change the way we travel. You will be part of the wider DevOps team, focussed on improving CI, deployment process and cloud systems utilising modern automation and container tooling.Skills required for the DevOps Engineer;Worked within complex, scalable Linux environmentsBroad technical knowledge which could include Scripting or development languages and Continuous Integration (CI) tooling and methodsExposure to Docker, Kubernetes or cloud technology (AWS) would be very beneficial DevOps Engineer (AI, Robotics)Salary: £60,000 - £70,000 plus shares and great benefitsLocation: Oxford, Oxfordshire"	"Oxford, Oxfordshire, UK"	"IT"	NA	"£60k - £70k per annum + Shares, Benefits"	"Understanding Recruitment"	"Anna Lynch "	"JS-MW-SSDO"	"02/12/2018 14:00:57"	"http://www.jobserve.com/GlFEo"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA	NA
"Front End Developer JavaScript - AI start-up"	"£80k - £120k per annum + Bonus, shares"	"East London"	"Permanent"	"Front End Developer JavaScript - AI start-up"	"East London - £80k - £120k per annum + Bonus, shares"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Title: Front End Developer (JavaScript, React.js, AI)Salary: £80-120KLocation: East LondonFront End Developer (JavaScript) with commercial React.js experience is sought by a very promising Artificial Intelligence (AI) start-up within the finance sector. As a Front End Developer in an intimate team, you will be a critical decision maker in the direction of their product, whilst building and maintaining a high quality component library.Required skills for Front End Developer:5+ years of experience of JavaScript and JavaScript patternsExtensive experience in React.js/ReduxProficient understanding of cross-browser compatibility issuesA passion for code ownership and testing strategiesThis is a great opportunity for an experienced Front End Developer who is keen to work for a product-focused company, which will be used by family & friends.The successful applicant will profit from a competitive salary + benefits (discretionary bonus, shares, and flexible working). Please apply.Front End Developer JavaScript - AI start-up"	"East London, UK"	"IT"	NA	"£80k - £120k per annum + Bonus, shares"	"Oliver Bernard"	"Matthew Elstow "	"JS-FAD12"	"03/12/2018 18:32:36"	"http://www.jobserve.com/GlSrW"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	"ASAP"	NA
"Python AI Developer - London Start Up - Multiple - £50k-£130k"	"£50k - £130k per annum + bonus/share"	"London"	"Permanent"	"Python AI Developer - London Start Up - Multiple - £50k-£130k"	"London - £50k - £130k per annum + bonus/share"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Python AI Developer - London Start Up - Multiple Roles - £50k-£130kA rapidly expanding start up in London are looking to hire a number of python technologists to work on their artificial intelligence (AI) platform. Prior experience within the AI field is not essential, but it is highly beneficial to have a strong interest. As a strong Python technologist you should also be competent in one or more other programming languages (Java, Scala, Golang), as the team utilise and interact with a number of other systems.The company themselves provide services for a wide range of individuals and large clients, from small high street companies to tier one Investment Banks.They are open to speaking to a range of experience levels and you can look to receive between £50,000 and £130,000 base, plus package, bonus and potential equity share.RequirementsStrong Python technologistOther programming language experience (Java, Scala, Golang)Strong interest/experience within the AI spaceStrong communication and problem-solving skillsStrong academics (preferably comp sci, other sciences or maths)Full job spec can be provided upon applicationMcGregor Boyall is an equal opportunity employer and do not discriminate on any grounds. "	"London, UK"	"IT"	"Executive"	"£50k - £130k per annum + bonus/share"	"McGregor Boyall"	"Luke Nutley "	"JS-MB89383474"	"30/11/2018 16:29:30"	"http://www.jobserve.com/Gkqhd"	"About McGregor Boyallwww.mcgregor-boyall.com/McGregor Boyall is one of the UK's leading financial services recruitment firms. We have been established for over a quarter of a century and have built an unrivalled reputation for helping organisations recruit the very best talent to ensure that they realise their business and operational objectives. We deliver recruitment solutions for contract, interim and permanent positions across the following areas: Accounting & Control | IT & Change | Compliance | Finance | Marketing & Communications |  Risk | HR and Talent Management | Business Intelligence |   "	NA	NA
"Fintech Pre - Sales Consultant"	"£32k - £45k per annum + Benefits"	"City of London"	"Permanent"	"Fintech Pre - Sales Consultant"	"City of London - £32k - £45k per annum + Benefits"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Fintech Pre - Sales Consultant, Degree, Mathematics, Computing, Science, £depending on experience + benefits, Central LondonThis leading software house who is an expert in use of Machine Learning and Artificial Intelligence has created a rewarding opening for a Fintech Pre - Sales Consultant. Gifted in the use of analytics their growth has excelled year on year. They have become one of the Fintech companies to watch out for.What are we looking for in you?-Outstanding communication skills both written and verbally, confident speaking to people from a wide audience.-Solid academic background holding a 2.1 or better ideally in a computing, mathematical, engineering, science, physics but other subjects would not be ruled out. -Competent technical awareness in pre/post sales capacity, understanding of cloud computing, operating systems, networking or engineering and a grasp of machine learning would not go unnoticed but this is not essential. -Strong business acumen, excellent presentation skills and well versed in consulting with technical clients. -Happy to travel on behalf of the company.Your role as a Fintech Pre-sales Consultant:-Writing proposals, presenting and stakeholder management.-Being seen as a trusted advisor and maintain strong relationships.-Liaising between the technical teams and commercial side of the business.-Designing solutions for clients, attend conferences and providing demonstrations. Prestige offices, great benefits and a rewarding future with a company that is at the very heart of cutting edge technology.Feel free to apply via the link or give us a call.Please note we are on the suppliers list for this position.Please be assured that your CV will be treated in the strictest confidence and we would always speak to you before discussing your CV with any potential employer.Modis are operating as an Employment Agency. Modis are an equal opportunities employerKeywords - Technology, Consultant, London, Cloud, Degree, Computing, Physics, Mathematical, Science, Engineering, FintechModis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Modis International Ltd UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Modis. Our Candidate Privacy Information Statement explains how we will use your information."	"City of London, UK"	"IT"	NA	"£32k - £45k per annum + Benefits"	"Modis"	"Mark Chapman "	"JS-1150560"	"28/11/2018 13:59:33"	"http://www.jobserve.com/GkZgB"	NA	"ASAP"	NA
"Network Engineer - Coventry - £48,000 - £57,000"	"£48k - £57k"	"Coventry, Warwickshire"	"Permanent"	"Network Engineer - Coventry - £48,000 - £57,000"	"Coventry, Warwickshire - £48k - £57k"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Network Engineer - Coventry - £48,000 - £57,000 - CCNP, MPLS, OSPF Lynx Recruitment is working with a very exciting start up who specialise within Data and Artificial intelligence. I am on the look out for a Network Engineer to join their growing team in their Coventry office. The Network Engineer is responsible for maintaining the design and integrity of my clients global network, including customer-facing hosted and cloud environments. As the Network Engineer, you will provide expert technical assistance to clients, project and service teams. Skills and Experience:- In-depth knowledge of switching and routing protocols, to include but not limited to OSPF, RIPv2, BGP- Knowledge of WAN Technologies, MPLS, VPLS, VPN- Cisco CCNP or equivalent professional technical qualification- Working knowledge of software defined networking with VMware VCP-NSX desirable- Working knowledge of VMware and/or Microsoft Virtualisation Infrastructure- Experience designing, installing, configuring and maintaining large scale global network infrastructure If this Network Engineer role is of interest then please apply!"	"Coventry, Warwickshire, UK"	"IT"	NA	"£48k - £57k"	"Lynx Recruitment Ltd"	"Bradley Parker"	"JS"	"28/11/2018 17:59:26"	"http://www.jobserve.com/Gh3nq"	NA	"ASAP"	NA
"DevOps Engineer (AI, Machine Learning)"	"£55k - £65k per annum + Flexible Working"	"London"	"Permanent"	"DevOps Engineer (AI, Machine Learning)"	"London - £55k - £65k per annum + Flexible Working"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"DevOps Engineer (AI, Machine Learning) £55,000 - £65,000 + flex workingWe are seeking a DevOps Engineer with strong development skills to help the improvement of DevOps process and tooling for a hugely talented team building artificial intelligence and machine learning platforms.The team offer a flexible working environment with the option of part remote work.We are looking for a DevOps Engineer who has:Strong development/programming knowledge using either Go, Python or Java (open to languages)Container knowledge using Docker or KubernetesBroad tech experience which could include CI tooling and process, automation or LinuxExperience with Solr search platformsAs the DevOps Engineer you will ensure vital, highly available Servers, systems and tooling are reliable, robust and scalable, proactively improving process and architecture, improving deployment process and working with the wider software engineering team to look into future operations improvements.DevOps Engineer (AI, Machine Learning)Salary: £55,000 - £65,000 plus benefits and flexible workingLocation: London"	"London, UK"	"IT"	NA	"£55k - £65k per annum + Flexible Working"	"Understanding Recruitment"	"Jamie Carr "	"JS-(J2472)"	"02/12/2018 14:00:53"	"http://www.jobserve.com/GlFEl"	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"	NA	NA
"JavaScript React contract"	"£400 - £450/day"	"City of London"	"Contract"	"JavaScript React contract"	"City of London - £400 - £450/day"	"Contract"	"Posted: Tuesday, 27 November 2018"	""	"I have a brand-new contract requirement for a client based in West London, due to their continued growth they are looking to add an engineer to the Front End development team on a contract basis. The client is an Artificial Intelligence firm, they are looking to migrate some of their testing tools and Front End practices over to modern React and JEST to be considered for this role you should have solid commercial experience in most of the following areas:JavaScript, ES6React, ReduxWebpackJEST, Jasmine, KarmaCSS3 and SASSHTML5Are you currently looking for new projects in London; the client is happy to start a contractor either immediately or in January, the rate on offer is between £400 - £450.day (Dependent on experience); this position would suit a solid mid-level engineer or an engineer who has just progressed to senior level.If you would like to hear more about the position feel free to send me an up to date version of your CV or call into the office.I look forward to hearing from you."	"City of London, UK"	"IT"	NA	"£400 - £450/day"	"Oliver Bernard"	"Jonathan Cons "	"JS-JAC27112018"	"27/11/2018 15:51:13"	"http://www.jobserve.com/GkQN2"	"About Oliver Bernardwww.oliverbernard.co.uk/Oliver Bernard is a leading technology recruitment consultancy, specialising in placing both permanent and contract IT professional's in London. Founded by experienced recruiters who have a successful reputation of providing a high level of service to clients and candidates alike, within Java, Web, JavaScript, PHP, Ruby, Python, C++, C#/.NET, QA, Devops, Project Management and BA."	"ASAP"	"6 months"
"Pre Sales Information Security Consultant - cyber, security"	"Benefits"	"City of London"	"Permanent"	"Pre Sales Information Security Consultant - cyber, security"	"City of London - Benefits"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Pre Sales Information Security Consultant - cyber, security, networking, degree, £competitive + benefits, Central London + travelThere is no doubt that this entrepreneurial and heavily funded cyber security organisation is on the of the worlds most successful cyber companies around. Their approach to cyber security involves the use of artificial intelligence and machine learning making them a pioneering cyber company to work for.It doesn't get much better than this.The type of person we would like to speak to will have operated in an Information Security type environment, solid understanding of networking principles, it is essential that you have graduated from at least a Russell Group university or an international university of similar standard holding the equivalent a 2.1 degree in computing, engineering, physics, mathematics, natural sciences or something related, breath and depth of consulting on various security topics or networking Cisco and Firewalls, confident with pre sales cycle and able to give examples of where you have collaborated with different IT teams to build and find solutions for clients, implementing some form of software system, providing after care and support, anyone that is fluent in another language would be a welcomed applicant but please do not be put off from applying if you do not possess another language, confident and well versed in speaking to clients from various backgrounds from ground floor to Senior management.Please ensure you are able to travel on an international basis and happy to do so at minimal notice - we think that's pretty exciting though.In return for you hard work you will be joining one of the elite cyber security companies, learning about a truly fascinating field, being the point of contact between clients and different departments within the company and deploying the companies cutting edge product.Plush Central London location, chance to travel, rubbing shoulders with some incredibly bright people, competitive salary + company bonus is all on offer.Feel free to apply via the link or just give us a call.Please be assured that your CV will be treated in the strictest confidence and we would always speak to you before discussing your CV with any potential employer.MODIS are operating as an Employment Agency. MODIS are an equal opportunities employer Please note we are on the client's supplier list for this position.Keywords - Security, Cyber, Information, Networking, London, University, Degree, Sales, Cisco, Firewalls, Modis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Modis International Ltd UK is an Equal Opportunities Employer.By applying for this role your details will be submitted to Modis. Our Candidate Privacy Information Statement explains how we will use your information "	"City of London, UK"	"IT"	"Graduate"	"Benefits"	"Modis"	"Mark Chapman "	"JS-1153642"	"03/12/2018 14:03:34"	"http://www.jobserve.com/GlPo8"	NA	"ASAP"	NA
"Software Developer - .NET Core"	"£28k - £55k per annum"	"Belfast"	"Permanent"	"Software Developer - .NET Core"	"Belfast - £28k - £55k per annum"	"Permanent"	"Posted: Monday, 26 November 2018"	""	"Work for one of Ireland's 'Best Managed Companies' and develop only the best enterprise mobility solutions Your new company  Recently announced as one of Ireland's 'Best Managed Companies', my client focuses on developing powerful enterprise mobility solutions that combine mobile workforce management with dynamic scheduling, IoT and intelligent analytics. Bolstered with artificial intelligence, they have a proven track record of transforming organisations by increasing efficiency and driving operational excellence. Want to join an award-winning team? Look no further!Your new role  As the new software developer, you'll utilise a number of sought-after technologies including C#, .NET Core, REST API, Swagger, Angular, Bootstrap, SQL Azure, Microservices, Docker (and others) to developing high-quality app solutions within an agile team. You will actively participate in all aspects of Agile processes, incl. Sprint planning, sizing from elaborated stories, daily stand-ups, shift-left automated testing, demos and retros. Other responsibilities include supporting the drive of turning applications fully cloud native, as well as share the common mindset of moving towards full Infrastructure as code and continuous deployment.What you'll need to succeed  To succeed in this role you'll need 2+ years' experience in the software industry, ideally working within the .NET stack or equivalent, as well as experience in Server Side application developing utilising OO design, design patterns and refactoring. What you'll get in return  In return you'll receive a competitive salary, on-site parking (unusual for Belfast city-centre!) and a number of other benefits.What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found on our website."	"Belfast, UK"	"IT"	NA	"£28k - £55k per annum"	"Hays DT - Northern Ireland"	"Juliann Deegan "	"JS-3481897"	"26/11/2018 20:01:22"	"http://www.jobserve.com/GkADt"	NA	"ASAP"	NA
